😀	Gesicht, grinsendes Gesicht, lol, lustig
🤤	Gesicht, sabbern, sabberndes Gesicht
😴	Gesicht, schlafen, schlafendes Gesicht, schnarchen, zzz
😷	Arzt, Gesicht, Gesicht mit Atemschutzmaske, Krankheit
🤒	Fieberthermometer, Gesicht, Gesicht mit Fieberthermometer, krank
🤕	Gesicht, Gesicht mit Kopfverband, Schmerzen, Verband, Verletzung
🤢	Erbrechen, Gesicht, würgendes Gesicht, Übelkeit
🤮	kotzen, kotzendes Gesicht, krank
🤧	Gesicht, niesen, niesendes Gesicht
🥵	Fieber, Hitzschlag, erhitzt, heiß, schwitzen, schwitzendes Gesicht
🥶	Eiszapfen, Frostbeule, frieren, frierendes Gesicht, kalt
🥴	angetrunken, beschwipst, betrunken, schwindeliges Gesicht
😵	Gesicht, benommen, benommenes Gesicht
🤯	explodierender Kopf, geschockt
🤠	Cowboy, Gesicht, Gesicht mit Cowboyhut, Hut
🥳	Feiern, Party, Partygesicht
😎	Gesicht, Sonnenbrille, cool, lächelndes Gesicht mit Sonnenbrille
🤓	Gesicht, Nerd, Strebergesicht
🧐	Gesicht mit Monokel, Monokel
😕	Gesicht, verwundert, verwundertes Gesicht
😟	Gesicht, besorgt, besorgtes Gesicht
🙁	Gesicht, betrübtes Gesicht, traurig
☹️	Gesicht, düsteres Gesicht, traurig
😮	Gesicht, Gesicht mit offenem Mund, erstaunt, offener Mund
😯	Gesicht, erstaunt, sprachlos, verdutztes Gesicht
😲	Gesicht, erstaunt, erstauntes Gesicht
😳	Gesicht, errötetes Gesicht, errötetes Gesicht mit großen Augen, rote Wangen, überrascht
🥺	Gnade, Welpenaugen, betteln, bettelndes Gesicht
😦	Gesicht, entsetztes Gesicht, offener Mund, verwundert
😧	Gesicht, leidend, qualvolles Gesicht
😨	Gesicht, ängstlich, ängstliches Gesicht
😰	Gesicht, besorgtes Gesicht mit Schweißtropfen, kalter Schweiß, offener Mund
😥	Gesicht, Schweiß, enttäuscht, erleichtert, trauriges aber erleichtertes Gesicht
😢	Gesicht, Träne, traurig, weinendes Gesicht
😭	Gesicht, Tränen, heulendes Gesicht, traurig
😱	Angst, Gesicht, schreien, vor Angst schreiendes Gesicht
😖	Gesicht, verwirrt, verwirrtes Gesicht
😣	Gesicht, durchhalten, entschlossenes Gesicht
😞	Gesicht, enttäuschtes Gesicht, traurig
😓	Angstschweiß, Gesicht, bedrückt, bedrücktes Gesicht mit Schweiß
😩	Gesicht, erschöpft, erschöpftes Gesicht, müde
😫	Gesicht, müde, müdes Gesicht
🥱	gelangweilt, gähnen, gähnendes Gesicht, müde
😤	Gesicht, erleichtert, gewonnen, schnaubendes Gesicht
😡	Gesicht, rot, schmollendes Gesicht, wütend
😠	Gesicht, verärgert, verärgertes Gesicht
🤬	Gesicht mit Symbolen über dem Mund, fluchen
😈	Teufel, grinsendes Gesicht mit Hörnern
👿	Fantasy, Gesicht, Teufelchen, wütendes Gesicht mit Hörnern
💀	Gesicht, Tod, Totenkopf, tot
☠️	Gesicht, Piratenflagge, Tod, Totenkopf, Totenkopf mit gekreuzten Knochen, tot
💩	Kot, Kothaufen, Mist
🤡	Clown, Clown-Gesicht, Gesicht
👹	Gesicht, Japan, Monster, Märchen, Ungeheuer
👺	Gesicht, Japan, Kobold, Monster, Märchen, Tengu
👻	Fantasy, Gesicht, Gespenst, Märchen
👽️	Alien, Außerirdischer, Gesicht, UFO
👾	Computerspiel-Monster, Gesicht, Monster, UFO
🤖	Gesicht, Monster, Roboter, Roboterkopf
😺	Gesicht, Katze, grinsende Katze, grinsendes Katzengesicht, lol, lustig
😸	Gesicht, Katze, grinsende Katze mit lachenden Augen, grinsendes Katzengesicht mit lachenden Augen
😹	Gesicht, Katze, Katze mit Freudentränen, Katzengesicht mit Freudentränen, Tränen, lachen
😻	Gesicht, Katze, lachende Katze mit Herzen als Augen, lachendes Katzengesicht mit Herzen als Augen, verliebt
😼	Gesicht, Katze, ironisch, verwegen lächelnde Katze, verwegen lächelndes Katzengesicht
😽	Gesicht, Katze, küssende Katze, küssendes Katzengesicht, rote Wangen
🙀	Angst, Gesicht, Katze, erschöpfte Katze, erschöpftes Katzengesicht, schreien
😿	Gesicht, Katze, Träne, traurig, weinende Katze, weinendes Katzengesicht
😾	Gesicht, Katze, schmollende Katze, schmollendes Katzengesicht, verärgert
🙈	Affe, nichts sehen, sich die Augen zuhaltendes Affengesicht, verboten
🙉	Affe, nichts hören, sich die Ohren zuhaltendes Affengesicht, verboten
🙊	Affe, nichts sagen, sich den Mund zuhaltendes Affengesicht, verboten
💋	Kuss, Kussabdruck, Lippen
💌	Brief, Herz, Liebe, Liebesbrief
💘	Herz, Herz mit Pfeil, Liebe, Pfeil
💝	Herz, Herz mit Schleife, Schleife, Valentinstag
💖	Aufregung, Liebe, funkelndes Herz
💗	Aufregung, Liebe, Nervosität, wachsendes Herz
💓	Herz, Liebe, schlagendes Herz
💞	Liebe, kreisende Herzen
💕	Herz, Liebe, zwei Herzen
💟	Herz, Herzdekoration
❣️	Ausrufezeichen, Herz, Herz als Ausrufezeichen, Satzzeichen
💔	Schmerz, Trennung, gebrochenes Herz
❤️	Herz, rotes Herz
🧡	orange, oranges Herz
💛	Herz, gelb, gelbes Herz
💚	Herz, grün, grünes Herz
💙	Herz, blau, blaues Herz
💜	Herz, lila, lila Herz
🤎	Herz, braun, braunes Herz
🖤	Herz, böse, schwarz, schwarzes Herz
🤍	Herz, weiß, weißes Herz
💯	100, 100 Punkte, Punktestand, volle Punktzahl
💢	Comic, Wut, Ärger
💥	Comic, Kollision, Zusammenstoß
💫	Benommenheit, Comic, Stern, Sterne sehen, schwindlig
💦	Comic, Schweiß, Schweißtropfen
💨	Comic, Staubwolke, rennen, weglaufen
🕳️	Loch, schwarz
💣️	Bombe, Comic
💬	Dialog, Gespräch, Sprechblase, Sprechblase mit drei Punkten, Unterhaltung
👁‍🗨	Auge, Auge in Sprechblase, Dialog, reden, sprechen
🗨️	Dialog, Sprechblase links, Unterhaltung, reden, sprechen
🗯️	Sprechblase, Sprechblase für wütende Aussage rechts, wütend
💭	Comic, Gedankenblase, Nachdenken
💤	Comic, Schlaf, Schlafen, Schnarchen, ZZZ
👋	Hand, Winken, winkende Hand
👋🏻	Hand, Winken, helle Hautfarbe, winkende Hand, winkende Hand: helle Hautfarbe
👋🏼	Hand, Winken, mittelhelle Hautfarbe, winkende Hand, winkende Hand: mittelhelle Hautfarbe
👋🏽	Hand, Winken, mittlere Hautfarbe, winkende Hand, winkende Hand: mittlere Hautfarbe
👋🏾	Hand, Winken, mitteldunkle Hautfarbe, winkende Hand, winkende Hand: mitteldunkle Hautfarbe
👋🏿	Hand, Winken, dunkle Hautfarbe, winkende Hand, winkende Hand: dunkle Hautfarbe
🤚	Hand, erhoben, erhobene Hand von hinten, erhobener Handrücken
🤚🏻	Hand, erhoben, erhobene Hand von hinten, erhobene Hand von hinten: helle Hautfarbe, erhobener Handrücken, helle Hautfarbe
🤚🏼	Hand, erhoben, erhobene Hand von hinten, erhobene Hand von hinten: mittelhelle Hautfarbe, erhobener Handrücken, mittelhelle Hautfarbe
🤚🏽	Hand, erhoben, erhobene Hand von hinten, erhobene Hand von hinten: mittlere Hautfarbe, erhobener Handrücken, mittlere Hautfarbe
🤚🏾	Hand, erhoben, erhobene Hand von hinten, erhobene Hand von hinten: mitteldunkle Hautfarbe, erhobener Handrücken, mitteldunkle Hautfarbe
🤚🏿	Hand, dunkle Hautfarbe, erhoben, erhobene Hand von hinten, erhobene Hand von hinten: dunkle Hautfarbe, erhobener Handrücken
🖐️	5, Finger, Hand, Hand mit gespreizten Fingern, fünf, gespreizt
🖐🏻	5, Finger, Hand, Hand mit gespreizten Fingern, Hand mit gespreizten Fingern: helle Hautfarbe, fünf, gespreizt, helle Hautfarbe
🖐🏼	5, Finger, Hand, Hand mit gespreizten Fingern, Hand mit gespreizten Fingern: mittelhelle Hautfarbe, fünf, gespreizt, mittelhelle Hautfarbe
🖐🏽	5, Finger, Hand, Hand mit gespreizten Fingern, Hand mit gespreizten Fingern: mittlere Hautfarbe, fünf, gespreizt, mittlere Hautfarbe
🖐🏾	5, Finger, Hand, Hand mit gespreizten Fingern, Hand mit gespreizten Fingern: mitteldunkle Hautfarbe, fünf, gespreizt, mitteldunkle Hautfarbe
🖐🏿	5, Finger, Hand, Hand mit gespreizten Fingern, Hand mit gespreizten Fingern: dunkle Hautfarbe, dunkle Hautfarbe, fünf, gespreizt
✋	Hand, erhobene Hand
✋🏻	Hand, erhobene Hand, erhobene Hand: helle Hautfarbe, helle Hautfarbe
✋🏼	Hand, erhobene Hand, erhobene Hand: mittelhelle Hautfarbe, mittelhelle Hautfarbe
✋🏽	Hand, erhobene Hand, erhobene Hand: mittlere Hautfarbe, mittlere Hautfarbe
✋🏾	Hand, erhobene Hand, erhobene Hand: mitteldunkle Hautfarbe, mitteldunkle Hautfarbe
✋🏿	Hand, dunkle Hautfarbe, erhobene Hand, erhobene Hand: dunkle Hautfarbe
🖖	Spock, Star Trek, lebe lang und in Frieden, spreizen, vulkanisch, vulkanischer Gruß
🖖🏻	Spock, Star Trek, helle Hautfarbe, lebe lang und in Frieden, spreizen, vulkanisch, vulkanischer Gruß, vulkanischer Gruß: helle Hautfarbe
🖖🏼	Spock, Star Trek, lebe lang und in Frieden, mittelhelle Hautfarbe, spreizen, vulkanisch, vulkanischer Gruß, vulkanischer Gruß: mittelhelle Hautfarbe
🖖🏽	Spock, Star Trek, lebe lang und in Frieden, mittlere Hautfarbe, spreizen, vulkanisch, vulkanischer Gruß, vulkanischer Gruß: mittlere Hautfarbe
🖖🏾	Spock, Star Trek, lebe lang und in Frieden, mitteldunkle Hautfarbe, spreizen, vulkanisch, vulkanischer Gruß, vulkanischer Gruß: mitteldunkle Hautfarbe
🖖🏿	Spock, Star Trek, dunkle Hautfarbe, lebe lang und in Frieden, spreizen, vulkanisch, vulkanischer Gruß, vulkanischer Gruß: dunkle Hautfarbe
👌	Hand, OK, OK-Zeichen, exzellent, in Ordnung, perfekt
👌🏻	Hand, OK, OK-Zeichen, OK-Zeichen: helle Hautfarbe, exzellent, helle Hautfarbe, in Ordnung, perfekt
👌🏼	Hand, OK, OK-Zeichen, OK-Zeichen: mittelhelle Hautfarbe, exzellent, in Ordnung, mittelhelle Hautfarbe, perfekt
👌🏽	Hand, OK, OK-Zeichen, OK-Zeichen: mittlere Hautfarbe, exzellent, in Ordnung, mittlere Hautfarbe, perfekt
👌🏾	Hand, OK, OK-Zeichen, OK-Zeichen: mitteldunkle Hautfarbe, exzellent, in Ordnung, mitteldunkle Hautfarbe, perfekt
👌🏿	Hand, OK, OK-Zeichen, OK-Zeichen: dunkle Hautfarbe, dunkle Hautfarbe, exzellent, in Ordnung, perfekt
🤏	Wenig-Geste, klein, kleine Menge, kleiner Betrag, unbedeutend, wenig
🤏🏻	Wenig-Geste, Wenig-Geste: helle Hautfarbe, helle Hautfarbe, klein, kleine Menge, kleiner Betrag, unbedeutend, wenig
🤏🏼	Wenig-Geste, Wenig-Geste: mittelhelle Hautfarbe, klein, kleine Menge, kleiner Betrag, mittelhelle Hautfarbe, unbedeutend, wenig
🤏🏽	Wenig-Geste, Wenig-Geste: mittlere Hautfarbe, klein, kleine Menge, kleiner Betrag, mittlere Hautfarbe, unbedeutend, wenig
🤏🏾	Wenig-Geste, Wenig-Geste: mitteldunkle Hautfarbe, klein, kleine Menge, kleiner Betrag, mitteldunkle Hautfarbe, unbedeutend, wenig
🤏🏿	Wenig-Geste, Wenig-Geste: dunkle Hautfarbe, dunkle Hautfarbe, klein, kleine Menge, kleiner Betrag, unbedeutend, wenig
✌️	Sieg, V, Victory-Geste
✌🏻	Sieg, V, Victory-Geste, Victory-Geste: helle Hautfarbe, helle Hautfarbe
✌🏼	Sieg, V, Victory-Geste, Victory-Geste: mittelhelle Hautfarbe, mittelhelle Hautfarbe
✌🏽	Sieg, V, Victory-Geste, Victory-Geste: mittlere Hautfarbe, mittlere Hautfarbe
✌🏾	Sieg, V, Victory-Geste, Victory-Geste: mitteldunkle Hautfarbe, mitteldunkle Hautfarbe
✌🏿	Sieg, V, Victory-Geste, Victory-Geste: dunkle Hautfarbe, dunkle Hautfarbe
🤞	Finger, Hand, Hand mit gekreuzten Fingern, gekreuzt
🤞🏻	Finger, Hand, Hand mit gekreuzten Fingern, Hand mit gekreuzten Fingern: helle Hautfarbe, gekreuzt, helle Hautfarbe
🤞🏼	Finger, Hand, Hand mit gekreuzten Fingern, Hand mit gekreuzten Fingern: mittelhelle Hautfarbe, gekreuzt, mittelhelle Hautfarbe
🤞🏽	Finger, Hand, Hand mit gekreuzten Fingern, Hand mit gekreuzten Fingern: mittlere Hautfarbe, gekreuzt, mittlere Hautfarbe
🤞🏾	Finger, Hand, Hand mit gekreuzten Fingern, Hand mit gekreuzten Fingern: mitteldunkle Hautfarbe, gekreuzt, mitteldunkle Hautfarbe
🤞🏿	Finger, Hand, Hand mit gekreuzten Fingern, Hand mit gekreuzten Fingern: dunkle Hautfarbe, dunkle Hautfarbe, gekreuzt
🤟	Hand, Ich liebe dich, ich-liebe-dich-Geste
🤟🏻	Hand, Ich liebe dich, helle Hautfarbe, ich-liebe-dich-Geste, ich-liebe-dich-Geste: helle Hautfarbe
🤟🏼	Hand, Ich liebe dich, ich-liebe-dich-Geste, ich-liebe-dich-Geste: mittelhelle Hautfarbe, mittelhelle Hautfarbe
🤟🏽	Hand, Ich liebe dich, ich-liebe-dich-Geste, ich-liebe-dich-Geste: mittlere Hautfarbe, mittlere Hautfarbe
🤟🏾	Hand, Ich liebe dich, ich-liebe-dich-Geste, ich-liebe-dich-Geste: mitteldunkle Hautfarbe, mitteldunkle Hautfarbe
🤟🏿	Hand, Ich liebe dich, dunkle Hautfarbe, ich-liebe-dich-Geste, ich-liebe-dich-Geste: dunkle Hautfarbe
🤘	Finger, Hand, Hörner, Rock, Teufel, Teufelsgruß
🤘🏻	Finger, Hand, Hörner, Rock, Teufel, Teufelsgruß, Teufelsgruß: helle Hautfarbe, helle Hautfarbe
🤘🏼	Finger, Hand, Hörner, Rock, Teufel, Teufelsgruß, Teufelsgruß: mittelhelle Hautfarbe, mittelhelle Hautfarbe
🤘🏽	Finger, Hand, Hörner, Rock, Teufel, Teufelsgruß, Teufelsgruß: mittlere Hautfarbe, mittlere Hautfarbe
🤘🏾	Finger, Hand, Hörner, Rock, Teufel, Teufelsgruß, Teufelsgruß: mitteldunkle Hautfarbe, mitteldunkle Hautfarbe
🤘🏿	Finger, Hand, Hörner, Rock, Teufel, Teufelsgruß, Teufelsgruß: dunkle Hautfarbe, dunkle Hautfarbe
🤙	Hand, anrufen, ruf-mich-an-Handzeichen
🤙🏻	Hand, anrufen, helle Hautfarbe, ruf-mich-an-Handzeichen, ruf-mich-an-Handzeichen: helle Hautfarbe
🤙🏼	Hand, anrufen, mittelhelle Hautfarbe, ruf-mich-an-Handzeichen, ruf-mich-an-Handzeichen: mittelhelle Hautfarbe
🤙🏽	Hand, anrufen, mittlere Hautfarbe, ruf-mich-an-Handzeichen, ruf-mich-an-Handzeichen: mittlere Hautfarbe
🤙🏾	Hand, anrufen, mitteldunkle Hautfarbe, ruf-mich-an-Handzeichen, ruf-mich-an-Handzeichen: mitteldunkle Hautfarbe
🤙🏿	Hand, anrufen, dunkle Hautfarbe, ruf-mich-an-Handzeichen, ruf-mich-an-Handzeichen: dunkle Hautfarbe
👈️	Finger, Handrückseite, links, nach links weisender Zeigefinger
👈🏻	Finger, Handrückseite, helle Hautfarbe, links, nach links weisender Zeigefinger, nach links weisender Zeigefinger: helle Hautfarbe
👈🏼	Finger, Handrückseite, links, mittelhelle Hautfarbe, nach links weisender Zeigefinger, nach links weisender Zeigefinger: mittelhelle Hautfarbe
👈🏽	Finger, Handrückseite, links, mittlere Hautfarbe, nach links weisender Zeigefinger, nach links weisender Zeigefinger: mittlere Hautfarbe
👈🏾	Finger, Handrückseite, links, mitteldunkle Hautfarbe, nach links weisender Zeigefinger, nach links weisender Zeigefinger: mitteldunkle Hautfarbe
👈🏿	Finger, Handrückseite, dunkle Hautfarbe, links, nach links weisender Zeigefinger, nach links weisender Zeigefinger: dunkle Hautfarbe
👉️	Finger, Handrückseite, nach rechts weisender Zeigefinger, rechts
👉🏻	Finger, Handrückseite, helle Hautfarbe, nach rechts weisender Zeigefinger, nach rechts weisender Zeigefinger: helle Hautfarbe, rechts
👉🏼	Finger, Handrückseite, mittelhelle Hautfarbe, nach rechts weisender Zeigefinger, nach rechts weisender Zeigefinger: mittelhelle Hautfarbe, rechts
👉🏽	Finger, Handrückseite, mittlere Hautfarbe, nach rechts weisender Zeigefinger, nach rechts weisender Zeigefinger: mittlere Hautfarbe, rechts
👉🏾	Finger, Handrückseite, mitteldunkle Hautfarbe, nach rechts weisender Zeigefinger, nach rechts weisender Zeigefinger: mitteldunkle Hautfarbe, rechts
👉🏿	Finger, Handrückseite, dunkle Hautfarbe, nach rechts weisender Zeigefinger, nach rechts weisender Zeigefinger: dunkle Hautfarbe, rechts
👆️	Finger, Handrückseite, aufwärts, nach oben weisender Zeigefinger von hinten
👆🏻	Finger, Handrückseite, aufwärts, helle Hautfarbe, nach oben weisender Zeigefinger von hinten, nach oben weisender Zeigefinger von hinten: helle Hautfarbe
👆🏼	Finger, Handrückseite, aufwärts, mittelhelle Hautfarbe, nach oben weisender Zeigefinger von hinten, nach oben weisender Zeigefinger von hinten: mittelhelle Hautfarbe
👆🏽	Finger, Handrückseite, aufwärts, mittlere Hautfarbe, nach oben weisender Zeigefinger von hinten, nach oben weisender Zeigefinger von hinten: mittlere Hautfarbe
👆🏾	Finger, Handrückseite, aufwärts, mitteldunkle Hautfarbe, nach oben weisender Zeigefinger von hinten, nach oben weisender Zeigefinger von hinten: mitteldunkle Hautfarbe
👆🏿	Finger, Handrückseite, aufwärts, dunkle Hautfarbe, nach oben weisender Zeigefinger von hinten, nach oben weisender Zeigefinger von hinten: dunkle Hautfarbe
🖕	Finger, Hand, Mittelfinger
🖕🏻	Finger, Hand, Mittelfinger, Mittelfinger: helle Hautfarbe, helle Hautfarbe
🖕🏼	Finger, Hand, Mittelfinger, Mittelfinger: mittelhelle Hautfarbe, mittelhelle Hautfarbe
🖕🏽	Finger, Hand, Mittelfinger, Mittelfinger: mittlere Hautfarbe, mittlere Hautfarbe
🖕🏾	Finger, Hand, Mittelfinger, Mittelfinger: mitteldunkle Hautfarbe, mitteldunkle Hautfarbe
🖕🏿	Finger, Hand, Mittelfinger, Mittelfinger: dunkle Hautfarbe, dunkle Hautfarbe
👇️	Finger, Handrückseite, abwärts, nach unten weisender Zeigefinger
👇🏻	Finger, Handrückseite, abwärts, helle Hautfarbe, nach unten weisender Zeigefinger, nach unten weisender Zeigefinger: helle Hautfarbe
👇🏼	Finger, Handrückseite, abwärts, mittelhelle Hautfarbe, nach unten weisender Zeigefinger, nach unten weisender Zeigefinger: mittelhelle Hautfarbe
👇🏽	Finger, Handrückseite, abwärts, mittlere Hautfarbe, nach unten weisender Zeigefinger, nach unten weisender Zeigefinger: mittlere Hautfarbe
👇🏾	Finger, Handrückseite, abwärts, mitteldunkle Hautfarbe, nach unten weisender Zeigefinger, nach unten weisender Zeigefinger: mitteldunkle Hautfarbe
👇🏿	Finger, Handrückseite, abwärts, dunkle Hautfarbe, nach unten weisender Zeigefinger, nach unten weisender Zeigefinger: dunkle Hautfarbe
☝️	Finger, Hand, Handvorderseite, Zeigefinger, nach oben, nach oben weisender Zeigefinger von vorne
☝🏻	Finger, Hand, Handvorderseite, Zeigefinger, helle Hautfarbe, nach oben, nach oben weisender Zeigefinger von vorne, nach oben weisender Zeigefinger von vorne: helle Hautfarbe
☝🏼	Finger, Hand, Handvorderseite, Zeigefinger, mittelhelle Hautfarbe, nach oben, nach oben weisender Zeigefinger von vorne, nach oben weisender Zeigefinger von vorne: mittelhelle Hautfarbe
☝🏽	Finger, Hand, Handvorderseite, Zeigefinger, mittlere Hautfarbe, nach oben, nach oben weisender Zeigefinger von vorne, nach oben weisender Zeigefinger von vorne: mittlere Hautfarbe
☝🏾	Finger, Hand, Handvorderseite, Zeigefinger, mitteldunkle Hautfarbe, nach oben, nach oben weisender Zeigefinger von vorne, nach oben weisender Zeigefinger von vorne: mitteldunkle Hautfarbe
☝🏿	Finger, Hand, Handvorderseite, Zeigefinger, dunkle Hautfarbe, nach oben, nach oben weisender Zeigefinger von vorne, nach oben weisender Zeigefinger von vorne: dunkle Hautfarbe
👍️	Daumen, Daumen hoch, Hand, gut, nach oben
👍🏻	Daumen, Daumen hoch, Daumen hoch: helle Hautfarbe, Hand, gut, helle Hautfarbe, nach oben
👍🏼	Daumen, Daumen hoch, Daumen hoch: mittelhelle Hautfarbe, Hand, gut, mittelhelle Hautfarbe, nach oben
👍🏽	Daumen, Daumen hoch, Daumen hoch: mittlere Hautfarbe, Hand, gut, mittlere Hautfarbe, nach oben
👍🏾	Daumen, Daumen hoch, Daumen hoch: mitteldunkle Hautfarbe, Hand, gut, mitteldunkle Hautfarbe, nach oben
👍🏿	Daumen, Daumen hoch, Daumen hoch: dunkle Hautfarbe, Hand, dunkle Hautfarbe, gut, nach oben
👎️	Daumen, Daumen runter, Hand, nach unten, schlecht
👎🏻	Daumen, Daumen runter, Daumen runter: helle Hautfarbe, Hand, helle Hautfarbe, nach unten, schlecht
👎🏼	Daumen, Daumen runter, Daumen runter: mittelhelle Hautfarbe, Hand, mittelhelle Hautfarbe, nach unten, schlecht
👎🏽	Daumen, Daumen runter, Daumen runter: mittlere Hautfarbe, Hand, mittlere Hautfarbe, nach unten, schlecht
👎🏾	Daumen, Daumen runter, Daumen runter: mitteldunkle Hautfarbe, Hand, mitteldunkle Hautfarbe, nach unten, schlecht
👎🏿	Daumen, Daumen runter, Daumen runter: dunkle Hautfarbe, Hand, dunkle Hautfarbe, nach unten, schlecht
✊	Faust, erhobene Faust
✊🏻	Faust, erhobene Faust, erhobene Faust: helle Hautfarbe, helle Hautfarbe
✊🏼	Faust, erhobene Faust, erhobene Faust: mittelhelle Hautfarbe, mittelhelle Hautfarbe
✊🏽	Faust, erhobene Faust, erhobene Faust: mittlere Hautfarbe, mittlere Hautfarbe
✊🏾	Faust, erhobene Faust, erhobene Faust: mitteldunkle Hautfarbe, mitteldunkle Hautfarbe
✊🏿	Faust, dunkle Hautfarbe, erhobene Faust, erhobene Faust: dunkle Hautfarbe
👊	Faust, Hand, geballte Faust
👊🏻	Faust, Hand, geballte Faust, geballte Faust: helle Hautfarbe, helle Hautfarbe
👊🏼	Faust, Hand, geballte Faust, geballte Faust: mittelhelle Hautfarbe, mittelhelle Hautfarbe
👊🏽	Faust, Hand, geballte Faust, geballte Faust: mittlere Hautfarbe, mittlere Hautfarbe
👊🏾	Faust, Hand, geballte Faust, geballte Faust: mitteldunkle Hautfarbe, mitteldunkle Hautfarbe
👊🏿	Faust, Hand, dunkle Hautfarbe, geballte Faust, geballte Faust: dunkle Hautfarbe
🤛	Faust, Faust nach links, nach links
🤛🏻	Faust, Faust nach links, Faust nach links: helle Hautfarbe, helle Hautfarbe, nach links
🤛🏼	Faust, Faust nach links, Faust nach links: mittelhelle Hautfarbe, mittelhelle Hautfarbe, nach links
🤛🏽	Faust, Faust nach links, Faust nach links: mittlere Hautfarbe, mittlere Hautfarbe, nach links
🤛🏾	Faust, Faust nach links, Faust nach links: mitteldunkle Hautfarbe, mitteldunkle Hautfarbe, nach links
🤛🏿	Faust, Faust nach links, Faust nach links: dunkle Hautfarbe, dunkle Hautfarbe, nach links
🤜	Faust, Faust nach rechts, nach rechts
🤜🏻	Faust, Faust nach rechts, Faust nach rechts: helle Hautfarbe, helle Hautfarbe, nach rechts
🤜🏼	Faust, Faust nach rechts, Faust nach rechts: mittelhelle Hautfarbe, mittelhelle Hautfarbe, nach rechts
🤜🏽	Faust, Faust nach rechts, Faust nach rechts: mittlere Hautfarbe, mittlere Hautfarbe, nach rechts
🤜🏾	Faust, Faust nach rechts, Faust nach rechts: mitteldunkle Hautfarbe, mitteldunkle Hautfarbe, nach rechts
🤜🏿	Faust, Faust nach rechts, Faust nach rechts: dunkle Hautfarbe, dunkle Hautfarbe, nach rechts
👏	Beifall, Hände, Klatschen, applaudieren, klatschende Hände
👏🏻	Beifall, Hände, Klatschen, applaudieren, helle Hautfarbe, klatschende Hände, klatschende Hände: helle Hautfarbe
👏🏼	Beifall, Hände, Klatschen, applaudieren, klatschende Hände, klatschende Hände: mittelhelle Hautfarbe, mittelhelle Hautfarbe
👏🏽	Beifall, Hände, Klatschen, applaudieren, klatschende Hände, klatschende Hände: mittlere Hautfarbe, mittlere Hautfarbe
