😀	obraz, režanje, režeči obraz
🥱	dolgčas, utrujen, zehajoč obraz, zehanje
😤	obraz, obraz s paro skozi nos, zmaga, zmagoslavje
😡	besno, gnev, jezno, kujanje, obraz, obraz, ki kuha mulo, rdeče
😠	besno, jezen obraz, jezno, obraz
🤬	obraz, ki kolne
😈	fantazija, nasmeh, obraz, pravljica, rogovi, smejoči obraz z rogovi
👿	demon, fantazija, hudič, obraz, pravljica, vragec
💀	mrtvaška glava, obraz, pošast, pravljica, smrt, telo
☠️	lobanja, mrtvaška glava s prekrižanima kostema, obraz, pošast, prekrižane kosti, smrt, telo
💩	drekec, iztrebki, kakec, kup kakca, obraz, pošast, strip
🤡	klovn, klovnesa, klovnovski obraz
👹	bitje, fantazija, japonsko, obraz, pošast, pošastni velikan, pravljica
👺	bitje, fantazija, japonsko, obraz, pošast, pravljica, škratelj
👻	bitje, duh, fantazija, obraz, pošast, pravljica
👽️	bitje, fantazija, nezemeljan, nlp, obraz, pošast, pravljica, vesolje, vesoljec
👾	bitje, fantazija, nezemljan, nlp, obraz, pravljica, vesolje, vesoljec, vesoljska pošast
🤖	obraz, pošast, robot
😺	mačka, nasmeh, obraz, odprta, režeča se mačka, smeh, usta
😸	mačka, nasmeh, obraz, oko, režanje, režeča se mačka s smejočimi očmi
😹	mačji obraz s solzami sreče, mačka, mačka s solzami sreče, obraz, solze, veselje
😻	ljubezen, mačka, nasmeh, obraz, oči, smejoča se mačka z očmi v obliki srčka, smejoči mačji obraz z očmi v obliki srčka, srce
😼	ironično, mačji obraz s prifrknjenim nasmeškom, mačka, mačka s prifrknjenim nasmeškom, nasmeh, obraz, porogljivo
😽	mačji obraz z zaprtimi očmi, ki poljublja, mačka, mačka poljublja z zaprtimi očmi, obraz, oči, poljub
🙀	mačka, naveličano, obraz, odprta usta, presenečena mačka, presenečeno
😿	jokajoča mačka, jokajoči mačji obraz, jokanje, mačka, obraz, solza, žalostno
😾	kujanje, mačji obraz, ki kuha mulo, mačka, mačka kuha mulo, obraz
🙈	gesta, ne, obraz, opica, opica, ki ne vidi ničesar, prepovedano, videti, zlobno
🙉	gesta, ne, obraz, opica, opica, ki ne sliši ničesar, prepovedano, slišati, zlobno
🙊	gesta, govoriti, ne, obraz, opica, opica, ki ničesar ne govori, prepovedano, zlobno
💋	odtis, poljub, romanca, sled šminke po poljubu, srce, ustnice
💌	ljubezen, ljubezensko pismo, pismo, pošta, romanca, srce
💘	kupid, puščica, romanca, srce, srce s puščico
💝	pentlja, srce, srce s pentljo, valentin
💖	lesketajoče srce, lesketati se, srce, vznemirjeno
💗	rastoče, rastoče srce, srce, srčni utrip, vznemirjeno, živčno
💓	bitje, srce, srčni utrip, utripajoče srce, utripanje
💞	srce, vrtenje, vrteči se srci
💕	dve srci, ljubezen, srce
💟	okrasje s srcem, srce
❣️	klicaj, klicaj v obliki srca, ločilo, srce, znak
💔	počeno, srce, strto srce, zlomiti
❤️	rdeče srce, srce
🧡	oranžno srce
💛	rumeno, rumeno srce, srce
💚	srce, zeleno, zeleno srce
💙	modro, modro srce, srce
💜	srce, vijolično, vijolično srce
🤎	rjavo, rjavo srce, srce
🖤	hudobno, podlo, srce, zlobno, črno, črno srce
🤍	belo, belo srce, srce
💯	100, sto, sto točk
💢	divje, jezno, simbol jeze, strip
💥	bum, eksplozija, strip, trk
💫	omotica, omotično, planeti, strip, zvezda
💦	pljuskanje, pot, potne kapljice, strip
💨	strip, tek, švigati, švigniti
🕳️	luknja
💣️	bomba, strip
💬	balon, dialog, govor, oblaček, oblaček z govorom, strip
👁‍🗨	dialog, oblaček z govorom, oko, oko v oblačku z govorom, priča
🗨️	dialog, govor, levi oblaček z govorom
🗯️	balon, desni oblaček z jeznim govorom, divje, jezno, oblaček
💭	balon, misel, oblaček, oblaček z mislimi, strip
💤	spanec, spanje, strip, zzz
👋	dlan, mahajoča dlan, mahanje, mahati, telo
👋🏻	dlan, mahajoča dlan, mahajoča dlan: svetel ten kože, mahanje, mahati, svetel ten kože, telo
👋🏼	dlan, mahajoča dlan, mahajoča dlan: srednje svetel ten kože, mahanje, mahati, srednje svetel ten kože, telo
👋🏽	dlan, mahajoča dlan, mahajoča dlan: srednji ten kože, mahanje, mahati, srednji ten kože, telo
👋🏾	dlan, mahajoča dlan, mahajoča dlan: srednje temen ten kože, mahanje, mahati, srednje temen ten kože, telo
👋🏿	dlan, mahajoča dlan, mahajoča dlan: temen ten kože, mahanje, mahati, telo, temen ten kože
🤚	dlan, dvignjena, dvignjena hrbtna stran dlani, hrbtna stran
🤚🏻	dlan, dvignjena, dvignjena hrbtna stran dlani, dvignjena hrbtna stran dlani: svetel ten kože, hrbtna stran, svetel ten kože
🤚🏼	dlan, dvignjena, dvignjena hrbtna stran dlani, dvignjena hrbtna stran dlani: srednje svetel ten kože, hrbtna stran, srednje svetel ten kože
🤚🏽	dlan, dvignjena, dvignjena hrbtna stran dlani, dvignjena hrbtna stran dlani: srednji ten kože, hrbtna stran, srednji ten kože
🤚🏾	dlan, dvignjena, dvignjena hrbtna stran dlani, dvignjena hrbtna stran dlani: srednje temen ten kože, hrbtna stran, srednje temen ten kože
🤚🏿	dlan, dvignjena, dvignjena hrbtna stran dlani, dvignjena hrbtna stran dlani: temen ten kože, hrbtna stran, temen ten kože
🖐️	dlan, dvignjena dlan z razprtimi prsti, prst, razprto, telo
🖐🏻	dlan, dvignjena dlan z razprtimi prsti, dvignjena dlan z razprtimi prsti: svetel ten kože, prst, razprto, svetel ten kože, telo
🖐🏼	dlan, dvignjena dlan z razprtimi prsti, dvignjena dlan z razprtimi prsti: srednje svetel ten kože, prst, razprto, srednje svetel ten kože, telo
🖐🏽	dlan, dvignjena dlan z razprtimi prsti, dvignjena dlan z razprtimi prsti: srednji ten kože, prst, razprto, srednji ten kože, telo
🖐🏾	dlan, dvignjena dlan z razprtimi prsti, dvignjena dlan z razprtimi prsti: srednje temen ten kože, prst, razprto, srednje temen ten kože, telo
🖐🏿	dlan, dvignjena dlan z razprtimi prsti, dvignjena dlan z razprtimi prsti: temen ten kože, prst, razprto, telo, temen ten kože
✋	dlan, dvignjena dlan, telo
✋🏻	dlan, dvignjena dlan, dvignjena dlan: svetel ten kože, svetel ten kože, telo
✋🏼	dlan, dvignjena dlan, dvignjena dlan: srednje svetel ten kože, srednje svetel ten kože, telo
✋🏽	dlan, dvignjena dlan, dvignjena dlan: srednji ten kože, srednji ten kože, telo
✋🏾	dlan, dvignjena dlan, dvignjena dlan: srednje temen ten kože, srednje temen ten kože, telo
✋🏿	dlan, dvignjena dlan, dvignjena dlan: temen ten kože, telo, temen ten kože
🖖	dlan, prst, spock, telo, vulkan, vulkanski pozdrav
🖖🏻	dlan, prst, spock, svetel ten kože, telo, vulkan, vulkanski pozdrav, vulkanski pozdrav: svetel ten kože
🖖🏼	dlan, prst, spock, srednje svetel ten kože, telo, vulkan, vulkanski pozdrav, vulkanski pozdrav: srednje svetel ten kože
🖖🏽	dlan, prst, spock, srednji ten kože, telo, vulkan, vulkanski pozdrav, vulkanski pozdrav: srednji ten kože
🖖🏾	dlan, prst, spock, srednje temen ten kože, telo, vulkan, vulkanski pozdrav, vulkanski pozdrav: srednje temen ten kože
🖖🏿	dlan, prst, spock, telo, temen ten kože, vulkan, vulkanski pozdrav, vulkanski pozdrav: temen ten kože
👌	dlan, roka, ki kaže V REDU, telo, v redu
👌🏻	dlan, roka, ki kaže V REDU, roka, ki kaže V REDU: svetel ten kože, svetel ten kože, telo, v redu
👌🏼	dlan, roka, ki kaže V REDU, roka, ki kaže V REDU: srednje svetel ten kože, srednje svetel ten kože, telo, v redu
👌🏽	dlan, roka, ki kaže V REDU, roka, ki kaže V REDU: srednji ten kože, srednji ten kože, telo, v redu
👌🏾	dlan, roka, ki kaže V REDU, roka, ki kaže V REDU: srednje temen ten kože, srednje temen ten kože, telo, v redu
👌🏿	dlan, roka, ki kaže V REDU, roka, ki kaže V REDU: temen ten kože, telo, temen ten kože, v redu
🤏	majhna količina, malo, roka s ščepcem
🤏🏻	majhna količina, malo, roka s ščepcem, roka s ščepcem: svetel ten kože, svetel ten kože
🤏🏼	majhna količina, malo, roka s ščepcem, roka s ščepcem: srednje svetel ten kože, srednje svetel ten kože
🤏🏽	majhna količina, malo, roka s ščepcem, roka s ščepcem: srednji ten kože, srednji ten kože
🤏🏾	majhna količina, malo, roka s ščepcem, roka s ščepcem: srednje temen ten kože, srednje temen ten kože
🤏🏿	majhna količina, malo, roka s ščepcem, roka s ščepcem: temen ten kože, temen ten kože
✌️	dlan, dlan s prstoma, ki kažeta znak za zmago, telo, v, zmaga
✌🏻	dlan, dlan s prstoma, ki kažeta znak za zmago, dlan s prstoma, ki kažeta znak za zmago: svetel ten kože, svetel ten kože, telo, v, zmaga
✌🏼	dlan, dlan s prstoma, ki kažeta znak za zmago, dlan s prstoma, ki kažeta znak za zmago: srednje svetel ten kože, srednje svetel ten kože, telo, v, zmaga
✌🏽	dlan, dlan s prstoma, ki kažeta znak za zmago, dlan s prstoma, ki kažeta znak za zmago: srednji ten kože, srednji ten kože, telo, v, zmaga
✌🏾	dlan, dlan s prstoma, ki kažeta znak za zmago, dlan s prstoma, ki kažeta znak za zmago: srednje temen ten kože, srednje temen ten kože, telo, v, zmaga
✌🏿	dlan, dlan s prstoma, ki kažeta znak za zmago, dlan s prstoma, ki kažeta znak za zmago: temen ten kože, telo, temen ten kože, v, zmaga
🤞	prekrižani prsti, prsti, roka, sreča
🤞🏻	prekrižani prsti, prekrižani prsti: svetel ten kože, prsti, roka, sreča, svetel ten kože
🤞🏼	prekrižani prsti, prekrižani prsti: srednje svetel ten kože, prsti, roka, srednje svetel ten kože, sreča
🤞🏽	prekrižani prsti, prekrižani prsti: srednji ten kože, prsti, roka, srednji ten kože, sreča
🤞🏾	prekrižani prsti, prekrižani prsti: srednje temen ten kože, prsti, roka, srednje temen ten kože, sreča
🤞🏿	prekrižani prsti, prekrižani prsti: temen ten kože, prsti, roka, sreča, temen ten kože
🤟	znak za ljubim te
🤟🏻	svetel ten kože, znak za ljubim te, znak za ljubim te: svetel ten kože
🤟🏼	srednje svetel ten kože, znak za ljubim te, znak za ljubim te: srednje svetel ten kože
🤟🏽	srednji ten kože, znak za ljubim te, znak za ljubim te: srednji ten kože
🤟🏾	srednje temen ten kože, znak za ljubim te, znak za ljubim te: srednje temen ten kože
🤟🏿	temen ten kože, znak za ljubim te, znak za ljubim te: temen ten kože
🤘	dlan, prst, rock za vedno, rogovi, telo, znak za rogove
🤘🏻	dlan, prst, rock za vedno, rogovi, svetel ten kože, telo, znak za rogove, znak za rogove: svetel ten kože
🤘🏼	dlan, prst, rock za vedno, rogovi, srednje svetel ten kože, telo, znak za rogove, znak za rogove: srednje svetel ten kože
🤘🏽	dlan, prst, rock za vedno, rogovi, srednji ten kože, telo, znak za rogove, znak za rogove: srednji ten kože
🤘🏾	dlan, prst, rock za vedno, rogovi, srednje temen ten kože, telo, znak za rogove, znak za rogove: srednje temen ten kože
🤘🏿	dlan, prst, rock za vedno, rogovi, telo, temen ten kože, znak za rogove, znak za rogove: temen ten kože
🤙	pokliči, pokliči me, roka
🤙🏻	pokliči, pokliči me, pokliči me: svetel ten kože, roka, svetel ten kože
🤙🏼	pokliči, pokliči me, pokliči me: srednje svetel ten kože, roka, srednje svetel ten kože
🤙🏽	pokliči, pokliči me, pokliči me: srednji ten kože, roka, srednji ten kože
🤙🏾	pokliči, pokliči me, pokliči me: srednje temen ten kože, roka, srednje temen ten kože
🤙🏿	pokliči, pokliči me, pokliči me: temen ten kože, roka, temen ten kože
👈️	dlan, hrbtna stran, hrbtna stran dlani s kazalcem, ki kaže levo, kazalec, kazati, prst, telo
👈🏻	dlan, hrbtna stran, hrbtna stran dlani s kazalcem, ki kaže levo, hrbtna stran dlani s kazalcem, ki kaže levo: svetel ten kože, kazalec, kazati, prst, svetel ten kože, telo
👈🏼	dlan, hrbtna stran, hrbtna stran dlani s kazalcem, ki kaže levo, hrbtna stran dlani s kazalcem, ki kaže levo: srednje svetel ten kože, kazalec, kazati, prst, srednje svetel ten kože, telo
👈🏽	dlan, hrbtna stran, hrbtna stran dlani s kazalcem, ki kaže levo, hrbtna stran dlani s kazalcem, ki kaže levo: srednji ten kože, kazalec, kazati, prst, srednji ten kože, telo
👈🏾	dlan, hrbtna stran, hrbtna stran dlani s kazalcem, ki kaže levo, hrbtna stran dlani s kazalcem, ki kaže levo: srednje temen ten kože, kazalec, kazati, prst, srednje temen ten kože, telo
👈🏿	dlan, hrbtna stran, hrbtna stran dlani s kazalcem, ki kaže levo, hrbtna stran dlani s kazalcem, ki kaže levo: temen ten kože, kazalec, kazati, prst, telo, temen ten kože
👉️	dlan, hrbtna stran, hrbtna stran dlani s kazalcem, ki kaže desno, kazalec, kazati, prst, telo
👉🏻	dlan, hrbtna stran, hrbtna stran dlani s kazalcem, ki kaže desno, hrbtna stran dlani s kazalcem, ki kaže desno: svetel ten kože, kazalec, kazati, prst, svetel ten kože, telo
👉🏼	dlan, hrbtna stran, hrbtna stran dlani s kazalcem, ki kaže desno, hrbtna stran dlani s kazalcem, ki kaže desno: srednje svetel ten kože, kazalec, kazati, prst, srednje svetel ten kože, telo
👉🏽	dlan, hrbtna stran, hrbtna stran dlani s kazalcem, ki kaže desno, hrbtna stran dlani s kazalcem, ki kaže desno: srednji ten kože, kazalec, kazati, prst, srednji ten kože, telo
👉🏾	dlan, hrbtna stran, hrbtna stran dlani s kazalcem, ki kaže desno, hrbtna stran dlani s kazalcem, ki kaže desno: srednje temen ten kože, kazalec, kazati, prst, srednje temen ten kože, telo
👉🏿	dlan, hrbtna stran, hrbtna stran dlani s kazalcem, ki kaže desno, hrbtna stran dlani s kazalcem, ki kaže desno: temen ten kože, kazalec, kazati, prst, telo, temen ten kože
👆️	dlan, gor, hrbtna stran, hrbtna stran dlani s kazalcem, ki kaže gor, kazalec, kazati, prst, telo
👆🏻	dlan, gor, hrbtna stran, hrbtna stran dlani s kazalcem, ki kaže gor, hrbtna stran dlani s kazalcem, ki kaže gor: svetel ten kože, kazalec, kazati, prst, svetel ten kože, telo
👆🏼	dlan, gor, hrbtna stran, hrbtna stran dlani s kazalcem, ki kaže gor, hrbtna stran dlani s kazalcem, ki kaže gor: srednje svetel ten kože, kazalec, kazati, prst, srednje svetel ten kože, telo
👆🏽	dlan, gor, hrbtna stran, hrbtna stran dlani s kazalcem, ki kaže gor, hrbtna stran dlani s kazalcem, ki kaže gor: srednji ten kože, kazalec, kazati, prst, srednji ten kože, telo
👆🏾	dlan, gor, hrbtna stran, hrbtna stran dlani s kazalcem, ki kaže gor, hrbtna stran dlani s kazalcem, ki kaže gor: srednje temen ten kože, kazalec, kazati, prst, srednje temen ten kože, telo
👆🏿	dlan, gor, hrbtna stran, hrbtna stran dlani s kazalcem, ki kaže gor, hrbtna stran dlani s kazalcem, ki kaže gor: temen ten kože, kazalec, kazati, prst, telo, temen ten kože
🖕	dlan, kazati, prst, sredinec, telo
🖕🏻	dlan, kazati, prst, sredinec, sredinec: svetel ten kože, svetel ten kože, telo
🖕🏼	dlan, kazati, prst, sredinec, sredinec: srednje svetel ten kože, srednje svetel ten kože, telo
🖕🏽	dlan, kazati, prst, sredinec, sredinec: srednji ten kože, srednji ten kože, telo
🖕🏾	dlan, kazati, prst, sredinec, sredinec: srednje temen ten kože, srednje temen ten kože, telo
🖕🏿	dlan, kazati, prst, sredinec, sredinec: temen ten kože, telo, temen ten kože
👇️	dlan, dol, hrbtna stran, hrbtna stran dlani s kazalcem, ki kaže dol, kazalec, kazati, prst, telo
👇🏻	dlan, dol, hrbtna stran, hrbtna stran dlani s kazalcem, ki kaže dol, hrbtna stran dlani s kazalcem, ki kaže dol: svetel ten kože, kazalec, kazati, prst, svetel ten kože, telo
👇🏼	dlan, dol, hrbtna stran, hrbtna stran dlani s kazalcem, ki kaže dol, hrbtna stran dlani s kazalcem, ki kaže dol: srednje svetel ten kože, kazalec, kazati, prst, srednje svetel ten kože, telo
👇🏽	dlan, dol, hrbtna stran, hrbtna stran dlani s kazalcem, ki kaže dol, hrbtna stran dlani s kazalcem, ki kaže dol: srednji ten kože, kazalec, kazati, prst, srednji ten kože, telo
👇🏾	dlan, dol, hrbtna stran, hrbtna stran dlani s kazalcem, ki kaže dol, hrbtna stran dlani s kazalcem, ki kaže dol: srednje temen ten kože, kazalec, kazati, prst, srednje temen ten kože, telo
👇🏿	dlan, dol, hrbtna stran, hrbtna stran dlani s kazalcem, ki kaže dol, hrbtna stran dlani s kazalcem, ki kaže dol: temen ten kože, kazalec, kazati, prst, telo, temen ten kože
☝️	dlan, gor, kazalec, kazalec, ki kaže gor, kazati, prst, telo
☝🏻	dlan, gor, kazalec, kazalec, ki kaže gor, kazalec, ki kaže gor: svetel ten kože, kazati, prst, svetel ten kože, telo
☝🏼	dlan, gor, kazalec, kazalec, ki kaže gor, kazalec, ki kaže gor: srednje svetel ten kože, kazati, prst, srednje svetel ten kože, telo
☝🏽	dlan, gor, kazalec, kazalec, ki kaže gor, kazalec, ki kaže gor: srednji ten kože, kazati, prst, srednji ten kože, telo
☝🏾	dlan, gor, kazalec, kazalec, ki kaže gor, kazalec, ki kaže gor: srednje temen ten kože, kazati, prst, srednje temen ten kože, telo
☝🏿	dlan, gor, kazalec, kazalec, ki kaže gor, kazalec, ki kaže gor: temen ten kože, kazati, prst, telo, temen ten kože
👍️	+1, dlan, gor, palec, palec gor, telo
👍🏻	+1, dlan, gor, palec, palec gor: svetel ten kože, svetel ten kože, telo
👍🏼	+1, dlan, gor, palec, palec gor: srednje svetel ten kože, srednje svetel ten kože, telo
👍🏽	+1, dlan, gor, palec, palec gor: srednji ten kože, srednji ten kože, telo
👍🏾	+1, dlan, gor, palec, palec gor: srednje temen ten kože, srednje temen ten kože, telo
👍🏿	+1, dlan, gor, palec, palec gor: temen ten kože, telo, temen ten kože
👎️	-1, dlan, dol, palec, palec dol, telo
👎🏻	-1, dlan, dol, palec, palec dol: svetel ten kože, svetel ten kože, telo
👎🏼	-1, dlan, dol, palec, palec dol: srednje svetel ten kože, srednje svetel ten kože, telo
👎🏽	-1, dlan, dol, palec, palec dol: srednji ten kože, srednji ten kože, telo
👎🏾	-1, dlan, dol, palec, palec dol: srednje temen ten kože, srednje temen ten kože, telo
👎🏿	-1, dlan, dol, palec, palec dol: temen ten kože, telo, temen ten kože
✊	dlan, dvignjena pest, pest, pokrčeno, telo, udarec
✊🏻	dlan, dvignjena pest, dvignjena pest: svetel ten kože, pest, pokrčeno, svetel ten kože, telo, udarec
✊🏼	dlan, dvignjena pest, dvignjena pest: srednje svetel ten kože, pest, pokrčeno, srednje svetel ten kože, telo, udarec
✊🏽	dlan, dvignjena pest, dvignjena pest: srednji ten kože, pest, pokrčeno, srednji ten kože, telo, udarec
✊🏾	dlan, dvignjena pest, dvignjena pest: srednje temen ten kože, pest, pokrčeno, srednje temen ten kože, telo, udarec
✊🏿	dlan, dvignjena pest, dvignjena pest: temen ten kože, pest, pokrčeno, telo, temen ten kože, udarec
👊	bližajoča se pest, dlan, pest, pokrčeno, telo, udarec
👊🏻	bližajoča se pest, bližajoča se pest: svetel ten kože, dlan, pest, pokrčeno, svetel ten kože, telo, udarec
👊🏼	bližajoča se pest, bližajoča se pest: srednje svetel ten kože, dlan, pest, pokrčeno, srednje svetel ten kože, telo, udarec
👊🏽	bližajoča se pest, bližajoča se pest: srednji ten kože, dlan, pest, pokrčeno, srednji ten kože, telo, udarec
👊🏾	bližajoča se pest, bližajoča se pest: srednje temen ten kože, dlan, pest, pokrčeno, srednje temen ten kože, telo, udarec
👊🏿	bližajoča se pest, bližajoča se pest: temen ten kože, dlan, pest, pokrčeno, telo, temen ten kože, udarec
🤛	levo, pest, pest, obrnjena levo
🤛🏻	levo, pest, pest, obrnjena levo, pest, obrnjena levo: svetel ten kože, svetel ten kože
🤛🏼	levo, pest, pest, obrnjena levo, pest, obrnjena levo: srednje svetel ten kože, srednje svetel ten kože
🤛🏽	levo, pest, pest, obrnjena levo, pest, obrnjena levo: srednji ten kože, srednji ten kože
🤛🏾	levo, pest, pest, obrnjena levo, pest, obrnjena levo: srednje temen ten kože, srednje temen ten kože
🤛🏿	levo, pest, pest, obrnjena levo, pest, obrnjena levo: temen ten kože, temen ten kože
🤜	desno, pest, pest, obrnjena desno
🤜🏻	desno, pest, pest, obrnjena desno, pest, obrnjena desno: svetel ten kože, svetel ten kože
🤜🏼	desno, pest, pest, obrnjena desno, pest, obrnjena desno: srednje svetel ten kože, srednje svetel ten kože
🤜🏽	desno, pest, pest, obrnjena desno, pest, obrnjena desno: srednji ten kože, srednji ten kože
🤜🏾	desno, pest, pest, obrnjena desno, pest, obrnjena desno: srednje temen ten kože, srednje temen ten kože
🤜🏿	desno, pest, pest, obrnjena desno, pest, obrnjena desno: temen ten kože, temen ten kože
👏	dlan, ploskajoči dlani, ploskati, telo
👏🏻	dlan, ploskajoči dlani, ploskajoči dlani: svetel ten kože, ploskati, svetel ten kože, telo
👏🏼	dlan, ploskajoči dlani, ploskajoči dlani: srednje svetel ten kože, ploskati, srednje svetel ten kože, telo
👏🏽	dlan, ploskajoči dlani, ploskajoči dlani: srednji ten kože, ploskati, srednji ten kože, telo
👏🏾	dlan, ploskajoči dlani, ploskajoči dlani: srednje temen ten kože, ploskati, srednje temen ten kože, telo
👏🏿	dlan, ploskajoči dlani, ploskajoči dlani: temen ten kože, ploskati, telo, temen ten kože
🙌	dvignjeno, gesta, hura, oseba, ki dvigne roke, roka, slavje, telo
🙌🏻	dvignjeno, gesta, hura, oseba, ki dvigne roke, oseba, ki dvigne roke: svetel ten kože, roka, slavje, svetel ten kože, telo
🙌🏼	dvignjeno, gesta, hura, oseba, ki dvigne roke, oseba, ki dvigne roke: srednje svetel ten kože, roka, slavje, srednje svetel ten kože, telo
🙌🏽	dvignjeno, gesta, hura, oseba, ki dvigne roke, oseba, ki dvigne roke: srednji ten kože, roka, slavje, srednji ten kože, telo
🙌🏾	dvignjeno, gesta, hura, oseba, ki dvigne roke, oseba, ki dvigne roke: srednje temen ten kože, roka, slavje, srednje temen ten kože, telo
🙌🏿	dvignjeno, gesta, hura, oseba, ki dvigne roke, oseba, ki dvigne roke: temen ten kože, roka, slavje, telo, temen ten kože
👐	dlan, odprti dlani, odprto, telo
👐🏻	dlan, odprti dlani, odprti dlani: svetel ten kože, odprto, svetel ten kože, telo
👐🏼	dlan, odprti dlani, odprti dlani: srednje svetel ten kože, odprto, srednje svetel ten kože, telo
