😀	faccina, faccina che sogghigna, faccina con un gran sorriso, risata, sogghignare
😮	bocca, faccina, faccina con bocca aperta, sorpreso, stupito
😯	faccina, faccina sorpresa, sbalordita, sorpresa
😲	faccina, faccina stupita, scioccata, stupita
😳	confuso, faccina, faccina con guance rosse, faccina imbarazzata, imbarazzato
🥺	faccina sull’orlo delle lacrime, implorare, lacrime, quasi in lacrime
😦	bocca aperta, corrucciata, corrucciata con bocca aperta, faccina, faccina imbronciata con bocca aperta
😧	angosciata, faccina, faccina angosciata, sofferente
😨	faccina, faccina impaurita, impaurita, paura
😰	faccina, faccina blu sudata, faccina frettolosa, sudata
😥	deluso, faccina, faccina delusa ma sollevata, sollevato
😢	faccina, faccina che piange, lacrime, piangere, triste
😭	faccina, faccina disperata, lacrime, piangere, pianto
😱	faccina, faccina terrorizzata, grido di paura, paura, terrorizzata
😖	faccina, faccina frustrata, frustrata
😣	faccina, faccina perseverante, perseverante
😞	delusa, delusione, faccina, faccina delusa
😓	delusione, faccina, faccina sudata, sudore
😩	esausta, faccina, faccina esausta, sfinita
😫	faccina, faccina stanca, stanca
🥱	annoiata, annoiate, annoiati, annoiato, faccina che sbadiglia, mi annoio, noia, sbadigliare, sbadiglio, sonno, stanca, stanche, stanchezza, stanchi, stanco
😤	arrabbiarsi, faccina, faccina che sbuffa, sbuffare
😡	arrabbiata, broncio, faccina rossa, imbronciata, muso
😠	arrabbiata, faccina, faccina arrabbiata, rabbia
🤬	faccina con simboli sulla bocca, imprecare
😈	corna, faccina, faccina con sorriso e corna, sorriso
👿	diavolo, faccina, faccina arrabbiata con corna
💀	favola, morte, mostro, teschio
☠️	letale, morte, pericolo, teschio, teschio con ossa incrociate
💩	cacca, popò, pupù
🤡	clown, faccina, faccina pagliaccio, pagliaccio
👹	faccina, favola, mostro, orco, orco giapponese
👺	elfo, folletto, goblin, malefico, mostro
👻	fantasma, favola, halloween, scherzo, storie di fantasmi
👽️	UFO, alieno, extraterrestre, faccina, favola
👾	UFO, faccina, favola, mostro, mostro alieno
🤖	faccina, faccina di robot, robot
😺	aperta, bocca, faccina, gatto, gatto che sorride
😸	faccina, gatto, gatto che sogghigna, gatto con occhi sorridenti, ghigno
😹	faccina, gatto, gatto con lacrime di gioia, gatto lacrime di gioia, gioia, lacrime, lacrime di gioia
😻	amore, cuore, faccina, gatto, gatto innamorato, gatto sorridente con occhi a cuore
😼	faccina, gatto, gatto con sorriso sarcastico, gatto sorriso sarcastico, sarcastico, sorriso ironico
😽	bacio, chiusi, faccina, gatto, gatto che manda baci
🙀	esterrefatto, faccina, gatto, gatto esterrefatto, oh mio Dio
😿	faccina, gatto, gatto che piange, piangere
😾	broncio, faccina, gatto, gatto imbronciato, muso
🙈	non vedo, scimmietta, scimmietta non vedo
🙉	non sento, scimmietta, scimmietta non sento
🙊	non parlo, scimmietta, scimmietta non parlo
💋	bacio, impronta della bocca, labbra, romanticismo, segno delle labbra
💌	busta con cuore, cuore, lettera d’amore, romanticismo
💘	amore, cuore, cuore con freccia, cupido, emozione, freccia
💝	San Valentino, cuore, cuore con fiocco, emozione, fiocco
💖	amore, cuore che luccica, emozionato, emozione, luccichio
💗	amore, cuore, cuore che cresce, emozionato, nervoso
💓	amore, battito, cuore, cuore che batte, pulsazione
💞	adorabile, amore, carino, cuore, cuori che girano
💕	amore, due cuori, emozione, innamorati
💟	cuore, decorazione con cuore
❣️	cuore, punteggiatura, punto esclamativo, punto esclamativo a cuore, simbolo
💔	cuore, cuore infranto, emozione, infranto, spezzato
❤️	amore, cuore rosso, rosso
🧡	arancione, cuore, cuore arancione, emozione
💛	cuore, cuore giallo, emozione, giallo
💚	cuore, cuore verde, emozione, verde
💙	azzurro, cuore, cuore azzurro, emozione
💜	cuore, cuore viola, emozione, viola
🤎	cuore marrone
🖤	cuore, cuore nero, dolore, nero, tristezza
🤍	cuore bianco
💯	100, 100 punti, punteggio pieno, punti
💢	arrabbiato, emozione, fumetto, rabbia, simbolo rabbia
💥	collisione, emozione, fumetto, simbolo collisione
💫	emozione, fumetto, stella con scia, stelle, vedere le stelle, vorticoso
💦	bagno di sudore, emozione, fumetto, gocce di sudore, sudato, sudore
💨	emozione, fuga, fumetto, nuvola di polvere, scappare
🕳️	buco, fumetto, nero
💣️	bomba, emozione, fumetto
💬	dialogo, fumetto
👁‍🗨	fumetto, nuvoletta, occhio, occhio nel fumetto, testimone
🗨️	dialogo, fumetto, nuvoletta, nuvoletta nera
🗯️	dialogo, fumetto, nuvoletta rabbia, rabbia
💭	fumetto, nuvoletta
💤	Zzz, dormire, russare, sonno
👋	mano, mano che saluta, salutare
👋🏻	carnagione chiara, mano, mano che saluta, mano che saluta: carnagione chiara, salutare
👋🏼	carnagione abbastanza chiara, mano, mano che saluta, mano che saluta: carnagione abbastanza chiara, salutare
👋🏽	carnagione olivastra, mano, mano che saluta, mano che saluta: carnagione olivastra, salutare
👋🏾	carnagione abbastanza scura, mano, mano che saluta, mano che saluta: carnagione abbastanza scura, salutare
👋🏿	carnagione scura, mano, mano che saluta, mano che saluta: carnagione scura, salutare
🤚	alzata, dorso mano alzata, mano
🤚🏻	alzata, carnagione chiara, dorso mano alzata, dorso mano alzata: carnagione chiara, mano
🤚🏼	alzata, carnagione abbastanza chiara, dorso mano alzata, dorso mano alzata: carnagione abbastanza chiara, mano
🤚🏽	alzata, carnagione olivastra, dorso mano alzata, dorso mano alzata: carnagione olivastra, mano
🤚🏾	alzata, carnagione abbastanza scura, dorso mano alzata, dorso mano alzata: carnagione abbastanza scura, mano
🤚🏿	alzata, carnagione scura, dorso mano alzata, dorso mano alzata: carnagione scura, mano
🖐️	cinque dita, mano alzata, mano aperta, palmo della mano
🖐🏻	carnagione chiara, cinque dita, mano alzata, mano aperta, mano aperta: carnagione chiara, palmo della mano
🖐🏼	carnagione abbastanza chiara, cinque dita, mano alzata, mano aperta, mano aperta: carnagione abbastanza chiara, palmo della mano
🖐🏽	carnagione olivastra, cinque dita, mano alzata, mano aperta, mano aperta: carnagione olivastra, palmo della mano
🖐🏾	carnagione abbastanza scura, cinque dita, mano alzata, mano aperta, mano aperta: carnagione abbastanza scura, palmo della mano
🖐🏿	carnagione scura, cinque dita, mano alzata, mano aperta, mano aperta: carnagione scura, palmo della mano
✋	alzata, carta, mano, mano alzata
✋🏻	alzata, carnagione chiara, carta, mano, mano alzata: carnagione chiara
✋🏼	alzata, carnagione abbastanza chiara, carta, mano, mano alzata: carnagione abbastanza chiara
✋🏽	alzata, carnagione olivastra, carta, mano, mano alzata: carnagione olivastra
✋🏾	alzata, carnagione abbastanza scura, carta, mano, mano alzata: carnagione abbastanza scura
✋🏿	alzata, carnagione scura, carta, mano, mano alzata: carnagione scura
🖖	Spock, Star Trek, saluto, saluto vulcaniano
🖖🏻	Spock, Star Trek, carnagione chiara, saluto, saluto vulcaniano, saluto vulcaniano: carnagione chiara
🖖🏼	Spock, Star Trek, carnagione abbastanza chiara, saluto, saluto vulcaniano, saluto vulcaniano: carnagione abbastanza chiara
🖖🏽	Spock, Star Trek, carnagione olivastra, saluto, saluto vulcaniano, saluto vulcaniano: carnagione olivastra
🖖🏾	Spock, Star Trek, carnagione abbastanza scura, saluto, saluto vulcaniano, saluto vulcaniano: carnagione abbastanza scura
🖖🏿	Spock, Star Trek, carnagione scura, saluto, saluto vulcaniano, saluto vulcaniano: carnagione scura
👌	OK, mano, mano che fa OK, segno di OK
👌🏻	OK, carnagione chiara, mano, mano che fa OK, mano che fa OK: carnagione chiara, segno di OK
👌🏼	OK, carnagione abbastanza chiara, mano, mano che fa OK, mano che fa OK: carnagione abbastanza chiara, segno di OK
👌🏽	OK, carnagione olivastra, mano, mano che fa OK, mano che fa OK: carnagione olivastra, segno di OK
👌🏾	OK, carnagione abbastanza scura, mano, mano che fa OK, mano che fa OK: carnagione abbastanza scura, segno di OK
👌🏿	OK, carnagione scura, mano, mano che fa OK, mano che fa OK: carnagione scura, segno di OK
🤏	mano che fa il gesto del pizzico, piccola quantità, poco, un pochino, un po’
🤏🏻	carnagione chiara, mano che fa il gesto del pizzico, mano che fa il gesto del pizzico: carnagione chiara, piccola quantità, poco, un pochino, un po’
🤏🏼	carnagione abbastanza chiara, mano che fa il gesto del pizzico, mano che fa il gesto del pizzico: carnagione abbastanza chiara, piccola quantità, poco, un pochino, un po’
🤏🏽	carnagione olivastra, mano che fa il gesto del pizzico, mano che fa il gesto del pizzico: carnagione olivastra, piccola quantità, poco, un pochino, un po’
🤏🏾	carnagione abbastanza scura, mano che fa il gesto del pizzico, mano che fa il gesto del pizzico: carnagione abbastanza scura, piccola quantità, poco, un pochino, un po’
🤏🏿	carnagione scura, mano che fa il gesto del pizzico, mano che fa il gesto del pizzico: carnagione scura, piccola quantità, poco, un pochino, un po’
✌️	forbice, mano, segno di vittoria, vittoria, yeah
✌🏻	carnagione chiara, forbice, mano, segno di vittoria, vittoria, vittoria: carnagione chiara, yeah
✌🏼	carnagione abbastanza chiara, forbice, mano, segno di vittoria, vittoria, vittoria: carnagione abbastanza chiara, yeah
✌🏽	carnagione olivastra, forbice, mano, segno di vittoria, vittoria, vittoria: carnagione olivastra, yeah
✌🏾	carnagione abbastanza scura, forbice, mano, segno di vittoria, vittoria, vittoria: carnagione abbastanza scura, yeah
✌🏿	carnagione scura, forbice, mano, segno di vittoria, vittoria, vittoria: carnagione scura, yeah
🤞	dita, dita incrociate, fortuna, incrociare, mano
🤞🏻	carnagione chiara, dita, dita incrociate, dita incrociate: carnagione chiara, fortuna, incrociare, mano
🤞🏼	carnagione abbastanza chiara, dita, dita incrociate, dita incrociate: carnagione abbastanza chiara, fortuna, incrociare, mano
🤞🏽	carnagione olivastra, dita, dita incrociate, dita incrociate: carnagione olivastra, fortuna, incrociare, mano
🤞🏾	carnagione abbastanza scura, dita, dita incrociate, dita incrociate: carnagione abbastanza scura, fortuna, incrociare, mano
🤞🏿	carnagione scura, dita, dita incrociate, dita incrociate: carnagione scura, fortuna, incrociare, mano
🤟	gesto ti amo, gesto tvb
🤟🏻	carnagione chiara, gesto ti amo, gesto ti amo: carnagione chiara, gesto tvb
🤟🏼	carnagione abbastanza chiara, gesto ti amo, gesto ti amo: carnagione abbastanza chiara, gesto tvb
🤟🏽	carnagione olivastra, gesto ti amo, gesto ti amo: carnagione olivastra, gesto tvb
🤟🏾	carnagione abbastanza scura, gesto ti amo, gesto ti amo: carnagione abbastanza scura, gesto tvb
🤟🏿	carnagione scura, gesto ti amo, gesto ti amo: carnagione scura, gesto tvb
🤘	corna, fare le corna, rock and roll, segno delle corna
🤘🏻	carnagione chiara, corna, fare le corna, rock and roll, segno delle corna, segno delle corna: carnagione chiara
🤘🏼	carnagione abbastanza chiara, corna, fare le corna, rock and roll, segno delle corna, segno delle corna: carnagione abbastanza chiara
🤘🏽	carnagione olivastra, corna, fare le corna, rock and roll, segno delle corna, segno delle corna: carnagione olivastra
🤘🏾	carnagione abbastanza scura, corna, fare le corna, rock and roll, segno delle corna, segno delle corna: carnagione abbastanza scura
🤘🏿	carnagione scura, corna, fare le corna, rock and roll, segno delle corna, segno delle corna: carnagione scura
🤙	chiamare, mano, mano con gesto di chiamata, telefonare
🤙🏻	carnagione chiara, chiamare, mano, mano con gesto di chiamata, mano con gesto di chiamata: carnagione chiara, telefonare
🤙🏼	carnagione abbastanza chiara, chiamare, mano, mano con gesto di chiamata, mano con gesto di chiamata: carnagione abbastanza chiara, telefonare
🤙🏽	carnagione olivastra, chiamare, mano, mano con gesto di chiamata, mano con gesto di chiamata: carnagione olivastra, telefonare
🤙🏾	carnagione abbastanza scura, chiamare, mano, mano con gesto di chiamata, mano con gesto di chiamata: carnagione abbastanza scura, telefonare
🤙🏿	carnagione scura, chiamare, mano, mano con gesto di chiamata, mano con gesto di chiamata: carnagione scura, telefonare
👈️	dito, dito indice, dito verso sinistra, indice verso sinistra
👈🏻	carnagione chiara, dito, dito indice, dito verso sinistra, indice verso sinistra, indice verso sinistra: carnagione chiara
👈🏼	carnagione abbastanza chiara, dito, dito indice, dito verso sinistra, indice verso sinistra, indice verso sinistra: carnagione abbastanza chiara
👈🏽	carnagione olivastra, dito, dito indice, dito verso sinistra, indice verso sinistra, indice verso sinistra: carnagione olivastra
👈🏾	carnagione abbastanza scura, dito, dito indice, dito verso sinistra, indice verso sinistra, indice verso sinistra: carnagione abbastanza scura
👈🏿	carnagione scura, dito, dito indice, dito verso sinistra, indice verso sinistra, indice verso sinistra: carnagione scura
👉️	dito, dito indice, dito verso destra, indice verso destra
👉🏻	carnagione chiara, dito, dito indice, dito verso destra, indice verso destra, indice verso destra: carnagione chiara
👉🏼	carnagione abbastanza chiara, dito, dito indice, dito verso destra, indice verso destra, indice verso destra: carnagione abbastanza chiara
👉🏽	carnagione olivastra, dito, dito indice, dito verso destra, indice verso destra, indice verso destra: carnagione olivastra
👉🏾	carnagione abbastanza scura, dito, dito indice, dito verso destra, indice verso destra, indice verso destra: carnagione abbastanza scura
👉🏿	carnagione scura, dito, dito indice, dito verso destra, indice verso destra, indice verso destra: carnagione scura
👆️	dito alzato, dito in su, dito indice, indice alzato, indice in su
👆🏻	carnagione chiara, dito alzato, dito in su, dito indice, indice alzato, indice alzato: carnagione chiara, indice in su
👆🏼	carnagione abbastanza chiara, dito alzato, dito in su, dito indice, indice alzato, indice alzato: carnagione abbastanza chiara, indice in su
👆🏽	carnagione olivastra, dito alzato, dito in su, dito indice, indice alzato, indice alzato: carnagione olivastra, indice in su
👆🏾	carnagione abbastanza scura, dito alzato, dito in su, dito indice, indice alzato, indice alzato: carnagione abbastanza scura, indice in su
👆🏿	carnagione scura, dito alzato, dito in su, dito indice, indice alzato, indice alzato: carnagione scura, indice in su
🖕	dito medio, insulto, offendere
🖕🏻	carnagione chiara, dito medio, dito medio: carnagione chiara, insulto, offendere
🖕🏼	carnagione abbastanza chiara, dito medio, dito medio: carnagione abbastanza chiara, insulto, offendere
🖕🏽	carnagione olivastra, dito medio, dito medio: carnagione olivastra, insulto, offendere
🖕🏾	carnagione abbastanza scura, dito medio, dito medio: carnagione abbastanza scura, insulto, offendere
🖕🏿	carnagione scura, dito medio, dito medio: carnagione scura, insulto, offendere
👇️	dito abbassato, dito in giù, dito indice, indice abbassato, indice in giù
👇🏻	carnagione chiara, dito abbassato, dito in giù, dito indice, indice abbassato, indice abbassato: carnagione chiara, indice in giù
👇🏼	carnagione abbastanza chiara, dito abbassato, dito in giù, dito indice, indice abbassato, indice abbassato: carnagione abbastanza chiara, indice in giù
👇🏽	carnagione olivastra, dito abbassato, dito in giù, dito indice, indice abbassato, indice abbassato: carnagione olivastra, indice in giù
👇🏾	carnagione abbastanza scura, dito abbassato, dito in giù, dito indice, indice abbassato, indice abbassato: carnagione abbastanza scura, indice in giù
👇🏿	carnagione scura, dito abbassato, dito in giù, dito indice, indice abbassato, indice abbassato: carnagione scura, indice in giù
☝️	dito, dito verso l’alto, indicare, indice verso l’alto, tu
☝🏻	carnagione chiara, dito, dito verso l’alto, indicare, indice verso l’alto, indice verso l’alto: carnagione chiara, tu
☝🏼	carnagione abbastanza chiara, dito, dito verso l’alto, indicare, indice verso l’alto, indice verso l’alto: carnagione abbastanza chiara, tu
☝🏽	carnagione olivastra, dito, dito verso l’alto, indicare, indice verso l’alto, indice verso l’alto: carnagione olivastra, tu
☝🏾	carnagione abbastanza scura, dito, dito verso l’alto, indicare, indice verso l’alto, indice verso l’alto: carnagione abbastanza scura, tu
☝🏿	carnagione scura, dito, dito verso l’alto, indicare, indice verso l’alto, indice verso l’alto: carnagione scura, tu
👍️	mano, pollice, pollice in su, segno, su
👍🏻	carnagione chiara, mano, pollice, pollice in su, pollice in su: carnagione chiara, segno, su
👍🏼	carnagione abbastanza chiara, mano, pollice, pollice in su, pollice in su: carnagione abbastanza chiara, segno, su
👍🏽	carnagione olivastra, mano, pollice, pollice in su, pollice in su: carnagione olivastra, segno, su
👍🏾	carnagione abbastanza scura, mano, pollice, pollice in su, pollice in su: carnagione abbastanza scura, segno, su
👍🏿	carnagione scura, mano, pollice, pollice in su, pollice in su: carnagione scura, segno, su
👎️	giù, mano, pollice, pollice in giù, pollice verso
👎🏻	carnagione chiara, giù, mano, pollice, pollice in giù, pollice verso, pollice verso: carnagione chiara
👎🏼	carnagione abbastanza chiara, giù, mano, pollice, pollice in giù, pollice verso, pollice verso: carnagione abbastanza chiara
👎🏽	carnagione olivastra, giù, mano, pollice, pollice in giù, pollice verso, pollice verso: carnagione olivastra
👎🏾	carnagione abbastanza scura, giù, mano, pollice, pollice in giù, pollice verso, pollice verso: carnagione abbastanza scura
👎🏿	carnagione scura, giù, mano, pollice, pollice in giù, pollice verso, pollice verso: carnagione scura
✊	alzato, pugno, sasso
✊🏻	alzato, carnagione chiara, pugno, pugno: carnagione chiara, sasso
✊🏼	alzato, carnagione abbastanza chiara, pugno, pugno: carnagione abbastanza chiara, sasso
✊🏽	alzato, carnagione olivastra, pugno, pugno: carnagione olivastra, sasso
✊🏾	alzato, carnagione abbastanza scura, pugno, pugno: carnagione abbastanza scura, sasso
✊🏿	alzato, carnagione scura, pugno, pugno: carnagione scura, sasso
👊	mano, pugno, pugno chiuso
👊🏻	carnagione chiara, mano, pugno, pugno chiuso, pugno chiuso: carnagione chiara
👊🏼	carnagione abbastanza chiara, mano, pugno, pugno chiuso, pugno chiuso: carnagione abbastanza chiara
👊🏽	carnagione olivastra, mano, pugno, pugno chiuso, pugno chiuso: carnagione olivastra
👊🏾	carnagione abbastanza scura, mano, pugno, pugno chiuso, pugno chiuso: carnagione abbastanza scura
👊🏿	carnagione scura, mano, pugno, pugno chiuso, pugno chiuso: carnagione scura
🤛	pugno, pugno a sinistra, sinistra
🤛🏻	carnagione chiara, pugno, pugno a sinistra, pugno a sinistra: carnagione chiara, sinistra
🤛🏼	carnagione abbastanza chiara, pugno, pugno a sinistra, pugno a sinistra: carnagione abbastanza chiara, sinistra
🤛🏽	carnagione olivastra, pugno, pugno a sinistra, pugno a sinistra: carnagione olivastra, sinistra
🤛🏾	carnagione abbastanza scura, pugno, pugno a sinistra, pugno a sinistra: carnagione abbastanza scura, sinistra
🤛🏿	carnagione scura, pugno, pugno a sinistra, pugno a sinistra: carnagione scura, sinistra
🤜	destra, pugno, pugno a destra
🤜🏻	carnagione chiara, destra, pugno, pugno a destra, pugno a destra: carnagione chiara
🤜🏼	carnagione abbastanza chiara, destra, pugno, pugno a destra, pugno a destra: carnagione abbastanza chiara
🤜🏽	carnagione olivastra, destra, pugno, pugno a destra, pugno a destra: carnagione olivastra
🤜🏾	carnagione abbastanza scura, destra, pugno, pugno a destra, pugno a destra: carnagione abbastanza scura
🤜🏿	carnagione scura, destra, pugno, pugno a destra, pugno a destra: carnagione scura
👏	applaudire, applauso, mani, mani che applaudono
👏🏻	applaudire, applauso, carnagione chiara, mani, mani che applaudono, mani che applaudono: carnagione chiara
👏🏼	applaudire, applauso, carnagione abbastanza chiara, mani, mani che applaudono, mani che applaudono: carnagione abbastanza chiara
👏🏽	applaudire, applauso, carnagione olivastra, mani, mani che applaudono, mani che applaudono: carnagione olivastra
👏🏾	applaudire, applauso, carnagione abbastanza scura, mani, mani che applaudono, mani che applaudono: carnagione abbastanza scura
👏🏿	applaudire, applauso, carnagione scura, mani, mani che applaudono, mani che applaudono: carnagione scura
🙌	evviva, mani, mani alzate, urrà, vittoria
🙌🏻	carnagione chiara, evviva, mani, mani alzate, mani alzate: carnagione chiara, urrà, vittoria
🙌🏼	carnagione abbastanza chiara, evviva, mani, mani alzate, mani alzate: carnagione abbastanza chiara, urrà, vittoria
🙌🏽	carnagione olivastra, evviva, mani, mani alzate, mani alzate: carnagione olivastra, urrà, vittoria
🙌🏾	carnagione abbastanza scura, evviva, mani, mani alzate, mani alzate: carnagione abbastanza scura, urrà, vittoria
🙌🏿	carnagione scura, evviva, mani, mani alzate, mani alzate: carnagione scura, urrà, vittoria
👐	aperta, mani aperte, mano, segno, segno delle mani aperte
👐🏻	aperta, carnagione chiara, mani aperte, mani aperte: carnagione chiara, mano, segno, segno delle mani aperte
👐🏼	aperta, carnagione abbastanza chiara, mani aperte, mani aperte: carnagione abbastanza chiara, mano, segno, segno delle mani aperte
👐🏽	aperta, carnagione olivastra, mani aperte, mani aperte: carnagione olivastra, mano, segno, segno delle mani aperte
👐🏾	aperta, carnagione abbastanza scura, mani aperte, mani aperte: carnagione abbastanza scura, mano, segno, segno delle mani aperte
👐🏿	aperta, carnagione scura, mani aperte, mani aperte: carnagione scura, mano, segno, segno delle mani aperte
🤲	mani unite in alto, preghiera
🤲🏻	carnagione chiara, mani unite in alto, mani unite in alto: carnagione chiara, preghiera
🤲🏼	carnagione abbastanza chiara, mani unite in alto, mani unite in alto: carnagione abbastanza chiara, preghiera
🤲🏽	carnagione olivastra, mani unite in alto, mani unite in alto: carnagione olivastra, preghiera
🤲🏾	carnagione abbastanza scura, mani unite in alto, mani unite in alto: carnagione abbastanza scura, preghiera
🤲🏿	carnagione scura, mani unite in alto, mani unite in alto: carnagione scura, preghiera
🤝	conoscere, mano, presentarsi, stretta di mano
🙏	gesto, mani giunte, mano, pregare, preghiera
🙏🏻	carnagione chiara, gesto, mani giunte, mani giunte: carnagione chiara, mano, pregare, preghiera
🙏🏼	carnagione abbastanza chiara, gesto, mani giunte, mani giunte: carnagione abbastanza chiara, mano, pregare, preghiera
🙏🏽	carnagione olivastra, gesto, mani giunte, mani giunte: carnagione olivastra, mano, pregare, preghiera
🙏🏾	carnagione abbastanza scura, gesto, mani giunte, mani giunte: carnagione abbastanza scura, mano, pregare, preghiera
🙏🏿	carnagione scura, gesto, mani giunte, mani giunte: carnagione scura, mano, pregare, preghiera
✍️	mano che scrive, scrivere, scrivere a mano
✍🏻	carnagione chiara, mano che scrive, mano che scrive: carnagione chiara, scrivere, scrivere a mano
✍🏼	carnagione abbastanza chiara, mano che scrive, mano che scrive: carnagione abbastanza chiara, scrivere, scrivere a mano
✍🏽	carnagione olivastra, mano che scrive, mano che scrive: carnagione olivastra, scrivere, scrivere a mano
✍🏾	carnagione abbastanza scura, mano che scrive, mano che scrive: carnagione abbastanza scura, scrivere, scrivere a mano
✍🏿	carnagione scura, mano che scrive, mano che scrive: carnagione scura, scrivere, scrivere a mano
💅	cosmetici, manicure, smalto, smalto per unghie
💅🏻	carnagione chiara, cosmetici, manicure, smalto, smalto per unghie, smalto per unghie: carnagione chiara
💅🏼	carnagione abbastanza chiara, cosmetici, manicure, smalto, smalto per unghie, smalto per unghie: carnagione abbastanza chiara
💅🏽	carnagione olivastra, cosmetici, manicure, smalto, smalto per unghie, smalto per unghie: carnagione olivastra
💅🏾	carnagione abbastanza scura, cosmetici, manicure, smalto, smalto per unghie, smalto per unghie: carnagione abbastanza scura
💅🏿	carnagione scura, cosmetici, manicure, smalto, smalto per unghie, smalto per unghie: carnagione scura
🤳	autoscatto, fotocamera, selfie, telefono
🤳🏻	autoscatto, carnagione chiara, fotocamera, selfie, selfie: carnagione chiara, telefono
🤳🏼	autoscatto, carnagione abbastanza chiara, fotocamera, selfie, selfie: carnagione abbastanza chiara, telefono
🤳🏽	autoscatto, carnagione olivastra, fotocamera, selfie, selfie: carnagione olivastra, telefono
🤳🏾	autoscatto, carnagione abbastanza scura, fotocamera, selfie, selfie: carnagione abbastanza scura, telefono
🤳🏿	autoscatto, carnagione scura, fotocamera, selfie, selfie: carnagione scura, telefono
💪	bicipite, forte, fumetto, muscolo, teso
💪🏻	bicipite, bicipite: carnagione chiara, carnagione chiara, forte, fumetto, muscolo, teso
