😀	зубы, усмешка, шырока ўсміхаецца
😎	акуляры, круты, сонца, усмешка, усміхаецца ў сонечных акулярах
🤓	батан, гік, задрот, нёрд
🧐	нудны, твар з маноклем
😕	азадачаны, збіты з панталыку, разгублены, разгублены твар
😟	занепакоены, занепакоены твар, устрывожаны
🙁	засмучэнне, злёгку засмучаны твар, нахмураны
☹️	засмучаны твар, засмучэнне, нахмураны
😮	адкрыты, рот, спачуванне, твар з адкрытым ротам
😯	ашаломлены, здзіўлены, змоўклы, змоўклы твар
😲	здзіўлены, здзіўлены твар, цалкам, шакіраваны
😳	збянтэжаны, збянтэжаны твар, здранцвелы
🥺	моліць, просіць, умольвае, шчанячы позірк
😦	адкрыты, засмучаны твар з адкрытым ротам, засмучэнне, нахмураны, рот
😧	пакута, пакутны твар, туга
😨	жах, напалоханы, напалоханы твар, напужаны, страх
😰	пот, рот, стома, сіні, твар з адкрытым ротам і халодным потам на лбе
😥	вух, палёгка, расчараванне з палёгкай, расчараваны
😢	плач, плача, слёзы, сумны
😭	плача ўголас, рыданне, слёзы, сумны
😱	жах, крык, напалоханы, спалохана крычыць, страх
😖	безвыходнасць, бязвыхадны, гамон, тупік
😣	настойваць, упартасць, упарты твар
😞	засмучэнне, расчараванне, расчараваны твар
😓	няёмкасць, пот, халодны, халодны пот на твары
😩	змораны, змораны твар, стомлены
😫	стомлены, стомлены твар
🥱	нуда, пазяхае, пазяханне, стома
😤	пар з носа, пераможца, трыумф, упартасць
😡	злы, лютасць, надзьмуты, надзьмуты твар, чырвоны
😠	злуецца, злы, люты, шалёны
🤬	лаецца, твар са знакамі на роце
😈	казачны, рагацік з усмешкай, рогі, усмешка
👿	дэман, д’ябал, казачны, нячысцік, чорт
💀	казачны, монстр, смерць, чэрап
☠️	косці, монстр, пірат, смерць, чэрап і косці
💩	какашка, камічны, фекаліі, фу
🤡	клоун, твар, твар клоуна
👹	казачны, людажэр, монстр, стварэнне, японскі
👺	гоблін, казачны, монстр, стварэнне, японскі
👻	бу, казачны, монстр, прывід, стварэнне
👽️	НЛА, космас, пазаземны, стварэнне, іншапланецянін
👾	космас, монстр, монстр-іншапланецянін, пазаземны, стварэнне
🤖	монстр, паўстанне машын, робат
😺	адкрыты, кот, кот усміхаецца, адкрыўшы рот, рот, усмешка
😸	вочы, зубы, кот, кот шырока ўсміхаецца, прыплюснуўшы вочы, усмешка
😹	зубы, кот, кот плача ад шчасця, слёзы, смех
😻	закаханы кот, каханне, кот, сэрца, усмешка
😼	кот, кот са скрыўленай усмешкай, скрыўлены, усмешка, іранічны
😽	вочы, кот, кот цалуе, закрыўшы вочы, пацалунак
🙀	здзіўлены, змораны, змораны кот, кот, ох
😿	кот, кот плача, плач, слёзы, сумны
😾	кот, крыўда, надзьмуты, надзьмуты кот
🙈	бачыць, жэст, забаронена, малпа, нічога не бачу
🙉	жэст, забаронена, малпа, нічога не чую, чуць
🙊	жэст, забаронена, малпа, нічога не скажу, размаўляць
💋	губы, пацалунак, след ад пацалунку
💌	каханне, любоўны ліст, ліст, пошта, сэрца
💘	купідон, страла, страла ў сэрцы, сэрца
💝	валянцінка, стужка, сэрца, сэрца са стужачкай
💖	бляск, бліскучае сэрца, захапленне, зіхаценне, сэрца
💗	біццё, захапленне, сэрца, сэрца, якое павялічваецца, хваляванне
💓	біццё, пульсуючае сэрца, сэрца, сэрцабіцце, хваляванне
💞	кручэнне, сэрцы, сэрцы, якія круцяцца
💕	два сэрцы, каханне, сэрцы
💟	стылізаванае сэрца, сэрца
❣️	знак, знак прыпынку, клічнік, клічнік у форме сэрца, сэрца
💔	разбітае, разбітае сэрца, расчараванне, сэрца
❤️	сэрца, чырвонае сэрца
🧡	аранжавае сэрца, аранжавы
💛	жоўтае сэрца, жоўты, сэрца
💚	зялёнае сэрца, зялёны, сэрца
💙	сэрца, сіняе сэрца, сіні
💜	сэрца, фіялетавае сэрца, фіялетавы
🤎	карычневае, карычневае сэрца, сэрца
🖤	злосць, сэрца, чорнае, чорнае сэрца
🤍	белае, белае сэрца, сэрца
💯	100, ачкоў, максімум, сто, сто ачкоў
💢	злы, камічны, раздражненне, сімвал злосці, шалёны
💥	бабах, бум, выбух, камічны
💫	галавакружэнне, зоркі, камічны, прытомнасць
💦	камічны, пот, пырскі, пырскі поту
💨	бег, знікненне, камічны, рывок
🕳️	дзірка
💣️	бомба, камічны
💬	бурбалка, воблачка, воблачка з тэкстам, дыялог, камічны
👁‍🗨	вока, значок сведкі, сведка, супраць гвалту
🗨️	бурбалка з тэкстам злева, дыялог, маўленне
🗯️	бурбалка, бурбалка з абурэннем справа, воблачка, злы, шалёны
💭	бурбалка, воблачка, воблачка з думкамі, думкі, камічны
💤	камічны, сон, храп
👋	вітаю, махае рукой, маханне, рука
👋🏻	вітаю, махае рукой, махае рукой: светлы тон скуры, маханне, рука, светлы тон скуры
👋🏼	вітаю, махае рукой, махае рукой: сярэдне-светлы тон скуры, маханне, рука, сярэдне-светлы тон скуры
👋🏽	вітаю, махае рукой, махае рукой: сярэдні тон скуры, маханне, рука, сярэдні тон скуры
👋🏾	вітаю, махае рукой, махае рукой: сярэдне-цёмны тон скуры, маханне, рука, сярэдне-цёмны тон скуры
👋🏿	вітаю, махае рукой, махае рукой: цёмны тон скуры, маханне, рука, цёмны тон скуры
🤚	далонь, паднятая, паднятая далонь
🤚🏻	далонь, паднятая, паднятая далонь: светлы тон скуры, светлы тон скуры
🤚🏼	далонь, паднятая, паднятая далонь: сярэдне-светлы тон скуры, сярэдне-светлы тон скуры
🤚🏽	далонь, паднятая, паднятая далонь: сярэдні тон скуры, сярэдні тон скуры
🤚🏾	далонь, паднятая, паднятая далонь: сярэдне-цёмны тон скуры, сярэдне-цёмны тон скуры
🤚🏿	далонь, паднятая, паднятая далонь: цёмны тон скуры, цёмны тон скуры
🖐️	паднятая рука з растапыранымі пальцамі, пальцы, растапырванне, рука
🖐🏻	паднятая рука з растапыранымі пальцамі, паднятая рука з растапыранымі пальцамі: светлы тон скуры, пальцы, растапырванне, рука, светлы тон скуры
🖐🏼	паднятая рука з растапыранымі пальцамі, паднятая рука з растапыранымі пальцамі: сярэдне-светлы тон скуры, пальцы, растапырванне, рука, сярэдне-светлы тон скуры
🖐🏽	паднятая рука з растапыранымі пальцамі, паднятая рука з растапыранымі пальцамі: сярэдні тон скуры, пальцы, растапырванне, рука, сярэдні тон скуры
🖐🏾	паднятая рука з растапыранымі пальцамі, паднятая рука з растапыранымі пальцамі: сярэдне-цёмны тон скуры, пальцы, растапырванне, рука, сярэдне-цёмны тон скуры
🖐🏿	паднятая рука з растапыранымі пальцамі, паднятая рука з растапыранымі пальцамі: цёмны тон скуры, пальцы, растапырванне, рука, цёмны тон скуры
✋	паднятая рука, рука, стоп, цела
✋🏻	паднятая рука, паднятая рука: светлы тон скуры, рука, светлы тон скуры, стоп, цела
✋🏼	паднятая рука, паднятая рука: сярэдне-светлы тон скуры, рука, стоп, сярэдне-светлы тон скуры, цела
✋🏽	паднятая рука, паднятая рука: сярэдні тон скуры, рука, стоп, сярэдні тон скуры, цела
✋🏾	паднятая рука, паднятая рука: сярэдне-цёмны тон скуры, рука, стоп, сярэдне-цёмны тон скуры, цела
✋🏿	паднятая рука, паднятая рука: цёмны тон скуры, рука, стоп, цела, цёмны тон скуры
🖖	вулканскі салют, жэст, спок, стартрэк
🖖🏻	вулканскі салют, вулканскі салют: светлы тон скуры, жэст, светлы тон скуры, спок, стартрэк
🖖🏼	вулканскі салют, вулканскі салют: сярэдне-светлы тон скуры, жэст, спок, стартрэк, сярэдне-светлы тон скуры
🖖🏽	вулканскі салют, вулканскі салют: сярэдні тон скуры, жэст, спок, стартрэк, сярэдні тон скуры
🖖🏾	вулканскі салют, вулканскі салют: сярэдне-цёмны тон скуры, жэст, спок, стартрэк, сярэдне-цёмны тон скуры
🖖🏿	вулканскі салют, вулканскі салют: цёмны тон скуры, жэст, спок, стартрэк, цёмны тон скуры
👌	добра, жэст, жэст «ОК», ок, рука
👌🏻	добра, жэст, жэст «ОК», жэст «ОК»: светлы тон скуры, ок, рука, светлы тон скуры
👌🏼	добра, жэст, жэст «ОК», жэст «ОК»: сярэдне-светлы тон скуры, ок, рука, сярэдне-светлы тон скуры
👌🏽	добра, жэст, жэст «ОК», жэст «ОК»: сярэдні тон скуры, ок, рука, сярэдні тон скуры
👌🏾	добра, жэст, жэст «ОК», жэст «ОК»: сярэдне-цёмны тон скуры, ок, рука, сярэдне-цёмны тон скуры
👌🏿	добра, жэст, жэст «ОК», жэст «ОК»: цёмны тон скуры, ок, рука, цёмны тон скуры
🤏	маленькая колькасць, шчыпок
🤏🏻	маленькая колькасць, светлы тон скуры, шчыпок, шчыпок: светлы тон скуры
🤏🏼	маленькая колькасць, сярэдне-светлы тон скуры, шчыпок, шчыпок: сярэдне-светлы тон скуры
🤏🏽	маленькая колькасць, сярэдні тон скуры, шчыпок, шчыпок: сярэдні тон скуры
🤏🏾	маленькая колькасць, сярэдне-цёмны тон скуры, шчыпок, шчыпок: сярэдне-цёмны тон скуры
🤏🏿	маленькая колькасць, цёмны тон скуры, шчыпок, шчыпок: цёмны тон скуры
✌️	жэст, жэст перамогі, рука
✌🏻	жэст, жэст перамогі, жэст перамогі: светлы тон скуры, рука, светлы тон скуры
✌🏼	жэст, жэст перамогі, жэст перамогі: сярэдне-светлы тон скуры, рука, сярэдне-светлы тон скуры
✌🏽	жэст, жэст перамогі, жэст перамогі: сярэдні тон скуры, рука, сярэдні тон скуры
✌🏾	жэст, жэст перамогі, жэст перамогі: сярэдне-цёмны тон скуры, рука, сярэдне-цёмны тон скуры
✌🏿	жэст, жэст перамогі, жэст перамогі: цёмны тон скуры, рука, цёмны тон скуры
🤞	скрыжаваныя пальцы, удача
🤞🏻	светлы тон скуры, скрыжаваныя пальцы, скрыжаваныя пальцы: светлы тон скуры, удача
🤞🏼	скрыжаваныя пальцы, скрыжаваныя пальцы: сярэдне-светлы тон скуры, сярэдне-светлы тон скуры, удача
🤞🏽	скрыжаваныя пальцы, скрыжаваныя пальцы: сярэдні тон скуры, сярэдні тон скуры, удача
🤞🏾	скрыжаваныя пальцы, скрыжаваныя пальцы: сярэдне-цёмны тон скуры, сярэдне-цёмны тон скуры, удача
🤞🏿	скрыжаваныя пальцы, скрыжаваныя пальцы: цёмны тон скуры, удача, цёмны тон скуры
🤟	ILY, жэст «люблю цябе», рука
🤟🏻	ILY, жэст «люблю цябе», жэст «люблю цябе»: светлы тон скуры, рука, светлы тон скуры
🤟🏼	ILY, жэст «люблю цябе», жэст «люблю цябе»: сярэдне-светлы тон скуры, рука, сярэдне-светлы тон скуры
🤟🏽	ILY, жэст «люблю цябе», жэст «люблю цябе»: сярэдні тон скуры, рука, сярэдні тон скуры
🤟🏾	ILY, жэст «люблю цябе», жэст «люблю цябе»: сярэдне-цёмны тон скуры, рука, сярэдне-цёмны тон скуры
🤟🏿	ILY, жэст «люблю цябе», жэст «люблю цябе»: цёмны тон скуры, рука, цёмны тон скуры
🤘	жыве рок, жэст «каза», пальцы, рогі, цела
🤘🏻	жыве рок, жэст «каза», жэст «каза»: светлы тон скуры, пальцы, рогі, светлы тон скуры, цела
🤘🏼	жыве рок, жэст «каза», жэст «каза»: сярэдне-светлы тон скуры, пальцы, рогі, сярэдне-светлы тон скуры, цела
🤘🏽	жыве рок, жэст «каза», жэст «каза»: сярэдні тон скуры, пальцы, рогі, сярэдні тон скуры, цела
🤘🏾	жыве рок, жэст «каза», жэст «каза»: сярэдне-цёмны тон скуры, пальцы, рогі, сярэдне-цёмны тон скуры, цела
🤘🏿	жыве рок, жэст «каза», жэст «каза»: цёмны тон скуры, пальцы, рогі, цела, цёмны тон скуры
🤙	жэст, пазвані, пазвані мне, рука
🤙🏻	жэст, пазвані, пазвані мне, пазвані мне: светлы тон скуры, рука, светлы тон скуры
🤙🏼	жэст, пазвані, пазвані мне, пазвані мне: сярэдне-светлы тон скуры, рука, сярэдне-светлы тон скуры
🤙🏽	жэст, пазвані, пазвані мне, пазвані мне: сярэдні тон скуры, рука, сярэдні тон скуры
🤙🏾	жэст, пазвані, пазвані мне, пазвані мне: сярэдне-цёмны тон скуры, рука, сярэдне-цёмны тон скуры
🤙🏿	жэст, пазвані, пазвані мне, пазвані мне: цёмны тон скуры, рука, цёмны тон скуры
👈️	палец, рука, указальны палец улева, улева, цела
👈🏻	палец, рука, светлы тон скуры, указальны палец улева, указальны палец улева: светлы тон скуры, улева, цела
👈🏼	палец, рука, сярэдне-светлы тон скуры, указальны палец улева, указальны палец улева: сярэдне-светлы тон скуры, улева, цела
👈🏽	палец, рука, сярэдні тон скуры, указальны палец улева, указальны палец улева: сярэдні тон скуры, улева, цела
👈🏾	палец, рука, сярэдне-цёмны тон скуры, указальны палец улева, указальны палец улева: сярэдне-цёмны тон скуры, улева, цела
👈🏿	палец, рука, указальны палец улева, указальны палец улева: цёмны тон скуры, улева, цела, цёмны тон скуры
👉️	палец, рука, указальны палец управа, управа, цела
👉🏻	палец, рука, светлы тон скуры, указальны палец управа, указальны палец управа: светлы тон скуры, управа, цела
👉🏼	палец, рука, сярэдне-светлы тон скуры, указальны палец управа, указальны палец управа: сярэдне-светлы тон скуры, управа, цела
👉🏽	палец, рука, сярэдні тон скуры, указальны палец управа, указальны палец управа: сярэдні тон скуры, управа, цела
👉🏾	палец, рука, сярэдне-цёмны тон скуры, указальны палец управа, указальны палец управа: сярэдне-цёмны тон скуры, управа, цела
👉🏿	палец, рука, указальны палец управа, указальны палец управа: цёмны тон скуры, управа, цела, цёмны тон скуры
👆️	далонь тылам з указальным пальцам уверх, палец, рука, уверх, цела
👆🏻	далонь тылам з указальным пальцам уверх, далонь тылам з указальным пальцам уверх: светлы тон скуры, палец, рука, светлы тон скуры, уверх, цела
👆🏼	далонь тылам з указальным пальцам уверх, далонь тылам з указальным пальцам уверх: сярэдне-светлы тон скуры, палец, рука, сярэдне-светлы тон скуры, уверх, цела
👆🏽	далонь тылам з указальным пальцам уверх, далонь тылам з указальным пальцам уверх: сярэдні тон скуры, палец, рука, сярэдні тон скуры, уверх, цела
👆🏾	далонь тылам з указальным пальцам уверх, далонь тылам з указальным пальцам уверх: сярэдне-цёмны тон скуры, палец, рука, сярэдне-цёмны тон скуры, уверх, цела
👆🏿	далонь тылам з указальным пальцам уверх, далонь тылам з указальным пальцам уверх: цёмны тон скуры, палец, рука, уверх, цела, цёмны тон скуры
🖕	палец, рука, сярэдні палец, цела
🖕🏻	палец, рука, светлы тон скуры, сярэдні палец, сярэдні палец: светлы тон скуры, цела
🖕🏼	палец, рука, сярэдне-светлы тон скуры, сярэдні палец, сярэдні палец: сярэдне-светлы тон скуры, цела
🖕🏽	палец, рука, сярэдні палец, сярэдні палец: сярэдні тон скуры, сярэдні тон скуры, цела
🖕🏾	палец, рука, сярэдне-цёмны тон скуры, сярэдні палец, сярэдні палец: сярэдне-цёмны тон скуры, цела
🖕🏿	палец, рука, сярэдні палец, сярэдні палец: цёмны тон скуры, цела, цёмны тон скуры
👇️	палец, рука, указальны палец уніз, уніз, цела
👇🏻	палец, рука, светлы тон скуры, указальны палец уніз, указальны палец уніз: светлы тон скуры, уніз, цела
👇🏼	палец, рука, сярэдне-светлы тон скуры, указальны палец уніз, указальны палец уніз: сярэдне-светлы тон скуры, уніз, цела
👇🏽	палец, рука, сярэдні тон скуры, указальны палец уніз, указальны палец уніз: сярэдні тон скуры, уніз, цела
👇🏾	палец, рука, сярэдне-цёмны тон скуры, указальны палец уніз, указальны палец уніз: сярэдне-цёмны тон скуры, уніз, цела
👇🏿	палец, рука, указальны палец уніз, указальны палец уніз: цёмны тон скуры, уніз, цела, цёмны тон скуры
☝️	палец, рука, уверх, указальны палец уверх, цела
☝🏻	палец, рука, светлы тон скуры, уверх, указальны палец уверх, указальны палец уверх: светлы тон скуры, цела
☝🏼	палец, рука, сярэдне-светлы тон скуры, уверх, указальны палец уверх, указальны палец уверх: сярэдне-светлы тон скуры, цела
☝🏽	палец, рука, сярэдні тон скуры, уверх, указальны палец уверх, указальны палец уверх: сярэдні тон скуры, цела
☝🏾	палец, рука, сярэдне-цёмны тон скуры, уверх, указальны палец уверх, указальны палец уверх: сярэдне-цёмны тон скуры, цела
☝🏿	палец, рука, уверх, указальны палец уверх, указальны палец уверх: цёмны тон скуры, цела, цёмны тон скуры
👍️	+1, вялікі палец уверх, лайк, падабайка, палец, уверх
👍🏻	+1, вялікі палец уверх, вялікі палец уверх: светлы тон скуры, лайк, падабайка, палец, светлы тон скуры, уверх
👍🏼	+1, вялікі палец уверх, вялікі палец уверх: сярэдне-светлы тон скуры, лайк, падабайка, палец, сярэдне-светлы тон скуры, уверх
👍🏽	+1, вялікі палец уверх, вялікі палец уверх: сярэдні тон скуры, лайк, падабайка, палец, сярэдні тон скуры, уверх
👍🏾	+1, вялікі палец уверх, вялікі палец уверх: сярэдне-цёмны тон скуры, лайк, падабайка, палец, сярэдне-цёмны тон скуры, уверх
👍🏿	+1, вялікі палец уверх, вялікі палец уверх: цёмны тон скуры, лайк, падабайка, палец, уверх, цёмны тон скуры
👎️	-1, вялікі палец уніз, дызлайк, палец, уніз
👎🏻	-1, вялікі палец уніз, вялікі палец уніз: светлы тон скуры, дызлайк, палец, светлы тон скуры, уніз
👎🏼	-1, вялікі палец уніз, вялікі палец уніз: сярэдне-светлы тон скуры, дызлайк, палец, сярэдне-светлы тон скуры, уніз
👎🏽	-1, вялікі палец уніз, вялікі палец уніз: сярэдні тон скуры, дызлайк, палец, сярэдні тон скуры, уніз
👎🏾	-1, вялікі палец уніз, вялікі палец уніз: сярэдне-цёмны тон скуры, дызлайк, палец, сярэдне-цёмны тон скуры, уніз
👎🏿	-1, вялікі палец уніз, вялікі палец уніз: цёмны тон скуры, дызлайк, палец, уніз, цёмны тон скуры
✊	кулак, падняты кулак, рука, рэвалюцыя, удар
✊🏻	кулак, падняты кулак, падняты кулак: светлы тон скуры, рука, рэвалюцыя, светлы тон скуры, удар
✊🏼	кулак, падняты кулак, падняты кулак: сярэдне-светлы тон скуры, рука, рэвалюцыя, сярэдне-светлы тон скуры, удар
✊🏽	кулак, падняты кулак, падняты кулак: сярэдні тон скуры, рука, рэвалюцыя, сярэдні тон скуры, удар
✊🏾	кулак, падняты кулак, падняты кулак: сярэдне-цёмны тон скуры, рука, рэвалюцыя, сярэдне-цёмны тон скуры, удар
✊🏿	кулак, падняты кулак, падняты кулак: цёмны тон скуры, рука, рэвалюцыя, удар, цёмны тон скуры
👊	кулак, ляціць кулак, небяспека, рука, удар
👊🏻	кулак, ляціць кулак, ляціць кулак: светлы тон скуры, небяспека, рука, светлы тон скуры, удар
👊🏼	кулак, ляціць кулак, ляціць кулак: сярэдне-светлы тон скуры, небяспека, рука, сярэдне-светлы тон скуры, удар
👊🏽	кулак, ляціць кулак, ляціць кулак: сярэдні тон скуры, небяспека, рука, сярэдні тон скуры, удар
👊🏾	кулак, ляціць кулак, ляціць кулак: сярэдне-цёмны тон скуры, небяспека, рука, сярэдне-цёмны тон скуры, удар
👊🏿	кулак, ляціць кулак, ляціць кулак: цёмны тон скуры, небяспека, рука, удар, цёмны тон скуры
🤛	кулак, кулак улева, улева
🤛🏻	кулак, кулак улева: светлы тон скуры, светлы тон скуры, улева
🤛🏼	кулак, кулак улева: сярэдне-светлы тон скуры, сярэдне-светлы тон скуры, улева
🤛🏽	кулак, кулак улева: сярэдні тон скуры, сярэдні тон скуры, улева
🤛🏾	кулак, кулак улева: сярэдне-цёмны тон скуры, сярэдне-цёмны тон скуры, улева
🤛🏿	кулак, кулак улева: цёмны тон скуры, улева, цёмны тон скуры
🤜	кулак, кулак управа, управа
🤜🏻	кулак, кулак управа: светлы тон скуры, светлы тон скуры, управа
🤜🏼	кулак, кулак управа: сярэдне-светлы тон скуры, сярэдне-светлы тон скуры, управа
🤜🏽	кулак, кулак управа: сярэдні тон скуры, сярэдні тон скуры, управа
🤜🏾	кулак, кулак управа: сярэдне-цёмны тон скуры, сярэдне-цёмны тон скуры, управа
🤜🏿	кулак, кулак управа: цёмны тон скуры, управа, цёмны тон скуры
👏	авацыі, апладысменты, пляскае ў ладкі, плясканне, рука
👏🏻	авацыі, апладысменты, пляскае ў ладкі, пляскае ў ладкі: светлы тон скуры, плясканне, рука, светлы тон скуры
👏🏼	авацыі, апладысменты, пляскае ў ладкі, пляскае ў ладкі: сярэдне-светлы тон скуры, плясканне, рука, сярэдне-светлы тон скуры
👏🏽	авацыі, апладысменты, пляскае ў ладкі, пляскае ў ладкі: сярэдні тон скуры, плясканне, рука, сярэдні тон скуры
👏🏾	авацыі, апладысменты, пляскае ў ладкі, пляскае ў ладкі: сярэдне-цёмны тон скуры, плясканне, рука, сярэдне-цёмны тон скуры
👏🏿	авацыі, апладысменты, пляскае ў ладкі, пляскае ў ладкі: цёмны тон скуры, плясканне, рука, цёмны тон скуры
🙌	жэст, рукі, свята, ура, чалавек паднімае рукі
🙌🏻	жэст, рукі, светлы тон скуры, свята, ура, чалавек паднімае рукі, чалавек паднімае рукі: светлы тон скуры
🙌🏼	жэст, рукі, свята, сярэдне-светлы тон скуры, ура, чалавек паднімае рукі, чалавек паднімае рукі: сярэдне-светлы тон скуры
🙌🏽	жэст, рукі, свята, сярэдні тон скуры, ура, чалавек паднімае рукі, чалавек паднімае рукі: сярэдні тон скуры
🙌🏾	жэст, рукі, свята, сярэдне-цёмны тон скуры, ура, чалавек паднімае рукі, чалавек паднімае рукі: сярэдне-цёмны тон скуры
🙌🏿	жэст, рукі, свята, ура, цёмны тон скуры, чалавек паднімае рукі, чалавек паднімае рукі: цёмны тон скуры
👐	адкрытыя, адкрытыя рукі, бяспека, рукі
👐🏻	адкрытыя, адкрытыя рукі: светлы тон скуры, бяспека, рукі, светлы тон скуры
👐🏼	адкрытыя, адкрытыя рукі: сярэдне-светлы тон скуры, бяспека, рукі, сярэдне-светлы тон скуры
👐🏽	адкрытыя, адкрытыя рукі: сярэдні тон скуры, бяспека, рукі, сярэдні тон скуры
👐🏾	адкрытыя, адкрытыя рукі: сярэдне-цёмны тон скуры, бяспека, рукі, сярэдне-цёмны тон скуры
👐🏿	адкрытыя, адкрытыя рукі: цёмны тон скуры, бяспека, рукі, цёмны тон скуры
🤲	моліцца, складзеныя разам далоні
🤲🏻	моліцца, светлы тон скуры, складзеныя разам далоні, складзеныя разам далоні: светлы тон скуры
🤲🏼	моліцца, складзеныя разам далоні, складзеныя разам далоні: сярэдне-светлы тон скуры, сярэдне-светлы тон скуры
🤲🏽	моліцца, складзеныя разам далоні, складзеныя разам далоні: сярэдні тон скуры, сярэдні тон скуры
🤲🏾	моліцца, складзеныя разам далоні, складзеныя разам далоні: сярэдне-цёмны тон скуры, сярэдне-цёмны тон скуры
🤲🏿	моліцца, складзеныя разам далоні, складзеныя разам далоні: цёмны тон скуры, цёмны тон скуры
🤝	дамовіліся, поціск рук, рукапацісканне, сустрэча
🙏	жэст, калі ласка, малітва, просьба, рукі, складзеныя рукі
🙏🏻	жэст, калі ласка, малітва, просьба, рукі, светлы тон скуры, складзеныя рукі, складзеныя рукі: светлы тон скуры
🙏🏼	жэст, калі ласка, малітва, просьба, рукі, складзеныя рукі, складзеныя рукі: сярэдне-светлы тон скуры, сярэдне-светлы тон скуры
🙏🏽	жэст, калі ласка, малітва, просьба, рукі, складзеныя рукі, складзеныя рукі: сярэдні тон скуры, сярэдні тон скуры
🙏🏾	жэст, калі ласка, малітва, просьба, рукі, складзеныя рукі, складзеныя рукі: сярэдне-цёмны тон скуры, сярэдне-цёмны тон скуры
🙏🏿	жэст, калі ласка, малітва, просьба, рукі, складзеныя рукі, складзеныя рукі: цёмны тон скуры, цёмны тон скуры
✍️	асадка, пісьмо, пішучая рука, рука, ручка
✍🏻	асадка, пісьмо, пішучая рука, пішучая рука: светлы тон скуры, рука, ручка, светлы тон скуры
✍🏼	асадка, пісьмо, пішучая рука, пішучая рука: сярэдне-светлы тон скуры, рука, ручка, сярэдне-светлы тон скуры
✍🏽	асадка, пісьмо, пішучая рука, пішучая рука: сярэдні тон скуры, рука, ручка, сярэдні тон скуры
✍🏾	асадка, пісьмо, пішучая рука, пішучая рука: сярэдне-цёмны тон скуры, рука, ручка, сярэдне-цёмны тон скуры
✍🏿	асадка, пісьмо, пішучая рука, пішучая рука: цёмны тон скуры, рука, ручка, цёмны тон скуры
💅	догляд, касметыка, лак для ногцяў, ногці, рука
💅🏻	догляд, касметыка, лак для ногцяў, лак для ногцяў: светлы тон скуры, ногці, рука, светлы тон скуры
