😀	ಮುಖ, ಹಾಸ್ಯ, ಹಾಸ್ಯದ ಮುಖ
😶	ಬಾಯಿ, ಬಾಯಿಯಿಲ್ಲದ ಮುಖ, ಮುಖ, ಮೌನ, ಸ್ತಬ್ಧ
😏	ಮುಖ, ಹುಸಿ ನಗು, ಹುಸಿ ನಗುವಿನ ಮುಖ
😒	ಅತೃಪ್ತಿ ಮುಖ, ಅತೃಪ್ತಿಯ ಮುಖ, ಹಾಸ್ಯಗ್ರಹಿಸದ ಮುಖ
🙄	ಕಣ್ಣುಗಳು, ತಿರುಗುತ್ತಿರುವ, ತಿರುಗುತ್ತಿರುವ ಕಣ್ಣುಗಳ ಮುಖ, ಮುಖ
😬	ಗಂಟುಮೋರೆ ಮುಖ, ಸೊಟ್ಟ ಮುಖ
🤥	ಪಿನಾಷಿಯೋ, ಮುಖ, ಸುಳ್ಳು, ಸುಳ್ಳುಗಾರ ಮುಖ
😌	ನಿರಾಳತೆ, ನಿರಾಳತೆಯ ಮುಖ, ಮುಖ
😔	ಖಿನ್ನತೆ, ಖಿನ್ನತೆಯ ಮುಖ, ನಿರುತ್ಸಾಹಗೊಂಡಿರುವುದು, ಮುಖ
😪	ನಿದ್ದೆ ಮುಖ, ನಿದ್ರೆ, ಮುಖ
🤤	ಜೊಲ್ಲು ಸುರಿಸುತ್ತಿರುವ, ಜೊಲ್ಲು ಸುರಿಸುತ್ತಿರುವ ಮುಖ, ಮುಖ
😴	ಗರ್‌ರ್‌ರ್‌, ನಿದ್ರಾ ಮುಖ, ನಿದ್ರೆ, ಮುಖ
😷	ಮುಖವಾಡದೊಂದಿಗಿನ ಮುಖ, ವೈದ್ಯಕೀಯ ಮುಖವಾಡ, ವೈದ್ಯಕೀಯ ಮುಖವಾಡದ ಮುಖ
🤒	ಥರ್ಮಾಮೀಟರ್‌ನ ಮುಖ, ಬಾಯಿಯಲ್ಲಿ ಥರ್ಮಾಮೀಟರ್
🤕	ತಲೆ ಬ್ಯಾಂಡೇಜ್‌ನ ಮುಖ, ತಲೆಗೆ ಬ್ಯಾಂಡೇಜ್ ಹೊಂದಿರುವ ಮುಖ, ಬ್ಯಾಂಡೇಜ್ ಮುಖ, ಹಣೆಪಟ್ಟಿ
🤢	ಮುಖ, ವಾಂತಿ, ಹೇವರಿಕೆ, ಹೇವರಿಕೆ ಮುಖ
🤮	ಅನಾರೋಗ್ಯ, ವಾಂತಿ, ವಾಂತಿ ಮಾಡುತ್ತಿರುವ ಮುಖ, ವಾಂತಿ ಮಾಡುತ್ತಿರುವಂತೆ ಮುಖ
🤧	ಜೆಸುಂದೇಟ್, ಮುಖ, ಸೀನು, ಸೀನುವ ಮುಖ
🥵	ಉರಿಯ ಮುಖ, ಕೆಂಪು ಮುಖ, ಜ್ವರ, ಬಿಸಿ, ಬಿಸಿಲಿನ ಹೊಡೆತ, ಬೆವರು
🥶	ತಂಪು, ತಂಪು ಮುಖ, ನೀರ್ಲಲ್ಲುಗಳು, ನೀಲಿ ಮುಖ, ಫ್ರಾಸ್ಟ್‌ಬೈಟ್, ಫ್ರೀಜಿಂಗ್
🥴	ಅಮಲೇರಿರುವುದು, ಏರುಪೇರಾಗಿರುವ ಕಣ್ಣುಗಳು, ಕುಡಿದು ಮತ್ತೇರಿರುವುದು, ತಲೆ ಸುತ್ತುವುದು, ತಲೆತಿರುಗುವಂತಿರುವ ಮುಖ, ಸುತ್ತಿಕೊಂಡಿರುವ ಬಾಯಿ
😵	ತಲೆತಿರುಗುತ್ತಿರುವಂತಿರುವ ಮುಖ, ತೆಲೆತಿರುಗಿಸುತ್ತಿರುವ ಮುಖ, ತೆಲೆತಿರುಗಿಸುವ ಮುಖ
🤯	ಆಘಾತಗೊಂಡಿರುವುದು, ಸ್ಫೋಟಿಸುತ್ತಿರುವ ತಲೆ
🤠	ಕೌಗರ್ಲ್, ಕೌಬಾಯ್, ಕೌಬಾಯ್ ಟೋಪಿ ಮುಖ, ಟೋಪಿ, ಮುಖ
🥳	ಆಚರಣೆ, ಪಾರ್ಟಿ, ಪಾರ್ಟಿ ಮಾಡುತ್ತಿರುವ ಮುಖ, ಹಾರ್ನ್, ಹ್ಯಾಟ್
😎	ತಂಪಾದ, ಪ್ರಕಾಶಮಾನವಾದ, ಮುಖ, ಸನ್‌ಗ್ಲಾಸ್‌, ಸನ್‌ಗ್ಲಾಸ್‌ನೊಂದಿಗೆ ನಗು ಮುಖ
🤓	ದಡ್ಡತನ, ಪೆದ್ದು ಮುಖ
🧐	ಒಂದು ಕಣ್ಣಿಗೆ ಕನ್ನಡಕ ಹಾಕಿರುವ ಮುಖ, ಮೊನೊಕಲ್ ಮುಖ, ಸ್ಟಫೀ
😕	ಗೊಂದಲಗೊಂಡಿರುವುದು, ಗೊಂದಲದ ಮುಖ, ಮುಖ
😟	ಚಿಂತೆ ಮುಖ, ಚಿಂತೆಯ ಮುಖ
🙁	ಗಂಟಿಕ್ಕಿರುವ ಮುಖ, ಸ್ವಲ್ಪ ಗಂಟಿಕ್ಕಿರುವ ಮುಖ
☹️	ಗಂಟಿಕ್ಕಿರುವ ಮುಖ, ಮುಖ ಗಂಟಿಕ್ಕಿರುವುದು
😮	ತೆರೆದ ಬಾಯಿಯ ಮುಖ, ತೆರೆದಿರುವುದು, ಬಾಯಿ, ಮುಖ, ಸಹಾನುಭೂತಿ
😯	ಆಶ್ಚರ್ಯವಾಗಿರುವುದು, ಗಾಬರಿಯಾಗಿರುವುದು, ಗೋಪ್ಯವಾಗಿರಿಸಿದ, ಗೋಪ್ಯವಾಗಿರಿಸಿದ ಮುಖ, ಮುಖ
😲	ಆಘಾತವಾಗಿರುವುದು, ಆಶ್ಚರ್ಯಚಕಿತ ಮುಖ, ಆಶ್ಚರ್ಯಚಕಿತವಾಗಿರುವುದು, ಮುಖ, ಸಂಪೂರ್ಣ
😳	ಕಕ್ಕಾಬಿಕ್ಕಿಯ ಮುಖ, ಕೆಂಪೇರಿದ ಮುಖ
🥺	ಕರುಣೆ, ನಾಯಿಮರಿ ಕಣ್ಣುಗಳು, ಬೇಡುತ್ತಿರುವ, ಮನವೊಲಿಸುವ ಮುಖ
😦	ಗಂಟಿಕ್ಕಿರುವ, ತೆರೆದಿರುವುದು, ಬಾಯಿ, ಬಾಯಿ ತೆರೆದು ಗಂಟಿಕ್ಕಿರುವ ಮುಖ, ಮುಖ
😧	ಕಳವಳದ ಮುಖ, ಸಂಕಟದ ಮುಖ
😨	ಗಾಬರಿಯ ಮುಖ, ಬೆದರಿದ ಮುಖ, ಭಯ ಮುಖ, ಭಯದ ಮುಖ
😰	ತೆರೆದ ಬಾಯಿ, ತೆರೆದ ಬಾಯಿ ಮತ್ತು ತಣ್ಣನೆ ಬೆರವಿನ ಮುಖ, ನೀಲಿ ಬಣ್ಣದ ಮುಖ, ಬೆವರಿನೊಂದಿಗೆ ಆತಂಕದ ಮುಖ
😥	ನಿರಾಶೆ, ನಿರಾಶೆ ಆದರೆ ಸಮಾಧಾನ, ನಿರಾಶೆ ಆದರೆ ಸಮಾಧಾನದ ಮುಖ, ಮುಖ, ಸಮಾಧಾನ
😢	ಅಳು, ಅಳುತ್ತಿರುವ ಮುಖ, ಕಣ್ಣೀರು, ದುಃಖ, ಮುಖ
😭	ಅಳುತ್ತಿರುವ ಮುಖ, ಜೋರಾಗಿ ಅಳುತ್ತಿರುವ ಮುಖ, ಜೋರಾಗಿ ಅಳುವುದು
😱	ಭಯದ ಮುಖ, ಭಯದಿಂದ ಅರಚುತ್ತಿರುವ ಮುಖ, ಭಯದಿಂದ ಕಿರುಚುವ ಮುಖ
😖	ಗೊಂದಲಮಯ, ಗೊಂದಲಮಯ ಮುಖ, ಮುಖ
😣	ಮುಖ, ಸತತ ಪ್ರಯತ್ನ, ಸತತ ಪ್ರಯತ್ನದ ಮುಖ
😞	ನಿರಾಸೆ, ನಿರಾಸೆ ಮುಖ, ಮುಖ
😓	ತಣ್ಣನೆಯ, ತಣ್ಣನೆಯ ಬೆವರಿನ ಮುಖ, ಬೆವರಿನೊಂದಿಗೆ ಕುಸಿದಿರುವ ಮುಖ, ಬೆವರು, ಮುಖ
😩	ಅಸಹನೆ ಮುಖ, ಅಸಹನೆಯ ಮುಖ, ದಣಿದ ಮುಖ
😫	ದಣಿದ ಮುಖ, ದಣಿದಿರುವುದು, ಮುಖ
🥱	ಆಕಳಿಸುವ, ಆಕಳಿಸುವ ಮುಖ, ಆಯಾಸದ, ಬೇಸರದ
😤	ಗೆಲುವು, ಮುಖ, ಮುೂಗಿನಿಂದ ಹಬೆಯ ಮುಖ, ಮೂಗಿನಿಂದ ಹಬೆಯ ಬರುತ್ತಿರುವ ಮುಖ, ವಿಜಯ
😡	ಕೆಂಪು ಮುಖ, ಕೋಪದ ಮುಖ
😠	ಕೋಪಗೊಂಡ ಮುಖ, ಕೋಪದಿಂದಿರುವ ಮುಖ
🤬	ಪ್ರತಿಜ್ಞೆ, ಬಾಯಿಯ ಮೇಲೆ ಚಿಹ್ನೆಗಳನ್ನು ಹೊಂದಿರುವ ಮುಖ, ಮುಖದ ಮೇಲೆ ಚಿಹ್ನೆಗಳನ್ನು ಹೊಂದಿರುವ ಮುಖ
😈	ಕಾಲ್ಪನಿಕ ಕಥೆ, ಕೊಂಬಿನೊಂದಿಗೆ ನಗು ಮುಖ, ಕೊಂಬುಗಳು, ಫ್ಯಾಂಟಸಿ, ಮುಖ
👿	ಕೊಂಬಿನೊಂದಿಗೆ ನಗು ಮುಖ, ಚಿಕ್ಕ ದೆವ್ವ, ದೆವ್ವದ ಮುಖ
💀	ಕಾಲ್ಪನಿಕ ಕಥೆ, ತಲೆಬುರುಡೆ, ದೇಹ, ಮುಖ, ಸಾವು
☠️	ಅಪಾಯ, ಎಚ್ಚರಿಕೆ, ತಲೆಬುರುಡೆ, ತಲೆಬುುರುಡೆ ಮತ್ತು ಮೂಳೆಗಳು
💩	ಸಗಣಿ, ಸಗಣಿ ರಾಶಿ
🤡	ಮುಖ, ವಿದೂಷಕ, ವಿದೂಷಕ ಮುಖ
👹	ಕಾಲ್ಪನಿಕ ಕಥೆ, ದೈತ್ಯಾಕಾರ, ಫ್ಯಾಂಟಸಿ, ಮುಖ, ರಾಕ್ಷಸ
👺	ಕಾಲ್ಪನಿಕ ಕಥೆ, ಗಾಬ್ಲಿನ್, ತುಂಟ ಬೇತಾಳ, ದೈತ್ಯಾಕಾರ, ಫ್ಯಾಂಟಸಿ
👻	ಕಾಲ್ಪನಿಕ ಕಥೆ, ದೆವ್ವ, ದೈತ್ಯಾಕಾರ, ಪ್ರೇತ, ಫ್ಯಾಂಟಸಿ
👽️	ಏಲಿಯನ್, ಯುಎಫ್ಒ
👾	ಅನ್ಯಲೋಕದ ದೈತ್ಯ, ಏಲಿಯನ್ ಮಾನ್‌ಸ್ಟರ್, ದೈತ್ಯ
🤖	ರೋಬಾಟ್ ಮುಖ, ರೋಬೊ ಮುಖ
😺	ಕಿರುನಗೆಯ ಬೆಕ್ಕಿನ ಮುಖ, ತೆರೆದ ಬಾಯಿಯ ನಗುತ್ತಿರುವ ಬೆಕ್ಕಿನ ಮುಖ, ಬೆಕ್ಕಿನ ಮುಖ
😸	ನಗುತ್ತಿರುವ ಕಣ್ಣುಗಳೊಂದಿಗೆ ಹಲ್ಲು ಬಿಟ್ಟು ನಗುತ್ತಿರುವ ಬೆಕ್ಕಿನ ಮುಖ, ಬೆಕ್ಕಿನ ಮುಖ, ಹಲ್ಲು ಕಿರಿದು ನಗುತ್ತಿರುವ ಕಣ್ಣುಗಳು
😹	ಆನಂದ ಬಾಷ್ಪದೊಂದಿಗಿರುವ ಬೆಕ್ಕಿನ ಮುಖ, ಬೆಕ್ಕಿನ ಮುಖ, ಸಂತೋಷದ ಕಣ್ಣೀರು
😻	ಪ್ರೀತಿಯ ಬೆಕ್ಕಿನ ಮುಖ, ಹೃದಯಾಕಾರದ ಕಣ್ಣುಗಳಲ್ಲಿ ನಗುತ್ತಿರುವ ಬೆಕ್ಕಿನ ಮುಖ, ಹೃದಯಾಕಾರದದೊಂದಿಗೆ ಕಿರುನಗೆಯ ಬೆಕ್ಕು
😼	ವಕ್ರ ನಗೆ, ವಕ್ರ ನಗೆಯ ಬೆಕ್ಕು, ವಕ್ರ ನಗೆಯೊಂದಿಗೆ ಬೆಕ್ಕಿನ ಮುಖ
😽	ಕಣ್ಣು ಮುಚ್ಚಿರುವುದರೊಂದಿಗೆ ಚುಂಬಿಸುತ್ತಿರುವ ಬೆಕ್ಕಿನ ಮುಖ, ಚುಂಬನದ ಬೆಕ್ಕು, ಮುಚ್ಚಿರುವ ಕಣ್ಣು
🙀	ಅಸಹನೆಯ ಬೆಕ್ಕಿನ ಮುಖ, ಆಘಾತಗೊಂಡ ಮುಖ, ಆಶ್ಚರ್ಯದ ಮುಖ
😿	ಅಳುತ್ತಿರುವ ಬೆಕ್ಕಿನ ಮುಖ, ಅಳುವ ಬೆಕ್ಕಿನ ಮುಖ, ಬೆಕ್ಕಿನ ಮುಖ
😾	ಬೆಕ್ಕು ಮುಖ, ಮೊಂಡತನ ಬೆಕ್ಕಿನ ಮುಖ, ಮೊಂಡುತನದ ಬೆಕ್ಕಿನ ಮುಖ
🙈	ಕೆಟ್ಟದ್ದನ್ನು ನೋಡಬೇಡಿ, ಯಾವುದೇ ಕೆಟ್ಟದ್ದನ್ನು ನೋಡಬೇಡ
🙉	ಕೆಟ್ಟದ್ದನ್ನು ಕೇಳಬೇಡಿ, ಯಾವುದೇ ಕೆಟ್ಟದ್ದನ್ನು ಕೇಳಬೇಡ
🙊	ಕೆಟ್ಟದ್ದನ್ನು ಮಾತನಾಡಬೇಡಿ, ಯಾವುದೇ ಕೆಟ್ಟದ್ದನ್ನು ಮಾತನಾಡಬೇಡ
💋	ಚುಂಬನದ ಗುರುತು, ತುಟಿಗಳು
💌	ಪ್ರಣಯ, ಪ್ರೇಮ ಪತ್ರ
💘	ಬಾಣದೊಂದಿಗೆ ಹೃದಯ, ಹೃದಯ, ಹೃದಯ ಮತ್ತು ಬಾಣ
💝	ಪ್ರೇಮಿಗಳು, ರಿಬ್ಬನ್, ರಿಬ್ಬನ್‌ನೊಂದಿಗೆ ಹೃದಯ, ಹೃದಯ
💖	ಮಿಣುಗುತ್ತಿರುವ ಹೃದಯ, ಹರ್ಷ, ಹೊಳೆಯುವ ಹೃದಯ
💗	ಬೆಳೆಯುತ್ತಿರುವ ಹೃದಯ, ಮಾನಸಿಕ ಒತ್ತಡ
💓	ಮಿಡಿತ, ಮಿಡಿಯುತ್ತಿರುವ ಹೃದಯ, ಹೃದಯ ಸ್ಪಂದನ
💞	ಪರಿಭ್ರಮಿಸುವ ಹೃದಯಗಳು, ಸುತ್ತುತ್ತಿರುವ ಹೃದಯಗಳು, ಹೃದಯ
💕	ಎರಡು ಹೃದಯಗಳು, ಪ್ರೇಮಿಗಳು
💟	ಅಲಂಕರಿತ ಹೃದಯ, ಹೃದಯ ಅಲಂಕಾರ
❣️	ಆಶ್ಚರ್ಯ, ಭಾರದ ಹೃದಯ, ಭಾರದ ಹೃದಯ ಆಶ್ಚರ್ಯ ಗುರುತು
💔	ಒಡೆದ ಹೃದಯ, ಒಡೆದಿರುವ ಹೃದಯ, ಹೃದಯ ಮುರಿಯುವಿಕೆ
❤️	ಕೆಂಪು ಹೃದಯ, ಹೃದಯ
🧡	ಕಿತ್ತಳೆ, ಕಿತ್ತಳೆ ಹೃದಯ
💛	ಹಳದಿ, ಹಳದಿ ಹೃದಯ
💚	ಹಸಿರು, ಹಸಿರು ಹೃದಯ
💙	ನೀಲಿ ಹೃದಯ, ಭಾವನೆ
💜	ನೇರಳೆ ಹೃದಯ, ಪರ್ಪಲ್ ಹಾರ್ಟ್, ಪರ್ಪಲ್ ಹೃದಯ
🤎	ಕಂದು, ಕಂದುಬಣ್ಣದ ಹೃದಯ, ಹೃದಯ
🖤	ಕಪ್ಪು, ಕೆಡುಕು, ದುಷ್ಟ, ನಿರ್ದಯ ಹೃದಯ, ಹೃದಯ
🤍	ಬಿಳಿ, ಬಿಳಿಯ ಹೃದಯ, ಹೃದಯ
💯	100 ಅಂಕಗಳು, ನೂರು ಪಾಯಿಂಟ್‌ಗಳು, ಪೂರ್ಣ ಸ್ಕೋರ್
💢	ಉದ್ವೇಗ, ಕೋಪ, ಕೋಪದ ಚಿಹ್ನೆ
💥	ಘರ್ಷಣೆ, ಘರ್ಷಣೆ ಚಿಹ್ನೆ
💫	ಚಂಚಲ, ತಿರುುಗುವಿಕೆ, ನಕ್ಷತ್ರಗಳು
💦	ತೊಟ್ಟಿಕ್ಕುವ ಬೆವರು, ಬೆವರಿನ ಹನಿಗಳು, ಬೆವರು
💨	ಕಾಮಿಕ್, ಗುದ್ದುವಿಕೆ, ಚಾಲನೆಯಲ್ಲಿದೆ, ಡ್ಯಾಶ್
🕳️	ಕುಳಿ, ರಂಧ್ರ
💣️	ಕಾಮಿಕ್, ಬಾಂಬ್
💬	ಧ್ವನಿ ಬಲೂನ್, ಮಾತಿನ ಬಬಲ್, ಮಾತಿನ ಬಲೂನ್
👁‍🗨	ಕಣ್ಣು, ನೋಡು, ಮಾತಿನ ಬಬಲ್‌ನಲ್ಲಿ ಕಣ್ಣು, ಮಾತು ಬಬಲ್
🗨️	ಎಡ ಧ್ವನಿ ಬಬಲ್, ಮಾತು, ಸಂವಾದ
🗯️	ಕೋಪ, ಬಲಭಾಗದ ಕೋಪದ ಬಬಲ್, ಬಲೂನ್
💭	ಆಲೋಚನೆ ಬಲೂನ್, ಚಿಂತನೆಯ ಬಬಲ್, ಚಿಂತನೆಯ ಬಲೂನ್
💤	ಗೊರಕೆ, ನಿದ್ರೆ, ನಿದ್ರೆ ಮಂಪರು
👋	ಕೈ ಬೀಸುತ್ತಿರುವುದು, ಕೈ ಬೀಸುವ
👋🏻	ಕೈ ಬೀಸುತ್ತಿರುವುದು, ಕೈ ಬೀಸುತ್ತಿರುವುದು: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಕೈ ಬೀಸುವ, ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
👋🏼	ಕೈ ಬೀಸುತ್ತಿರುವುದು, ಕೈ ಬೀಸುತ್ತಿರುವುದು: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಕೈ ಬೀಸುವ, ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
👋🏽	ಕೈ ಬೀಸುತ್ತಿರುವುದು, ಕೈ ಬೀಸುತ್ತಿರುವುದು: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ, ಕೈ ಬೀಸುವ, ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ
👋🏾	ಕೈ ಬೀಸುತ್ತಿರುವುದು, ಕೈ ಬೀಸುತ್ತಿರುವುದು: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಕೈ ಬೀಸುವ, ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
👋🏿	ಕೈ ಬೀಸುತ್ತಿರುವುದು, ಕೈ ಬೀಸುತ್ತಿರುವುದು: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಕೈ ಬೀಸುವ, ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
🤚	ಅಂಗೈ ಹಿಂಭಾಗ, ಅಂಗೈ ಹಿಂಭಾಗ ತೋರಿಸು, ತೋರಿಸು
🤚🏻	ಅಂಗೈ ಹಿಂಭಾಗ, ಅಂಗೈ ಹಿಂಭಾಗ ತೋರಿಸು, ಅಂಗೈ ಹಿಂಭಾಗ ತೋರಿಸು: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ತೋರಿಸು
🤚🏼	ಅಂಗೈ ಹಿಂಭಾಗ, ಅಂಗೈ ಹಿಂಭಾಗ ತೋರಿಸು, ಅಂಗೈ ಹಿಂಭಾಗ ತೋರಿಸು: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ತೋರಿಸು, ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
🤚🏽	ಅಂಗೈ ಹಿಂಭಾಗ, ಅಂಗೈ ಹಿಂಭಾಗ ತೋರಿಸು, ಅಂಗೈ ಹಿಂಭಾಗ ತೋರಿಸು: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ, ತೋರಿಸು, ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ
🤚🏾	ಅಂಗೈ ಹಿಂಭಾಗ, ಅಂಗೈ ಹಿಂಭಾಗ ತೋರಿಸು, ಅಂಗೈ ಹಿಂಭಾಗ ತೋರಿಸು: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ತೋರಿಸು, ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
