😀	față, față încântată, încântare
😎	față, față zâmbitoare cu ochelari de soare, ochelari de soare, relaxare, soare, strălucitor
🤓	față, față de tocilar, tocilar
🧐	față cu monoclu, înțepat
😕	confuzie, față, față confuză, neînțelegere
😟	față, față îngrijorată, îngrijorare
🙁	față, față ușor tristă, față ușor încruntată, tristețe, încruntare
☹️	față, față tristă, față încruntată, tristețe, încruntare
😮	față, față cu gura deschisă, gură deschisă, surpriză, uimire
😯	amuțit, față, față amuțită, surprins, uimit
😲	față, față uimită, uimire, uluire, șoc
😳	față, față îmbujorată, zăpăcit, îmbujorat
🥺	față rugătoare, implora, milă, ochi de cățeluș, ruga
😦	față, față tristă cu gura deschisă, gură deschisă, întristare
😧	angoasă, față, față angoasată, stres
😨	față, față înfricoșată, frică, spaimă, înspăimântat
😰	față, față neliniștită cu sudoare rece, gură deschisă, stres, sudoare rece
😥	dezamăgire, față, față dezamăgită, dar ușurată, relaxare, ușurare
😢	față, față plângând, lacrimi, plânset, tristețe
😭	față, față plângând zgomotos, lacrimi, plâns, suspin
😱	disperare, față, față țipând de frică, țipăt
😖	derută, față, față derutată, zăpăceală
😣	față, față neajutorată, neajutorare, neputință
😞	dezamăgire, față, față dezamăgită
😓	față, față abătută cu sudoare rece, sudoare rece
😩	epuizată, față, față extenuată, oboseală
😫	extenuare, față, față obosită, oboseală
🥱	căscat, față care cască, oboseală, plictis
😤	față, față care scoate fum pe nări, triumf, victorie
😡	enervare, față, față îmbufnată, furie, roșu
😠	enervare, față, față furioasă, furie
🤬	față cu simboluri la gură, înjurătură
😈	basm, coarne, fantezie, față, față zâmbitoare încornorată
👿	basm, demon, diavol, drac, drăcușor, fantezie, față mânioasă încornorată
💀	basm, craniu, față, moarte, monstru
☠️	craniu, craniu cu oase încrucișate, față, moarte, monstru, oase încrucișate
💩	caca, comic, față, monstru, răhățel
🤡	arlechin, clovn, față, față de clovn
👹	basm, creatură, căpcăun, monstru, poveste
👺	basm, creatură, monstru, poveste, spiriduș
👻	basm, creatură, fantezie, fantomă, față, monstru, stafie
👽️	creatură, extraterestru, fantezie, față, marțian, ozn
👾	creatură, extraterestru, fantezie, față, monstru, monstru extraterestru, ozn
🤖	față, monstru, robot
😺	deschisă, față, gură, pisică, pisică încântată, zâmbet
😸	față, ochi, pisică, pisică încântată cu ochi zâmbitori, zâmbet, încântare
😹	bucurie, față, lacrimi, pisică, pisică cu lacrimi de bucurie
😻	dragoste, față, inimioare, ochi, pisică, pisică zâmbitoare cu inimioare la ochi, zâmbet
😼	față, ironie, pisică, pisică cu zâmbet ironic, zâmbet, șiretenie
😽	față, ochi, pisică, pisică pupăcioasă, sărut
🙀	față, oh, pisică, pisică surprinsă, sperietură, surpriză, uimire
😿	față, față de pisică plângând, lacrimă, pisică, pisică plângând, plâns
😾	bosumflare, enervare, față, pisică, pisică îmbufnată
🙈	față, interzis, maimuță, nu văd nimic rău, ochi acoperiți, rău, văz
🙉	auz, față, interzis, maimuță, nu aud nimic rău, rău, urechi acoperite
🙊	față, gură acoperită, interzis, maimuță, nu spun nimic rău, rău, vorbit
💋	buze, roșu, sărut, urme de buze
💌	dragoste, inimă, iubire, plic, scrisoare, scrisoare de dragoste
💘	cupidon, inimă, inimă săgetată, săgeată
💝	cadou, inimă, inimă cu fundiță, panglică
💖	entuziasm, fericire, inimă, inimă strălucitoare, strălucire
💗	emoție, entuziasm, inimă, inimă care crește, neliniște
💓	emoție, inimă, inimă palpitând, viață
💞	cerc, inimi învârtindu-se în cerc, inimă, învârtire
💕	afecțiune, amor, două inimioare, dragoste, iubire
💟	decor, decorațiune inimă, inimă
❣️	punctuație, semnul exclamării, semnul exclamării cu inimioară
💔	durere, inimă, inimă zdrobită
❤️	inimă, inimă roșie
🧡	inimă, inimă portocalie, portocaliu
💛	galben, inimă, inimă galbenă
💚	inimă, inimă verde, verde
💙	albastru, inimă, inimă albastră
💜	inimă, inimă mov, mov
🤎	inimă, inimă maro, maro
🖤	inimă, inimă neagră, malefic, negru, rău
🤍	alb, albă, inimă, inimă albă
💯	100, maxim, o sută de puncte, scor
💢	bandă desenată, furie, simbol mânie, supărare
💥	bandă desenată, ciocnire, coliziune, explozie, impact
💫	amețeală, amețit, bandă desenată, steluțe
💦	bandă desenată, efort, picături, picături de transpirație, sudoare
💨	alergare, bandă desenată, fugă, grabă, nor de praf, viteză, ștergând-o rapid
🕳️	gaură
💣️	bandă desenată, bombă, fitil
💬	balon, balon de dialog, bandă desenată, dialog
👁‍🗨	balon de dialog, martor, ochi, ochi în balon de dialog
🗨️	balon, balon de dialog la stânga, desen, dialog, stânga
🗯️	balon, balon de dialog furios la dreapta, furie, supărare
💭	balon, balon de gândire, bandă desenată, gând
💤	bandă desenată, sfor, sforăit
👋	despărțire, mână, mână fluturată, semn
👋🏻	despărțire, mână, mână fluturată, mână fluturată: ton deschis al pielii, semn, ton deschis al pielii
👋🏼	despărțire, mână, mână fluturată, mână fluturată: ton semi‑deschis al pielii, semn, ton semi‑deschis al pielii
👋🏽	despărțire, mână, mână fluturată, mână fluturată: ton mediu al pielii, semn, ton mediu al pielii
👋🏾	despărțire, mână, mână fluturată, mână fluturată: ton semi‑închis al pielii, semn, ton semi‑închis al pielii
👋🏿	despărțire, mână, mână fluturată, mână fluturată: ton închis al pielii, semn, ton închis al pielii
🤚	dosul palmei, dosul palmei ridicat, ridicat
🤚🏻	dosul palmei, dosul palmei ridicat, dosul palmei ridicat: ton deschis al pielii, ridicat, ton deschis al pielii
🤚🏼	dosul palmei, dosul palmei ridicat, dosul palmei ridicat: ton semi‑deschis al pielii, ridicat, ton semi‑deschis al pielii
🤚🏽	dosul palmei, dosul palmei ridicat, dosul palmei ridicat: ton mediu al pielii, ridicat, ton mediu al pielii
🤚🏾	dosul palmei, dosul palmei ridicat, dosul palmei ridicat: ton semi‑închis al pielii, ridicat, ton semi‑închis al pielii
🤚🏿	dosul palmei, dosul palmei ridicat, dosul palmei ridicat: ton închis al pielii, ridicat, ton închis al pielii
🖐️	deget, deschis, mână, mână ridicată cu degetele depărtate
🖐🏻	deget, deschis, mână, mână ridicată cu degetele depărtate, mână ridicată cu degetele depărtate: ton deschis al pielii, ton deschis al pielii
🖐🏼	deget, deschis, mână, mână ridicată cu degetele depărtate, mână ridicată cu degetele depărtate: ton semi‑deschis al pielii, ton semi‑deschis al pielii
🖐🏽	deget, deschis, mână, mână ridicată cu degetele depărtate, mână ridicată cu degetele depărtate: ton mediu al pielii, ton mediu al pielii
🖐🏾	deget, deschis, mână, mână ridicată cu degetele depărtate, mână ridicată cu degetele depărtate: ton semi‑închis al pielii, ton semi‑închis al pielii
🖐🏿	deget, deschis, mână, mână ridicată cu degetele depărtate, mână ridicată cu degetele depărtate: ton închis al pielii, ton închis al pielii
✋	mână, mână ridicată, sus
✋🏻	mână, mână ridicată, mână ridicată: ton deschis al pielii, sus, ton deschis al pielii
✋🏼	mână, mână ridicată, mână ridicată: ton semi‑deschis al pielii, sus, ton semi‑deschis al pielii
✋🏽	mână, mână ridicată, mână ridicată: ton mediu al pielii, sus, ton mediu al pielii
✋🏾	mână, mână ridicată, mână ridicată: ton semi‑închis al pielii, sus, ton semi‑închis al pielii
✋🏿	mână, mână ridicată, mână ridicată: ton închis al pielii, sus, ton închis al pielii
🖖	deget, salut, salut vulcanian, spock, vulcan
🖖🏻	deget, salut, salut vulcanian, salut vulcanian: ton deschis al pielii, spock, ton deschis al pielii, vulcan
🖖🏼	deget, salut, salut vulcanian, salut vulcanian: ton semi‑deschis al pielii, spock, ton semi‑deschis al pielii, vulcan
🖖🏽	deget, salut, salut vulcanian, salut vulcanian: ton mediu al pielii, spock, ton mediu al pielii, vulcan
🖖🏾	deget, salut, salut vulcanian, salut vulcanian: ton semi‑închis al pielii, spock, ton semi‑închis al pielii, vulcan
🖖🏿	deget, salut, salut vulcanian, salut vulcanian: ton închis al pielii, spock, ton închis al pielii, vulcan
👌	gest, mână, ok, semnul ok
👌🏻	gest, mână, ok, semnul ok, semnul ok: ton deschis al pielii, ton deschis al pielii
👌🏼	gest, mână, ok, semnul ok, semnul ok: ton semi‑deschis al pielii, ton semi‑deschis al pielii
👌🏽	gest, mână, ok, semnul ok, semnul ok: ton mediu al pielii, ton mediu al pielii
👌🏾	gest, mână, ok, semnul ok, semnul ok: ton semi‑închis al pielii, ton semi‑închis al pielii
👌🏿	gest, mână, ok, semnul ok, semnul ok: ton închis al pielii, ton închis al pielii
🤏	cantitate mică, mână cu două degete apropiate, valoare mică
🤏🏻	cantitate mică, mână cu două degete apropiate, mână cu două degete apropiate: ton deschis al pielii, ton deschis al pielii, valoare mică
🤏🏼	cantitate mică, mână cu două degete apropiate, mână cu două degete apropiate: ton semi‑deschis al pielii, ton semi‑deschis al pielii, valoare mică
🤏🏽	cantitate mică, mână cu două degete apropiate, mână cu două degete apropiate: ton mediu al pielii, ton mediu al pielii, valoare mică
🤏🏾	cantitate mică, mână cu două degete apropiate, mână cu două degete apropiate: ton semi‑închis al pielii, ton semi‑închis al pielii, valoare mică
🤏🏿	cantitate mică, mână cu două degete apropiate, mână cu două degete apropiate: ton închis al pielii, ton închis al pielii, valoare mică
✌️	degete, mână, semnul victoriei, v, victorie
✌🏻	degete, mână, semnul victoriei, semnul victoriei: ton deschis al pielii, ton deschis al pielii, v, victorie
✌🏼	degete, mână, semnul victoriei, semnul victoriei: ton semi‑deschis al pielii, ton semi‑deschis al pielii, v, victorie
✌🏽	degete, mână, semnul victoriei, semnul victoriei: ton mediu al pielii, ton mediu al pielii, v, victorie
✌🏾	degete, mână, semnul victoriei, semnul victoriei: ton semi‑închis al pielii, ton semi‑închis al pielii, v, victorie
✌🏿	degete, mână, semnul victoriei, semnul victoriei: ton închis al pielii, ton închis al pielii, v, victorie
🤞	degete, degete încrucișate, mână, noroc, încrucișare
🤞🏻	degete, degete încrucișate, degete încrucișate: ton deschis al pielii, mână, noroc, ton deschis al pielii, încrucișare
🤞🏼	degete, degete încrucișate, degete încrucișate: ton semi‑deschis al pielii, mână, noroc, ton semi‑deschis al pielii, încrucișare
🤞🏽	degete, degete încrucișate, degete încrucișate: ton mediu al pielii, mână, noroc, ton mediu al pielii, încrucișare
🤞🏾	degete, degete încrucișate, degete încrucișate: ton semi‑închis al pielii, mână, noroc, ton semi‑închis al pielii, încrucișare
🤞🏿	degete, degete încrucișate, degete încrucișate: ton închis al pielii, mână, noroc, ton închis al pielii, încrucișare
🤟	gest cu semnificația te iubesc, mână, te iubesc
🤟🏻	gest cu semnificația te iubesc, gest cu semnificația te iubesc: ton deschis al pielii, mână, te iubesc, ton deschis al pielii
🤟🏼	gest cu semnificația te iubesc, gest cu semnificația te iubesc: ton semi‑deschis al pielii, mână, te iubesc, ton semi‑deschis al pielii
🤟🏽	gest cu semnificația te iubesc, gest cu semnificația te iubesc: ton mediu al pielii, mână, te iubesc, ton mediu al pielii
🤟🏾	gest cu semnificația te iubesc, gest cu semnificația te iubesc: ton semi‑închis al pielii, mână, te iubesc, ton semi‑închis al pielii
🤟🏿	gest cu semnificația te iubesc, gest cu semnificația te iubesc: ton închis al pielii, mână, te iubesc, ton închis al pielii
🤘	coarne, deget, mână, rock, semnul cu coarne
🤘🏻	coarne, deget, mână, rock, semnul cu coarne, semnul cu coarne: ton deschis al pielii, ton deschis al pielii
🤘🏼	coarne, deget, mână, rock, semnul cu coarne, semnul cu coarne: ton semi‑deschis al pielii, ton semi‑deschis al pielii
🤘🏽	coarne, deget, mână, rock, semnul cu coarne, semnul cu coarne: ton mediu al pielii, ton mediu al pielii
🤘🏾	coarne, deget, mână, rock, semnul cu coarne, semnul cu coarne: ton semi‑închis al pielii, ton semi‑închis al pielii
🤘🏿	coarne, deget, mână, rock, semnul cu coarne, semnul cu coarne: ton închis al pielii, ton închis al pielii
🤙	apela, mână, semnul sună-mă, suna
🤙🏻	apela, mână, semnul sună-mă, semnul sună-mă: ton deschis al pielii, suna, ton deschis al pielii
🤙🏼	apela, mână, semnul sună-mă, semnul sună-mă: ton semi‑deschis al pielii, suna, ton semi‑deschis al pielii
🤙🏽	apela, mână, semnul sună-mă, semnul sună-mă: ton mediu al pielii, suna, ton mediu al pielii
🤙🏾	apela, mână, semnul sună-mă, semnul sună-mă: ton semi‑închis al pielii, suna, ton semi‑închis al pielii
🤙🏿	apela, mână, semnul sună-mă, semnul sună-mă: ton închis al pielii, suna, ton închis al pielii
👈️	arătător, deget, dos de mână cu arătătorul spre stânga, dosul palmei, mână, stânga
👈🏻	arătător, deget, dos de mână cu arătătorul spre stânga, dos de mână cu arătătorul spre stânga: ton deschis al pielii, dosul palmei, mână, stânga, ton deschis al pielii
👈🏼	arătător, deget, dos de mână cu arătătorul spre stânga, dos de mână cu arătătorul spre stânga: ton semi‑deschis al pielii, dosul palmei, mână, stânga, ton semi‑deschis al pielii
👈🏽	arătător, deget, dos de mână cu arătătorul spre stânga, dos de mână cu arătătorul spre stânga: ton mediu al pielii, dosul palmei, mână, stânga, ton mediu al pielii
👈🏾	arătător, deget, dos de mână cu arătătorul spre stânga, dos de mână cu arătătorul spre stânga: ton semi‑închis al pielii, dosul palmei, mână, stânga, ton semi‑închis al pielii
👈🏿	arătător, deget, dos de mână cu arătătorul spre stânga, dos de mână cu arătătorul spre stânga: ton închis al pielii, dosul palmei, mână, stânga, ton închis al pielii
👉️	arătător, deget, dos de mână cu arătătorul spre dreapta, dosul palmei, dreapta, mână
👉🏻	arătător, deget, dos de mână cu arătătorul spre dreapta, dos de mână cu arătătorul spre dreapta: ton deschis al pielii, dosul palmei, dreapta, mână, ton deschis al pielii
👉🏼	arătător, deget, dos de mână cu arătătorul spre dreapta, dos de mână cu arătătorul spre dreapta: ton semi‑deschis al pielii, dosul palmei, dreapta, mână, ton semi‑deschis al pielii
👉🏽	arătător, deget, dos de mână cu arătătorul spre dreapta, dos de mână cu arătătorul spre dreapta: ton mediu al pielii, dosul palmei, dreapta, mână, ton mediu al pielii
👉🏾	arătător, deget, dos de mână cu arătătorul spre dreapta, dos de mână cu arătătorul spre dreapta: ton semi‑închis al pielii, dosul palmei, dreapta, mână, ton semi‑închis al pielii
👉🏿	arătător, deget, dos de mână cu arătătorul spre dreapta, dos de mână cu arătătorul spre dreapta: ton închis al pielii, dosul palmei, dreapta, mână, ton închis al pielii
👆️	arătător, deget, dos de mână cu arătătorul în sus, dos de mână cu degetul arătător îndreptat în sus, dosul palmei, sus
👆🏻	arătător, deget, dos de mână cu arătătorul în sus, dos de mână cu arătătorul în sus: ton deschis al pielii, dos de mână cu degetul arătător îndreptat în sus, dosul palmei, sus, ton deschis al pielii
👆🏼	arătător, deget, dos de mână cu arătătorul în sus, dos de mână cu arătătorul în sus: ton semi‑deschis al pielii, dos de mână cu degetul arătător îndreptat în sus, dosul palmei, sus, ton semi‑deschis al pielii
👆🏽	arătător, deget, dos de mână cu arătătorul în sus, dos de mână cu arătătorul în sus: ton mediu al pielii, dos de mână cu degetul arătător îndreptat în sus, dosul palmei, sus, ton mediu al pielii
👆🏾	arătător, deget, dos de mână cu arătătorul în sus, dos de mână cu arătătorul în sus: ton semi‑închis al pielii, dos de mână cu degetul arătător îndreptat în sus, dosul palmei, sus, ton semi‑închis al pielii
👆🏿	arătător, deget, dos de mână cu arătătorul în sus, dos de mână cu arătătorul în sus: ton închis al pielii, dos de mână cu degetul arătător îndreptat în sus, dosul palmei, sus, ton închis al pielii
🖕	deget, degetul mijlociu, gest, insultă, mijlociu
🖕🏻	deget, degetul mijlociu, degetul mijlociu: ton deschis al pielii, gest, insultă, mijlociu, ton deschis al pielii
🖕🏼	deget, degetul mijlociu, degetul mijlociu: ton semi‑deschis al pielii, gest, insultă, mijlociu, ton semi‑deschis al pielii
🖕🏽	deget, degetul mijlociu, degetul mijlociu: ton mediu al pielii, gest, insultă, mijlociu, ton mediu al pielii
🖕🏾	deget, degetul mijlociu, degetul mijlociu: ton semi‑închis al pielii, gest, insultă, mijlociu, ton semi‑închis al pielii
🖕🏿	deget, degetul mijlociu, degetul mijlociu: ton închis al pielii, gest, insultă, mijlociu, ton închis al pielii
👇️	arătător, deget, dos de mână cu arătătorul în jos, dos de mână cu degetul arătător îndreptat în jos, dosul palmei, jos
👇🏻	arătător, deget, dos de mână cu arătătorul în jos, dos de mână cu arătătorul în jos: ton deschis al pielii, dos de mână cu degetul arătător îndreptat în jos, dosul palmei, jos, ton deschis al pielii
👇🏼	arătător, deget, dos de mână cu arătătorul în jos, dos de mână cu arătătorul în jos: ton semi‑deschis al pielii, dos de mână cu degetul arătător îndreptat în jos, dosul palmei, jos, ton semi‑deschis al pielii
👇🏽	arătător, deget, dos de mână cu arătătorul în jos, dos de mână cu arătătorul în jos: ton mediu al pielii, dos de mână cu degetul arătător îndreptat în jos, dosul palmei, jos, ton mediu al pielii
👇🏾	arătător, deget, dos de mână cu arătătorul în jos, dos de mână cu arătătorul în jos: ton semi‑închis al pielii, dos de mână cu degetul arătător îndreptat în jos, dosul palmei, jos, ton semi‑închis al pielii
👇🏿	arătător, deget, dos de mână cu arătătorul în jos, dos de mână cu arătătorul în jos: ton închis al pielii, dos de mână cu degetul arătător îndreptat în jos, dosul palmei, jos, ton închis al pielii
☝️	deget, deget arătător îndreptat în sus, indicator, sus
☝🏻	deget, deget arătător îndreptat în sus, deget arătător îndreptat în sus: ton deschis al pielii, indicator, sus, ton deschis al pielii
☝🏼	deget, deget arătător îndreptat în sus, deget arătător îndreptat în sus: ton semi‑deschis al pielii, indicator, sus, ton semi‑deschis al pielii
☝🏽	deget, deget arătător îndreptat în sus, deget arătător îndreptat în sus: ton mediu al pielii, indicator, sus, ton mediu al pielii
☝🏾	deget, deget arătător îndreptat în sus, deget arătător îndreptat în sus: ton semi‑închis al pielii, indicator, sus, ton semi‑închis al pielii
☝🏿	deget, deget arătător îndreptat în sus, deget arătător îndreptat în sus: ton închis al pielii, indicator, sus, ton închis al pielii
👍️	+1, aprobare, da, mână, pozitiv, semn de aprobare
👍🏻	+1, aprobare, da, mână, pozitiv, semn de aprobare, semn de aprobare: ton deschis al pielii, ton deschis al pielii
👍🏼	+1, aprobare, da, mână, pozitiv, semn de aprobare, semn de aprobare: ton semi‑deschis al pielii, ton semi‑deschis al pielii
👍🏽	+1, aprobare, da, mână, pozitiv, semn de aprobare, semn de aprobare: ton mediu al pielii, ton mediu al pielii
👍🏾	+1, aprobare, da, mână, pozitiv, semn de aprobare, semn de aprobare: ton semi‑închis al pielii, ton semi‑închis al pielii
👍🏿	+1, aprobare, da, mână, pozitiv, semn de aprobare, semn de aprobare: ton închis al pielii, ton închis al pielii
👎️	-1, dezaprobare, mână, negativ, nu, semn de dezaprobare
👎🏻	-1, dezaprobare, mână, negativ, nu, semn de dezaprobare, semn de dezaprobare: ton deschis al pielii, ton deschis al pielii
👎🏼	-1, dezaprobare, mână, negativ, nu, semn de dezaprobare, semn de dezaprobare: ton semi‑deschis al pielii, ton semi‑deschis al pielii
👎🏽	-1, dezaprobare, mână, negativ, nu, semn de dezaprobare, semn de dezaprobare: ton mediu al pielii, ton mediu al pielii
👎🏾	-1, dezaprobare, mână, negativ, nu, semn de dezaprobare, semn de dezaprobare: ton semi‑închis al pielii, ton semi‑închis al pielii
👎🏿	-1, dezaprobare, mână, negativ, nu, semn de dezaprobare, semn de dezaprobare: ton închis al pielii, ton închis al pielii
✊	lovitură, mână, pumn, pumn ridicat, strâns, încleștat
✊🏻	lovitură, mână, pumn, pumn ridicat, pumn ridicat: ton deschis al pielii, strâns, ton deschis al pielii, încleștat
✊🏼	lovitură, mână, pumn, pumn ridicat, pumn ridicat: ton semi‑deschis al pielii, strâns, ton semi‑deschis al pielii, încleștat
✊🏽	lovitură, mână, pumn, pumn ridicat, pumn ridicat: ton mediu al pielii, strâns, ton mediu al pielii, încleștat
✊🏾	lovitură, mână, pumn, pumn ridicat, pumn ridicat: ton semi‑închis al pielii, strâns, ton semi‑închis al pielii, încleștat
✊🏿	lovitură, mână, pumn, pumn ridicat, pumn ridicat: ton închis al pielii, strâns, ton închis al pielii, încleștat
👊	lovitură, lovitură de pumn, mână, pumn, strâns, încleștat
👊🏻	lovitură, lovitură de pumn, lovitură de pumn: ton deschis al pielii, mână, pumn, strâns, ton deschis al pielii, încleștat
👊🏼	lovitură, lovitură de pumn, lovitură de pumn: ton semi‑deschis al pielii, mână, pumn, strâns, ton semi‑deschis al pielii, încleștat
👊🏽	lovitură, lovitură de pumn, lovitură de pumn: ton mediu al pielii, mână, pumn, strâns, ton mediu al pielii, încleștat
👊🏾	lovitură, lovitură de pumn, lovitură de pumn: ton semi‑închis al pielii, mână, pumn, strâns, ton semi‑închis al pielii, încleștat
👊🏿	lovitură, lovitură de pumn, lovitură de pumn: ton închis al pielii, mână, pumn, strâns, ton închis al pielii, încleștat
🤛	pumn, pumn spre stânga, spre stânga
🤛🏻	pumn, pumn spre stânga, pumn spre stânga: ton deschis al pielii, spre stânga, ton deschis al pielii
🤛🏼	pumn, pumn spre stânga, pumn spre stânga: ton semi‑deschis al pielii, spre stânga, ton semi‑deschis al pielii
🤛🏽	pumn, pumn spre stânga, pumn spre stânga: ton mediu al pielii, spre stânga, ton mediu al pielii
🤛🏾	pumn, pumn spre stânga, pumn spre stânga: ton semi‑închis al pielii, spre stânga, ton semi‑închis al pielii
🤛🏿	pumn, pumn spre stânga, pumn spre stânga: ton închis al pielii, spre stânga, ton închis al pielii
🤜	pumn, pumn spre dreapta, spre dreapta
🤜🏻	pumn, pumn spre dreapta, pumn spre dreapta: ton deschis al pielii, spre dreapta, ton deschis al pielii
🤜🏼	pumn, pumn spre dreapta, pumn spre dreapta: ton semi‑deschis al pielii, spre dreapta, ton semi‑deschis al pielii
🤜🏽	pumn, pumn spre dreapta, pumn spre dreapta: ton mediu al pielii, spre dreapta, ton mediu al pielii
🤜🏾	pumn, pumn spre dreapta, pumn spre dreapta: ton semi‑închis al pielii, spre dreapta, ton semi‑închis al pielii
🤜🏿	pumn, pumn spre dreapta, pumn spre dreapta: ton închis al pielii, spre dreapta, ton închis al pielii
👏	aplauze, mâini, mâini care aplaudă
👏🏻	aplauze, mâini, mâini care aplaudă, mâini care aplaudă: ton deschis al pielii, ton deschis al pielii
👏🏼	aplauze, mâini, mâini care aplaudă, mâini care aplaudă: ton semi‑deschis al pielii, ton semi‑deschis al pielii
👏🏽	aplauze, mâini, mâini care aplaudă, mâini care aplaudă: ton mediu al pielii, ton mediu al pielii
👏🏾	aplauze, mâini, mâini care aplaudă, mâini care aplaudă: ton semi‑închis al pielii, ton semi‑închis al pielii
👏🏿	aplauze, mâini, mâini care aplaudă, mâini care aplaudă: ton închis al pielii, ton închis al pielii
🙌	mâini, mâini ridicate, ridicat, sărbătoare, ura
🙌🏻	mâini, mâini ridicate, mâini ridicate: ton deschis al pielii, ridicat, sărbătoare, ton deschis al pielii, ura
🙌🏼	mâini, mâini ridicate, mâini ridicate: ton semi‑deschis al pielii, ridicat, sărbătoare, ton semi‑deschis al pielii, ura
🙌🏽	mâini, mâini ridicate, mâini ridicate: ton mediu al pielii, ridicat, sărbătoare, ton mediu al pielii, ura
🙌🏾	mâini, mâini ridicate, mâini ridicate: ton semi‑închis al pielii, ridicat, sărbătoare, ton semi‑închis al pielii, ura
🙌🏿	mâini, mâini ridicate, mâini ridicate: ton închis al pielii, ridicat, sărbătoare, ton închis al pielii, ura
👐	deschise, mână, palme, palme deschise
👐🏻	deschise, mână, palme, palme deschise: ton deschis al pielii, ton deschis al pielii
👐🏼	deschise, mână, palme, palme deschise: ton semi‑deschis al pielii, ton semi‑deschis al pielii
👐🏽	deschise, mână, palme, palme deschise: ton mediu al pielii, ton mediu al pielii
👐🏾	deschise, mână, palme, palme deschise: ton semi‑închis al pielii, ton semi‑închis al pielii
👐🏿	deschise, mână, palme, palme deschise: ton închis al pielii, ton închis al pielii
🤲	palme ridicate împreună, rugăciune
🤲🏻	palme ridicate împreună, palme ridicate împreună: ton deschis al pielii, rugăciune, ton deschis al pielii
🤲🏼	palme ridicate împreună, palme ridicate împreună: ton semi‑deschis al pielii, rugăciune, ton semi‑deschis al pielii
🤲🏽	palme ridicate împreună, palme ridicate împreună: ton mediu al pielii, rugăciune, ton mediu al pielii
🤲🏾	palme ridicate împreună, palme ridicate împreună: ton semi‑închis al pielii, rugăciune, ton semi‑închis al pielii
🤲🏿	palme ridicate împreună, palme ridicate împreună: ton închis al pielii, rugăciune, ton închis al pielii
🤝	acord, mână, noroc, strângere de mână, întâlnire, înțelegere
