😀	დაკრეჭა, დაკრეჭილი, დაკრეჭილი სახე, სახე
🥱	დამთქნარება, დაღლილი, მთქნარება, მოწყენილი
😤	გამარჯვება, სახე, სახე ცხვირიდან გამომავალი ორთქლით, ტრიუმფი
😡	გაბერილი სახე, გაბრაზებული, განრისხებული, სახე, შეშლილი, წითელი
😠	გაბრაზებული, გაბრაზებული სახე, სახე, შეშლილი
🤬	გინება, ლანძღვა, სახე პირზე აფარებული სიმბოლოებით
😈	ზღაპარი, მომღიმარე სახე რქებით, რქები, სახე, ფანტაზია, ფანტასტიკა, ღიმილი
👿	დემონი, ეშმაკი, ეშმაკუნა, ზღაპარი, სახე, ფანტაზია, ფანტასტიკა
💀	ზღაპარი, თავის ქალა, მონსტრი, სახე, სიკვდილი, სხეული, ტანი
☠️	თავის ქალა, თავის ქალა და გადაჯვარედინებული ძვლები, მონსტრი, სახე, სიკვდილი, სხეული, ტანი, ძვალი
💩	განავალი, განავლის გროვა, მონსტრი, ნაკელი, სასაცილო, სახე, ყაყა
🤡	სახე, ჯამბაზი, ჯამბაზის სახე
👹	არსება, ზღაპარი, იაპონური, კაციჭამია-გოლიათი, მონსტრი, სახე, ფანტაზია, ფანტასტიკა
👺	არსება, გობლინი, ზღაპარი, იაპონური, მონსტრი, სახე, ფანტაზია, ფანტასტიკა
👻	არსება, ზღაპარი, მონსტრი, მოჩვენება, სახე, ფანტაზია, ფანტასტიკა
👽️	ამო, არსება, ზღაპარი, კოსმოსი, მონსტრი, სახე, უცხოპლანეტელი, ფანტაზია, ფანტასტიკა
👾	ამო, არსება, ზღაპარი, კოსმოსი, მონსტრი, სახე, უცხოპლანეტელი, უცხოპლანეტელი მონსტრი, ფანტაზია, ფანტასტიკა
🤖	მონსტრი, რობოტი, რობოტის სახე, სახე
😺	კატა, კატის მომღიმარე სახე ღია პირით, პირი, პირღია, სახე, ღია, ღიმილი
😸	დაკრეჭა, დაკრეჭილი, თვალი, კატა, კატის დაკრეჭილი სახე მომღიმარე თვალებით, სახე, ღიმილი
😹	კატა, კატის სახე სიხარულის ცრემლებით, მხიარული, სახე, სიხარული, ცრემლი, ცრემლიანი
😻	გული, თვალი, კატა, კატის მომღიმარე სახე გულის ფორმის თვალებით, სახე, სიყვარული, ღიმილი
😼	ირონიული, კატა, კატის სახე უხალისო ღიმილით, სახე, უხალისო, ღიმილი
😽	თვალი, კატა, კატის კოცნის გამომხატველი სახე დახუჭული თვალებით, კოცნა, სახე
🙀	გაოცებული, დაქანცული, კატა, კატის დაქანცული სახე, სახე
😿	კატა, კატის მტირალა სახე, მწუხარება, სახე, ტირილი, ცრემლი, ცრემლიანი
😾	გაბერილი, კატა, კატის გაბერილი სახე, სახე
🙈	აკრძალვა, აკრძალულია, არა, არდანახვა, ბოროტი, მაიმუნი, ჟესტი, სახე, ხედვა
🙉	აკრძალვა, აკრძალულია, არა, არმოსმენა, ბოროტი, მაიმუნი, მოსმენა, ჟესტი, სახე
🙊	აკრძალვა, აკრძალულია, არა, ართქმა, ბოროტი, ლაპარაკი, მაიმუნი, ჟესტი, სახე
💋	გული, კოცნა, კოცნის კვალი, ნიშანი, რომანტიკა, ტუჩები
💌	გული, რომანტიკა, სასიყვარულო წერილი, სიყვარული, ფოსტა, წერილი
💘	გული, გული ისრით, ისარი, კუპიდონი, რომანტიკა
💝	გული, გული ლენტით, ვალენტინობა, ლენტი
💖	აღელვებული, ბრწყინვა, გული, მბრწყინავი გული
💗	აღელვებული, გული, გულის პულსი, მზარდი, მზარდი გული, ნერვიული
💓	გული, გულისცემა, მფეთქავი გული, პულსი, ფეთქვა
💞	გული, მბრუნავი, მბრუნავი გულები
💕	გული, ორი გული, სიყვარული
💟	გული, გულის დეკორაცია
❣️	გული, გულის ფორმის მსხვილი ძახილის ნიშანი, ნიშანი, პუნქტუაცია, ძახილი
💔	გატეხვა, გატეხილი, გატეხილი გული, გული
❤️	გული, წითელი გული
🧡	ნარინჯისფერი, ნარინჯისფერი გული
💛	გული, ყვითელი, ყვითელი გული
💚	გული, მწვანე, მწვანე გული
💙	გული, ლურჯი, ლურჯი გული, ცისფერი
💜	გული, იასამნისფერი, იასამნისფერი გული, იისფერი, მეწამული
🤎	გული, ყავისფერი, ყავისფერი გული
🖤	ალქაჯი, ბოროტი, გული, შავი, შავი გული
🤍	გული, თეთრი, თეთრი გული
💯	100, ასი, ასი ქულა, სავსე, ქულა
💢	გაბრაზებული, სასაცილო, სიბრაზის სიმბოლო, შეშლილი
💥	სასაცილო, შეჯახება
💫	გაბრუებული, ვარსკვლავი, სასაცილო
💦	ოფლი, ოფლიანი, ოფლის წვეთები, სასაცილო
💨	მოწყვეტა, სასაცილო, სირბილი, ტირე
🕳️	ხვრელი
💣️	ბომბი, სასაცილო
💬	ბუშტი, დიალოგი, ლაპარაკი, სასაცილო, საუბრის ბუშტი
👁‍🗨	თვალი, თვალი, საუბრის ბუშტში, მოწმე, საუბრის ბუჭტი
🗨️	დიალოგი, ლაპარაკი, საუბრის მარცხენა ბუშტი
🗯️	ბუშტი, გაბრაზებული, სიბრაზის მარჯვენა ბუშტი, შეშლილი
💭	აზრი, ბუშტი, სასაცილო, ფიქრის ბუშტი
💤	zzz, სასაცილო, ძილი
👋	სხეული, ტალღა, ტანი, ქნევა, ხელი, ხელის ქნევა
👋🏻	კანის ღია ტონალობა, სხეული, ტალღა, ტანი, ქნევა, ხელი, ხელის ქნევა, ხელის ქნევა: კანის ღია ტონალობა
👋🏼	სხეული, ტალღა, ტანი, ქნევა, ღიადან საშუალომდე კანის ტონალობა, ხელი, ხელის ქნევა, ხელის ქნევა: ღიადან საშუალომდე კანის ტონალობა
👋🏽	კანის საშუალო ტონალობა, სხეული, ტალღა, ტანი, ქნევა, ხელი, ხელის ქნევა, ხელის ქნევა: კანის საშუალო ტონალობა
👋🏾	საშუალოდან მუქამდე კანის ტონალობა, სხეული, ტალღა, ტანი, ქნევა, ხელი, ხელის ქნევა, ხელის ქნევა: საშუალოდან მუქამდე კანის ტონალობა
👋🏿	კანის მუქი ტონალობა, სხეული, ტალღა, ტანი, ქნევა, ხელი, ხელის ქნევა, ხელის ქნევა: კანის მუქი ტონალობა
🤚	აწეული, აწეული ხელის ზურგიდან, ხელის ზურგი
🤚🏻	აწეული, აწეული ხელის ზურგიდან, აწეული ხელის ზურგიდან: კანის ღია ტონალობა, კანის ღია ტონალობა, ხელის ზურგი
🤚🏼	აწეული, აწეული ხელის ზურგიდან, აწეული ხელის ზურგიდან: ღიადან საშუალომდე კანის ტონალობა, ღიადან საშუალომდე კანის ტონალობა, ხელის ზურგი
🤚🏽	აწეული, აწეული ხელის ზურგიდან, აწეული ხელის ზურგიდან: კანის საშუალო ტონალობა, კანის საშუალო ტონალობა, ხელის ზურგი
🤚🏾	აწეული, აწეული ხელის ზურგიდან, აწეული ხელის ზურგიდან: საშუალოდან მუქამდე კანის ტონალობა, საშუალოდან მუქამდე კანის ტონალობა, ხელის ზურგი
🤚🏿	აწეული, აწეული ხელის ზურგიდან, აწეული ხელის ზურგიდან: კანის მუქი ტონალობა, კანის მუქი ტონალობა, ხელის ზურგი
🖐️	აწეული ხელი გაშლილი თითებით, გაშლილი, თითი, სხეული, ტანი, ხელი
🖐🏻	აწეული ხელი გაშლილი თითებით, აწეული ხელი გაშლილი თითებით: კანის ღია ტონალობა, გაშლილი, თითი, კანის ღია ტონალობა, სხეული, ტანი, ხელი
🖐🏼	აწეული ხელი გაშლილი თითებით, აწეული ხელი გაშლილი თითებით: ღიადან საშუალომდე კანის ტონალობა, გაშლილი, თითი, სხეული, ტანი, ღიადან საშუალომდე კანის ტონალობა, ხელი
🖐🏽	აწეული ხელი გაშლილი თითებით, აწეული ხელი გაშლილი თითებით: კანის საშუალო ტონალობა, გაშლილი, თითი, კანის საშუალო ტონალობა, სხეული, ტანი, ხელი
🖐🏾	აწეული ხელი გაშლილი თითებით, აწეული ხელი გაშლილი თითებით: საშუალოდან მუქამდე კანის ტონალობა, გაშლილი, თითი, საშუალოდან მუქამდე კანის ტონალობა, სხეული, ტანი, ხელი
🖐🏿	აწეული ხელი გაშლილი თითებით, აწეული ხელი გაშლილი თითებით: კანის მუქი ტონალობა, გაშლილი, თითი, კანის მუქი ტონალობა, სხეული, ტანი, ხელი
✋	აწეული ხელი, სხეული, ტანი, ხელი
✋🏻	აწეული ხელი, აწეული ხელი: კანის ღია ტონალობა, კანის ღია ტონალობა, სხეული, ტანი, ხელი
✋🏼	აწეული ხელი, აწეული ხელი: ღიადან საშუალომდე კანის ტონალობა, სხეული, ტანი, ღიადან საშუალომდე კანის ტონალობა, ხელი
✋🏽	აწეული ხელი, აწეული ხელი: კანის საშუალო ტონალობა, კანის საშუალო ტონალობა, სხეული, ტანი, ხელი
✋🏾	აწეული ხელი, აწეული ხელი: საშუალოდან მუქამდე კანის ტონალობა, საშუალოდან მუქამდე კანის ტონალობა, სხეული, ტანი, ხელი
✋🏿	აწეული ხელი, აწეული ხელი: კანის მუქი ტონალობა, კანის მუქი ტონალობა, სხეული, ტანი, ხელი
🖖	ვულკანელების მისალმება, თითი, მისალმება, სხეული, ტანი, ხელი
🖖🏻	ვულკანელების მისალმება, ვულკანელების მისალმება: კანის ღია ტონალობა, თითი, კანის ღია ტონალობა, მისალმება, სხეული, ტანი, ხელი
🖖🏼	ვულკანელების მისალმება, ვულკანელების მისალმება: ღიადან საშუალომდე კანის ტონალობა, თითი, მისალმება, სხეული, ტანი, ღიადან საშუალომდე კანის ტონალობა, ხელი
🖖🏽	ვულკანელების მისალმება, ვულკანელების მისალმება: კანის საშუალო ტონალობა, თითი, კანის საშუალო ტონალობა, მისალმება, სხეული, ტანი, ხელი
🖖🏾	ვულკანელების მისალმება, ვულკანელების მისალმება: საშუალოდან მუქამდე კანის ტონალობა, თითი, მისალმება, საშუალოდან მუქამდე კანის ტონალობა, სხეული, ტანი, ხელი
🖖🏿	ვულკანელების მისალმება, ვულკანელების მისალმება: კანის მუქი ტონალობა, თითი, კანის მუქი ტონალობა, მისალმება, სხეული, ტანი, ხელი
👌	კარგი, ო’ქეის ჟესტი ხელით, სხეული, ტანი, ხელი
👌🏻	კანის ღია ტონალობა, კარგი, ო’ქეის ჟესტი ხელით, ო’ქეის ჟესტი ხელით: კანის ღია ტონალობა, სხეული, ტანი, ხელი
👌🏼	კარგი, ო’ქეის ჟესტი ხელით, ო’ქეის ჟესტი ხელით: ღიადან საშუალომდე კანის ტონალობა, სხეული, ტანი, ღიადან საშუალომდე კანის ტონალობა, ხელი
👌🏽	კანის საშუალო ტონალობა, კარგი, ო’ქეის ჟესტი ხელით, ო’ქეის ჟესტი ხელით: კანის საშუალო ტონალობა, სხეული, ტანი, ხელი
👌🏾	კარგი, ო’ქეის ჟესტი ხელით, ო’ქეის ჟესტი ხელით: საშუალოდან მუქამდე კანის ტონალობა, საშუალოდან მუქამდე კანის ტონალობა, სხეული, ტანი, ხელი
👌🏿	კანის მუქი ტონალობა, კარგი, ო’ქეის ჟესტი ხელით, ო’ქეის ჟესტი ხელით: კანის მუქი ტონალობა, სხეული, ტანი, ხელი
🤏	პატარა, ცოტა, ცოტაოდენი
🤏🏻	კანის ღია ტონალობა, პატარა, ცოტა, ცოტა: კანის ღია ტონალობა, ცოტაოდენი
🤏🏼	პატარა, ღიადან საშუალომდე კანის ტონალობა, ცოტა, ცოტა: ღიადან საშუალომდე კანის ტონალობა, ცოტაოდენი
🤏🏽	კანის საშუალო ტონალობა, პატარა, ცოტა, ცოტა: კანის საშუალო ტონალობა, ცოტაოდენი
🤏🏾	პატარა, საშუალოდან მუქამდე კანის ტონალობა, ცოტა, ცოტა: საშუალოდან მუქამდე კანის ტონალობა, ცოტაოდენი
🤏🏿	კანის მუქი ტონალობა, პატარა, ცოტა, ცოტა: კანის მუქი ტონალობა, ცოტაოდენი
✌️	v, გამარჯვება, გამარჯვების გამოხატვა ხელით, სხეული, ტანი, ხელი
✌🏻	v, გამარჯვება, გამარჯვების გამოხატვა ხელით, გამარჯვების გამოხატვა ხელით: კანის ღია ტონალობა, კანის ღია ტონალობა, სხეული, ტანი, ხელი
✌🏼	v, გამარჯვება, გამარჯვების გამოხატვა ხელით, გამარჯვების გამოხატვა ხელით: ღიადან საშუალომდე კანის ტონალობა, სხეული, ტანი, ღიადან საშუალომდე კანის ტონალობა, ხელი
✌🏽	v, გამარჯვება, გამარჯვების გამოხატვა ხელით, გამარჯვების გამოხატვა ხელით: კანის საშუალო ტონალობა, კანის საშუალო ტონალობა, სხეული, ტანი, ხელი
✌🏾	v, გამარჯვება, გამარჯვების გამოხატვა ხელით, გამარჯვების გამოხატვა ხელით: საშუალოდან მუქამდე კანის ტონალობა, საშუალოდან მუქამდე კანის ტონალობა, სხეული, ტანი, ხელი
✌🏿	v, გამარჯვება, გამარჯვების გამოხატვა ხელით, გამარჯვების გამოხატვა ხელით: კანის მუქი ტონალობა, კანის მუქი ტონალობა, სხეული, ტანი, ხელი
🤞	გადაჯვარედინება, გადაჯვარედინებული თითები, თითი, იღბალი, ხელი
🤞🏻	გადაჯვარედინება, გადაჯვარედინებული თითები, გადაჯვარედინებული თითები: კანის ღია ტონალობა, თითი, იღბალი, კანის ღია ტონალობა, ხელი
🤞🏼	გადაჯვარედინება, გადაჯვარედინებული თითები, გადაჯვარედინებული თითები: ღიადან საშუალომდე კანის ტონალობა, თითი, იღბალი, ღიადან საშუალომდე კანის ტონალობა, ხელი
🤞🏽	გადაჯვარედინება, გადაჯვარედინებული თითები, გადაჯვარედინებული თითები: კანის საშუალო ტონალობა, თითი, იღბალი, კანის საშუალო ტონალობა, ხელი
🤞🏾	გადაჯვარედინება, გადაჯვარედინებული თითები, გადაჯვარედინებული თითები: საშუალოდან მუქამდე კანის ტონალობა, თითი, იღბალი, საშუალოდან მუქამდე კანის ტონალობა, ხელი
🤞🏿	გადაჯვარედინება, გადაჯვარედინებული თითები, გადაჯვარედინებული თითები: კანის მუქი ტონალობა, თითი, იღბალი, კანის მუქი ტონალობა, ხელი
🤟	მიყვარხარ, ჟესტი „მიყვარხარ“, ხელი
🤟🏻	კანის ღია ტონალობა, მიყვარხარ, ჟესტი „მიყვარხარ“, ჟესტი „მიყვარხარ“: კანის ღია ტონალობა, ხელი
🤟🏼	მიყვარხარ, ჟესტი „მიყვარხარ“, ჟესტი „მიყვარხარ“: ღიადან საშუალომდე კანის ტონალობა, ღიადან საშუალომდე კანის ტონალობა, ხელი
🤟🏽	კანის საშუალო ტონალობა, მიყვარხარ, ჟესტი „მიყვარხარ“, ჟესტი „მიყვარხარ“: კანის საშუალო ტონალობა, ხელი
🤟🏾	მიყვარხარ, ჟესტი „მიყვარხარ“, ჟესტი „მიყვარხარ“: საშუალოდან მუქამდე კანის ტონალობა, საშუალოდან მუქამდე კანის ტონალობა, ხელი
🤟🏿	კანის მუქი ტონალობა, მიყვარხარ, ჟესტი „მიყვარხარ“, ჟესტი „მიყვარხარ“: კანის მუქი ტონალობა, ხელი
🤘	თითი, როკი, რქები, რქების ნიშანი, სხეული, ტანი, ხელი
🤘🏻	თითი, კანის ღია ტონალობა, როკი, რქები, რქების ნიშანი, რქების ნიშანი: კანის ღია ტონალობა, სხეული, ტანი, ხელი
🤘🏼	თითი, როკი, რქები, რქების ნიშანი, რქების ნიშანი: ღიადან საშუალომდე კანის ტონალობა, სხეული, ტანი, ღიადან საშუალომდე კანის ტონალობა, ხელი
🤘🏽	თითი, კანის საშუალო ტონალობა, როკი, რქები, რქების ნიშანი, რქების ნიშანი: კანის საშუალო ტონალობა, სხეული, ტანი, ხელი
🤘🏾	თითი, როკი, რქები, რქების ნიშანი, რქების ნიშანი: საშუალოდან მუქამდე კანის ტონალობა, საშუალოდან მუქამდე კანის ტონალობა, სხეული, ტანი, ხელი
🤘🏿	თითი, კანის მუქი ტონალობა, როკი, რქები, რქების ნიშანი, რქების ნიშანი: კანის მუქი ტონალობა, სხეული, ტანი, ხელი
🤙	დარეკვა, ხელი, „დამირეკე“ ჟესტი
🤙🏻	დარეკვა, კანის ღია ტონალობა, ხელი, „დამირეკე“ ჟესტი, „დამირეკე“ ჟესტი: კანის ღია ტონალობა
🤙🏼	დარეკვა, ღიადან საშუალომდე კანის ტონალობა, ხელი, „დამირეკე“ ჟესტი, „დამირეკე“ ჟესტი: ღიადან საშუალომდე კანის ტონალობა
🤙🏽	დარეკვა, კანის საშუალო ტონალობა, ხელი, „დამირეკე“ ჟესტი, „დამირეკე“ ჟესტი: კანის საშუალო ტონალობა
🤙🏾	დარეკვა, საშუალოდან მუქამდე კანის ტონალობა, ხელი, „დამირეკე“ ჟესტი, „დამირეკე“ ჟესტი: საშუალოდან მუქამდე კანის ტონალობა
🤙🏿	დარეკვა, კანის მუქი ტონალობა, ხელი, „დამირეკე“ ჟესტი, „დამირეკე“ ჟესტი: კანის მუქი ტონალობა
👈️	თითი, მითითება, საჩვენებელი, სხეული, ტანი, ხელი, ხელის ზურგიდან მარხცნივ გაშვერილი საჩვენებელი თითი
👈🏻	თითი, კანის ღია ტონალობა, მითითება, საჩვენებელი, სხეული, ტანი, ხელი, ხელის ზურგიდან მარხცნივ გაშვერილი საჩვენებელი თითი, ხელის ზურგიდან მარხცნივ გაშვერილი საჩვენებელი თითი: კანის ღია ტონალობა
👈🏼	თითი, მითითება, საჩვენებელი, სხეული, ტანი, ღიადან საშუალომდე კანის ტონალობა, ხელი, ხელის ზურგიდან მარხცნივ გაშვერილი საჩვენებელი თითი, ხელის ზურგიდან მარხცნივ გაშვერილი საჩვენებელი თითი: ღიადან საშუალომდე კანის ტონალობა
👈🏽	თითი, კანის საშუალო ტონალობა, მითითება, საჩვენებელი, სხეული, ტანი, ხელი, ხელის ზურგიდან მარხცნივ გაშვერილი საჩვენებელი თითი, ხელის ზურგიდან მარხცნივ გაშვერილი საჩვენებელი თითი: კანის საშუალო ტონალობა
👈🏾	თითი, მითითება, საშუალოდან მუქამდე კანის ტონალობა, საჩვენებელი, სხეული, ტანი, ხელი, ხელის ზურგიდან მარხცნივ გაშვერილი საჩვენებელი თითი, ხელის ზურგიდან მარხცნივ გაშვერილი საჩვენებელი თითი: საშუალოდან მუქამდე კანის ტონალობა
👈🏿	თითი, კანის მუქი ტონალობა, მითითება, საჩვენებელი, სხეული, ტანი, ხელი, ხელის ზურგიდან მარხცნივ გაშვერილი საჩვენებელი თითი, ხელის ზურგიდან მარხცნივ გაშვერილი საჩვენებელი თითი: კანის მუქი ტონალობა
👉️	თითი, მითითება, საჩვენებელი, სხეული, ტანი, ხელი, ხელის ზურგი, ხელის ზურგიდან მარჯვნივ გაშვერილი საჩვენებელი თითი
👉🏻	თითი, კანის ღია ტონალობა, მითითება, საჩვენებელი, სხეული, ტანი, ხელი, ხელის ზურგი, ხელის ზურგიდან მარჯვნივ გაშვერილი საჩვენებელი თითი, ხელის ზურგიდან მარჯვნივ გაშვერილი საჩვენებელი თითი: კანის ღია ტონალობა
