😀	মুখ, হাঁহি, হাস্য মুখী
🤚🏿	ক’লা ছালৰ ৰং, হাত তোলা, হাত দঙা, হাতৰ পিছফাল, হাতৰ পিছফাল: ক’লা ছালৰ ৰং
🖐️	আঙুলি, আঙুলি প্ৰসাৰিত কৰি হাত মেলা, প্ৰসাৰিত, হাত
🖐🏻	আঙুলি, আঙুলি প্ৰসাৰিত কৰি হাত মেলা, আঙুলি প্ৰসাৰিত কৰি হাত মেলা: পাতল ছালৰ ৰং, পাতল ছালৰ ৰং, প্ৰসাৰিত, হাত
🖐🏼	আঙুলি, আঙুলি প্ৰসাৰিত কৰি হাত মেলা, আঙুলি প্ৰসাৰিত কৰি হাত মেলা: মধ্যমীয়া-পাতল ছালৰ ৰং, প্ৰসাৰিত, মধ্যমীয়া-পাতল ছালৰ ৰং, হাত
🖐🏽	আঙুলি, আঙুলি প্ৰসাৰিত কৰি হাত মেলা, আঙুলি প্ৰসাৰিত কৰি হাত মেলা: মধ্যমীয়া ছালৰ ৰং, প্ৰসাৰিত, মধ্যমীয়া ছালৰ ৰং, হাত
🖐🏾	আঙুলি, আঙুলি প্ৰসাৰিত কৰি হাত মেলা, আঙুলি প্ৰসাৰিত কৰি হাত মেলা: মধ্যমীয়া-ক’লা ছালৰ ৰং, প্ৰসাৰিত, মধ্যমীয়া-ক’লা ছালৰ ৰং, হাত
🖐🏿	আঙুলি, আঙুলি প্ৰসাৰিত কৰি হাত মেলা, আঙুলি প্ৰসাৰিত কৰি হাত মেলা: ক’লা ছালৰ ৰং, ক’লা ছালৰ ৰং, প্ৰসাৰিত, হাত
✋	অনুগ্ৰহ কৰি ৰখক, হাত
✋🏻	অনুগ্ৰহ কৰি ৰখক, অনুগ্ৰহ কৰি ৰখক: পাতল ছালৰ ৰং, পাতল ছালৰ ৰং, হাত
✋🏼	অনুগ্ৰহ কৰি ৰখক, অনুগ্ৰহ কৰি ৰখক: মধ্যমীয়া-পাতল ছালৰ ৰং, মধ্যমীয়া-পাতল ছালৰ ৰং, হাত
✋🏽	অনুগ্ৰহ কৰি ৰখক, অনুগ্ৰহ কৰি ৰখক: মধ্যমীয়া ছালৰ ৰং, মধ্যমীয়া ছালৰ ৰং, হাত
✋🏾	অনুগ্ৰহ কৰি ৰখক, অনুগ্ৰহ কৰি ৰখক: মধ্যমীয়া-ক’লা ছালৰ ৰং, মধ্যমীয়া-ক’লা ছালৰ ৰং, হাত
✋🏿	অনুগ্ৰহ কৰি ৰখক, অনুগ্ৰহ কৰি ৰখক: ক’লা ছালৰ ৰং, ক’লা ছালৰ ৰং, হাত
🖖	আঙুলি, ভল্কান, ভল্কান ছেলুট, স্প’ক, হাত
🖖🏻	আঙুলি, পাতল ছালৰ ৰং, ভল্কান, ভল্কান ছেলুট, ভল্কান ছেলুট: পাতল ছালৰ ৰং, স্প’ক, হাত
🖖🏼	আঙুলি, ভল্কান, ভল্কান ছেলুট, ভল্কান ছেলুট: মধ্যমীয়া-পাতল ছালৰ ৰং, মধ্যমীয়া-পাতল ছালৰ ৰং, স্প’ক, হাত
🖖🏽	আঙুলি, ভল্কান, ভল্কান ছেলুট, ভল্কান ছেলুট: মধ্যমীয়া ছালৰ ৰং, মধ্যমীয়া ছালৰ ৰং, স্প’ক, হাত
🖖🏾	আঙুলি, ভল্কান, ভল্কান ছেলুট, ভল্কান ছেলুট: মধ্যমীয়া-ক’লা ছালৰ ৰং, মধ্যমীয়া-ক’লা ছালৰ ৰং, স্প’ক, হাত
🖖🏿	আঙুলি, ক’লা ছালৰ ৰং, ভল্কান, ভল্কান ছেলুট, ভল্কান ছেলুট: ক’লা ছালৰ ৰং, স্প’ক, হাত
👌	ঠিক আছে, বঢ়িয়া, হাত
👌🏻	ঠিক আছে, ঠিক আছে: পাতল ছালৰ ৰং, পাতল ছালৰ ৰং, বঢ়িয়া, হাত
👌🏼	ঠিক আছে, ঠিক আছে: মধ্যমীয়া-পাতল ছালৰ ৰং, বঢ়িয়া, মধ্যমীয়া-পাতল ছালৰ ৰং, হাত
👌🏽	ঠিক আছে, ঠিক আছে: মধ্যমীয়া ছালৰ ৰং, বঢ়িয়া, মধ্যমীয়া ছালৰ ৰং, হাত
👌🏾	ঠিক আছে, ঠিক আছে: মধ্যমীয়া-ক’লা ছালৰ ৰং, বঢ়িয়া, মধ্যমীয়া-ক’লা ছালৰ ৰং, হাত
👌🏿	ক’লা ছালৰ ৰং, ঠিক আছে, ঠিক আছে: ক’লা ছালৰ ৰং, বঢ়িয়া, হাত
🤏	কম পৰিমাণ, টিপা মাৰি ৰখা হাতৰ চিহ্ন
🤏🏻	কম পৰিমাণ, টিপা মাৰি ৰখা হাতৰ চিহ্ন, টিপা মাৰি ৰখা হাতৰ চিহ্ন: পাতল ছালৰ ৰং, পাতল ছালৰ ৰং
🤏🏼	কম পৰিমাণ, টিপা মাৰি ৰখা হাতৰ চিহ্ন, টিপা মাৰি ৰখা হাতৰ চিহ্ন: মধ্যমীয়া-পাতল ছালৰ ৰং, মধ্যমীয়া-পাতল ছালৰ ৰং
🤏🏽	কম পৰিমাণ, টিপা মাৰি ৰখা হাতৰ চিহ্ন, টিপা মাৰি ৰখা হাতৰ চিহ্ন: মধ্যমীয়া ছালৰ ৰং, মধ্যমীয়া ছালৰ ৰং
🤏🏾	কম পৰিমাণ, টিপা মাৰি ৰখা হাতৰ চিহ্ন, টিপা মাৰি ৰখা হাতৰ চিহ্ন: মধ্যমীয়া-ক’লা ছালৰ ৰং, মধ্যমীয়া-ক’লা ছালৰ ৰং
🤏🏿	কম পৰিমাণ, ক’লা ছালৰ ৰং, টিপা মাৰি ৰখা হাতৰ চিহ্ন, টিপা মাৰি ৰখা হাতৰ চিহ্ন: ক’লা ছালৰ ৰং
✌️	বিজয়ী, বিজয়ী হাত, ভি, হাত
✌🏻	পাতল ছালৰ ৰং, বিজয়ী, বিজয়ী হাত: পাতল ছালৰ ৰং, ভি, হাত
✌🏼	বিজয়ী, বিজয়ী হাত: মধ্যমীয়া-পাতল ছালৰ ৰং, ভি, মধ্যমীয়া-পাতল ছালৰ ৰং, হাত
✌🏽	বিজয়ী, বিজয়ী হাত: মধ্যমীয়া ছালৰ ৰং, ভি, মধ্যমীয়া ছালৰ ৰং, হাত
✌🏾	বিজয়ী, বিজয়ী হাত: মধ্যমীয়া-ক’লা ছালৰ ৰং, ভি, মধ্যমীয়া-ক’লা ছালৰ ৰং, হাত
✌🏿	ক’লা ছালৰ ৰং, বিজয়ী, বিজয়ী হাত: ক’লা ছালৰ ৰং, ভি, হাত
🤞	আঙুলি, ক্ৰছ, ক্ৰছ্‌ড ফিঙ্গাৰ্ছ্, ভাগ্য, হাত
🤞🏻	আঙুলি, ক্ৰছ, ক্ৰছ্‌ড ফিঙ্গাৰ্ছ্, ক্ৰছ্‌ড ফিঙ্গাৰ্ছ্: পাতল ছালৰ ৰং, পাতল ছালৰ ৰং, ভাগ্য, হাত
🤞🏼	আঙুলি, ক্ৰছ, ক্ৰছ্‌ড ফিঙ্গাৰ্ছ্, ক্ৰছ্‌ড ফিঙ্গাৰ্ছ্: মধ্যমীয়া-পাতল ছালৰ ৰং, ভাগ্য, মধ্যমীয়া-পাতল ছালৰ ৰং, হাত
🤞🏽	আঙুলি, ক্ৰছ, ক্ৰছ্‌ড ফিঙ্গাৰ্ছ্, ক্ৰছ্‌ড ফিঙ্গাৰ্ছ্: মধ্যমীয়া ছালৰ ৰং, ভাগ্য, মধ্যমীয়া ছালৰ ৰং, হাত
🤞🏾	আঙুলি, ক্ৰছ, ক্ৰছ্‌ড ফিঙ্গাৰ্ছ্, ক্ৰছ্‌ড ফিঙ্গাৰ্ছ্: মধ্যমীয়া-ক’লা ছালৰ ৰং, ভাগ্য, মধ্যমীয়া-ক’লা ছালৰ ৰং, হাত
🤞🏿	আঙুলি, ক্ৰছ, ক্ৰছ্‌ড ফিঙ্গাৰ্ছ্, ক্ৰছ্‌ড ফিঙ্গাৰ্ছ্: ক’লা ছালৰ ৰং, ক’লা ছালৰ ৰং, ভাগ্য, হাত
🤟	প্ৰেম, ভালপোৱাৰ ইঙ্গিত, হাত
🤟🏻	পাতল ছালৰ ৰং, প্ৰেম, ভালপোৱাৰ ইঙ্গিত, ভালপোৱাৰ ইঙ্গিত: পাতল ছালৰ ৰং, হাত
🤟🏼	প্ৰেম, ভালপোৱাৰ ইঙ্গিত, ভালপোৱাৰ ইঙ্গিত: মধ্যমীয়া-পাতল ছালৰ ৰং, মধ্যমীয়া-পাতল ছালৰ ৰং, হাত
🤟🏽	প্ৰেম, ভালপোৱাৰ ইঙ্গিত, ভালপোৱাৰ ইঙ্গিত: মধ্যমীয়া ছালৰ ৰং, মধ্যমীয়া ছালৰ ৰং, হাত
🤟🏾	প্ৰেম, ভালপোৱাৰ ইঙ্গিত, ভালপোৱাৰ ইঙ্গিত: মধ্যমীয়া-ক’লা ছালৰ ৰং, মধ্যমীয়া-ক’লা ছালৰ ৰং, হাত
🤟🏿	ক’লা ছালৰ ৰং, প্ৰেম, ভালপোৱাৰ ইঙ্গিত, ভালপোৱাৰ ইঙ্গিত: ক’লা ছালৰ ৰং, হাত
🤘	আঙুলি, শিং, হাত, হৰ্ণ দিয়াৰ চিহ্ন, ৰক-অন
🤘🏻	আঙুলি, পাতল ছালৰ ৰং, শিং, হাত, হৰ্ণ দিয়াৰ চিহ্ন, হৰ্ণ দিয়াৰ চিহ্ন: পাতল ছালৰ ৰং, ৰক-অন
🤘🏼	আঙুলি, মধ্যমীয়া-পাতল ছালৰ ৰং, শিং, হাত, হৰ্ণ দিয়াৰ চিহ্ন, হৰ্ণ দিয়াৰ চিহ্ন: মধ্যমীয়া-পাতল ছালৰ ৰং, ৰক-অন
🤘🏽	আঙুলি, মধ্যমীয়া ছালৰ ৰং, শিং, হাত, হৰ্ণ দিয়াৰ চিহ্ন, হৰ্ণ দিয়াৰ চিহ্ন: মধ্যমীয়া ছালৰ ৰং, ৰক-অন
🤘🏾	আঙুলি, মধ্যমীয়া-ক’লা ছালৰ ৰং, শিং, হাত, হৰ্ণ দিয়াৰ চিহ্ন, হৰ্ণ দিয়াৰ চিহ্ন: মধ্যমীয়া-ক’লা ছালৰ ৰং, ৰক-অন
🤘🏿	আঙুলি, ক’লা ছালৰ ৰং, শিং, হাত, হৰ্ণ দিয়াৰ চিহ্ন, হৰ্ণ দিয়াৰ চিহ্ন: ক’লা ছালৰ ৰং, ৰক-অন
🤙	কল, ফোন কৰা, হাত
🤙🏻	কল, পাতল ছালৰ ৰং, ফোন কৰা, ফোন কৰা: পাতল ছালৰ ৰং, হাত
🤙🏼	কল, ফোন কৰা, ফোন কৰা: মধ্যমীয়া-পাতল ছালৰ ৰং, মধ্যমীয়া-পাতল ছালৰ ৰং, হাত
🤙🏽	কল, ফোন কৰা, ফোন কৰা: মধ্যমীয়া ছালৰ ৰং, মধ্যমীয়া ছালৰ ৰং, হাত
🤙🏾	কল, ফোন কৰা, ফোন কৰা: মধ্যমীয়া-ক’লা ছালৰ ৰং, মধ্যমীয়া-ক’লা ছালৰ ৰং, হাত
🤙🏿	কল, ক’লা ছালৰ ৰং, ফোন কৰা, ফোন কৰা: ক’লা ছালৰ ৰং, হাত
👈️	আঙুলি, তৰ্জনী, নিৰ্দেশ, বাওঁহাত, বাওঁহাতৰ তৰ্জনী আঙুলি বাওঁফালে নিৰ্দেশ কৰা, হাত
👈🏻	আঙুলি, তৰ্জনী, নিৰ্দেশ, পাতল ছালৰ ৰং, বাওঁহাত, বাওঁহাতৰ তৰ্জনী আঙুলি বাওঁফালে নিৰ্দেশ কৰা, বাওঁহাতৰ তৰ্জনী আঙুলি বাওঁফালে নিৰ্দেশ কৰা: পাতল ছালৰ ৰং, হাত
👈🏼	আঙুলি, তৰ্জনী, নিৰ্দেশ, বাওঁহাত, বাওঁহাতৰ তৰ্জনী আঙুলি বাওঁফালে নিৰ্দেশ কৰা, বাওঁহাতৰ তৰ্জনী আঙুলি বাওঁফালে নিৰ্দেশ কৰা: মধ্যমীয়া-পাতল ছালৰ ৰং, মধ্যমীয়া-পাতল ছালৰ ৰং, হাত
