😀	gülen yüz, gülme, lol, neşeli, sırıtan yüz, yüz
😬	dişlerini gösteren yüz, yüz
🤥	pinokyo, yalan söyleme, yalan söyleyen yüz, yüz
😌	rahatlamış, rahatlamış yüz, yüz
😔	düşünceli, düşünceli yüz, karamsar, yüz
😪	uykulu yüz, yüz
🤤	salya akıtan yüz, salya akıtma, yüz
😴	uykulu yüz, uyuyan yüz, yüz
😷	maske, maskeli yüz, rahatsız, soğuk, tıbbi maske, yüz
🤒	ağzında termometre olan yüz, hasta, termometre, yüz
🤕	bandaj, kafası sarılı yüz, yara, yüz
🤢	istifra, kusmak üzere, kusmak üzere olan yüz, yüz
🤮	hasta, istifra, kusan yüz, kusmak
🤧	hapşıran yüz, hapşırma, yüz, çok yaşa
🥵	ateşi çıkmış, kırmızı yüz, kızarmış yüz, sıcak, sıcak çarpması, terleme
🥶	buz kesme, buz sarkıtları, donma, morarmış yüz, soğuk, üşümüş yüz
🥴	kaymış gözler, sarhoş, sarhoş yüz, sersemlemiş, titreyen ağız, çakırkeyif
😵	sersemlemiş yüz, yüz
🤯	patlayan kafa, şoke
🤠	kadın kovboy, kovboy, kovboy şapkalı yüz, yüz, şapka
🥳	kutlama, parti, parti düdüğü, partide eğlenen yüz, şapka
😎	gülümseme, güneş gözlükleri, güneş gözlükleriyle gülümseme, güneş gözlüklü gülümseme, soğukkanlı Jane, soğukkanlı Joe, yüz
🤓	bilgili, inek öğrenci, ukala, ukala yüz, yüz
🧐	kendini beğenmiş, tek cam gözlüklü yüz
😕	kafası karışmış, kafası karışık yüz, yüz
😟	endişeli yüz, yüz
🙁	asık surat, biraz asık surat, yüz
☹️	asık, asık surat, yüz
😮	ağzı açık, ağzı açık yüz, ağız, yüz
😯	yüz, şaşkın yüz, şaşırmış, şok olmuş
😲	afallamış, afallamış yüz, tamamen şoke olmuş, yüz, şoke olmuş
😳	kızarmış ve şaşkın yüz, kızarmış yüz, yüz, şaşkınlık içinde, şaşırmış
🥺	acıklı bakışlar, merhamet, yalvaran yüz, yalvarma
😦	açık ağızlı hoşnutsuz yüz, ağzı açık, hoşnutsuz, hoşnutsuz yüz, yüz
😧	acı çeken, kederli yüz, yüz
😨	korkmuş, korkulu yüz, yüz
😰	açık ağız, soğuk ter, soğuk ter döken mavi yüz, terli ve endişeli yüz, yüz
😥	canı sıkkın, canı sıkkın ama rahatlamış, rahatlamış, yüz, üzgün ama rahatlamış yüz
😢	ağlayan yüz, gözyaşları, yüz, üzüntülü
😭	avaz avaz ağlayan yüz, ağlama, gözyaşları, yüz
😱	korkmuş, korku, korku içinde bağıran yüz, korkunç, korkuyla haykıran yüz, korkuyla çığlık atan yüz, yüz
😖	kafası çok karışmış, kafası çok karışık yüz, yüz
😣	dayanıklı, kararlı yüz, yüz, zorlanan yüz
😞	kırgın yüz, kırgınlık, memnuniyetsiz yüz, yüz
😓	soğuk ter, soğuk terli yüz, yüz
😩	yorgun yüz, yorulmuş, yüz, çok yorgun
😫	yorgun yüz, yüz
🥱	esneme, esneyen yüz, sıkılmış, yorgun
😤	ben kazandım, ben kazandım yüzü, burnundan soluyan yüz, yüz, zafer
😡	deli gibi, kırmızı somurtkan yüz, kırmızı yüz, somurtkan yüz, yüz, öfkeli
😠	deli gibi, yüz, öfkeli yüz
🤬	ağzında semboller olan yüz, küfür eden
😈	boynuzlar, boynuzlu gülen yüz, gülümseme, yüz
👿	boynuzlu kızgın yüz, küçük şeytan, yüz, şeytan
💀	kafatası, masal, yüz, ölüm
☠️	canavar, kemik, kuru kafa, tehlike, yüz, ölüm
💩	kaka, kaka yığını, pislik, yığın
🤡	palyaço, palyaço yüzü, yüz
👹	canavar, dev, japon canavarı, oni, peri masalı, yüz
👺	canavar, goblin, japon cini, peri masalı, tengu, yüz
👻	hayalet, peri masalı, yüz
👽️	UFO, dünya dışı, fantastik, uzaylı, yaratık, yüz
👾	UFO, canavar, dünya dışı, uzaylı, uzaylı canavar, yaratık, yüz
🤖	canavar, robot, yüz
😺	açık, ağız, gülümseme, kedi, sırıtan, sırıtan kedi, yüz
😸	göz, gülen gözlerle sırıtan kedi, gülümseme, kedi, sırıtma, yüz
😹	göz yaşı, kedi, sevinç, sevinç gözyaşları döken kedi, yüz
😻	aşk, gülümseme, kalp, kalp gözlü gülümseyen kedi, kedi, sevgi, yüz
😼	ironik, iğneleyici, iğneleyici gülümseme, iğneleyici kedi yüzü, kedi, yüz
😽	göz, kedi, yüz, öpen kedi, öpücük
🙀	bezgin, kedi, korkuyla bağıran kedi, yüz, şaşkın
😿	ağlama, ağlayan kedi, göz yaşı, kedi, yüz, üzgün
😾	kedi, somurtan, somurtan kedi, somurtma, yüz
🙈	görmedim, görmeyen maymun, maymun
🙉	duymadım, duymayan maymun, maymun
🙊	bilmiyorum, maymun, söylemeyen maymun
💋	dudaklar, romantizm, öpücük, öpücük izi
💌	aşk mektubu, kalp, kalpli mektup, mektup, romantizm
💘	aşk, duygu, kalp, ok, ok saplanmış kalp
💝	duygu, kalp, kurdele, kurdeleli kalp, sevgililer günü
💖	duygu, heyecanlı, kalp, pırıldayan, pırıldayan kalp
💗	aşk, büyüyen kalp, coşkulu, duygu, kalp, sinirli
💓	aşk, duygu, kalp, çarpan kalp
💞	aşk, dönen, dönen kalpler, kalp, kawaii, sevimli
💕	aşk, aşıklar, duygu, iki kalp
💟	kalp, kalpli dekorasyon
❣️	işaret, kalp, kalp şeklinde ünlem işareti, noktalama, ünlem işareti
💔	duygu, kalp, kırma, kırık kalp, kırılmış
❤️	kalp, kırmızı kalp
🧡	portakal, turuncu kalp
💛	duygu, kalp, sarı, sarı kalp
💚	duygu, kalp, yeşil, yeşil kalp
💙	duygu, kalp, mavi, mavi kalp
💜	duygu, kalp, mor, mor kalp
🤎	kahverengi, kahverengi kalp, kalp
🖤	fena, kalp, kötü, siyah, siyah kalp
🤍	beyaz, beyaz kalp, kalp
💯	100, 100 puan, skor, yüz puan
💢	duygu, çizgi roman, öfke işareti, öfke simgesi, öfkeli
💥	duygu, çarpışma, çarpışma işareti, çizgi roman
💫	baş dönmesi, duygu, yıldızlar, yıldızları görme, çizgi roman
💦	duygu, ter, ter damlası, terli, çizgi roman
💨	duygu, hızla fırlama, kaçma, koşma, çizgi roman
🕳️	delik
💣️	bomba, duygu, çizgi roman
💬	balon, iletişim, iletişim balonu, konuşma balonu, çizgi roman
👁‍🗨	göz, konuşma balonu, konuşma balonunda göz, tanıklık
🗨️	diyalog, konuşma, sol konuşma balonu
🗯️	balon, kızgın, sağ öfke balonu, öfke
💭	balon, düşünce, düşünce balonu, çizgi roman
💤	Zzz, duygu, horlama, uyuma, zzz, çizgi roman
👋	el, el sallama, sallama
👋🏻	açık cilt tonu, el, el sallama: açık cilt tonu, sallama
👋🏼	el, el sallama: orta açık cilt tonu, orta açık cilt tonu, sallama
👋🏽	el, el sallama: orta cilt tonu, orta cilt tonu, sallama
👋🏾	el, el sallama: orta koyu cilt tonu, orta koyu cilt tonu, sallama
👋🏿	el, el sallama: koyu cilt tonu, koyu cilt tonu, sallama
🤚	elinin tersi, elinin tersini kaldırma, kaldırma
🤚🏻	açık cilt tonu, elinin tersi, elinin tersini kaldırma, elinin tersini kaldırma: açık cilt tonu, kaldırma
🤚🏼	elinin tersi, elinin tersini kaldırma, elinin tersini kaldırma: orta açık cilt tonu, kaldırma, orta açık cilt tonu
🤚🏽	elinin tersi, elinin tersini kaldırma, elinin tersini kaldırma: orta cilt tonu, kaldırma, orta cilt tonu
🤚🏾	elinin tersi, elinin tersini kaldırma, elinin tersini kaldırma: orta koyu cilt tonu, kaldırma, orta koyu cilt tonu
🤚🏿	elinin tersi, elinin tersini kaldırma, elinin tersini kaldırma: koyu cilt tonu, kaldırma, koyu cilt tonu
🖐️	avuç, beden, el, parmak, parmaklar açık el kaldırma
🖐🏻	avuç, açık cilt tonu, beden, el, parmak, parmaklar açık el kaldırma, parmaklar açık el kaldırma: açık cilt tonu
🖐🏼	avuç, beden, el, orta açık cilt tonu, parmak, parmaklar açık el kaldırma, parmaklar açık el kaldırma: orta açık cilt tonu
🖐🏽	avuç, beden, el, orta cilt tonu, parmak, parmaklar açık el kaldırma, parmaklar açık el kaldırma: orta cilt tonu
🖐🏾	avuç, beden, el, orta koyu cilt tonu, parmak, parmaklar açık el kaldırma, parmaklar açık el kaldırma: orta koyu cilt tonu
🖐🏿	avuç, beden, el, koyu cilt tonu, parmak, parmaklar açık el kaldırma, parmaklar açık el kaldırma: koyu cilt tonu
✋	el kaldırma, havada el
✋🏻	açık cilt tonu, el kaldırma, el kaldırma: açık cilt tonu, havada el
✋🏼	el kaldırma, el kaldırma: orta açık cilt tonu, havada el, orta açık cilt tonu
✋🏽	el kaldırma, el kaldırma: orta cilt tonu, havada el, orta cilt tonu
✋🏾	el kaldırma, el kaldırma: orta koyu cilt tonu, havada el, orta koyu cilt tonu
✋🏿	el kaldırma, el kaldırma: koyu cilt tonu, havada el, koyu cilt tonu
🖖	Vulkan selamı, beden, el, parmak, spock, vulcan selamı, vulkan
🖖🏻	Vulkan selamı, Vulkan selamı: açık cilt tonu, açık cilt tonu, beden, el, parmak, spock, vulcan selamı, vulkan
🖖🏼	Vulkan selamı, Vulkan selamı: orta açık cilt tonu, beden, el, orta açık cilt tonu, parmak, spock, vulcan selamı, vulkan
🖖🏽	Vulkan selamı, Vulkan selamı: orta cilt tonu, beden, el, orta cilt tonu, parmak, spock, vulcan selamı, vulkan
🖖🏾	Vulkan selamı, Vulkan selamı: orta koyu cilt tonu, beden, el, orta koyu cilt tonu, parmak, spock, vulcan selamı, vulkan
🖖🏿	Vulkan selamı, Vulkan selamı: koyu cilt tonu, beden, el, koyu cilt tonu, parmak, spock, vulcan selamı, vulkan
👌	Tamam, Tamam el işareti, el, işaret, tamam işareti
👌🏻	Tamam, Tamam el işareti, açık cilt tonu, el, işaret, tamam işareti, tamam işareti: açık cilt tonu
👌🏼	Tamam, Tamam el işareti, el, işaret, orta açık cilt tonu, tamam işareti, tamam işareti: orta açık cilt tonu
👌🏽	Tamam, Tamam el işareti, el, işaret, orta cilt tonu, tamam işareti, tamam işareti: orta cilt tonu
👌🏾	Tamam, Tamam el işareti, el, işaret, orta koyu cilt tonu, tamam işareti, tamam işareti: orta koyu cilt tonu
👌🏿	Tamam, Tamam el işareti, el, işaret, koyu cilt tonu, tamam işareti, tamam işareti: koyu cilt tonu
🤏	azıcık, bir tutam, kıstırma hareketi yapan el
🤏🏻	azıcık, açık cilt tonu, bir tutam, kıstırma hareketi yapan el, kıstırma hareketi yapan el: açık cilt tonu
🤏🏼	azıcık, bir tutam, kıstırma hareketi yapan el, kıstırma hareketi yapan el: orta açık cilt tonu, orta açık cilt tonu
🤏🏽	azıcık, bir tutam, kıstırma hareketi yapan el, kıstırma hareketi yapan el: orta cilt tonu, orta cilt tonu
🤏🏾	azıcık, bir tutam, kıstırma hareketi yapan el, kıstırma hareketi yapan el: orta koyu cilt tonu, orta koyu cilt tonu
🤏🏿	azıcık, bir tutam, koyu cilt tonu, kıstırma hareketi yapan el, kıstırma hareketi yapan el: koyu cilt tonu
✌️	oleey, zafer, zafer eli, zafer işareti
✌🏻	açık cilt tonu, oleey, zafer, zafer eli, zafer işareti, zafer işareti: açık cilt tonu
✌🏼	oleey, orta açık cilt tonu, zafer, zafer eli, zafer işareti, zafer işareti: orta açık cilt tonu
✌🏽	oleey, orta cilt tonu, zafer, zafer eli, zafer işareti, zafer işareti: orta cilt tonu
✌🏾	oleey, orta koyu cilt tonu, zafer, zafer eli, zafer işareti, zafer işareti: orta koyu cilt tonu
✌🏿	koyu cilt tonu, oleey, zafer, zafer eli, zafer işareti, zafer işareti: koyu cilt tonu
🤞	el, parmak, çapraz, şans, şans dileme
🤞🏻	açık cilt tonu, el, parmak, çapraz, şans, şans dileme, şans dileme: açık cilt tonu
🤞🏼	el, orta açık cilt tonu, parmak, çapraz, şans, şans dileme, şans dileme: orta açık cilt tonu
🤞🏽	el, orta cilt tonu, parmak, çapraz, şans, şans dileme, şans dileme: orta cilt tonu
🤞🏾	el, orta koyu cilt tonu, parmak, çapraz, şans, şans dileme, şans dileme: orta koyu cilt tonu
🤞🏿	el, koyu cilt tonu, parmak, çapraz, şans, şans dileme, şans dileme: koyu cilt tonu
🤟	SS, el, seni seviyorum işareti
🤟🏻	SS, açık cilt tonu, el, seni seviyorum işareti, seni seviyorum işareti: açık cilt tonu
🤟🏼	SS, el, orta açık cilt tonu, seni seviyorum işareti, seni seviyorum işareti: orta açık cilt tonu
🤟🏽	SS, el, orta cilt tonu, seni seviyorum işareti, seni seviyorum işareti: orta cilt tonu
🤟🏾	SS, el, orta koyu cilt tonu, seni seviyorum işareti, seni seviyorum işareti: orta koyu cilt tonu
🤟🏿	SS, el, koyu cilt tonu, seni seviyorum işareti, seni seviyorum işareti: koyu cilt tonu
🤘	beden, boynuz, boynuz işareti, el, parmak, rock
🤘🏻	açık cilt tonu, beden, boynuz, boynuz işareti, boynuz işareti: açık cilt tonu, el, parmak, rock
🤘🏼	beden, boynuz, boynuz işareti, boynuz işareti: orta açık cilt tonu, el, orta açık cilt tonu, parmak, rock
🤘🏽	beden, boynuz, boynuz işareti, boynuz işareti: orta cilt tonu, el, orta cilt tonu, parmak, rock
🤘🏾	beden, boynuz, boynuz işareti, boynuz işareti: orta koyu cilt tonu, el, orta koyu cilt tonu, parmak, rock
🤘🏿	beden, boynuz, boynuz işareti, boynuz işareti: koyu cilt tonu, el, koyu cilt tonu, parmak, rock
🤙	ara, beni ara işareti, el
🤙🏻	ara, açık cilt tonu, beni ara işareti, beni ara işareti: açık cilt tonu, el
🤙🏼	ara, beni ara işareti, beni ara işareti: orta açık cilt tonu, el, orta açık cilt tonu
🤙🏽	ara, beni ara işareti, beni ara işareti: orta cilt tonu, el, orta cilt tonu
🤙🏾	ara, beni ara işareti, beni ara işareti: orta koyu cilt tonu, el, orta koyu cilt tonu
🤙🏿	ara, beni ara işareti, beni ara işareti: koyu cilt tonu, el, koyu cilt tonu
👈️	elin arkası, elinin tersiyle solu gösteren işaret parmağı, işaret parmağı, parmak, solu gösteren parmak
👈🏻	açık cilt tonu, elin arkası, elinin tersiyle solu gösteren işaret parmağı, elinin tersiyle solu gösteren işaret parmağı: açık cilt tonu, işaret parmağı, parmak, solu gösteren parmak
👈🏼	elin arkası, elinin tersiyle solu gösteren işaret parmağı, elinin tersiyle solu gösteren işaret parmağı: orta açık cilt tonu, işaret parmağı, orta açık cilt tonu, parmak, solu gösteren parmak
👈🏽	elin arkası, elinin tersiyle solu gösteren işaret parmağı, elinin tersiyle solu gösteren işaret parmağı: orta cilt tonu, işaret parmağı, orta cilt tonu, parmak, solu gösteren parmak
👈🏾	elin arkası, elinin tersiyle solu gösteren işaret parmağı, elinin tersiyle solu gösteren işaret parmağı: orta koyu cilt tonu, işaret parmağı, orta koyu cilt tonu, parmak, solu gösteren parmak
👈🏿	elin arkası, elinin tersiyle solu gösteren işaret parmağı, elinin tersiyle solu gösteren işaret parmağı: koyu cilt tonu, işaret parmağı, koyu cilt tonu, parmak, solu gösteren parmak
👉️	elin arkası, elinin tersiyle sağı gösteren işaret parmağı, işaret parmağı, parmak, sağı gösteren parmak
👉🏻	açık cilt tonu, elin arkası, elinin tersiyle sağı gösteren işaret parmağı, elinin tersiyle sağı gösteren işaret parmağı: açık cilt tonu, işaret parmağı, parmak, sağı gösteren parmak
👉🏼	elin arkası, elinin tersiyle sağı gösteren işaret parmağı, elinin tersiyle sağı gösteren işaret parmağı: orta açık cilt tonu, işaret parmağı, orta açık cilt tonu, parmak, sağı gösteren parmak
👉🏽	elin arkası, elinin tersiyle sağı gösteren işaret parmağı, elinin tersiyle sağı gösteren işaret parmağı: orta cilt tonu, işaret parmağı, orta cilt tonu, parmak, sağı gösteren parmak
👉🏾	elin arkası, elinin tersiyle sağı gösteren işaret parmağı, elinin tersiyle sağı gösteren işaret parmağı: orta koyu cilt tonu, işaret parmağı, orta koyu cilt tonu, parmak, sağı gösteren parmak
👉🏿	elin arkası, elinin tersiyle sağı gösteren işaret parmağı, elinin tersiyle sağı gösteren işaret parmağı: koyu cilt tonu, işaret parmağı, koyu cilt tonu, parmak, sağı gösteren parmak
👆️	elin arkası, elinin tersiyle yukarıyı gösteren işaret parmağı, işaret parmağı, parmak, yukarıyı gösteren parmak
👆🏻	açık cilt tonu, elin arkası, elinin tersiyle yukarıyı gösteren işaret parmağı, elinin tersiyle yukarıyı gösteren işaret parmağı: açık cilt tonu, işaret parmağı, parmak, yukarıyı gösteren parmak
👆🏼	elin arkası, elinin tersiyle yukarıyı gösteren işaret parmağı, elinin tersiyle yukarıyı gösteren işaret parmağı: orta açık cilt tonu, işaret parmağı, orta açık cilt tonu, parmak, yukarıyı gösteren parmak
👆🏽	elin arkası, elinin tersiyle yukarıyı gösteren işaret parmağı, elinin tersiyle yukarıyı gösteren işaret parmağı: orta cilt tonu, işaret parmağı, orta cilt tonu, parmak, yukarıyı gösteren parmak
👆🏾	elin arkası, elinin tersiyle yukarıyı gösteren işaret parmağı, elinin tersiyle yukarıyı gösteren işaret parmağı: orta koyu cilt tonu, işaret parmağı, orta koyu cilt tonu, parmak, yukarıyı gösteren parmak
👆🏿	elin arkası, elinin tersiyle yukarıyı gösteren işaret parmağı, elinin tersiyle yukarıyı gösteren işaret parmağı: koyu cilt tonu, işaret parmağı, koyu cilt tonu, parmak, yukarıyı gösteren parmak
🖕	beden, el, orta parmak, parmak
🖕🏻	açık cilt tonu, beden, el, orta parmak, orta parmak: açık cilt tonu, parmak
🖕🏼	beden, el, orta açık cilt tonu, orta parmak, orta parmak: orta açık cilt tonu, parmak
🖕🏽	beden, el, orta cilt tonu, orta parmak, orta parmak: orta cilt tonu, parmak
🖕🏾	beden, el, orta koyu cilt tonu, orta parmak, orta parmak: orta koyu cilt tonu, parmak
🖕🏿	beden, el, koyu cilt tonu, orta parmak, orta parmak: koyu cilt tonu, parmak
👇️	aşağıyı gösteren parmak, elin arkası, elinin tersiyle aşağıyı gösteren işaret parmağı, işaret parmağı, parmak
👇🏻	açık cilt tonu, aşağıyı gösteren parmak, elin arkası, elinin tersiyle aşağıyı gösteren işaret parmağı, elinin tersiyle aşağıyı gösteren işaret parmağı: açık cilt tonu, işaret parmağı, parmak
👇🏼	aşağıyı gösteren parmak, elin arkası, elinin tersiyle aşağıyı gösteren işaret parmağı, elinin tersiyle aşağıyı gösteren işaret parmağı: orta açık cilt tonu, işaret parmağı, orta açık cilt tonu, parmak
👇🏽	aşağıyı gösteren parmak, elin arkası, elinin tersiyle aşağıyı gösteren işaret parmağı, elinin tersiyle aşağıyı gösteren işaret parmağı: orta cilt tonu, işaret parmağı, orta cilt tonu, parmak
👇🏾	aşağıyı gösteren parmak, elin arkası, elinin tersiyle aşağıyı gösteren işaret parmağı, elinin tersiyle aşağıyı gösteren işaret parmağı: orta koyu cilt tonu, işaret parmağı, orta koyu cilt tonu, parmak
👇🏿	aşağıyı gösteren parmak, elin arkası, elinin tersiyle aşağıyı gösteren işaret parmağı, elinin tersiyle aşağıyı gösteren işaret parmağı: koyu cilt tonu, işaret parmağı, koyu cilt tonu, parmak
☝️	beden, el, gösterme, işaret parmağı, parmak, yukarı, yukarıyı gösteren işaret parmağı
☝🏻	açık cilt tonu, beden, el, gösterme, işaret parmağı, parmak, yukarı, yukarıyı gösteren işaret parmağı, yukarıyı gösteren işaret parmağı: açık cilt tonu
☝🏼	beden, el, gösterme, işaret parmağı, orta açık cilt tonu, parmak, yukarı, yukarıyı gösteren işaret parmağı, yukarıyı gösteren işaret parmağı: orta açık cilt tonu
☝🏽	beden, el, gösterme, işaret parmağı, orta cilt tonu, parmak, yukarı, yukarıyı gösteren işaret parmağı, yukarıyı gösteren işaret parmağı: orta cilt tonu
☝🏾	beden, el, gösterme, işaret parmağı, orta koyu cilt tonu, parmak, yukarı, yukarıyı gösteren işaret parmağı, yukarıyı gösteren işaret parmağı: orta koyu cilt tonu
☝🏿	beden, el, gösterme, işaret parmağı, koyu cilt tonu, parmak, yukarı, yukarıyı gösteren işaret parmağı, yukarıyı gösteren işaret parmağı: koyu cilt tonu
👍️	baş parmak, baş parmak yukarıda, el, işaret, yukarı
👍🏻	açık cilt tonu, baş parmak, baş parmak yukarıda, baş parmak yukarıda: açık cilt tonu, el, işaret, yukarı
👍🏼	baş parmak, baş parmak yukarıda, baş parmak yukarıda: orta açık cilt tonu, el, işaret, orta açık cilt tonu, yukarı
👍🏽	baş parmak, baş parmak yukarıda, baş parmak yukarıda: orta cilt tonu, el, işaret, orta cilt tonu, yukarı
👍🏾	baş parmak, baş parmak yukarıda, baş parmak yukarıda: orta koyu cilt tonu, el, işaret, orta koyu cilt tonu, yukarı
👍🏿	baş parmak, baş parmak yukarıda, baş parmak yukarıda: koyu cilt tonu, el, işaret, koyu cilt tonu, yukarı
👎️	aşağı, baş parmak, baş parmak aşağıda, el, işaret
👎🏻	açık cilt tonu, aşağı, baş parmak, baş parmak aşağıda, baş parmak aşağıda: açık cilt tonu, el, işaret
👎🏼	aşağı, baş parmak, baş parmak aşağıda, baş parmak aşağıda: orta açık cilt tonu, el, işaret, orta açık cilt tonu
👎🏽	aşağı, baş parmak, baş parmak aşağıda, baş parmak aşağıda: orta cilt tonu, el, işaret, orta cilt tonu
👎🏾	aşağı, baş parmak, baş parmak aşağıda, baş parmak aşağıda: orta koyu cilt tonu, el, işaret, orta koyu cilt tonu
👎🏿	aşağı, baş parmak, baş parmak aşağıda, baş parmak aşağıda: koyu cilt tonu, el, işaret, koyu cilt tonu
✊	havada yumruk, yumruk kaldırma
✊🏻	açık cilt tonu, havada yumruk, yumruk kaldırma, yumruk kaldırma: açık cilt tonu
✊🏼	havada yumruk, orta açık cilt tonu, yumruk kaldırma, yumruk kaldırma: orta açık cilt tonu
✊🏽	havada yumruk, orta cilt tonu, yumruk kaldırma, yumruk kaldırma: orta cilt tonu
✊🏾	havada yumruk, orta koyu cilt tonu, yumruk kaldırma, yumruk kaldırma: orta koyu cilt tonu
✊🏿	havada yumruk, koyu cilt tonu, yumruk kaldırma, yumruk kaldırma: koyu cilt tonu
👊	el, yaklaşan yumruk, yumruk
👊🏻	açık cilt tonu, el, yaklaşan yumruk, yaklaşan yumruk: açık cilt tonu, yumruk
👊🏼	el, orta açık cilt tonu, yaklaşan yumruk, yaklaşan yumruk: orta açık cilt tonu, yumruk
👊🏽	el, orta cilt tonu, yaklaşan yumruk, yaklaşan yumruk: orta cilt tonu, yumruk
👊🏾	el, orta koyu cilt tonu, yaklaşan yumruk, yaklaşan yumruk: orta koyu cilt tonu, yumruk
👊🏿	el, koyu cilt tonu, yaklaşan yumruk, yaklaşan yumruk: koyu cilt tonu, yumruk
🤛	sola bakan yumruk, sola doğru, yumruk
🤛🏻	açık cilt tonu, sola bakan yumruk, sola bakan yumruk: açık cilt tonu, sola doğru, yumruk
🤛🏼	orta açık cilt tonu, sola bakan yumruk, sola bakan yumruk: orta açık cilt tonu, sola doğru, yumruk
🤛🏽	orta cilt tonu, sola bakan yumruk, sola bakan yumruk: orta cilt tonu, sola doğru, yumruk
🤛🏾	orta koyu cilt tonu, sola bakan yumruk, sola bakan yumruk: orta koyu cilt tonu, sola doğru, yumruk
🤛🏿	koyu cilt tonu, sola bakan yumruk, sola bakan yumruk: koyu cilt tonu, sola doğru, yumruk
🤜	sağa bakan yumruk, sağa doğru, yumruk
🤜🏻	açık cilt tonu, sağa bakan yumruk, sağa bakan yumruk: açık cilt tonu, sağa doğru, yumruk
🤜🏼	orta açık cilt tonu, sağa bakan yumruk, sağa bakan yumruk: orta açık cilt tonu, sağa doğru, yumruk
🤜🏽	orta cilt tonu, sağa bakan yumruk, sağa bakan yumruk: orta cilt tonu, sağa doğru, yumruk
🤜🏾	orta koyu cilt tonu, sağa bakan yumruk, sağa bakan yumruk: orta koyu cilt tonu, sağa doğru, yumruk
🤜🏿	koyu cilt tonu, sağa bakan yumruk, sağa bakan yumruk: koyu cilt tonu, sağa doğru, yumruk
👏	el çırpma, eller, işaret, çırpma
👏🏻	açık cilt tonu, el çırpma, el çırpma: açık cilt tonu, eller, işaret, çırpma
👏🏼	el çırpma, el çırpma: orta açık cilt tonu, eller, işaret, orta açık cilt tonu, çırpma
👏🏽	el çırpma, el çırpma: orta cilt tonu, eller, işaret, orta cilt tonu, çırpma
👏🏾	el çırpma, el çırpma: orta koyu cilt tonu, eller, işaret, orta koyu cilt tonu, çırpma
👏🏿	el çırpma, el çırpma: koyu cilt tonu, eller, işaret, koyu cilt tonu, çırpma
🙌	eller havaya, her iki el, kutlama, kutlamak için iki eli birden kaldırma
🙌🏻	açık cilt tonu, eller havaya, eller havaya: açık cilt tonu, her iki el, kutlama, kutlamak için iki eli birden kaldırma
🙌🏼	eller havaya, eller havaya: orta açık cilt tonu, her iki el, kutlama, kutlamak için iki eli birden kaldırma, orta açık cilt tonu
