😀	smajlík, tvář, výraz, zubící se obličej, úšklebek
💤	chrr, komiks, spánek, spát, zzz
👋	mávající ruka, mávat, mávání, ruka, tělo
👋🏻	mávající ruka, mávající ruka: světlý odstín pleti, mávat, mávání, ruka, světlý odstín pleti, tělo
👋🏼	mávající ruka, mávající ruka: středně světlý odstín pleti, mávat, mávání, ruka, středně světlý odstín pleti, tělo
👋🏽	mávající ruka, mávající ruka: střední odstín pleti, mávat, mávání, ruka, střední odstín pleti, tělo
👋🏾	mávající ruka, mávající ruka: středně tmavý odstín pleti, mávat, mávání, ruka, středně tmavý odstín pleti, tělo
👋🏿	mávající ruka, mávající ruka: tmavý odstín pleti, mávat, mávání, ruka, tmavý odstín pleti, tělo
🤚	hřbet, hřbet zvednuté ruky, ruka, zdvižená, zvednutá
🤚🏻	hřbet, hřbet zvednuté ruky, hřbet zvednuté ruky: světlý odstín pleti, ruka, světlý odstín pleti, zdvižená, zvednutá
🤚🏼	hřbet, hřbet zvednuté ruky, hřbet zvednuté ruky: středně světlý odstín pleti, ruka, středně světlý odstín pleti, zdvižená, zvednutá
🤚🏽	hřbet, hřbet zvednuté ruky, hřbet zvednuté ruky: střední odstín pleti, ruka, střední odstín pleti, zdvižená, zvednutá
🤚🏾	hřbet, hřbet zvednuté ruky, hřbet zvednuté ruky: středně tmavý odstín pleti, ruka, středně tmavý odstín pleti, zdvižená, zvednutá
🤚🏿	hřbet, hřbet zvednuté ruky, hřbet zvednuté ruky: tmavý odstín pleti, ruka, tmavý odstín pleti, zdvižená, zvednutá
🖐️	prst, roztažené, ruka, ruka s roztaženými prsty, tělo
🖐🏻	prst, roztažené, ruka, ruka s roztaženými prsty, ruka s roztaženými prsty: světlý odstín pleti, světlý odstín pleti, tělo
🖐🏼	prst, roztažené, ruka, ruka s roztaženými prsty, ruka s roztaženými prsty: středně světlý odstín pleti, středně světlý odstín pleti, tělo
🖐🏽	prst, roztažené, ruka, ruka s roztaženými prsty, ruka s roztaženými prsty: střední odstín pleti, střední odstín pleti, tělo
🖐🏾	prst, roztažené, ruka, ruka s roztaženými prsty, ruka s roztaženými prsty: středně tmavý odstín pleti, středně tmavý odstín pleti, tělo
🖐🏿	prst, roztažené, ruka, ruka s roztaženými prsty, ruka s roztaženými prsty: tmavý odstín pleti, tmavý odstín pleti, tělo
✋	ruka, tělo, zvednutá ruka
✋🏻	ruka, světlý odstín pleti, tělo, zvednutá ruka, zvednutá ruka: světlý odstín pleti
✋🏼	ruka, středně světlý odstín pleti, tělo, zvednutá ruka, zvednutá ruka: středně světlý odstín pleti
✋🏽	ruka, střední odstín pleti, tělo, zvednutá ruka, zvednutá ruka: střední odstín pleti
✋🏾	ruka, středně tmavý odstín pleti, tělo, zvednutá ruka, zvednutá ruka: středně tmavý odstín pleti
✋🏿	ruka, tmavý odstín pleti, tělo, zvednutá ruka, zvednutá ruka: tmavý odstín pleti
🖖	prst, ruka, spock, tělo, vulkán, vulkánský pozdrav
🖖🏻	prst, ruka, spock, světlý odstín pleti, tělo, vulkán, vulkánský pozdrav, vulkánský pozdrav: světlý odstín pleti
🖖🏼	prst, ruka, spock, středně světlý odstín pleti, tělo, vulkán, vulkánský pozdrav, vulkánský pozdrav: středně světlý odstín pleti
🖖🏽	prst, ruka, spock, střední odstín pleti, tělo, vulkán, vulkánský pozdrav, vulkánský pozdrav: střední odstín pleti
🖖🏾	prst, ruka, spock, středně tmavý odstín pleti, tělo, vulkán, vulkánský pozdrav, vulkánský pozdrav: středně tmavý odstín pleti
🖖🏿	prst, ruka, spock, tmavý odstín pleti, tělo, vulkán, vulkánský pozdrav, vulkánský pozdrav: tmavý odstín pleti
👌	OK, gesto OK, ruka, tělo
👌🏻	OK, gesto OK, gesto OK: světlý odstín pleti, ruka, světlý odstín pleti, tělo
👌🏼	OK, gesto OK, gesto OK: středně světlý odstín pleti, ruka, středně světlý odstín pleti, tělo
👌🏽	OK, gesto OK, gesto OK: střední odstín pleti, ruka, střední odstín pleti, tělo
👌🏾	OK, gesto OK, gesto OK: středně tmavý odstín pleti, ruka, středně tmavý odstín pleti, tělo
👌🏿	OK, gesto OK, gesto OK: tmavý odstín pleti, ruka, tmavý odstín pleti, tělo
🤏	gesto „málo“, malé množství, troška, špetka
🤏🏻	gesto „málo“, gesto „málo“: světlý odstín pleti, malé množství, světlý odstín pleti, troška, špetka
🤏🏼	gesto „málo“, gesto „málo“: středně světlý odstín pleti, malé množství, středně světlý odstín pleti, troška, špetka
🤏🏽	gesto „málo“, gesto „málo“: střední odstín pleti, malé množství, střední odstín pleti, troška, špetka
🤏🏾	gesto „málo“, gesto „málo“: středně tmavý odstín pleti, malé množství, středně tmavý odstín pleti, troška, špetka
🤏🏿	gesto „málo“, gesto „málo“: tmavý odstín pleti, malé množství, tmavý odstín pleti, troška, špetka
✌️	gesto vítězství, ruka, tělo, v, vítězství
✌🏻	gesto vítězství, gesto vítězství: světlý odstín pleti, ruka, světlý odstín pleti, tělo, v, vítězství
✌🏼	gesto vítězství, gesto vítězství: středně světlý odstín pleti, ruka, středně světlý odstín pleti, tělo, v, vítězství
✌🏽	gesto vítězství, gesto vítězství: střední odstín pleti, ruka, střední odstín pleti, tělo, v, vítězství
✌🏾	gesto vítězství, gesto vítězství: středně tmavý odstín pleti, ruka, středně tmavý odstín pleti, tělo, v, vítězství
✌🏿	gesto vítězství, gesto vítězství: tmavý odstín pleti, ruka, tmavý odstín pleti, tělo, v, vítězství
🤞	prsty, ruka, zkřížené prsty, zkřížit, štěstí
🤞🏻	prsty, ruka, světlý odstín pleti, zkřížené prsty, zkřížené prsty: světlý odstín pleti, zkřížit, štěstí
🤞🏼	prsty, ruka, středně světlý odstín pleti, zkřížené prsty, zkřížené prsty: středně světlý odstín pleti, zkřížit, štěstí
🤞🏽	prsty, ruka, střední odstín pleti, zkřížené prsty, zkřížené prsty: střední odstín pleti, zkřížit, štěstí
🤞🏾	prsty, ruka, středně tmavý odstín pleti, zkřížené prsty, zkřížené prsty: středně tmavý odstín pleti, zkřížit, štěstí
🤞🏿	prsty, ruka, tmavý odstín pleti, zkřížené prsty, zkřížené prsty: tmavý odstín pleti, zkřížit, štěstí
🤟	gesto, gesto „miluji tě“, láska, miluju, ruka
🤟🏻	gesto, gesto „miluji tě“, gesto „miluji tě“: světlý odstín pleti, láska, miluju, ruka, světlý odstín pleti
🤟🏼	gesto, gesto „miluji tě“, gesto „miluji tě“: středně světlý odstín pleti, láska, miluju, ruka, středně světlý odstín pleti
🤟🏽	gesto, gesto „miluji tě“, gesto „miluji tě“: střední odstín pleti, láska, miluju, ruka, střední odstín pleti
🤟🏾	gesto, gesto „miluji tě“, gesto „miluji tě“: středně tmavý odstín pleti, láska, miluju, ruka, středně tmavý odstín pleti
🤟🏿	gesto, gesto „miluji tě“, gesto „miluji tě“: tmavý odstín pleti, láska, miluju, ruka, tmavý odstín pleti
🤘	gesto parohů, parohy, paroháč, prst, rock, rohy, ruka, tělo
🤘🏻	gesto parohů, gesto parohů: světlý odstín pleti, parohy, paroháč, prst, rock, rohy, ruka, světlý odstín pleti, tělo
🤘🏼	gesto parohů, gesto parohů: středně světlý odstín pleti, parohy, paroháč, prst, rock, rohy, ruka, středně světlý odstín pleti, tělo
🤘🏽	gesto parohů, gesto parohů: střední odstín pleti, parohy, paroháč, prst, rock, rohy, ruka, střední odstín pleti, tělo
🤘🏾	gesto parohů, gesto parohů: středně tmavý odstín pleti, parohy, paroháč, prst, rock, rohy, ruka, středně tmavý odstín pleti, tělo
🤘🏿	gesto parohů, gesto parohů: tmavý odstín pleti, parohy, paroháč, prst, rock, rohy, ruka, tmavý odstín pleti, tělo
🤙	gesto „zavolej mi“, ruka, zatelefonovat, zavolat, zavolej
🤙🏻	gesto „zavolej mi“, gesto „zavolej mi“: světlý odstín pleti, ruka, světlý odstín pleti, zatelefonovat, zavolat, zavolej
🤙🏼	gesto „zavolej mi“, gesto „zavolej mi“: středně světlý odstín pleti, ruka, středně světlý odstín pleti, zatelefonovat, zavolat, zavolej
🤙🏽	gesto „zavolej mi“, gesto „zavolej mi“: střední odstín pleti, ruka, střední odstín pleti, zatelefonovat, zavolat, zavolej
🤙🏾	gesto „zavolej mi“, gesto „zavolej mi“: středně tmavý odstín pleti, ruka, středně tmavý odstín pleti, zatelefonovat, zavolat, zavolej
🤙🏿	gesto „zavolej mi“, gesto „zavolej mi“: tmavý odstín pleti, ruka, tmavý odstín pleti, zatelefonovat, zavolat, zavolej
👈️	hřbet ruky, prst, ruka, ruka s prstem ukazujícím vlevo, tělo, ukazovat, ukazováček
👈🏻	hřbet ruky, prst, ruka, ruka s prstem ukazujícím vlevo, ruka s prstem ukazujícím vlevo: světlý odstín pleti, světlý odstín pleti, tělo, ukazovat, ukazováček
👈🏼	hřbet ruky, prst, ruka, ruka s prstem ukazujícím vlevo, ruka s prstem ukazujícím vlevo: středně světlý odstín pleti, středně světlý odstín pleti, tělo, ukazovat, ukazováček
👈🏽	hřbet ruky, prst, ruka, ruka s prstem ukazujícím vlevo, ruka s prstem ukazujícím vlevo: střední odstín pleti, střední odstín pleti, tělo, ukazovat, ukazováček
👈🏾	hřbet ruky, prst, ruka, ruka s prstem ukazujícím vlevo, ruka s prstem ukazujícím vlevo: středně tmavý odstín pleti, středně tmavý odstín pleti, tělo, ukazovat, ukazováček
👈🏿	hřbet ruky, prst, ruka, ruka s prstem ukazujícím vlevo, ruka s prstem ukazujícím vlevo: tmavý odstín pleti, tmavý odstín pleti, tělo, ukazovat, ukazováček
👉️	hřbet ruky, prst, ruka, ruka s prstem ukazujícím vpravo, tělo, ukazovat, ukazováček
👉🏻	hřbet ruky, prst, ruka, ruka s prstem ukazujícím vpravo, ruka s prstem ukazujícím vpravo: světlý odstín pleti, světlý odstín pleti, tělo, ukazovat, ukazováček
👉🏼	hřbet ruky, prst, ruka, ruka s prstem ukazujícím vpravo, ruka s prstem ukazujícím vpravo: středně světlý odstín pleti, středně světlý odstín pleti, tělo, ukazovat, ukazováček
👉🏽	hřbet ruky, prst, ruka, ruka s prstem ukazujícím vpravo, ruka s prstem ukazujícím vpravo: střední odstín pleti, střední odstín pleti, tělo, ukazovat, ukazováček
👉🏾	hřbet ruky, prst, ruka, ruka s prstem ukazujícím vpravo, ruka s prstem ukazujícím vpravo: středně tmavý odstín pleti, středně tmavý odstín pleti, tělo, ukazovat, ukazováček
👉🏿	hřbet ruky, prst, ruka, ruka s prstem ukazujícím vpravo, ruka s prstem ukazujícím vpravo: tmavý odstín pleti, tmavý odstín pleti, tělo, ukazovat, ukazováček
👆️	hřbet ruky, nahoru, prst, ruka, ruka s prstem ukazujícím nahoru, tělo, ukazovat, ukazováček
👆🏻	hřbet ruky, nahoru, prst, ruka, ruka s prstem ukazujícím nahoru, ruka s prstem ukazujícím nahoru: světlý odstín pleti, světlý odstín pleti, tělo, ukazovat, ukazováček
👆🏼	hřbet ruky, nahoru, prst, ruka, ruka s prstem ukazujícím nahoru, ruka s prstem ukazujícím nahoru: středně světlý odstín pleti, středně světlý odstín pleti, tělo, ukazovat, ukazováček
👆🏽	hřbet ruky, nahoru, prst, ruka, ruka s prstem ukazujícím nahoru, ruka s prstem ukazujícím nahoru: střední odstín pleti, střední odstín pleti, tělo, ukazovat, ukazováček
👆🏾	hřbet ruky, nahoru, prst, ruka, ruka s prstem ukazujícím nahoru, ruka s prstem ukazujícím nahoru: středně tmavý odstín pleti, středně tmavý odstín pleti, tělo, ukazovat, ukazováček
👆🏿	hřbet ruky, nahoru, prst, ruka, ruka s prstem ukazujícím nahoru, ruka s prstem ukazujícím nahoru: tmavý odstín pleti, tmavý odstín pleti, tělo, ukazovat, ukazováček
🖕	prostředníček, prst, ruka, tělo
🖕🏻	prostředníček, prostředníček: světlý odstín pleti, prst, ruka, světlý odstín pleti, tělo
🖕🏼	prostředníček, prostředníček: středně světlý odstín pleti, prst, ruka, středně světlý odstín pleti, tělo
🖕🏽	prostředníček, prostředníček: střední odstín pleti, prst, ruka, střední odstín pleti, tělo
🖕🏾	prostředníček, prostředníček: středně tmavý odstín pleti, prst, ruka, středně tmavý odstín pleti, tělo
🖕🏿	prostředníček, prostředníček: tmavý odstín pleti, prst, ruka, tmavý odstín pleti, tělo
👇️	dolů, hřbet ruky, prst, ruka, ruka s prstem ukazujícím dolů, tělo, ukazovat, ukazováček
👇🏻	dolů, hřbet ruky, prst, ruka, ruka s prstem ukazujícím dolů, ruka s prstem ukazujícím dolů: světlý odstín pleti, světlý odstín pleti, tělo, ukazovat, ukazováček
👇🏼	dolů, hřbet ruky, prst, ruka, ruka s prstem ukazujícím dolů, ruka s prstem ukazujícím dolů: středně světlý odstín pleti, středně světlý odstín pleti, tělo, ukazovat, ukazováček
👇🏽	dolů, hřbet ruky, prst, ruka, ruka s prstem ukazujícím dolů, ruka s prstem ukazujícím dolů: střední odstín pleti, střední odstín pleti, tělo, ukazovat, ukazováček
👇🏾	dolů, hřbet ruky, prst, ruka, ruka s prstem ukazujícím dolů, ruka s prstem ukazujícím dolů: středně tmavý odstín pleti, středně tmavý odstín pleti, tělo, ukazovat, ukazováček
👇🏿	dolů, hřbet ruky, prst, ruka, ruka s prstem ukazujícím dolů, ruka s prstem ukazujícím dolů: tmavý odstín pleti, tmavý odstín pleti, tělo, ukazovat, ukazováček
☝️	nahoru, prst, ruka, ruka ukazující nahoru, tělo, ukazovat, ukazováček
☝🏻	nahoru, prst, ruka, ruka ukazující nahoru, ruka ukazující nahoru: světlý odstín pleti, světlý odstín pleti, tělo, ukazovat, ukazováček
☝🏼	nahoru, prst, ruka, ruka ukazující nahoru, ruka ukazující nahoru: středně světlý odstín pleti, středně světlý odstín pleti, tělo, ukazovat, ukazováček
☝🏽	nahoru, prst, ruka, ruka ukazující nahoru, ruka ukazující nahoru: střední odstín pleti, střední odstín pleti, tělo, ukazovat, ukazováček
☝🏾	nahoru, prst, ruka, ruka ukazující nahoru, ruka ukazující nahoru: středně tmavý odstín pleti, středně tmavý odstín pleti, tělo, ukazovat, ukazováček
☝🏿	nahoru, prst, ruka, ruka ukazující nahoru, ruka ukazující nahoru: tmavý odstín pleti, tmavý odstín pleti, tělo, ukazovat, ukazováček
👍️	+1, nahoru, palec, palec nahoru, ruka, tělo
👍🏻	+1, nahoru, palec, palec nahoru: světlý odstín pleti, ruka, světlý odstín pleti, tělo
👍🏼	+1, nahoru, palec, palec nahoru: středně světlý odstín pleti, ruka, středně světlý odstín pleti, tělo
👍🏽	+1, nahoru, palec, palec nahoru: střední odstín pleti, ruka, střední odstín pleti, tělo
👍🏾	+1, nahoru, palec, palec nahoru: středně tmavý odstín pleti, ruka, středně tmavý odstín pleti, tělo
👍🏿	+1, nahoru, palec, palec nahoru: tmavý odstín pleti, ruka, tmavý odstín pleti, tělo
👎️	-1, dolů, palec, palec dolů, ruka, tělo
👎🏻	-1, dolů, palec, palec dolů: světlý odstín pleti, ruka, světlý odstín pleti, tělo
👎🏼	-1, dolů, palec, palec dolů: středně světlý odstín pleti, ruka, středně světlý odstín pleti, tělo
👎🏽	-1, dolů, palec, palec dolů: střední odstín pleti, ruka, střední odstín pleti, tělo
👎🏾	-1, dolů, palec, palec dolů: středně tmavý odstín pleti, ruka, středně tmavý odstín pleti, tělo
👎🏿	-1, dolů, palec, palec dolů: tmavý odstín pleti, ruka, tmavý odstín pleti, tělo
✊	pěst, ruka, tělo, zaťatá, zvednutá pěst, úder
✊🏻	pěst, ruka, světlý odstín pleti, tělo, zaťatá, zvednutá pěst, zvednutá pěst: světlý odstín pleti, úder
✊🏼	pěst, ruka, středně světlý odstín pleti, tělo, zaťatá, zvednutá pěst, zvednutá pěst: středně světlý odstín pleti, úder
✊🏽	pěst, ruka, střední odstín pleti, tělo, zaťatá, zvednutá pěst, zvednutá pěst: střední odstín pleti, úder
✊🏾	pěst, ruka, středně tmavý odstín pleti, tělo, zaťatá, zvednutá pěst, zvednutá pěst: středně tmavý odstín pleti, úder
✊🏿	pěst, ruka, tmavý odstín pleti, tělo, zaťatá, zvednutá pěst, zvednutá pěst: tmavý odstín pleti, úder
👊	namířená pěst, pěst, ruka, tělo, zaťatá, úder
