😀	cerenje, lice
🤚🏼	dlan, podignuto, ruka, ruka gore, ruka gore: umjereno svijetla boja kože, umjereno svijetla boja kože, uspravno
🤚🏽	dlan, podignuto, ruka, ruka gore, ruka gore: umjerena boja kože, umjerena boja kože, uspravno
🤚🏾	dlan, podignuto, ruka, ruka gore, ruka gore: umjereno tamna boja kože, umjereno tamna boja kože, uspravno
🤚🏿	dlan, podignuto, ruka, ruka gore, ruka gore: tamna boja kože, tamna boja kože, uspravno
🖐️	podignuta šaka s raširenim prstima, pokazivanje, prsti, rašireno, ruka
🖐🏻	podignuta šaka s raširenim prstima, podignuta šaka s raširenim prstima: svijetla boja kože, pokazivanje, prsti, rašireno, ruka, svijetla boja kože
🖐🏼	podignuta šaka s raširenim prstima, podignuta šaka s raširenim prstima: umjereno svijetla boja kože, pokazivanje, prsti, rašireno, ruka, umjereno svijetla boja kože
🖐🏽	podignuta šaka s raširenim prstima, podignuta šaka s raširenim prstima: umjerena boja kože, pokazivanje, prsti, rašireno, ruka, umjerena boja kože
🖐🏾	podignuta šaka s raširenim prstima, podignuta šaka s raširenim prstima: umjereno tamna boja kože, pokazivanje, prsti, rašireno, ruka, umjereno tamna boja kože
🖐🏿	podignuta šaka s raširenim prstima, podignuta šaka s raširenim prstima: tamna boja kože, pokazivanje, prsti, rašireno, ruka, tamna boja kože
✋	podignuta šaka, pokazivanje, prsti, ruka
✋🏻	podignuta šaka, podignuta šaka: svijetla boja kože, pokazivanje, prsti, ruka, svijetla boja kože
✋🏼	podignuta šaka, podignuta šaka: umjereno svijetla boja kože, pokazivanje, prsti, ruka, umjereno svijetla boja kože
✋🏽	podignuta šaka, podignuta šaka: umjerena boja kože, pokazivanje, prsti, ruka, umjerena boja kože
✋🏾	podignuta šaka, podignuta šaka: umjereno tamna boja kože, pokazivanje, prsti, ruka, umjereno tamna boja kože
✋🏿	podignuta šaka, podignuta šaka: tamna boja kože, pokazivanje, prsti, ruka, tamna boja kože
🖖	pozdrav, ruka, spock, vulkanac, vulkanski pozdrav
🖖🏻	pozdrav, ruka, spock, svijetla boja kože, vulkanac, vulkanski pozdrav, vulkanski pozdrav: svijetla boja kože
🖖🏼	pozdrav, ruka, spock, umjereno svijetla boja kože, vulkanac, vulkanski pozdrav, vulkanski pozdrav: umjereno svijetla boja kože
🖖🏽	pozdrav, ruka, spock, umjerena boja kože, vulkanac, vulkanski pozdrav, vulkanski pozdrav: umjerena boja kože
🖖🏾	pozdrav, ruka, spock, umjereno tamna boja kože, vulkanac, vulkanski pozdrav, vulkanski pozdrav: umjereno tamna boja kože
🖖🏿	pozdrav, ruka, spock, tamna boja kože, vulkanac, vulkanski pozdrav, vulkanski pozdrav: tamna boja kože
👌	ok, pokazivanje, prsti, prsti pokazuju ok, ruka
👌🏻	ok, pokazivanje, prsti, prsti pokazuju ok, prsti pokazuju ok: svijetla boja kože, ruka, svijetla boja kože
👌🏼	ok, pokazivanje, prsti, prsti pokazuju ok, prsti pokazuju ok: umjereno svijetla boja kože, ruka, umjereno svijetla boja kože
👌🏽	ok, pokazivanje, prsti, prsti pokazuju ok, prsti pokazuju ok: umjerena boja kože, ruka, umjerena boja kože
👌🏾	ok, pokazivanje, prsti, prsti pokazuju ok, prsti pokazuju ok: umjereno tamna boja kože, ruka, umjereno tamna boja kože
👌🏿	ok, pokazivanje, prsti, prsti pokazuju ok, prsti pokazuju ok: tamna boja kože, ruka, tamna boja kože
🤏	ruka koja štipa, ruka pokazuje malo
🤏🏻	ruka koja štipa, ruka koja štipa: svijetla boja kože, ruka pokazuje malo, svijetla boja kože
🤏🏼	ruka koja štipa, ruka koja štipa: umjereno svijetla boja kože, ruka pokazuje malo, umjereno svijetla boja kože
🤏🏽	ruka koja štipa, ruka koja štipa: umjerena boja kože, ruka pokazuje malo, umjerena boja kože
🤏🏾	ruka koja štipa, ruka koja štipa: umjereno tamna boja kože, ruka pokazuje malo, umjereno tamna boja kože
🤏🏿	ruka koja štipa, ruka koja štipa: tamna boja kože, ruka pokazuje malo, tamna boja kože
✌️	dva prsta, dva prsta u znaku pobjede, pobjeda, pokazivanje, ruka
✌🏻	dva prsta, dva prsta u znaku pobjede, dva prsta u znaku pobjede: svijetla boja kože, pobjeda, pokazivanje, ruka, svijetla boja kože
✌🏼	dva prsta, dva prsta u znaku pobjede, dva prsta u znaku pobjede: umjereno svijetla boja kože, pobjeda, pokazivanje, ruka, umjereno svijetla boja kože
✌🏽	dva prsta, dva prsta u znaku pobjede, dva prsta u znaku pobjede: umjerena boja kože, pobjeda, pokazivanje, ruka, umjerena boja kože
✌🏾	dva prsta, dva prsta u znaku pobjede, dva prsta u znaku pobjede: umjereno tamna boja kože, pobjeda, pokazivanje, ruka, umjereno tamna boja kože
✌🏿	dva prsta, dva prsta u znaku pobjede, dva prsta u znaku pobjede: tamna boja kože, pobjeda, pokazivanje, ruka, tamna boja kože
🤞	držanje palčeva, držati, fige, palac, sreća
🤞🏻	držanje palčeva, držanje palčeva: svijetla boja kože, držati, fige, palac, sreća, svijetla boja kože
🤞🏼	držanje palčeva, držanje palčeva: umjereno svijetla boja kože, držati, fige, palac, sreća, umjereno svijetla boja kože
🤞🏽	držanje palčeva, držanje palčeva: umjerena boja kože, držati, fige, palac, sreća, umjerena boja kože
🤞🏾	držanje palčeva, držanje palčeva: umjereno tamna boja kože, držati, fige, palac, sreća, umjereno tamna boja kože
🤞🏿	držanje palčeva, držanje palčeva: tamna boja kože, držati, fige, palac, sreća, tamna boja kože
🤟	VT, ruka, volim, volim te
🤟🏻	VT, ruka, svijetla boja kože, volim, volim te, volim te: svijetla boja kože
🤟🏼	VT, ruka, umjereno svijetla boja kože, volim, volim te, volim te: umjereno svijetla boja kože
🤟🏽	VT, ruka, umjerena boja kože, volim, volim te, volim te: umjerena boja kože
🤟🏾	VT, ruka, umjereno tamna boja kože, volim, volim te, volim te: umjereno tamna boja kože
🤟🏿	VT, ruka, tamna boja kože, volim, volim te, volim te: tamna boja kože
🤘	pokazivanje, rogovi, ruka, znak, znak rogova
🤘🏻	pokazivanje, rogovi, ruka, svijetla boja kože, znak, znak rogova, znak rogova: svijetla boja kože
🤘🏼	pokazivanje, rogovi, ruka, umjereno svijetla boja kože, znak, znak rogova, znak rogova: umjereno svijetla boja kože
🤘🏽	pokazivanje, rogovi, ruka, umjerena boja kože, znak, znak rogova, znak rogova: umjerena boja kože
🤘🏾	pokazivanje, rogovi, ruka, umjereno tamna boja kože, znak, znak rogova, znak rogova: umjereno tamna boja kože
🤘🏿	pokazivanje, rogovi, ruka, tamna boja kože, znak, znak rogova, znak rogova: tamna boja kože
🤙	nazovi, poziv, ruka
🤙🏻	nazovi, nazovi: svijetla boja kože, poziv, ruka, svijetla boja kože
🤙🏼	nazovi, nazovi: umjereno svijetla boja kože, poziv, ruka, umjereno svijetla boja kože
🤙🏽	nazovi, nazovi: umjerena boja kože, poziv, ruka, umjerena boja kože
🤙🏾	nazovi, nazovi: umjereno tamna boja kože, poziv, ruka, umjereno tamna boja kože
🤙🏿	nazovi, nazovi: tamna boja kože, poziv, ruka, tamna boja kože
👈️	kažiprst, lijevo, nadlanica, pokazivanje, pokazivanje kažiprstom ulijevo
👈🏻	kažiprst, lijevo, nadlanica, pokazivanje, pokazivanje kažiprstom ulijevo, pokazivanje kažiprstom ulijevo: svijetla boja kože, svijetla boja kože
👈🏼	kažiprst, lijevo, nadlanica, pokazivanje, pokazivanje kažiprstom ulijevo, pokazivanje kažiprstom ulijevo: umjereno svijetla boja kože, umjereno svijetla boja kože
👈🏽	kažiprst, lijevo, nadlanica, pokazivanje, pokazivanje kažiprstom ulijevo, pokazivanje kažiprstom ulijevo: umjerena boja kože, umjerena boja kože
👈🏾	kažiprst, lijevo, nadlanica, pokazivanje, pokazivanje kažiprstom ulijevo, pokazivanje kažiprstom ulijevo: umjereno tamna boja kože, umjereno tamna boja kože
👈🏿	kažiprst, lijevo, nadlanica, pokazivanje, pokazivanje kažiprstom ulijevo, pokazivanje kažiprstom ulijevo: tamna boja kože, tamna boja kože
👉️	desno, kažiprst, nadlanica, pokazivanje, pokazivanje kažiprstom udesno
👉🏻	desno, kažiprst, nadlanica, pokazivanje, pokazivanje kažiprstom udesno, pokazivanje kažiprstom udesno: svijetla boja kože, svijetla boja kože
👉🏼	desno, kažiprst, nadlanica, pokazivanje, pokazivanje kažiprstom udesno, pokazivanje kažiprstom udesno: umjereno svijetla boja kože, umjereno svijetla boja kože
👉🏽	desno, kažiprst, nadlanica, pokazivanje, pokazivanje kažiprstom udesno, pokazivanje kažiprstom udesno: umjerena boja kože, umjerena boja kože
👉🏾	desno, kažiprst, nadlanica, pokazivanje, pokazivanje kažiprstom udesno, pokazivanje kažiprstom udesno: umjereno tamna boja kože, umjereno tamna boja kože
👉🏿	desno, kažiprst, nadlanica, pokazivanje, pokazivanje kažiprstom udesno, pokazivanje kažiprstom udesno: tamna boja kože, tamna boja kože
👆️	gore, kažiprst, nadlanica, pokazivanje, pokazivanje kažiprstom gore
👆🏻	gore, kažiprst, nadlanica, pokazivanje, pokazivanje kažiprstom gore, pokazivanje kažiprstom gore: svijetla boja kože, svijetla boja kože
👆🏼	gore, kažiprst, nadlanica, pokazivanje, pokazivanje kažiprstom gore, pokazivanje kažiprstom gore: umjereno svijetla boja kože, umjereno svijetla boja kože
👆🏽	gore, kažiprst, nadlanica, pokazivanje, pokazivanje kažiprstom gore, pokazivanje kažiprstom gore: umjerena boja kože, umjerena boja kože
👆🏾	gore, kažiprst, nadlanica, pokazivanje, pokazivanje kažiprstom gore, pokazivanje kažiprstom gore: umjereno tamna boja kože, umjereno tamna boja kože
👆🏿	gore, kažiprst, nadlanica, pokazivanje, pokazivanje kažiprstom gore, pokazivanje kažiprstom gore: tamna boja kože, tamna boja kože
🖕	gore, nadlanica, pokazivanje, srednji prst
🖕🏻	gore, nadlanica, pokazivanje, srednji prst, srednji prst: svijetla boja kože, svijetla boja kože
🖕🏼	gore, nadlanica, pokazivanje, srednji prst, srednji prst: umjereno svijetla boja kože, umjereno svijetla boja kože
🖕🏽	gore, nadlanica, pokazivanje, srednji prst, srednji prst: umjerena boja kože, umjerena boja kože
🖕🏾	gore, nadlanica, pokazivanje, srednji prst, srednji prst: umjereno tamna boja kože, umjereno tamna boja kože
🖕🏿	gore, nadlanica, pokazivanje, srednji prst, srednji prst: tamna boja kože, tamna boja kože
👇️	dolje, kažiprst, kažiprst dolje, nadlanica, pokazivanje
👇🏻	dolje, kažiprst, kažiprst dolje: svijetla boja kože, nadlanica, pokazivanje, svijetla boja kože
👇🏼	dolje, kažiprst, kažiprst dolje: umjereno svijetla boja kože, nadlanica, pokazivanje, umjereno svijetla boja kože
👇🏽	dolje, kažiprst, kažiprst dolje: umjerena boja kože, nadlanica, pokazivanje, umjerena boja kože
👇🏾	dolje, kažiprst, kažiprst dolje: umjereno tamna boja kože, nadlanica, pokazivanje, umjereno tamna boja kože
👇🏿	dolje, kažiprst, kažiprst dolje: tamna boja kože, nadlanica, pokazivanje, tamna boja kože
☝️	dlan, gore, kažiprst, pokazivanje, pokazivanje kažiprstom gore s okrenutim dlanom
☝🏻	dlan, gore, kažiprst, pokazivanje, pokazivanje kažiprstom gore s okrenutim dlanom, pokazivanje kažiprstom gore s okrenutim dlanom: svijetla boja kože, svijetla boja kože
☝🏼	dlan, gore, kažiprst, pokazivanje, pokazivanje kažiprstom gore s okrenutim dlanom, pokazivanje kažiprstom gore s okrenutim dlanom: umjereno svijetla boja kože, umjereno svijetla boja kože
☝🏽	dlan, gore, kažiprst, pokazivanje, pokazivanje kažiprstom gore s okrenutim dlanom, pokazivanje kažiprstom gore s okrenutim dlanom: umjerena boja kože, umjerena boja kože
☝🏾	dlan, gore, kažiprst, pokazivanje, pokazivanje kažiprstom gore s okrenutim dlanom, pokazivanje kažiprstom gore s okrenutim dlanom: umjereno tamna boja kože, umjereno tamna boja kože
☝🏿	dlan, gore, kažiprst, pokazivanje, pokazivanje kažiprstom gore s okrenutim dlanom, pokazivanje kažiprstom gore s okrenutim dlanom: tamna boja kože, tamna boja kože
👍️	gore, palac, palac gore, ruka
👍🏻	gore, palac, palac gore: svijetla boja kože, ruka, svijetla boja kože
👍🏼	gore, palac, palac gore: umjereno svijetla boja kože, ruka, umjereno svijetla boja kože
👍🏽	gore, palac, palac gore: umjerena boja kože, ruka, umjerena boja kože
👍🏾	gore, palac, palac gore: umjereno tamna boja kože, ruka, umjereno tamna boja kože
👍🏿	gore, palac, palac gore: tamna boja kože, ruka, tamna boja kože
👎️	dolje, palac, palac dolje, ruka
👎🏻	dolje, palac, palac dolje: svijetla boja kože, ruka, svijetla boja kože
👎🏼	dolje, palac, palac dolje: umjereno svijetla boja kože, ruka, umjereno svijetla boja kože
👎🏽	dolje, palac, palac dolje: umjerena boja kože, ruka, umjerena boja kože
👎🏾	dolje, palac, palac dolje: umjereno tamna boja kože, ruka, umjereno tamna boja kože
👎🏿	dolje, palac, palac dolje: tamna boja kože, ruka, tamna boja kože
✊	pesnica, podignuta pesnica, ruka
✊🏻	pesnica, podignuta pesnica, podignuta pesnica: svijetla boja kože, ruka, svijetla boja kože
✊🏼	pesnica, podignuta pesnica, podignuta pesnica: umjereno svijetla boja kože, ruka, umjereno svijetla boja kože
✊🏽	pesnica, podignuta pesnica, podignuta pesnica: umjerena boja kože, ruka, umjerena boja kože
✊🏾	pesnica, podignuta pesnica, podignuta pesnica: umjereno tamna boja kože, ruka, umjereno tamna boja kože
✊🏿	pesnica, podignuta pesnica, podignuta pesnica: tamna boja kože, ruka, tamna boja kože
👊	nabacivanje pesnicom, pesnica, ruka
👊🏻	nabacivanje pesnicom, nabacivanje pesnicom: svijetla boja kože, pesnica, ruka, svijetla boja kože
👊🏼	nabacivanje pesnicom, nabacivanje pesnicom: umjereno svijetla boja kože, pesnica, ruka, umjereno svijetla boja kože
👊🏽	nabacivanje pesnicom, nabacivanje pesnicom: umjerena boja kože, pesnica, ruka, umjerena boja kože
👊🏾	nabacivanje pesnicom, nabacivanje pesnicom: umjereno tamna boja kože, pesnica, ruka, umjereno tamna boja kože
👊🏿	nabacivanje pesnicom, nabacivanje pesnicom: tamna boja kože, pesnica, ruka, tamna boja kože
🤛	ulijevo, šaka, šaka ulijevo
🤛🏻	svijetla boja kože, ulijevo, šaka, šaka ulijevo: svijetla boja kože
🤛🏼	ulijevo, umjereno svijetla boja kože, šaka, šaka ulijevo: umjereno svijetla boja kože
🤛🏽	ulijevo, umjerena boja kože, šaka, šaka ulijevo: umjerena boja kože
🤛🏾	ulijevo, umjereno tamna boja kože, šaka, šaka ulijevo: umjereno tamna boja kože
🤛🏿	tamna boja kože, ulijevo, šaka, šaka ulijevo: tamna boja kože
🤜	udesno, šaka, šaka udesno
🤜🏻	svijetla boja kože, udesno, šaka, šaka udesno: svijetla boja kože
🤜🏼	udesno, umjereno svijetla boja kože, šaka, šaka udesno: umjereno svijetla boja kože
🤜🏽	udesno, umjerena boja kože, šaka, šaka udesno: umjerena boja kože
🤜🏾	udesno, umjereno tamna boja kože, šaka, šaka udesno: umjereno tamna boja kože
🤜🏿	tamna boja kože, udesno, šaka, šaka udesno: tamna boja kože
👏	aplaudiranje, aplauz, dlanovi, ruke
👏🏻	aplaudiranje, aplaudiranje: svijetla boja kože, aplauz, dlanovi, ruke, svijetla boja kože
👏🏼	aplaudiranje, aplaudiranje: umjereno svijetla boja kože, aplauz, dlanovi, ruke, umjereno svijetla boja kože
👏🏽	aplaudiranje, aplaudiranje: umjerena boja kože, aplauz, dlanovi, ruke, umjerena boja kože
👏🏾	aplaudiranje, aplaudiranje: umjereno tamna boja kože, aplauz, dlanovi, ruke, umjereno tamna boja kože
👏🏿	aplaudiranje, aplaudiranje: tamna boja kože, aplauz, dlanovi, ruke, tamna boja kože
🙌	dlanovi, gestikulacija, radovanje, ruke, ruke podignute u zrak
🙌🏻	dlanovi, gestikulacija, radovanje, ruke, ruke podignute u zrak, ruke podignute u zrak: svijetla boja kože, svijetla boja kože
🙌🏼	dlanovi, gestikulacija, radovanje, ruke, ruke podignute u zrak, ruke podignute u zrak: umjereno svijetla boja kože, umjereno svijetla boja kože
🙌🏽	dlanovi, gestikulacija, radovanje, ruke, ruke podignute u zrak, ruke podignute u zrak: umjerena boja kože, umjerena boja kože
🙌🏾	dlanovi, gestikulacija, radovanje, ruke, ruke podignute u zrak, ruke podignute u zrak: umjereno tamna boja kože, umjereno tamna boja kože
🙌🏿	dlanovi, gestikulacija, radovanje, ruke, ruke podignute u zrak, ruke podignute u zrak: tamna boja kože, tamna boja kože
👐	dlanovi, otvoreni dlanovi, ruke
👐🏻	dlanovi, otvoreni dlanovi, otvoreni dlanovi: svijetla boja kože, ruke, svijetla boja kože
👐🏼	dlanovi, otvoreni dlanovi, otvoreni dlanovi: umjereno svijetla boja kože, ruke, umjereno svijetla boja kože
👐🏽	dlanovi, otvoreni dlanovi, otvoreni dlanovi: umjerena boja kože, ruke, umjerena boja kože
👐🏾	dlanovi, otvoreni dlanovi, otvoreni dlanovi: umjereno tamna boja kože, ruke, umjereno tamna boja kože
👐🏿	dlanovi, otvoreni dlanovi, otvoreni dlanovi: tamna boja kože, ruke, tamna boja kože
🤲	dlanovi spojeni prema gore, molitva
🤲🏻	dlanovi spojeni prema gore, dlanovi spojeni prema gore: svijetla boja kože, molitva, svijetla boja kože
🤲🏼	dlanovi spojeni prema gore, dlanovi spojeni prema gore: umjereno svijetla boja kože, molitva, umjereno svijetla boja kože
🤲🏽	dlanovi spojeni prema gore, dlanovi spojeni prema gore: umjerena boja kože, molitva, umjerena boja kože
🤲🏾	dlanovi spojeni prema gore, dlanovi spojeni prema gore: umjereno tamna boja kože, molitva, umjereno tamna boja kože
🤲🏿	dlanovi spojeni prema gore, dlanovi spojeni prema gore: tamna boja kože, molitva, tamna boja kože
🤝	dogovor, ruka, rukovanje, sastanak, stisak
🙏	gestikulacija, molba, molitva, sastavljeni dlanovi
🙏🏻	gestikulacija, molba, molitva, sastavljeni dlanovi, sastavljeni dlanovi: svijetla boja kože, svijetla boja kože
🙏🏼	gestikulacija, molba, molitva, sastavljeni dlanovi, sastavljeni dlanovi: umjereno svijetla boja kože, umjereno svijetla boja kože
🙏🏽	gestikulacija, molba, molitva, sastavljeni dlanovi, sastavljeni dlanovi: umjerena boja kože, umjerena boja kože
🙏🏾	gestikulacija, molba, molitva, sastavljeni dlanovi, sastavljeni dlanovi: umjereno tamna boja kože, umjereno tamna boja kože
🙏🏿	gestikulacija, molba, molitva, sastavljeni dlanovi, sastavljeni dlanovi: tamna boja kože, tamna boja kože
✍️	pisanje, ruka, ruka koja piše
✍🏻	pisanje, ruka, ruka koja piše, ruka koja piše: svijetla boja kože, svijetla boja kože
✍🏼	pisanje, ruka, ruka koja piše, ruka koja piše: umjereno svijetla boja kože, umjereno svijetla boja kože
✍🏽	pisanje, ruka, ruka koja piše, ruka koja piše: umjerena boja kože, umjerena boja kože
✍🏾	pisanje, ruka, ruka koja piše, ruka koja piše: umjereno tamna boja kože, umjereno tamna boja kože
✍🏿	pisanje, ruka, ruka koja piše, ruka koja piše: tamna boja kože, tamna boja kože
💅	kozmetika, lak za nokte, lakiranje noktiju, nokti, uljepšavanje
💅🏻	kozmetika, lak za nokte, lakiranje noktiju, lakiranje noktiju: svijetla boja kože, nokti, svijetla boja kože, uljepšavanje
💅🏼	kozmetika, lak za nokte, lakiranje noktiju, lakiranje noktiju: umjereno svijetla boja kože, nokti, uljepšavanje, umjereno svijetla boja kože
💅🏽	kozmetika, lak za nokte, lakiranje noktiju, lakiranje noktiju: umjerena boja kože, nokti, uljepšavanje, umjerena boja kože
💅🏾	kozmetika, lak za nokte, lakiranje noktiju, lakiranje noktiju: umjereno tamna boja kože, nokti, uljepšavanje, umjereno tamna boja kože
