😀	դեմք, ծիծաղող դեմք, քմծիծաղել
😨	դեմք, սարսափած, վախ, վախեցած, վախեցած դեմք
😰	բաց, բաց բերանով և սառը քրտինքով դեմք, բերան, դեմք, կապույտ, հապշտապ, սառը, քրտինք
😥	դեմք, թեթևացած, հիասթափված, հիասթափված, բայց թեթևացած դեմք
😢	արտասուք, արտասվել, արտասվող դեմք, դեմք, տխուր
😭	արտասուք, արտասվել, բարձրաձայն արտասվող դեմք, դեմք, հեկեկալ, տխուր
😱	դեմք, ծամել, ճչալ, սարսափած, վախ, վախեցած, վախից գոռացող դեմք
😖	դեմք, ցնցված, ցնցված դեմք
😣	դեմք, համառել, համառող դեմք
😞	դեմք, հիասթափված, հիասթափված դեմք
😓	դեմք, սառը, սառը քրտինքով դեմք, քրտինք
😩	դեմք, հոգնած, ուժասպառ, ուժասպառ դեմք
😫	դեմք, հոգնած, հոգնած դեմք
🥱	հոգնած, հորանջ, հորանջող դեմք, ձանձրացած
😤	դեմք, հաղթած, հաղթանակ, քթից գոլորշի հանող դեմք
😡	բարկացած, դեմք, դժգոհ, դժգոհ դեմք, զայրույթ, խենք, կարմիր
😠	բարկացած, բարկացած դեմք, դեմք, խենք
🤬	բերանի վրա նշանով դեմք, հայհոյանք, քֆուր
😈	դեմք, եղջյուրներ, ժպտալ, ժպտացող դեմք եղջյուրներով, հեքիաթ, ֆանտազիա
👿	դեմք, դև, հեքիաթ, սատանա, սատանայի ճուտ, ֆանտազիա
💀	գանգ, դեմք, հեքիաթ, հրեշ, մահ, մարմին
☠️	գանգ, գանգ և խաչված ոսկորներ, դեմք, խաչված, հրեշ, մահ, մարմին, ոսկորներ
💩	գոմաղբ, դեմք, կեղտ, կեղտի կույտ, կղանք, կոմիքս, հրեշ
🤡	դեմք, ծաղրածու, ծաղրածուի դեմք
👹	արարած, դեմք, հեքիաթ, հրեշ, ճապոնական, մարդակեր հսկա, ֆանտազիա
👺	արարած, դեմք, հեքիաթ, հրեշ, ճապոնական, չար ոգի, ֆանտազիա
👻	արարած, դեմք, հեքիաթ, հրեշ, ուրվական, ֆանտազիա
👽️	այլմոլորակային, արարած, դեմք, հեքիաթ, հրեշ, չթօ, տիեզերք, ֆանտազիա
👾	այլմոլորակային, այլմոլորակային հրեշ, արարած, դեմք, հեքիաթ, հրեշ, չթօ, տիեզերք, ֆանտազիա
🤖	դեմք, հրեշ, ռոբոտ
😺	բաց, բերան, դեմք, ժպիտ, կատու, քմծիծաղ, քմծիծաղող կատու
😸	աչք, դեմք, ժպիտ, կատու, քմծիծաղ, քմծիծաղող կատու ժպտացող աչքերով
😹	արցունք, դեմք, կատու, ուրախության արցունքներով կատու, ուրախություն
😻	աչք, դեմք, ժպիտ, ժպտացող կատվի դեմք սրտաձև աչքերով, կատու, սեր, սիրտ
😼	դեմք, ժպիտ, ծուռ, ծուռ ժպիտով կատու, կատու, հեգնական
😽	աչք, դեմք, կատու, համբույր, համբուրող կատու
🙀	դեմք, զարմացած, կատու, հոգնած, հոգնած կատու, օհ
😿	արցունք, դեմք, լաց, լացող կատու, կատու, տխուր
😾	դեմք, դժգոհող կատու, դժգոհում, կատու
🙈	արգելված, դեմք, ժեստ, կապիկ, ոչ, ոչինչ չեմ տեսնում, չար, տեսնել
🙉	արգելված, դեմք, ժեստ, լսել, կապիկ, ոչ, ոչինչ չեմ լսում, չար
🙊	արգելված, դեմք, ժեստ, խոսալ, կապիկ, ոչ, ոչինչ չեմ ասում, չար
💋	համբույր, համբույրի հետք, հետք, շուրթեր, սիրավեպ, սիրտ
💌	նամակ, սեր, սիրային նամակ, սիրավեպ, սիրտ, փոստ
💘	կուպիդոն, նետ, նետահարված սիրտ, սիրավեպ, սիրտ
💝	ժապավեն, ժապավենով սիրտ, սիրտ, վալենտին
💖	կայծ, շողշողացող սիրտ, ոգևորված, սիրտ
💗	աճող, աճող սիրտ, նյարդային, ոգևորված, սիրտ, սրտի զարկ
💓	բաբախյուն, բաբախող սիրտ, պուլսացիա, սիրտ, սրտխփոց
💞	պտտվող, պտտվող սրտեր, սիրտ
💕	երկու սրտեր, սեր, սիրտ
💟	սիրտ, սրտաձև նախշ
❣️	բացականչական նշանի տեսքով սիրտ, բացականչություն, կետադրական, նշան, սիրտ
💔	կոտրել, կոտրված, կոտրված սիրտ, սիրտ
❤️	կարմիր սիրտ, սիրտ
🧡	նարնջագույն, նարնջագույն սիրտ, սիրտ
💛	դեղին, դեղին սիրտ, սիրտ
💚	կանաչ, կանաչ սիրտ, սիրտ
💙	կապույտ, կապույտ սիրտ, սիրտ
💜	մանուշակագույն, մանուշակագույն սիրտ, սիրտ
🤎	դարչնագույն, դարչնագույն սիրտ, սիրտ
🖤	չար, սիրտ, սև, սև սիրտ
🤍	սիրտ, սպիտակ, սպիտակ սիրտ
💯	100, ամբողջ, հարյուր, հարյուր միավոր, միավոր
💢	զայրացած, զայրույթի նշան, խենք, կոմիքս
💥	բախում, բում, կոմիքս
💫	աստղ, գլխապտույտ, կոմիքս
💦	կոմիքս, ցայտող, քրտինք, քրտինքի կաթիլներ
💨	ընթանալ, կոմիքս, սլանալ, սրընթաց
🕳️	փոս
💣️	կոմիքս, ռումբ
💬	երկխոսություն, խոսք, խոսքի ամպիկ, կոմիքս, պղպջակ, փուչիկ
👁‍🗨	ականատես, ականատեսի նշան, ամպիկ, աչք, վկա
🗨️	երկխոսություն, խոսք, խոսքի ձախակողմյա ամպիկ
🗯️	զայրացած, զայրույթի աջակողմյա ամպիկ, խենք, պղպջակ, փուչիկ
💭	կոմիքս, միտք, մտքի ամպիկ, պղպջակ, փուչիկ
💤	խռռռ, կոմիքս, քնել
👋	թափահարել, թափահարող, թափահարող ձեռք, ձեռք, մարմին
👋🏻	բաց գույնի մաշկ, թափահարել, թափահարող, թափահարող ձեռք՝ բաց գույնի մաշկ, ձեռք, մարմին
👋🏼	թափահարել, թափահարող, թափահարող ձեռք՝ միջին բաց գույնի մաշկ, ձեռք, մարմին, միջին բաց գույնի մաշկ
👋🏽	թափահարել, թափահարող, թափահարող ձեռք՝ միջին գույնի մաշկ, ձեռք, մարմին, միջին գույնի մաշկ
👋🏾	թափահարել, թափահարող, թափահարող ձեռք՝ միջին մուգ գույնի մաշկ, ձեռք, մարմին, միջին մուգ գույնի մաշկ
👋🏿	թափահարել, թափահարող, թափահարող ձեռք՝ մուգ գույնի մաշկ, ձեռք, մարմին, մուգ գույնի մաշկ
🤚	բարձրացրած, ձեռքի ափ
🤚🏻	բարձրացրած, բաց գույնի մաշկ, ձեռքի ափ, ձեռքի ափ՝ բաց գույնի մաշկ
🤚🏼	բարձրացրած, ձեռքի ափ, ձեռքի ափ՝ միջին բաց գույնի մաշկ, միջին բաց գույնի մաշկ
🤚🏽	բարձրացրած, ձեռքի ափ, ձեռքի ափ՝ միջին գույնի մաշկ, միջին գույնի մաշկ
🤚🏾	բարձրացրած, ձեռքի ափ, ձեռքի ափ՝ միջին մուգ գույնի մաշկ, միջին մուգ գույնի մաշկ
🤚🏿	բարձրացրած, ձեռքի ափ, ձեռքի ափ՝ մուգ գույնի մաշկ, մուգ գույնի մաշկ
🖐️	բացված, բացված մատներով բարձրացված ձեռք, ձեռք, մատ, մարմին
🖐🏻	բաց գույնի մաշկ, բացված, բացված մատներով բարձրացված ձեռք, բացված մատներով բարձրացված ձեռք՝ բաց գույնի մաշկ, ձեռք, մատ, մարմին
🖐🏼	բացված, բացված մատներով բարձրացված ձեռք, բացված մատներով բարձրացված ձեռք՝ միջին բաց գույնի մաշկ, ձեռք, մատ, մարմին, միջին բաց գույնի մաշկ
🖐🏽	բացված, բացված մատներով բարձրացված ձեռք, բացված մատներով բարձրացված ձեռք՝ միջին գույնի մաշկ, ձեռք, մատ, մարմին, միջին գույնի մաշկ
🖐🏾	բացված, բացված մատներով բարձրացված ձեռք, բացված մատներով բարձրացված ձեռք՝ միջին մուգ գույնի մաշկ, ձեռք, մատ, մարմին, միջին մուգ գույնի մաշկ
🖐🏿	բացված, բացված մատներով բարձրացված ձեռք, բացված մատներով բարձրացված ձեռք՝ մուգ գույնի մաշկ, ձեռք, մատ, մարմին, մուգ գույնի մաշկ
✋	բարձրացված ձեռք, ձեռք, մարմին
✋🏻	բարձրացված ձեռք, բարձրացված ձեռք՝ բաց գույնի մաշկ, բաց գույնի մաշկ, ձեռք, մարմին
✋🏼	բարձրացված ձեռք, բարձրացված ձեռք՝ միջին բաց գույնի մաշկ, ձեռք, մարմին, միջին բաց գույնի մաշկ
✋🏽	բարձրացված ձեռք, բարձրացված ձեռք՝ միջին գույնի մաշկ, ձեռք, մարմին, միջին գույնի մաշկ
✋🏾	բարձրացված ձեռք, բարձրացված ձեռք՝ միջին մուգ գույնի մաշկ, ձեռք, մարմին, միջին մուգ գույնի մաշկ
✋🏿	բարձրացված ձեռք, բարձրացված ձեռք՝ մուգ գույնի մաշկ, ձեռք, մարմին, մուգ գույնի մաշկ
🖖	ձեռք, մատ, մարմին, վուլկան, վուլկանցիների ողջույն
🖖🏻	բաց գույնի մաշկ, ձեռք, մատ, մարմին, վուլկան, վուլկանցիների ողջույն, վուլկանցիների ողջույն՝ բաց գույնի մաշկ
🖖🏼	ձեռք, մատ, մարմին, միջին բաց գույնի մաշկ, վուլկան, վուլկանցիների ողջույն, վուլկանցիների ողջույն՝ միջին բաց գույնի մաշկ
🖖🏽	ձեռք, մատ, մարմին, միջին գույնի մաշկ, վուլկան, վուլկանցիների ողջույն, վուլկանցիների ողջույն՝ միջին գույնի մաշկ
🖖🏾	ձեռք, մատ, մարմին, միջին մուգ գույնի մաշկ, վուլկան, վուլկանցիների ողջույն, վուլկանցիների ողջույն՝ միջին մուգ գույնի մաշկ
🖖🏿	ձեռք, մատ, մարմին, մուգ գույնի մաշկ, վուլկան, վուլկանցիների ողջույն, վուլկանցիների ողջույն՝ մուգ գույնի մաշկ
👌	ok, ok ցույց տվող ձեռք, ձեռք, մարմին
👌🏻	ok, ok ցույց տվող ձեռք, ok ցույց տվող ձեռք՝ բաց գույնի մաշկ, բաց գույնի մաշկ, ձեռք, մարմին
👌🏼	ok, ok ցույց տվող ձեռք, ok ցույց տվող ձեռք՝ միջին բաց գույնի մաշկ, ձեռք, մարմին, միջին բաց գույնի մաշկ
👌🏽	ok, ok ցույց տվող ձեռք, ok ցույց տվող ձեռք՝ միջին գույնի մաշկ, ձեռք, մարմին, միջին գույնի մաշկ
👌🏾	ok, ok ցույց տվող ձեռք, ok ցույց տվող ձեռք՝ միջին մուգ գույնի մաշկ, ձեռք, մարմին, միջին մուգ գույնի մաշկ
👌🏿	ok, ok ցույց տվող ձեռք, ok ցույց տվող ձեռք՝ մուգ գույնի մաշկ, ձեռք, մարմին, մուգ գույնի մաշկ
🤏	պտղունց ցույց տվող ձեռք, փոքր քանակ, քիչ
🤏🏻	բաց գույնի մաշկ, պտղունց ցույց տվող ձեռք, պտղունց ցույց տվող ձեռք՝ բաց գույնի մաշկ, փոքր քանակ, քիչ
🤏🏼	միջին բաց գույնի մաշկ, պտղունց ցույց տվող ձեռք, պտղունց ցույց տվող ձեռք՝ միջին բաց գույնի մաշկ, փոքր քանակ, քիչ
🤏🏽	միջին գույնի մաշկ, պտղունց ցույց տվող ձեռք, պտղունց ցույց տվող ձեռք՝ միջին գույնի մաշկ, փոքր քանակ, քիչ
🤏🏾	միջին մուգ գույնի մաշկ, պտղունց ցույց տվող ձեռք, պտղունց ցույց տվող ձեռք՝ միջին մուգ գույնի մաշկ, փոքր քանակ, քիչ
🤏🏿	մուգ գույնի մաշկ, պտղունց ցույց տվող ձեռք, պտղունց ցույց տվող ձեռք՝ մուգ գույնի մաշկ, փոքր քանակ, քիչ
✌️	v, հաղթական ձեռք, հաղթանակ, ձեռք, մարմին
✌🏻	v, բաց գույնի մաշկ, հաղթական ձեռք, հաղթական ձեռք՝ բաց գույնի մաշկ, հաղթանակ, ձեռք, մարմին
✌🏼	v, հաղթական ձեռք, հաղթական ձեռք՝ միջին բաց գույնի մաշկ, հաղթանակ, ձեռք, մարմին, միջին բաց գույնի մաշկ
✌🏽	v, հաղթական ձեռք, հաղթական ձեռք՝ միջին գույնի մաշկ, հաղթանակ, ձեռք, մարմին, միջին գույնի մաշկ
✌🏾	v, հաղթական ձեռք, հաղթական ձեռք՝ միջին մուգ գույնի մաշկ, հաղթանակ, ձեռք, մարմին, միջին մուգ գույնի մաշկ
✌🏿	v, հաղթական ձեռք, հաղթական ձեռք՝ մուգ գույնի մաշկ, հաղթանակ, ձեռք, մարմին, մուգ գույնի մաշկ
🤞	խաչած մատներ, խաչել, հաջողություն, ձեռք, մատ
🤞🏻	բաց գույնի մաշկ, խաչած մատներ, խաչած մատներ՝ բաց գույնի մաշկ, խաչել, հաջողություն, ձեռք, մատ
🤞🏼	խաչած մատներ, խաչած մատներ՝ միջին բաց գույնի մաշկ, խաչել, հաջողություն, ձեռք, մատ, միջին բաց գույնի մաշկ
🤞🏽	խաչած մատներ, խաչած մատներ՝ միջին գույնի մաշկ, խաչել, հաջողություն, ձեռք, մատ, միջին գույնի մաշկ
🤞🏾	խաչած մատներ, խաչած մատներ՝ միջին մուգ գույնի մաշկ, խաչել, հաջողություն, ձեռք, մատ, միջին մուգ գույնի մաշկ
🤞🏿	խաչած մատներ, խաչած մատներ՝ մուգ գույնի մաշկ, խաչել, հաջողություն, ձեռք, մատ, մուգ գույնի մաշկ
🤟	« սիրում եմ քեզ» նշան, ձեռք, սեռ
🤟🏻	« սիրում եմ քեզ» նշան, « սիրում եմ քեզ» նշան՝ բաց գույնի մաշկ, բաց գույնի մաշկ, ձեռք, սեռ
🤟🏼	« սիրում եմ քեզ» նշան, « սիրում եմ քեզ» նշան՝ միջին բաց գույնի մաշկ, ձեռք, միջին բաց գույնի մաշկ, սեռ
🤟🏽	« սիրում եմ քեզ» նշան, « սիրում եմ քեզ» նշան՝ միջին գույնի մաշկ, ձեռք, միջին գույնի մաշկ, սեռ
🤟🏾	« սիրում եմ քեզ» նշան, « սիրում եմ քեզ» նշան՝ միջին մուգ գույնի մաշկ, ձեռք, միջին մուգ գույնի մաշկ, սեռ
🤟🏿	« սիրում եմ քեզ» նշան, « սիրում եմ քեզ» նշան՝ մուգ գույնի մաշկ, ձեռք, մուգ գույնի մաշկ, սեռ
🤘	եղջյուրներ, եղջյուրների նշան, ձեռք, մատ, մարմին
🤘🏻	բաց գույնի մաշկ, եղջյուրներ, եղջյուրների նշան, եղջյուրների նշան՝ բաց գույնի մաշկ, ձեռք, մատ, մարմին
🤘🏼	եղջյուրներ, եղջյուրների նշան, եղջյուրների նշան՝ միջին բաց գույնի մաշկ, ձեռք, մատ, մարմին, միջին բաց գույնի մաշկ
🤘🏽	եղջյուրներ, եղջյուրների նշան, եղջյուրների նշան՝ միջին գույնի մաշկ, ձեռք, մատ, մարմին, միջին գույնի մաշկ
🤘🏾	եղջյուրներ, եղջյուրների նշան, եղջյուրների նշան՝ միջին մուգ գույնի մաշկ, ձեռք, մատ, մարմին, միջին մուգ գույնի մաշկ
🤘🏿	եղջյուրներ, եղջյուրների նշան, եղջյուրների նշան՝ մուգ գույնի մաշկ, ձեռք, մատ, մարմին, մուգ գույնի մաշկ
🤙	զանգել, զանգիր ինձ, ձեռք
🤙🏻	բաց գույնի մաշկ, զանգել, զանգիր ինձ, զանգիր ինձ՝ բաց գույնի մաշկ, ձեռք
🤙🏼	զանգել, զանգիր ինձ, զանգիր ինձ՝ միջին բաց գույնի մաշկ, ձեռք, միջին բաց գույնի մաշկ
🤙🏽	զանգել, զանգիր ինձ, զանգիր ինձ՝ միջին գույնի մաշկ, ձեռք, միջին գույնի մաշկ
🤙🏾	զանգել, զանգիր ինձ, զանգիր ինձ՝ միջին մուգ գույնի մաշկ, ձեռք, միջին մուգ գույնի մաշկ
🤙🏿	զանգել, զանգիր ինձ, զանգիր ինձ՝ մուգ գույնի մաշկ, ձեռք, մուգ գույնի մաշկ
👈️	դեպի ձախ ուղղված ցուցամատ, ձեռք, մատ, մարմին, ուղղված, ցուցամատ
👈🏻	բաց գույնի մաշկ, դեպի ձախ ուղղված ցուցամատ, դեպի ձախ ուղղված ցուցամատ՝ բաց գույնի մաշկ, ձեռք, մատ, մարմին, ուղղված, ցուցամատ
👈🏼	դեպի ձախ ուղղված ցուցամատ, դեպի ձախ ուղղված ցուցամատ՝ միջին բաց գույնի մաշկ, ձեռք, մատ, մարմին, միջին բաց գույնի մաշկ, ուղղված, ցուցամատ
👈🏽	դեպի ձախ ուղղված ցուցամատ, դեպի ձախ ուղղված ցուցամատ՝ միջին գույնի մաշկ, ձեռք, մատ, մարմին, միջին գույնի մաշկ, ուղղված, ցուցամատ
👈🏾	դեպի ձախ ուղղված ցուցամատ, դեպի ձախ ուղղված ցուցամատ՝ միջին մուգ գույնի մաշկ, ձեռք, մատ, մարմին, միջին մուգ գույնի մաշկ, ուղղված, ցուցամատ
👈🏿	դեպի ձախ ուղղված ցուցամատ, դեպի ձախ ուղղված ցուցամատ՝ մուգ գույնի մաշկ, ձեռք, մատ, մարմին, մուգ գույնի մաշկ, ուղղված, ցուցամատ
👉️	դեպի աջ ուղղված ցուցամատ, ձեռք, մատ, մարմին, ուղղված, ցուցամատ
👉🏻	բաց գույնի մաշկ, դեպի աջ ուղղված ցուցամատ, դեպի աջ ուղղված ցուցամատ՝ բաց գույնի մաշկ, ձեռք, մատ, մարմին, ուղղված, ցուցամատ
👉🏼	դեպի աջ ուղղված ցուցամատ, դեպի աջ ուղղված ցուցամատ՝ միջին բաց գույնի մաշկ, ձեռք, մատ, մարմին, միջին բաց գույնի մաշկ, ուղղված, ցուցամատ
👉🏽	դեպի աջ ուղղված ցուցամատ, դեպի աջ ուղղված ցուցամատ՝ միջին գույնի մաշկ, ձեռք, մատ, մարմին, միջին գույնի մաշկ, ուղղված, ցուցամատ
👉🏾	դեպի աջ ուղղված ցուցամատ, դեպի աջ ուղղված ցուցամատ՝ միջին մուգ գույնի մաշկ, ձեռք, մատ, մարմին, միջին մուգ գույնի մաշկ, ուղղված, ցուցամատ
👉🏿	դեպի աջ ուղղված ցուցամատ, դեպի աջ ուղղված ցուցամատ՝ մուգ գույնի մաշկ, ձեռք, մատ, մարմին, մուգ գույնի մաշկ, ուղղված, ցուցամատ
👆️	դեպի վեր ուղղված ցուցամատ, ձեռք, մատ, մարմին, ուղղված, վեր, ցուցամատ
👆🏻	բաց գույնի մաշկ, դեպի վեր ուղղված ցուցամատ, դեպի վեր ուղղված ցուցամատ՝ բաց գույնի մաշկ, ձեռք, մատ, մարմին, ուղղված, վեր, ցուցամատ
👆🏼	դեպի վեր ուղղված ցուցամատ, դեպի վեր ուղղված ցուցամատ՝ միջին բաց գույնի մաշկ, ձեռք, մատ, մարմին, միջին բաց գույնի մաշկ, ուղղված, վեր, ցուցամատ
👆🏽	դեպի վեր ուղղված ցուցամատ, դեպի վեր ուղղված ցուցամատ՝ միջին գույնի մաշկ, ձեռք, մատ, մարմին, միջին գույնի մաշկ, ուղղված, վեր, ցուցամատ
👆🏾	դեպի վեր ուղղված ցուցամատ, դեպի վեր ուղղված ցուցամատ՝ միջին մուգ գույնի մաշկ, ձեռք, մատ, մարմին, միջին մուգ գույնի մաշկ, ուղղված, վեր, ցուցամատ
👆🏿	դեպի վեր ուղղված ցուցամատ, դեպի վեր ուղղված ցուցամատ՝ մուգ գույնի մաշկ, ձեռք, մատ, մարմին, մուգ գույնի մաշկ, ուղղված, վեր, ցուցամատ
🖕	ձեռք, մատ, մարմին, մեջտեղի մատ
🖕🏻	բաց գույնի մաշկ, ձեռք, մատ, մարմին, մեջտեղի մատ, մեջտեղի մատ՝ բաց գույնի մաշկ
🖕🏼	ձեռք, մատ, մարմին, մեջտեղի մատ, մեջտեղի մատ՝ միջին բաց գույնի մաշկ, միջին բաց գույնի մաշկ
🖕🏽	ձեռք, մատ, մարմին, մեջտեղի մատ, մեջտեղի մատ՝ միջին գույնի մաշկ, միջին գույնի մաշկ
🖕🏾	ձեռք, մատ, մարմին, մեջտեղի մատ, մեջտեղի մատ՝ միջին մուգ գույնի մաշկ, միջին մուգ գույնի մաշկ
🖕🏿	ձեռք, մատ, մարմին, մեջտեղի մատ, մեջտեղի մատ՝ մուգ գույնի մաշկ, մուգ գույնի մաշկ
👇️	դեպի վար ուղղված ցուցամատ, ձեռք, մատ, մարմին, ուղղված, վար, ցուցամատ
👇🏻	բաց գույնի մաշկ, դեպի վար ուղղված ցուցամատ, դեպի վար ուղղված ցուցամատ՝ բաց գույնի մաշկ, ձեռք, մատ, մարմին, ուղղված, վար, ցուցամատ
👇🏼	դեպի վար ուղղված ցուցամատ, դեպի վար ուղղված ցուցամատ՝ միջին բաց գույնի մաշկ, ձեռք, մատ, մարմին, միջին բաց գույնի մաշկ, ուղղված, վար, ցուցամատ
👇🏽	դեպի վար ուղղված ցուցամատ, դեպի վար ուղղված ցուցամատ՝ միջին գույնի մաշկ, ձեռք, մատ, մարմին, միջին գույնի մաշկ, ուղղված, վար, ցուցամատ
👇🏾	դեպի վար ուղղված ցուցամատ, դեպի վար ուղղված ցուցամատ՝ միջին մուգ գույնի մաշկ, ձեռք, մատ, մարմին, միջին մուգ գույնի մաշկ, ուղղված, վար, ցուցամատ
👇🏿	դեպի վար ուղղված ցուցամատ, դեպի վար ուղղված ցուցամատ՝ մուգ գույնի մաշկ, ձեռք, մատ, մարմին, մուգ գույնի մաշկ, ուղղված, վար, ցուցամատ
☝️	դեպի վեր ուղղված ցուցամատ ձեռքի ափի կողմից, ձեռք, ձեռքի ափ, մատ, մարմին, ուղղված, վեր, ցուցամատ
☝🏻	բաց գույնի մաշկ, դեպի վեր ուղղված ցուցամատ ձեռքի ափի կողմից, դեպի վեր ուղղված ցուցամատ ձեռքի ափի կողմից՝ բաց գույնի մաշկ, ձեռք, ձեռքի ափ, մատ, մարմին, ուղղված, վեր, ցուցամատ
☝🏼	դեպի վեր ուղղված ցուցամատ ձեռքի ափի կողմից, դեպի վեր ուղղված ցուցամատ ձեռքի ափի կողմից՝ միջին բաց գույնի մաշկ, ձեռք, ձեռքի ափ, մատ, մարմին, միջին բաց գույնի մաշկ, ուղղված, վեր, ցուցամատ
