😀	malaking ngiti, mukha, mukhang nakangisi, mukhang nakangiti, nakangiti, ngiti
🥴	bibig na wavy, dizzy, hindi pantay ang mata, lasing, nakainom, woozy na mukha
😵	hikab, inaantok, mukha, mukhang nahihilo, naghihikab
🤯	nabigla, sumasabog na ulo
🤠	cowboy, cowgirl, mukha, mukha na may cowboy hat, sombrero
🥳	nagdiriwang na mukha, pagdiriwang, salu-salo, sombrero, sungay
😎	araw, cool, maaraw, mataas ang araw, mukha, nakangiti, nakangiti nang may suot na shades, ngiti, salamin, shades, sunglasses, tirik ang araw
🤓	geek, hippie, mukha, nerd, salamin
🧐	mukha na may monocle, stuffy
😕	lito, mukha, nalilito
😟	balisa, mukha, nag-aalala
🙁	malungkot, medyo nakasimangot, mukha, simangot
☹️	malungkot, mukha, nakasimangot, simangot
😮	bibig, mukha, nabigla, nagulat, nakanganga
😯	mukha, naghihintay, nakanganga, tahimik, tahimik na naghihintay
😲	gulat na gulat, mukha, nabigla, nagulat
😳	blush, mukha, nahihiya, namumula
🥺	habag, mata na kuwa, nagmamakaawa, nagsusumamo na mukha
😦	bibig, mukha, nakanganga, nakasimangot, nakasimangot nang nakanganga, nalulumbay
😧	mukha, nagdurusa
😨	duwag, kabado, kinakabahan, mukha, natatakot, takot
😰	balisa at pinagpapawisan, bibig, kabado, kinakabahan, malamig, mukha, nakanganga, natatakot, pawis, pinagpapawisan nang malamig
😥	dismayado, malungkot pero naibsan, mukha, nakahinga nang maluwag, whew
😢	iyak, luha, malungkot, nalulumbay, umiiyak
😭	humahagulhol, iyak, luha, malungkot, mukha, umiiyak nang malakas
😱	duwag, kabado, kinakabahan, mukha, naiihi sa takot, natatakot, sumisigaw, sumisigaw sa takot, takot, tumitili
😖	mukha, natataranta, taranta
😣	mukha, nagsisikap, nagtitiyaga
😞	dismayado, mukha, nabigo, nalulumbay
😓	malamig, mukha, pawis, pinagpapawisan nang malamig
😩	mukha, nalulumbay, pagod, pagod na pagod
😫	mukha, pagod na mukha
🥱	humihikab, mukhang humihikab, nababagot, pagod
😤	mukha, mukha na umuusok ang ilong, umuusok ang ilong, usok
😡	galit, mukha, nagngingitngit, nakakunot ang noo, nakasimangot, nakasimangot at nakakunot ang noo, namumula, poot, simangot
😠	galit, mukha, nakasimangot, simangot
🤬	mukha na may mga simbolo sa bibig, nanunumpa
😈	demonyo, fantasy, kasamaan, masama, mukha, nakangiti, nakangiti nang may mga sungay, sungay
👿	demonyo, fantasy, kasamaan, masama, mukha, nakangiti, sungay
💀	alamat, bungo, fairy tale, fantasy, halimaw, kamatayan, katawan, lason, mukha
☠️	alamat, bungo, bungo at crossbones, buto, fairy tale, fantasy, kamatayan, katawan, lason, mukha, pirata
💩	dumi, mukha, poop, tae, tumpok ng tae
🤡	clown, clown face, mukha, payaso
👹	alamat, fairy tale, fantasy, halimaw, japanese, kapre, maskara, mukha, nilalang
👺	alamat, fairy tale, fantasy, goblin, halimaw, japanese, maskara, mukha, nilalang
👻	fairy tale, fantasy, kaluluwa, kamatayan, mukha, multo, nilalang
👽️	alien, extraterrestrial, kalawakan, mukha, nilalang
👾	alien, extraterrestrial, halimaw, halimaw na alien, kakaiba, kalawakan, mukha, nilalang, pantasya, pixel, ufo
🤖	mukha, mukha ng robot, robot
😺	masaya, mukha, nakangiti, nakatawa, ngiti, pusa, pusang nakatawa
😸	masaya, mata, mukha, nakangiti, pusa, pusang nakatawa kasama ang mga mata
😹	luha, masaya, mukha, naiiyak, pusa, pusang naiiyak sa kakatawa, tumatawa
😻	mata, mukha, nakangiti, pag-ibig, pagmamahal, pusa, pusang nakangiti nang may hugis-pusong mga mata, puso
😼	nakangisi, ngisi, pusa, pusang nakangisi
😽	halik, humahalik, mata, nakapikit, pusa, pusang humahalik nang nakapikit
🙀	mukha, nabigla, nagulat, pagod, pusa, pusang pagod na pagod, takot
😿	luha, malungkot, mukha, nalulumbay, pusa, pusang umiiyak, umiiyak
😾	galit, mukha, nakasimangot, pusa, pusang nakasimangot
🙈	bawal, gesture, hindi, hindi pwede, huwag, huwag tumingin sa masama, ipinagbabawal, masama, mukha, tumingin, unggoy
🙉	bawal, gesture, hindi, hindi pwede, huwag, huwag makinig sa masama, ipinagbabawal, makinig, masama, mukha, unggoy
🙊	bawal, gesture, hindi, hindi pwede, huwag, huwag magsalita nang masama, ipinagbabawal, magsalita, masama, mukha, unggoy
💋	halik, labi, marka ng halik
💌	liham, liham ng pag-ibig, love letter, pag-ibig, puso, sulat
💘	arrow, kupido, pag-ibig, puso na may palaso, pusong may palaso
💝	laso, pag-ibig, puso, puso na may ribbon, pusong may ribbon, valentine
💖	kumikinang, kumikinang na puso, nasasabik, puso
💗	kinakabahan, lumalaking puso, nasasabik, puso, tumitibok
💓	puso, tibok ng puso, tumitibok, tumitibok na puso
💞	puso, umiikot, umiikot na mga puso
💕	dalawang puso, pag-ibig, puso
💟	dekorasyong puso, puso
❣️	bantas, malaking tandang padamdam na hugis-puso, pananda, puso, tandang padamdam
💔	bigo, broken heart, durog na puso, pag-ibig, puso
❤️	pag-ibig, pulang puso, puso
🧡	dalandan, pusong dalandan
💛	dilaw, dilaw na puso, puso
💚	berde, berdeng puso, puso
💙	asul, asul na puso, puso
💜	purple, purple na puso, puso
🤎	kayumanggi, kayumangging puso, puso
🖤	itim, itim na puso, masama, puso, sama
🤍	puso, puti, puting puso
💯	100, buo, iskor, marka, puntos, sandaan, sandaang puntos
💢	galit, inis, simbolo ng galit
💥	banggaan, boom, kislap, komiks
💫	bituin, hilo, komiks, nahihilo, ulo, umpog
💦	komiks, laway, mga patak ng pawis, pawis, tumatalsik
💨	bilis, humaharurot, komiks, nagmamadali, tumatakbo
🕳️	butas, manhole
💣️	armas, bomba, komiks, pampasabog, sandata
💬	balloon, dialog, komiks, speech balloon, usapan
👁‍🗨	mata, mata sa speech bubble, saksi, speech bubble
🗨️	balloon, dialog, kaliwang speech bubble, komiks, usapan
🗯️	balloon, dialog, galit, kanang anger bubble, komiks, usapan
💭	balloon, bubble, komiks, nag-iisip, thought balloon
💤	inaantok, komiks, natutulog, tulog, zzz
👋	bumabati, kamay, kumakaway, kumakaway na kamay
👋🏻	bumabati, kamay, kumakaway, kumakaway na kamay, kumakaway na kamay: light na kulay ng balat, light na kulay ng balat
👋🏼	bumabati, kamay, katamtamang light na kulay ng balat, kumakaway, kumakaway na kamay, kumakaway na kamay: katamtamang light na kulay ng balat
👋🏽	bumabati, kamay, katamtamang kulay ng balat, kumakaway, kumakaway na kamay, kumakaway na kamay: katamtamang kulay ng balat
👋🏾	bumabati, kamay, katamtamang dark na kulay ng balat, kumakaway, kumakaway na kamay, kumakaway na kamay: katamtamang dark na kulay ng balat
👋🏿	bumabati, dark na kulay ng balat, kamay, kumakaway, kumakaway na kamay, kumakaway na kamay: dark na kulay ng balat
🤚	baliktad, nakataas, nakataas na baliktad na kamay
🤚🏻	baliktad, light na kulay ng balat, nakataas, nakataas na baliktad na kamay, nakataas na baliktad na kamay: light na kulay ng balat
🤚🏼	baliktad, katamtamang light na kulay ng balat, nakataas, nakataas na baliktad na kamay, nakataas na baliktad na kamay: katamtamang light na kulay ng balat
🤚🏽	baliktad, katamtamang kulay ng balat, nakataas, nakataas na baliktad na kamay, nakataas na baliktad na kamay: katamtamang kulay ng balat
🤚🏾	baliktad, katamtamang dark na kulay ng balat, nakataas, nakataas na baliktad na kamay, nakataas na baliktad na kamay: katamtamang dark na kulay ng balat
🤚🏿	baliktad, dark na kulay ng balat, nakataas, nakataas na baliktad na kamay, nakataas na baliktad na kamay: dark na kulay ng balat
🖐️	daliri, kamay, nakabukas na kamay, nakataas na nakabukas na kamay, palad, tumigil
🖐🏻	daliri, kamay, light na kulay ng balat, nakabukas na kamay, nakataas na nakabukas na kamay, nakataas na nakabukas na kamay: light na kulay ng balat, palad, tumigil
🖐🏼	daliri, kamay, katamtamang light na kulay ng balat, nakabukas na kamay, nakataas na nakabukas na kamay, nakataas na nakabukas na kamay: katamtamang light na kulay ng balat, palad, tumigil
🖐🏽	daliri, kamay, katamtamang kulay ng balat, nakabukas na kamay, nakataas na nakabukas na kamay, nakataas na nakabukas na kamay: katamtamang kulay ng balat, palad, tumigil
🖐🏾	daliri, kamay, katamtamang dark na kulay ng balat, nakabukas na kamay, nakataas na nakabukas na kamay, nakataas na nakabukas na kamay: katamtamang dark na kulay ng balat, palad, tumigil
🖐🏿	daliri, dark na kulay ng balat, kamay, nakabukas na kamay, nakataas na nakabukas na kamay, nakataas na nakabukas na kamay: dark na kulay ng balat, palad, tumigil
✋	kamay, nakataas na kamay, palad
✋🏻	kamay, light na kulay ng balat, nakataas na kamay, nakataas na kamay: light na kulay ng balat, palad
✋🏼	kamay, katamtamang light na kulay ng balat, nakataas na kamay, nakataas na kamay: katamtamang light na kulay ng balat, palad
✋🏽	kamay, katamtamang kulay ng balat, nakataas na kamay, nakataas na kamay: katamtamang kulay ng balat, palad
✋🏾	kamay, katamtamang dark na kulay ng balat, nakataas na kamay, nakataas na kamay: katamtamang dark na kulay ng balat, palad
✋🏿	dark na kulay ng balat, kamay, nakataas na kamay, nakataas na kamay: dark na kulay ng balat, palad
🖖	daliri, kamay, spock, star trek, vulcan salute
🖖🏻	daliri, kamay, light na kulay ng balat, spock, star trek, vulcan salute, vulcan salute: light na kulay ng balat
🖖🏼	daliri, kamay, katamtamang light na kulay ng balat, spock, star trek, vulcan salute, vulcan salute: katamtamang light na kulay ng balat
🖖🏽	daliri, kamay, katamtamang kulay ng balat, spock, star trek, vulcan salute, vulcan salute: katamtamang kulay ng balat
🖖🏾	daliri, kamay, katamtamang dark na kulay ng balat, spock, star trek, vulcan salute, vulcan salute: katamtamang dark na kulay ng balat
🖖🏿	daliri, dark na kulay ng balat, kamay, spock, star trek, vulcan salute, vulcan salute: dark na kulay ng balat
👌	kamay, kamay na nagpapahiwatig ng ok, ok, pera
👌🏻	kamay, kamay na nagpapahiwatig ng ok, kamay na nagpapahiwatig ng ok: light na kulay ng balat, light na kulay ng balat, ok, pera
👌🏼	kamay, kamay na nagpapahiwatig ng ok, kamay na nagpapahiwatig ng ok: katamtamang light na kulay ng balat, katamtamang light na kulay ng balat, ok, pera
👌🏽	kamay, kamay na nagpapahiwatig ng ok, kamay na nagpapahiwatig ng ok: katamtamang kulay ng balat, katamtamang kulay ng balat, ok, pera
👌🏾	kamay, kamay na nagpapahiwatig ng ok, kamay na nagpapahiwatig ng ok: katamtamang dark na kulay ng balat, katamtamang dark na kulay ng balat, ok, pera
👌🏿	dark na kulay ng balat, kamay, kamay na nagpapahiwatig ng ok, kamay na nagpapahiwatig ng ok: dark na kulay ng balat, ok, pera
🤏	kamay na kumukurot, maliit na halaga
🤏🏻	kamay na kumukurot, kamay na kumukurot: light na kulay ng balat, light na kulay ng balat, maliit na halaga
🤏🏼	kamay na kumukurot, kamay na kumukurot: katamtamang light na kulay ng balat, katamtamang light na kulay ng balat, maliit na halaga
🤏🏽	kamay na kumukurot, kamay na kumukurot: katamtamang kulay ng balat, katamtamang kulay ng balat, maliit na halaga
🤏🏾	kamay na kumukurot, kamay na kumukurot: katamtamang dark na kulay ng balat, katamtamang dark na kulay ng balat, maliit na halaga
🤏🏿	dark na kulay ng balat, kamay na kumukurot, kamay na kumukurot: dark na kulay ng balat, maliit na halaga
✌️	daliri, kamay, peace sign, tagumpay, v sign
✌🏻	daliri, kamay, light na kulay ng balat, peace sign, peace sign: light na kulay ng balat, tagumpay, v sign
✌🏼	daliri, kamay, katamtamang light na kulay ng balat, peace sign, peace sign: katamtamang light na kulay ng balat, tagumpay, v sign
✌🏽	daliri, kamay, katamtamang kulay ng balat, peace sign, peace sign: katamtamang kulay ng balat, tagumpay, v sign
✌🏾	daliri, kamay, katamtamang dark na kulay ng balat, peace sign, peace sign: katamtamang dark na kulay ng balat, tagumpay, v sign
✌🏿	daliri, dark na kulay ng balat, kamay, peace sign, peace sign: dark na kulay ng balat, tagumpay, v sign
🤞	cross, daliri, kamay, naka-cross na mga daliri, swerte
🤞🏻	cross, daliri, kamay, light na kulay ng balat, naka-cross na mga daliri, naka-cross na mga daliri: light na kulay ng balat, swerte
🤞🏼	cross, daliri, kamay, katamtamang light na kulay ng balat, naka-cross na mga daliri, naka-cross na mga daliri: katamtamang light na kulay ng balat, swerte
🤞🏽	cross, daliri, kamay, katamtamang kulay ng balat, naka-cross na mga daliri, naka-cross na mga daliri: katamtamang kulay ng balat, swerte
🤞🏾	cross, daliri, kamay, katamtamang dark na kulay ng balat, naka-cross na mga daliri, naka-cross na mga daliri: katamtamang dark na kulay ng balat, swerte
🤞🏿	cross, daliri, dark na kulay ng balat, kamay, naka-cross na mga daliri, naka-cross na mga daliri: dark na kulay ng balat, swerte
🤟	ILY, kamay, love-you gesture
🤟🏻	ILY, kamay, light na kulay ng balat, love-you gesture, love-you gesture: light na kulay ng balat
🤟🏼	ILY, kamay, katamtamang light na kulay ng balat, love-you gesture, love-you gesture: katamtamang light na kulay ng balat
🤟🏽	ILY, kamay, katamtamang kulay ng balat, love-you gesture, love-you gesture: katamtamang kulay ng balat
🤟🏾	ILY, kamay, katamtamang dark na kulay ng balat, love-you gesture, love-you gesture: katamtamang dark na kulay ng balat
🤟🏿	ILY, dark na kulay ng balat, kamay, love-you gesture, love-you gesture: dark na kulay ng balat
🤘	daliri, kamay, rock ‘n’ roll, rock ’n’ roll, rock-on, sungay
🤘🏻	daliri, kamay, light na kulay ng balat, rock ‘n’ roll, rock ’n’ roll, rock ’n’ roll: light na kulay ng balat, rock-on, sungay
🤘🏼	daliri, kamay, katamtamang light na kulay ng balat, rock ‘n’ roll, rock ’n’ roll, rock ’n’ roll: katamtamang light na kulay ng balat, rock-on, sungay
🤘🏽	daliri, kamay, katamtamang kulay ng balat, rock ‘n’ roll, rock ’n’ roll, rock ’n’ roll: katamtamang kulay ng balat, rock-on, sungay
🤘🏾	daliri, kamay, katamtamang dark na kulay ng balat, rock ‘n’ roll, rock ’n’ roll, rock ’n’ roll: katamtamang dark na kulay ng balat, rock-on, sungay
🤘🏿	daliri, dark na kulay ng balat, kamay, rock ‘n’ roll, rock ’n’ roll, rock ’n’ roll: dark na kulay ng balat, rock-on, sungay
🤙	kamay, tawag, tawagan mo ko
🤙🏻	kamay, light na kulay ng balat, tawag, tawagan mo ko, tawagan mo ko: light na kulay ng balat
🤙🏼	kamay, katamtamang light na kulay ng balat, tawag, tawagan mo ko, tawagan mo ko: katamtamang light na kulay ng balat
🤙🏽	kamay, katamtamang kulay ng balat, tawag, tawagan mo ko, tawagan mo ko: katamtamang kulay ng balat
🤙🏾	kamay, katamtamang dark na kulay ng balat, tawag, tawagan mo ko, tawagan mo ko: katamtamang dark na kulay ng balat
🤙🏿	dark na kulay ng balat, kamay, tawag, tawagan mo ko, tawagan mo ko: dark na kulay ng balat
👈️	backhand, backhand ng hintuturo na nakaturo sa kaliwa, daliri, gesture, hintuturo, index finger, kamay, nakaturo
👈🏻	backhand, backhand ng hintuturo na nakaturo sa kaliwa, backhand ng hintuturo na nakaturo sa kaliwa: light na kulay ng balat, daliri, gesture, hintuturo, index finger, kamay, light na kulay ng balat, nakaturo
👈🏼	backhand, backhand ng hintuturo na nakaturo sa kaliwa, backhand ng hintuturo na nakaturo sa kaliwa: katamtamang light na kulay ng balat, daliri, gesture, hintuturo, index finger, kamay, katamtamang light na kulay ng balat, nakaturo
👈🏽	backhand, backhand ng hintuturo na nakaturo sa kaliwa, backhand ng hintuturo na nakaturo sa kaliwa: katamtamang kulay ng balat, daliri, gesture, hintuturo, index finger, kamay, katamtamang kulay ng balat, nakaturo
👈🏾	backhand, backhand ng hintuturo na nakaturo sa kaliwa, backhand ng hintuturo na nakaturo sa kaliwa: katamtamang dark na kulay ng balat, daliri, gesture, hintuturo, index finger, kamay, katamtamang dark na kulay ng balat, nakaturo
👈🏿	backhand, backhand ng hintuturo na nakaturo sa kaliwa, backhand ng hintuturo na nakaturo sa kaliwa: dark na kulay ng balat, daliri, dark na kulay ng balat, gesture, hintuturo, index finger, kamay, nakaturo
👉️	backhand ng hintuturo na nakaturo sa kanan, daliri, hintuturo, kamay, nakaturo
👉🏻	backhand ng hintuturo na nakaturo sa kanan, backhand ng hintuturo na nakaturo sa kanan: light na kulay ng balat, daliri, hintuturo, kamay, light na kulay ng balat, nakaturo
👉🏼	backhand ng hintuturo na nakaturo sa kanan, backhand ng hintuturo na nakaturo sa kanan: katamtamang light na kulay ng balat, daliri, hintuturo, kamay, katamtamang light na kulay ng balat, nakaturo
👉🏽	backhand ng hintuturo na nakaturo sa kanan, backhand ng hintuturo na nakaturo sa kanan: katamtamang kulay ng balat, daliri, hintuturo, kamay, katamtamang kulay ng balat, nakaturo
👉🏾	backhand ng hintuturo na nakaturo sa kanan, backhand ng hintuturo na nakaturo sa kanan: katamtamang dark na kulay ng balat, daliri, hintuturo, kamay, katamtamang dark na kulay ng balat, nakaturo
👉🏿	backhand ng hintuturo na nakaturo sa kanan, backhand ng hintuturo na nakaturo sa kanan: dark na kulay ng balat, daliri, dark na kulay ng balat, hintuturo, kamay, nakaturo
👆️	backhand, backhand ng hintuturo na nakaturo sa itaas, daliri, hintuturo, kamay
👆🏻	backhand, backhand ng hintuturo na nakaturo sa itaas, backhand ng hintuturo na nakaturo sa itaas: light na kulay ng balat, daliri, hintuturo, kamay, light na kulay ng balat
👆🏼	backhand, backhand ng hintuturo na nakaturo sa itaas, backhand ng hintuturo na nakaturo sa itaas: katamtamang light na kulay ng balat, daliri, hintuturo, kamay, katamtamang light na kulay ng balat
👆🏽	backhand, backhand ng hintuturo na nakaturo sa itaas, backhand ng hintuturo na nakaturo sa itaas: katamtamang kulay ng balat, daliri, hintuturo, kamay, katamtamang kulay ng balat
👆🏾	backhand, backhand ng hintuturo na nakaturo sa itaas, backhand ng hintuturo na nakaturo sa itaas: katamtamang dark na kulay ng balat, daliri, hintuturo, kamay, katamtamang dark na kulay ng balat
👆🏿	backhand, backhand ng hintuturo na nakaturo sa itaas, backhand ng hintuturo na nakaturo sa itaas: dark na kulay ng balat, daliri, dark na kulay ng balat, hintuturo, kamay
🖕	daliri, gesture, hinlalato, kamay, middle finger
🖕🏻	daliri, gesture, hinlalato, hinlalato: light na kulay ng balat, kamay, light na kulay ng balat, middle finger
🖕🏼	daliri, gesture, hinlalato, hinlalato: katamtamang light na kulay ng balat, kamay, katamtamang light na kulay ng balat, middle finger
🖕🏽	daliri, gesture, hinlalato, hinlalato: katamtamang kulay ng balat, kamay, katamtamang kulay ng balat, middle finger
🖕🏾	daliri, gesture, hinlalato, hinlalato: katamtamang dark na kulay ng balat, kamay, katamtamang dark na kulay ng balat, middle finger
🖕🏿	daliri, dark na kulay ng balat, gesture, hinlalato, hinlalato: dark na kulay ng balat, kamay, middle finger
👇️	backhand, backhand ng hintuturo na nakaturo sa ibaba, daliri, hintuturo, kamay
👇🏻	backhand, backhand ng hintuturo na nakaturo sa ibaba, backhand ng hintuturo na nakaturo sa ibaba: light na kulay ng balat, daliri, hintuturo, kamay, light na kulay ng balat
👇🏼	backhand, backhand ng hintuturo na nakaturo sa ibaba, backhand ng hintuturo na nakaturo sa ibaba: katamtamang light na kulay ng balat, daliri, hintuturo, kamay, katamtamang light na kulay ng balat
👇🏽	backhand, backhand ng hintuturo na nakaturo sa ibaba, backhand ng hintuturo na nakaturo sa ibaba: katamtamang kulay ng balat, daliri, hintuturo, kamay, katamtamang kulay ng balat
👇🏾	backhand, backhand ng hintuturo na nakaturo sa ibaba, backhand ng hintuturo na nakaturo sa ibaba: katamtamang dark na kulay ng balat, daliri, hintuturo, kamay, katamtamang dark na kulay ng balat
👇🏿	backhand, backhand ng hintuturo na nakaturo sa ibaba, backhand ng hintuturo na nakaturo sa ibaba: dark na kulay ng balat, daliri, dark na kulay ng balat, hintuturo, kamay
☝️	daliri, hintuturo, hintuturo na nakaturo sa itaas, hintuturong nakaturo sa itaas, kamay
☝🏻	daliri, hintuturo, hintuturo na nakaturo sa itaas, hintuturo na nakaturo sa itaas: light na kulay ng balat, hintuturong nakaturo sa itaas, kamay, light na kulay ng balat
☝🏼	daliri, hintuturo, hintuturo na nakaturo sa itaas, hintuturo na nakaturo sa itaas: katamtamang light na kulay ng balat, hintuturong nakaturo sa itaas, kamay, katamtamang light na kulay ng balat
☝🏽	daliri, hintuturo, hintuturo na nakaturo sa itaas, hintuturo na nakaturo sa itaas: katamtamang kulay ng balat, hintuturong nakaturo sa itaas, kamay, katamtamang kulay ng balat
☝🏾	daliri, hintuturo, hintuturo na nakaturo sa itaas, hintuturo na nakaturo sa itaas: katamtamang dark na kulay ng balat, hintuturong nakaturo sa itaas, kamay, katamtamang dark na kulay ng balat
☝🏿	daliri, dark na kulay ng balat, hintuturo, hintuturo na nakaturo sa itaas, hintuturo na nakaturo sa itaas: dark na kulay ng balat, hintuturong nakaturo sa itaas, kamay
👍️	+1, hinlalaki, kamay, ok, thumbs up
👍🏻	+1, hinlalaki, kamay, light na kulay ng balat, ok, thumbs up, thumbs up: light na kulay ng balat
👍🏼	+1, hinlalaki, kamay, katamtamang light na kulay ng balat, ok, thumbs up, thumbs up: katamtamang light na kulay ng balat
👍🏽	+1, hinlalaki, kamay, katamtamang kulay ng balat, ok, thumbs up, thumbs up: katamtamang kulay ng balat
👍🏾	+1, hinlalaki, kamay, katamtamang dark na kulay ng balat, ok, thumbs up, thumbs up: katamtamang dark na kulay ng balat
👍🏿	+1, dark na kulay ng balat, hinlalaki, kamay, ok, thumbs up, thumbs up: dark na kulay ng balat
👎️	boo, daliri, hindi ok, hinlalaki, thumbs down
👎🏻	boo, daliri, hindi ok, hinlalaki, light na kulay ng balat, thumbs down, thumbs down: light na kulay ng balat
👎🏼	boo, daliri, hindi ok, hinlalaki, katamtamang light na kulay ng balat, thumbs down, thumbs down: katamtamang light na kulay ng balat
👎🏽	boo, daliri, hindi ok, hinlalaki, katamtamang kulay ng balat, thumbs down, thumbs down: katamtamang kulay ng balat
👎🏾	boo, daliri, hindi ok, hinlalaki, katamtamang dark na kulay ng balat, thumbs down, thumbs down: katamtamang dark na kulay ng balat
👎🏿	boo, daliri, dark na kulay ng balat, hindi ok, hinlalaki, thumbs down, thumbs down: dark na kulay ng balat
✊	kamao, kamay, nakasarang kamao, nakataas na kamao, suntok
✊🏻	kamao, kamay, light na kulay ng balat, nakasarang kamao, nakataas na kamao, nakataas na kamao: light na kulay ng balat, suntok
✊🏼	kamao, kamay, katamtamang light na kulay ng balat, nakasarang kamao, nakataas na kamao, nakataas na kamao: katamtamang light na kulay ng balat, suntok
✊🏽	kamao, kamay, katamtamang kulay ng balat, nakasarang kamao, nakataas na kamao, nakataas na kamao: katamtamang kulay ng balat, suntok
✊🏾	kamao, kamay, katamtamang dark na kulay ng balat, nakasarang kamao, nakataas na kamao, nakataas na kamao: katamtamang dark na kulay ng balat, suntok
✊🏿	dark na kulay ng balat, kamao, kamay, nakasarang kamao, nakataas na kamao, nakataas na kamao: dark na kulay ng balat, suntok
👊	kamao, kamay, nakasara, pasuntok na kamao, suntok
👊🏻	kamao, kamay, light na kulay ng balat, nakasara, pasuntok na kamao, pasuntok na kamao: light na kulay ng balat, suntok
👊🏼	kamao, kamay, katamtamang light na kulay ng balat, nakasara, pasuntok na kamao, pasuntok na kamao: katamtamang light na kulay ng balat, suntok
👊🏽	kamao, kamay, katamtamang kulay ng balat, nakasara, pasuntok na kamao, pasuntok na kamao: katamtamang kulay ng balat, suntok
👊🏾	kamao, kamay, katamtamang dark na kulay ng balat, nakasara, pasuntok na kamao, pasuntok na kamao: katamtamang dark na kulay ng balat, suntok
👊🏿	dark na kulay ng balat, kamao, kamay, nakasara, pasuntok na kamao, pasuntok na kamao: dark na kulay ng balat, suntok
🤛	kamao, pakaliwa, pakaliwang kamao
🤛🏻	kamao, light na kulay ng balat, pakaliwa, pakaliwang kamao, pakaliwang kamao: light na kulay ng balat
🤛🏼	kamao, katamtamang light na kulay ng balat, pakaliwa, pakaliwang kamao, pakaliwang kamao: katamtamang light na kulay ng balat
🤛🏽	kamao, katamtamang kulay ng balat, pakaliwa, pakaliwang kamao, pakaliwang kamao: katamtamang kulay ng balat
