😀	seja, smaids, smiekli
😮	atvērts, mute, pārsteigt, seja, seja ar atvērtu muti
😯	apklusināt, pārsteigt, pārsteigta seja, seja
😲	pārsteigts, seja, šokēta seja, šokēts
😳	apmulsis, nosarkt, nosarkusi seja, seja
🥺	kucēna acis, lūdzoša seja, lūgšanās, žēlastība
😦	atvērts, bēdas, bēdīga seja ar atvērtu muti, mute, seja
😧	pārsteigt, seja, sāpes, sāpināt, sāpjpilna seja
😨	bailes, bailīgs, nobijies, nobijusies seja, seja
😰	atvērts, auksts, mute, seja, seja ar atvērtu muti un aukstiem sviedriem, sviedri, zils
😥	atvieglojums, seja, sviedri, vilties, vīlies, vīlusies un atvieglota seja
😢	asaras, bēdīgs, raudoša seja, raudāt, seja, skumjas
😭	aizgūtnēm raudoša seja, asaras, bēdas, raudāt, seja, skumjš
😱	Munks, bailes, bailēs kliedzoša seja, kliedziens, nobijies, seja
😖	apmulsis, apmulsums, apmulsusi seja, seja
😣	neatlaidīgs, pacietīgs, piepūle, piepūlēta seja, seja
😞	seja, vīlies, vīlusies seja
😓	auksts, seja, seja ar aukstu sviedru lāsi, sviedri
😩	nogurdināta seja, noguris, seja
😫	nogurums, nogurusi seja, seja
🥱	garlaikots, nogurdināts, seja žāvājas, žāvas
😤	dusmas, seja, seja ar tvaiku no deguna, tvaiks
😡	dusmas, dusmīgs, sabozies, sabozusies seja, seja
😠	dusmīga seja, dusmīgs, seja
🤬	lamāšanās, seja ar simboliem uz mutes
😈	ragi, seja, smaidoša seja ar ragiem, smaids, velns
👿	dēmons, seja, velniņš, velns
💀	galva, galvaskauss, nāve
☠️	galva, galvaskauss, jautrais Rodžers, kauli, miroņgalva, nāve
💩	briesmonis, ekskrementi, kakas, mēslu čupa, smieklīgs
🤡	klauna seja, klauns, seja
👹	cilvēkēdājs, fantāzija, monstrs, pasaka, radījums, seja
👺	fantāzija, goblins, monstrs, pasaka, radījums, seja
👻	fantāzija, monstrs, pasaka, radījums, seja, spoks
👽️	NLO, briesmonis, citplanētietis, kosmoss, visums
👾	NLO, briesmonis, citplanētietis, citplanētiešu briesmonis, kosmoss, visums
🤖	monstrs, robots, seja
😺	atvērts, galva, kaķis, mute, plati smaidošs kaķis, smaidoša kaķa galva ar atvērtu muti, smaids
😸	acis, kaķis, plati smaidošs kaķis ar smaidošām acīm, plats smaids, seja, smaids
😹	asaras, kaķa galva ar prieka asarām, kaķis, prieks, seja
😻	acis, kaķis, mīlestība, sirds, smaidoša kaķa galva ar sirds formas acīm, smaids
😼	ironisks, kaķa galva ar viltīgu smaidu, kaķis, seja, smaids, sājš
😽	acis, kaķis, kaķis sniedz skūpstu, seja, skūpsts
🙀	ak, kaķis, noraizējies, noraizējusies kaķa galva, pārsteigts, seja
😿	asaras, kaķis, raudoša kaķa galva, raudāt, seja, skumjš
😾	kaķis, sabozies, sabozies kaķis, seja
🙈	aizliegts, galva, nedrīkst, neko neredzu, nē, pērtiķis, redzēt, ļauns, žests
🙉	aizliegts, dzirdēt, galva, nedrīkst, neko nedzirdu, nē, pērtiķis, ļauns, žests
🙊	aizliegts, galva, nedrīkst, neko nesaku, nē, pērtiķis, runāt, ļauns, žests
💋	lūpas, lūpukrāsa, nospiedums, skūpsta nospiedums, skūpsts
💌	mīlestība, mīlestības vēstule, pasts, romantika, sirds, vēstule
💘	bulta, romantika, sirds, sirds ar bultu
💝	Valentīndiena, lentīte, sirds, sirds ar lentīti
💖	mirdzoša sirds, mirdzēt, sirds, spīdēt
💗	augoša sirds, sirds, sirdspuksti
💓	pukstoša sirds, pukstēt, sirds, sirdspuksti
💞	rotējošas sirdis, sirds
💕	divas sirdis, mīlestība, sirds
💟	sirds, sirds rotājums
❣️	izsaukuma zīme sirds formā, izsaukums, pieturzīme, sirds
💔	salauzt, salauzta sirds, sirds
❤️	sarkana sirds, sarkans, sirds
🧡	oranža sirds, oranžs, sirds
💛	dzeltena sirds, dzeltens, sirds
💚	sirds, zaļa sirds, zaļš
💙	sirds, zila sirds, zils
💜	sirds, violeta sirds, violets
🤎	brūna, brūna sirds, sirds
🖤	melna, melna sirds, sirds, ļaunums
🤍	balta, balta sirds, sirds
💯	100, simt, simt punktu, simts
💢	dusmu simbols, dusmīgs
💥	bums, sadursme, troksnis
💫	apdullis, zvaigzne
💦	lāses, sviedri, sviedru lāses
💨	bēgt, bēgšana, skriešana
🕳️	caurums
💣️	bumba, spridzeklis, spridzināt, sprāgt
💬	burbulis, dialogs, runa, runas burbulis
👁‍🗨	acs, liecinieka zīme, liecinieks, runas burbulis
🗨️	burbulis, dialogs, pa kreisi vērsts runas burbulis, runa
🗯️	burbulis, dialogs, dusmīgs, pa labi vērsts dusmu burbulis, runa
💭	burbulis, domas, domu burbulis
💤	gulēt, miegs, zzz
👋	mājoša roka, māt, roka, ķermenis
👋🏻	gaišs ādas tonis, mājoša roka, mājoša roka: gaišs ādas tonis, māt, roka, ķermenis
👋🏼	mājoša roka, mājoša roka: vidēji gaišs ādas tonis, māt, roka, vidēji gaišs ādas tonis, ķermenis
👋🏽	mājoša roka, mājoša roka: vidējs ādas tonis, māt, roka, vidējs ādas tonis, ķermenis
👋🏾	mājoša roka, mājoša roka: vidēji tumšs ādas tonis, māt, roka, vidēji tumšs ādas tonis, ķermenis
👋🏿	mājoša roka, mājoša roka: tumšs ādas tonis, māt, roka, tumšs ādas tonis, ķermenis
🤚	pacelta, pacelta plauksta, roka
🤚🏻	gaišs ādas tonis, pacelta, pacelta plauksta, pacelta plauksta: gaišs ādas tonis, roka
🤚🏼	pacelta, pacelta plauksta, pacelta plauksta: vidēji gaišs ādas tonis, roka, vidēji gaišs ādas tonis
🤚🏽	pacelta, pacelta plauksta, pacelta plauksta: vidējs ādas tonis, roka, vidējs ādas tonis
🤚🏾	pacelta, pacelta plauksta, pacelta plauksta: vidēji tumšs ādas tonis, roka, vidēji tumšs ādas tonis
🤚🏿	pacelta, pacelta plauksta, pacelta plauksta: tumšs ādas tonis, roka, tumšs ādas tonis
🖐️	izvērsts, pacelta roka ar izvērstiem pirkstiem, pirksts, roka, ķermenis
🖐🏻	gaišs ādas tonis, izvērsts, pacelta roka ar izvērstiem pirkstiem, pacelta roka ar izvērstiem pirkstiem: gaišs ādas tonis, pirksts, roka, ķermenis
🖐🏼	izvērsts, pacelta roka ar izvērstiem pirkstiem, pacelta roka ar izvērstiem pirkstiem: vidēji gaišs ādas tonis, pirksts, roka, vidēji gaišs ādas tonis, ķermenis
🖐🏽	izvērsts, pacelta roka ar izvērstiem pirkstiem, pacelta roka ar izvērstiem pirkstiem: vidējs ādas tonis, pirksts, roka, vidējs ādas tonis, ķermenis
🖐🏾	izvērsts, pacelta roka ar izvērstiem pirkstiem, pacelta roka ar izvērstiem pirkstiem: vidēji tumšs ādas tonis, pirksts, roka, vidēji tumšs ādas tonis, ķermenis
🖐🏿	izvērsts, pacelta roka ar izvērstiem pirkstiem, pacelta roka ar izvērstiem pirkstiem: tumšs ādas tonis, pirksts, roka, tumšs ādas tonis, ķermenis
✋	pacelta roka, roka, ķermenis
✋🏻	gaišs ādas tonis, pacelta roka, pacelta roka: gaišs ādas tonis, roka, ķermenis
✋🏼	pacelta roka, pacelta roka: vidēji gaišs ādas tonis, roka, vidēji gaišs ādas tonis, ķermenis
✋🏽	pacelta roka, pacelta roka: vidējs ādas tonis, roka, vidējs ādas tonis, ķermenis
✋🏾	pacelta roka, pacelta roka: vidēji tumšs ādas tonis, roka, vidēji tumšs ādas tonis, ķermenis
✋🏿	pacelta roka, pacelta roka: tumšs ādas tonis, roka, tumšs ādas tonis, ķermenis
🖖	Spoks, Vulkāns, pirksts, roka, vulkāniešu sveiciens, ķermenis
🖖🏻	Spoks, Vulkāns, gaišs ādas tonis, pirksts, roka, vulkāniešu sveiciens, vulkāniešu sveiciens: gaišs ādas tonis, ķermenis
🖖🏼	Spoks, Vulkāns, pirksts, roka, vidēji gaišs ādas tonis, vulkāniešu sveiciens, vulkāniešu sveiciens: vidēji gaišs ādas tonis, ķermenis
🖖🏽	Spoks, Vulkāns, pirksts, roka, vidējs ādas tonis, vulkāniešu sveiciens, vulkāniešu sveiciens: vidējs ādas tonis, ķermenis
🖖🏾	Spoks, Vulkāns, pirksts, roka, vidēji tumšs ādas tonis, vulkāniešu sveiciens, vulkāniešu sveiciens: vidēji tumšs ādas tonis, ķermenis
🖖🏿	Spoks, Vulkāns, pirksts, roka, tumšs ādas tonis, vulkāniešu sveiciens, vulkāniešu sveiciens: tumšs ādas tonis, ķermenis
👌	labi, ok, roka, simbols OK, ķermenis
👌🏻	gaišs ādas tonis, labi, ok, roka, simbols OK, simbols OK: gaišs ādas tonis, ķermenis
👌🏼	labi, ok, roka, simbols OK, simbols OK: vidēji gaišs ādas tonis, vidēji gaišs ādas tonis, ķermenis
👌🏽	labi, ok, roka, simbols OK, simbols OK: vidējs ādas tonis, vidējs ādas tonis, ķermenis
👌🏾	labi, ok, roka, simbols OK, simbols OK: vidēji tumšs ādas tonis, vidēji tumšs ādas tonis, ķermenis
👌🏿	labi, ok, roka, simbols OK, simbols OK: tumšs ādas tonis, tumšs ādas tonis, ķermenis
🤏	nedaudz, roka rāda drusciņu
🤏🏻	gaišs ādas tonis, nedaudz, roka rāda drusciņu, roka rāda drusciņu: gaišs ādas tonis
🤏🏼	nedaudz, roka rāda drusciņu, roka rāda drusciņu: vidēji gaišs ādas tonis, vidēji gaišs ādas tonis
🤏🏽	nedaudz, roka rāda drusciņu, roka rāda drusciņu: vidējs ādas tonis, vidējs ādas tonis
🤏🏾	nedaudz, roka rāda drusciņu, roka rāda drusciņu: vidēji tumšs ādas tonis, vidēji tumšs ādas tonis
🤏🏿	nedaudz, roka rāda drusciņu, roka rāda drusciņu: tumšs ādas tonis, tumšs ādas tonis
✌️	roka, uzvara, uzvaras simbols, ķermenis
✌🏻	gaišs ādas tonis, roka, uzvara, uzvaras simbols, uzvaras simbols: gaišs ādas tonis, ķermenis
✌🏼	roka, uzvara, uzvaras simbols, uzvaras simbols: vidēji gaišs ādas tonis, vidēji gaišs ādas tonis, ķermenis
✌🏽	roka, uzvara, uzvaras simbols, uzvaras simbols: vidējs ādas tonis, vidējs ādas tonis, ķermenis
✌🏾	roka, uzvara, uzvaras simbols, uzvaras simbols: vidēji tumšs ādas tonis, vidēji tumšs ādas tonis, ķermenis
✌🏿	roka, tumšs ādas tonis, uzvara, uzvaras simbols, uzvaras simbols: tumšs ādas tonis, ķermenis
🤞	pirksts, roka, sakrustot, sakrustoti pirksti, turēt īkšķus, veiksme
🤞🏻	gaišs ādas tonis, pirksts, roka, sakrustot, sakrustoti pirksti, sakrustoti pirksti: gaišs ādas tonis, turēt īkšķus, veiksme
🤞🏼	pirksts, roka, sakrustot, sakrustoti pirksti, sakrustoti pirksti: vidēji gaišs ādas tonis, turēt īkšķus, veiksme, vidēji gaišs ādas tonis
🤞🏽	pirksts, roka, sakrustot, sakrustoti pirksti, sakrustoti pirksti: vidējs ādas tonis, turēt īkšķus, veiksme, vidējs ādas tonis
🤞🏾	pirksts, roka, sakrustot, sakrustoti pirksti, sakrustoti pirksti: vidēji tumšs ādas tonis, turēt īkšķus, veiksme, vidēji tumšs ādas tonis
🤞🏿	pirksts, roka, sakrustot, sakrustoti pirksti, sakrustoti pirksti: tumšs ādas tonis, tumšs ādas tonis, turēt īkšķus, veiksme
🤟	EMT, mīlas žests, roka
🤟🏻	EMT, gaišs ādas tonis, mīlas žests, mīlas žests: gaišs ādas tonis, roka
🤟🏼	EMT, mīlas žests, mīlas žests: vidēji gaišs ādas tonis, roka, vidēji gaišs ādas tonis
🤟🏽	EMT, mīlas žests, mīlas žests: vidējs ādas tonis, roka, vidējs ādas tonis
🤟🏾	EMT, mīlas žests, mīlas žests: vidēji tumšs ādas tonis, roka, vidēji tumšs ādas tonis
🤟🏿	EMT, mīlas žests, mīlas žests: tumšs ādas tonis, roka, tumšs ādas tonis
🤘	Dio, pirksts, ragi, ragu simbols, roka, rokmūzika, smagais metāls
🤘🏻	Dio, gaišs ādas tonis, pirksts, ragi, ragu simbols, ragu simbols: gaišs ādas tonis, roka, rokmūzika, smagais metāls
🤘🏼	Dio, pirksts, ragi, ragu simbols, ragu simbols: vidēji gaišs ādas tonis, roka, rokmūzika, smagais metāls, vidēji gaišs ādas tonis
🤘🏽	Dio, pirksts, ragi, ragu simbols, ragu simbols: vidējs ādas tonis, roka, rokmūzika, smagais metāls, vidējs ādas tonis
🤘🏾	Dio, pirksts, ragi, ragu simbols, ragu simbols: vidēji tumšs ādas tonis, roka, rokmūzika, smagais metāls, vidēji tumšs ādas tonis
🤘🏿	Dio, pirksts, ragi, ragu simbols, ragu simbols: tumšs ādas tonis, roka, rokmūzika, smagais metāls, tumšs ādas tonis
🤙	piezvani man, roka, zvans
🤙🏻	gaišs ādas tonis, piezvani man, piezvani man: gaišs ādas tonis, roka, zvans
🤙🏼	piezvani man, piezvani man: vidēji gaišs ādas tonis, roka, vidēji gaišs ādas tonis, zvans
🤙🏽	piezvani man, piezvani man: vidējs ādas tonis, roka, vidējs ādas tonis, zvans
🤙🏾	piezvani man, piezvani man: vidēji tumšs ādas tonis, roka, vidēji tumšs ādas tonis, zvans
🤙🏿	piezvani man, piezvani man: tumšs ādas tonis, roka, tumšs ādas tonis, zvans
👈️	delna, pa kreisi vērsts rādītājpirksts, pirksts, roka, rādīt, rādītājpirksts, ķermenis
👈🏻	delna, gaišs ādas tonis, pa kreisi vērsts rādītājpirksts, pa kreisi vērsts rādītājpirksts: gaišs ādas tonis, pirksts, roka, rādīt, rādītājpirksts, ķermenis
👈🏼	delna, pa kreisi vērsts rādītājpirksts, pa kreisi vērsts rādītājpirksts: vidēji gaišs ādas tonis, pirksts, roka, rādīt, rādītājpirksts, vidēji gaišs ādas tonis, ķermenis
👈🏽	delna, pa kreisi vērsts rādītājpirksts, pa kreisi vērsts rādītājpirksts: vidējs ādas tonis, pirksts, roka, rādīt, rādītājpirksts, vidējs ādas tonis, ķermenis
👈🏾	delna, pa kreisi vērsts rādītājpirksts, pa kreisi vērsts rādītājpirksts: vidēji tumšs ādas tonis, pirksts, roka, rādīt, rādītājpirksts, vidēji tumšs ādas tonis, ķermenis
👈🏿	delna, pa kreisi vērsts rādītājpirksts, pa kreisi vērsts rādītājpirksts: tumšs ādas tonis, pirksts, roka, rādīt, rādītājpirksts, tumšs ādas tonis, ķermenis
👉️	delna, pa labi vērsts rādītājpirksts, pirksts, roka, rādīt, rādītājpirksts, ķermenis
👉🏻	delna, gaišs ādas tonis, pa labi vērsts rādītājpirksts, pa labi vērsts rādītājpirksts: gaišs ādas tonis, pirksts, roka, rādīt, rādītājpirksts, ķermenis
👉🏼	delna, pa labi vērsts rādītājpirksts, pa labi vērsts rādītājpirksts: vidēji gaišs ādas tonis, pirksts, roka, rādīt, rādītājpirksts, vidēji gaišs ādas tonis, ķermenis
👉🏽	delna, pa labi vērsts rādītājpirksts, pa labi vērsts rādītājpirksts: vidējs ādas tonis, pirksts, roka, rādīt, rādītājpirksts, vidējs ādas tonis, ķermenis
👉🏾	delna, pa labi vērsts rādītājpirksts, pa labi vērsts rādītājpirksts: vidēji tumšs ādas tonis, pirksts, roka, rādīt, rādītājpirksts, vidēji tumšs ādas tonis, ķermenis
👉🏿	delna, pa labi vērsts rādītājpirksts, pa labi vērsts rādītājpirksts: tumšs ādas tonis, pirksts, roka, rādīt, rādītājpirksts, tumšs ādas tonis, ķermenis
👆️	augšup vērsts rādītājpirksts ar prom vērstu delnu, delna, pirksts, roka, rādīt, rādītājpirksts, ķermenis
👆🏻	augšup vērsts rādītājpirksts ar prom vērstu delnu, augšup vērsts rādītājpirksts ar prom vērstu delnu: gaišs ādas tonis, delna, gaišs ādas tonis, pirksts, roka, rādīt, rādītājpirksts, ķermenis
👆🏼	augšup vērsts rādītājpirksts ar prom vērstu delnu, augšup vērsts rādītājpirksts ar prom vērstu delnu: vidēji gaišs ādas tonis, delna, pirksts, roka, rādīt, rādītājpirksts, vidēji gaišs ādas tonis, ķermenis
👆🏽	augšup vērsts rādītājpirksts ar prom vērstu delnu, augšup vērsts rādītājpirksts ar prom vērstu delnu: vidējs ādas tonis, delna, pirksts, roka, rādīt, rādītājpirksts, vidējs ādas tonis, ķermenis
👆🏾	augšup vērsts rādītājpirksts ar prom vērstu delnu, augšup vērsts rādītājpirksts ar prom vērstu delnu: vidēji tumšs ādas tonis, delna, pirksts, roka, rādīt, rādītājpirksts, vidēji tumšs ādas tonis, ķermenis
👆🏿	augšup vērsts rādītājpirksts ar prom vērstu delnu, augšup vērsts rādītājpirksts ar prom vērstu delnu: tumšs ādas tonis, delna, pirksts, roka, rādīt, rādītājpirksts, tumšs ādas tonis, ķermenis
🖕	delna, pirksts, roka, rādīt, vidējais pirksts, ķermenis
🖕🏻	delna, gaišs ādas tonis, pirksts, roka, rādīt, vidējais pirksts, vidējais pirksts: gaišs ādas tonis, ķermenis
🖕🏼	delna, pirksts, roka, rādīt, vidējais pirksts, vidējais pirksts: vidēji gaišs ādas tonis, vidēji gaišs ādas tonis, ķermenis
🖕🏽	delna, pirksts, roka, rādīt, vidējais pirksts, vidējais pirksts: vidējs ādas tonis, vidējs ādas tonis, ķermenis
🖕🏾	delna, pirksts, roka, rādīt, vidējais pirksts, vidējais pirksts: vidēji tumšs ādas tonis, vidēji tumšs ādas tonis, ķermenis
🖕🏿	delna, pirksts, roka, rādīt, tumšs ādas tonis, vidējais pirksts, vidējais pirksts: tumšs ādas tonis, ķermenis
👇️	delna, lejup vērsts rādītājpirksts, pirksts, roka, rādīt, rādītājpirksts, ķermenis
👇🏻	delna, gaišs ādas tonis, lejup vērsts rādītājpirksts, lejup vērsts rādītājpirksts: gaišs ādas tonis, pirksts, roka, rādīt, rādītājpirksts, ķermenis
👇🏼	delna, lejup vērsts rādītājpirksts, lejup vērsts rādītājpirksts: vidēji gaišs ādas tonis, pirksts, roka, rādīt, rādītājpirksts, vidēji gaišs ādas tonis, ķermenis
👇🏽	delna, lejup vērsts rādītājpirksts, lejup vērsts rādītājpirksts: vidējs ādas tonis, pirksts, roka, rādīt, rādītājpirksts, vidējs ādas tonis, ķermenis
👇🏾	delna, lejup vērsts rādītājpirksts, lejup vērsts rādītājpirksts: vidēji tumšs ādas tonis, pirksts, roka, rādīt, rādītājpirksts, vidēji tumšs ādas tonis, ķermenis
👇🏿	delna, lejup vērsts rādītājpirksts, lejup vērsts rādītājpirksts: tumšs ādas tonis, pirksts, roka, rādīt, rādītājpirksts, tumšs ādas tonis, ķermenis
☝️	augšup vērsts rādītājpirksts, delna, pirksts, roka, rādīt, rādītājpirksts, ķermenis
☝🏻	augšup vērsts rādītājpirksts, augšup vērsts rādītājpirksts: gaišs ādas tonis, delna, gaišs ādas tonis, pirksts, roka, rādīt, rādītājpirksts, ķermenis
☝🏼	augšup vērsts rādītājpirksts, augšup vērsts rādītājpirksts: vidēji gaišs ādas tonis, delna, pirksts, roka, rādīt, rādītājpirksts, vidēji gaišs ādas tonis, ķermenis
☝🏽	augšup vērsts rādītājpirksts, augšup vērsts rādītājpirksts: vidējs ādas tonis, delna, pirksts, roka, rādīt, rādītājpirksts, vidējs ādas tonis, ķermenis
☝🏾	augšup vērsts rādītājpirksts, augšup vērsts rādītājpirksts: vidēji tumšs ādas tonis, delna, pirksts, roka, rādīt, rādītājpirksts, vidēji tumšs ādas tonis, ķermenis
☝🏿	augšup vērsts rādītājpirksts, augšup vērsts rādītājpirksts: tumšs ādas tonis, delna, pirksts, roka, rādīt, rādītājpirksts, tumšs ādas tonis, ķermenis
👍️	+1, augšup, augšupvērsts īkšķis, patīk, roka, īkšķis, ķermenis
👍🏻	+1, augšup, augšupvērsts īkšķis, augšupvērsts īkšķis: gaišs ādas tonis, gaišs ādas tonis, patīk, roka, īkšķis, ķermenis
👍🏼	+1, augšup, augšupvērsts īkšķis, augšupvērsts īkšķis: vidēji gaišs ādas tonis, patīk, roka, vidēji gaišs ādas tonis, īkšķis, ķermenis
👍🏽	+1, augšup, augšupvērsts īkšķis, augšupvērsts īkšķis: vidējs ādas tonis, patīk, roka, vidējs ādas tonis, īkšķis, ķermenis
👍🏾	+1, augšup, augšupvērsts īkšķis, augšupvērsts īkšķis: vidēji tumšs ādas tonis, patīk, roka, vidēji tumšs ādas tonis, īkšķis, ķermenis
👍🏿	+1, augšup, augšupvērsts īkšķis, augšupvērsts īkšķis: tumšs ādas tonis, patīk, roka, tumšs ādas tonis, īkšķis, ķermenis
👎️	-1, lejup, lejupvērsts īkšķis, nepatīk, roka, īkšķis, ķermenis
👎🏻	-1, gaišs ādas tonis, lejup, lejupvērsts īkšķis, lejupvērsts īkšķis: gaišs ādas tonis, nepatīk, roka, īkšķis, ķermenis
👎🏼	-1, lejup, lejupvērsts īkšķis, lejupvērsts īkšķis: vidēji gaišs ādas tonis, nepatīk, roka, vidēji gaišs ādas tonis, īkšķis, ķermenis
👎🏽	-1, lejup, lejupvērsts īkšķis, lejupvērsts īkšķis: vidējs ādas tonis, nepatīk, roka, vidējs ādas tonis, īkšķis, ķermenis
👎🏾	-1, lejup, lejupvērsts īkšķis, lejupvērsts īkšķis: vidēji tumšs ādas tonis, nepatīk, roka, vidēji tumšs ādas tonis, īkšķis, ķermenis
👎🏿	-1, lejup, lejupvērsts īkšķis, lejupvērsts īkšķis: tumšs ādas tonis, nepatīk, roka, tumšs ādas tonis, īkšķis, ķermenis
✊	dūre, pacelta dūre, roka, sist, ķermenis
✊🏻	dūre, gaišs ādas tonis, pacelta dūre, pacelta dūre: gaišs ādas tonis, roka, sist, ķermenis
✊🏼	dūre, pacelta dūre, pacelta dūre: vidēji gaišs ādas tonis, roka, sist, vidēji gaišs ādas tonis, ķermenis
✊🏽	dūre, pacelta dūre, pacelta dūre: vidējs ādas tonis, roka, sist, vidējs ādas tonis, ķermenis
✊🏾	dūre, pacelta dūre, pacelta dūre: vidēji tumšs ādas tonis, roka, sist, vidēji tumšs ādas tonis, ķermenis
✊🏿	dūre, pacelta dūre, pacelta dūre: tumšs ādas tonis, roka, sist, tumšs ādas tonis, ķermenis
👊	dūre, pretim vērsta dūre, roka, sist, ķermenis
👊🏻	dūre, gaišs ādas tonis, pretim vērsta dūre, pretim vērsta dūre: gaišs ādas tonis, roka, sist, ķermenis
👊🏼	dūre, pretim vērsta dūre, pretim vērsta dūre: vidēji gaišs ādas tonis, roka, sist, vidēji gaišs ādas tonis, ķermenis
👊🏽	dūre, pretim vērsta dūre, pretim vērsta dūre: vidējs ādas tonis, roka, sist, vidējs ādas tonis, ķermenis
👊🏾	dūre, pretim vērsta dūre, pretim vērsta dūre: vidēji tumšs ādas tonis, roka, sist, vidēji tumšs ādas tonis, ķermenis
👊🏿	dūre, pretim vērsta dūre, pretim vērsta dūre: tumšs ādas tonis, roka, sist, tumšs ādas tonis, ķermenis
🤛	dūre, dūre pa kreisi, pa kreisi
🤛🏻	dūre, dūre pa kreisi, dūre pa kreisi: gaišs ādas tonis, gaišs ādas tonis, pa kreisi
🤛🏼	dūre, dūre pa kreisi, dūre pa kreisi: vidēji gaišs ādas tonis, pa kreisi, vidēji gaišs ādas tonis
🤛🏽	dūre, dūre pa kreisi, dūre pa kreisi: vidējs ādas tonis, pa kreisi, vidējs ādas tonis
🤛🏾	dūre, dūre pa kreisi, dūre pa kreisi: vidēji tumšs ādas tonis, pa kreisi, vidēji tumšs ādas tonis
🤛🏿	dūre, dūre pa kreisi, dūre pa kreisi: tumšs ādas tonis, pa kreisi, tumšs ādas tonis
🤜	dūre, dūre pa labi, pa labi
🤜🏻	dūre, dūre pa labi, dūre pa labi: gaišs ādas tonis, gaišs ādas tonis, pa labi
