😀	roześmiana buźka, szeroko uśmiechnięta twarz
😳	twarz z rumieńcami, twarz z wypiekami
🥺	błagająca twarz, błaganie, litość, słodkie oczy
😦	rozzłoszczona buźka, zachmurzona twarz z otwartymi ustami
😧	udręczona twarz, złość
😨	przestraszona twarz, wystraszona buźka
😰	zaniepokojona twarz oblana potem, zziajana buźka
😥	smutna twarz z wyrazem ulgi, smutna ulga
😢	buźka ze łzą w oku, płacząca twarz
😭	głośno płacząca twarz, zapłakana buźka
😱	krzycząca buźka, twarz krzycząca ze strachu
😖	zakłopotana twarz, zirytowana buźka
😣	napięcie, uparta twarz, zacięta twarz
😞	rozczarowana buźka, rozczarowana twarz
😓	kropla potu, spocony, twarz ze spuszczonymi oczami oblana potem
😩	zmęczenie, zmęczona buźka, znużona twarz
😫	zmęczenie, zmęczona buźka, zmęczona twarz
🥱	nuda, ziewająca twarz, ziewać, zmęczenie, znudzony
😤	prychająca twarz, triumf, twarz z parą wylatującą z nosa, wygrana
😡	dąsy, nadąsana twarz, twarz, wściekłość, złość
😠	rozgniewana buźka, zagniewana twarz
🤬	przekleństwo, twarz z symbolami na ustach
😈	diabełek, fantasy, rogi, różki, uśmiechnięta twarz z rogami, wesoły
👿	diabełek, fantasy, rogi, różki, smutny, zagniewana twarz z rogami
💀	czaszka, duch, kościotrup, potwór, szkielet, trupia czaszka, śmierć
☠️	czaszka z piszczelami, duch, kościotrup, piraci, piszczele, potwór, szkielet, trupia czaszka, śmierć
💩	gnój, obornik, odchody, potwór, twarz
🤡	cyrk, klown, twarz klauna
👹	maska, ogr, potwór
👺	diabeł, goblin, maska, stwór
👻	duch, duszek, język, wesoły duch
👽️	kosmita, obcy, pozaziemski, twarz, ufo, ufoludek
👾	kosmiczny potwór, kosmita, obcy, potwór, pozaziemski, twarz, ufo
🤖	głowa robota, monstrum, robot, twarz
😺	kot, uśmiech, uśmiechnięty kot, uśmiechnięty kot z otwartym pyszczkiem, zęby
😸	kot, oczy, roześmiany, uśmiech, uśmiechnięty kot o wesołych oczach, wesoły
😹	kot, kot ze łzami radości, płaczę ze śmiechu, uśmiech, zęby
😻	kot, miłość, oczy, serca, uśmiechnięty kot z oczami w kształcie serca, zakochany
😼	ironia, ironiczny, kot, kot z drwiącym uśmiechem, kpiarski, kpina
😽	całuję, całuski, kot, kot przesyłający całusa, rumieniec
🙀	kot, przestraszony kot, w szoku, zaskoczony, zdumiony, zszokowany
😿	kot, płaczący kot, płaczę, smutny, łza
😾	grymas, kot, nadąsany kot, obrażony
🙈	gest, małpa zasłaniająca oczy, nie, nie widzieć, nie widzę, niedobre, zabronione, zakrywam oczy
🙉	gest, małpa zasłaniająca uszy, nie, nie słyszeć, nie słyszę, niedobre, zabronione, zakrywam uszy
🙊	co ja mówię, gest, małpa zasłaniająca pyszczek, nie, nie mówić, nie mówię, niedobre, zabronione, zakrywam usta
💋	odcisk ust, pocałunek, usta, ślad po pocałunku
💌	list, list miłosny, liścik, miłość, serce, wiadomość
💘	przebite strzałą, serce przebite strzałą, serce ze strzałą
💝	serce, serce ze wstążką, walentynki, wstążka
💖	błyszczące serce, migoczące serce
💗	bicie serca, puls, rosnące serce, serce rośnie, tętno, zdenerwowany
💓	bijące serce, kocham cię
💞	miłość, para, serca dwa, tańczące serca, wirujące serca
💕	dwa serca, kocham, miłość, serca
💟	dekoracja, dekoracja z sercem, ozdoba
❣️	czerwony wykrzyknik, serce, wykrzyknik, wykrzyknik w kształcie serca, znak interpunkcyjny
💔	pęknięte, serce, złamane serce
❤️	czerwone, czerwone serce, kocham, miłość, serce
🧡	pomarańczowe, pomarańczowe serce
💛	serce, żółte, żółte serce
💚	serce, zielone, zielone serce
💙	niebieskie, niebieskie serce, serce
💜	fioletowe, purpurowe serce, serce
🤎	brązowe, brązowe serce, serce
🖤	czarne serce, czarny, serce, zło
🤍	białe, białe serce, serce
💯	100, setka, sto punktów, stówa, stówka
💢	symbol gniewu, złość
💥	kolizja, wybuch, żartobliwy
💫	spadająca gwiazda, zawroty głowy
💦	krople, krople potu, pot, woda
💨	podmuch wiatru, pęd, pędzić, szybkie poruszanie się, szybkość, wiatr
🕳️	dziura, otwór
💣️	bomba, żartobliwy
💬	dialog, dymek, rozmowa
👁‍🗨	dymek, oko, oko w dymku, wzrok
🗨️	dialog, dymek, lewostronny dymek, rozmowa
🗯️	dymek, prawostronny dymek złości, zdenerwowany, złość
💭	dymek myśli, myśl, myśleć
💤	chrapanie, zabawny, żartobliwy
👋	machająca dłoń
👋🏻	karnacja jasna, machająca dłoń, machająca dłoń: karnacja jasna
👋🏼	karnacja średnio jasna, machająca dłoń, machająca dłoń: karnacja średnio jasna
👋🏽	karnacja średnia, machająca dłoń, machająca dłoń: karnacja średnia
👋🏾	karnacja średnio ciemna, machająca dłoń, machająca dłoń: karnacja średnio ciemna
👋🏿	karnacja ciemna, machająca dłoń, machająca dłoń: karnacja ciemna
🤚	powitanie, pozdrowienie, pożegnanie, uniesiona dłoń, wzniesiony grzbiet dłoni
🤚🏻	karnacja jasna, powitanie, pozdrowienie, pożegnanie, uniesiona dłoń, wzniesiony grzbiet dłoni, wzniesiony grzbiet dłoni: karnacja jasna
🤚🏼	karnacja średnio jasna, powitanie, pozdrowienie, pożegnanie, uniesiona dłoń, wzniesiony grzbiet dłoni, wzniesiony grzbiet dłoni: karnacja średnio jasna
🤚🏽	karnacja średnia, powitanie, pozdrowienie, pożegnanie, uniesiona dłoń, wzniesiony grzbiet dłoni, wzniesiony grzbiet dłoni: karnacja średnia
🤚🏾	karnacja średnio ciemna, powitanie, pozdrowienie, pożegnanie, uniesiona dłoń, wzniesiony grzbiet dłoni, wzniesiony grzbiet dłoni: karnacja średnio ciemna
🤚🏿	karnacja ciemna, powitanie, pozdrowienie, pożegnanie, uniesiona dłoń, wzniesiony grzbiet dłoni, wzniesiony grzbiet dłoni: karnacja ciemna
🖐️	otwarta dłoń wszystkie palce, palce, rozpostarte palce, uniesiona otwarta dłoń
🖐🏻	karnacja jasna, otwarta dłoń wszystkie palce, palce, rozpostarte palce, uniesiona otwarta dłoń, uniesiona otwarta dłoń: karnacja jasna
🖐🏼	karnacja średnio jasna, otwarta dłoń wszystkie palce, palce, rozpostarte palce, uniesiona otwarta dłoń, uniesiona otwarta dłoń: karnacja średnio jasna
🖐🏽	karnacja średnia, otwarta dłoń wszystkie palce, palce, rozpostarte palce, uniesiona otwarta dłoń, uniesiona otwarta dłoń: karnacja średnia
🖐🏾	karnacja średnio ciemna, otwarta dłoń wszystkie palce, palce, rozpostarte palce, uniesiona otwarta dłoń, uniesiona otwarta dłoń: karnacja średnio ciemna
🖐🏿	karnacja ciemna, otwarta dłoń wszystkie palce, palce, rozpostarte palce, uniesiona otwarta dłoń, uniesiona otwarta dłoń: karnacja ciemna
✋	dłoń, stop, uwaga, wzniesiona dłoń
✋🏻	dłoń, karnacja jasna, stop, uwaga, wzniesiona dłoń, wzniesiona dłoń: karnacja jasna
✋🏼	dłoń, karnacja średnio jasna, stop, uwaga, wzniesiona dłoń, wzniesiona dłoń: karnacja średnio jasna
✋🏽	dłoń, karnacja średnia, stop, uwaga, wzniesiona dłoń, wzniesiona dłoń: karnacja średnia
✋🏾	dłoń, karnacja średnio ciemna, stop, uwaga, wzniesiona dłoń, wzniesiona dłoń: karnacja średnio ciemna
✋🏿	dłoń, karnacja ciemna, stop, uwaga, wzniesiona dłoń, wzniesiona dłoń: karnacja ciemna
🖖	dłoń, palce, salut wolkański, wolkański
🖖🏻	dłoń, karnacja jasna, palce, salut wolkański, salut wolkański: karnacja jasna, wolkański
🖖🏼	dłoń, karnacja średnio jasna, palce, salut wolkański, salut wolkański: karnacja średnio jasna, wolkański
🖖🏽	dłoń, karnacja średnia, palce, salut wolkański, salut wolkański: karnacja średnia, wolkański
🖖🏾	dłoń, karnacja średnio ciemna, palce, salut wolkański, salut wolkański: karnacja średnio ciemna, wolkański
🖖🏿	dłoń, karnacja ciemna, palce, salut wolkański, salut wolkański: karnacja ciemna, wolkański
👌	dłoń z gestem OK, znak OK
👌🏻	dłoń z gestem OK, dłoń z gestem OK: karnacja jasna, karnacja jasna, znak OK
👌🏼	dłoń z gestem OK, dłoń z gestem OK: karnacja średnio jasna, karnacja średnio jasna, znak OK
👌🏽	dłoń z gestem OK, dłoń z gestem OK: karnacja średnia, karnacja średnia, znak OK
👌🏾	dłoń z gestem OK, dłoń z gestem OK: karnacja średnio ciemna, karnacja średnio ciemna, znak OK
👌🏿	dłoń z gestem OK, dłoń z gestem OK: karnacja ciemna, karnacja ciemna, znak OK
🤏	dłoń z gestem „trochę”, mała ilość
🤏🏻	dłoń z gestem „trochę”, dłoń z gestem „trochę”: karnacja jasna, karnacja jasna, mała ilość
🤏🏼	dłoń z gestem „trochę”, dłoń z gestem „trochę”: karnacja średnio jasna, karnacja średnio jasna, mała ilość
🤏🏽	dłoń z gestem „trochę”, dłoń z gestem „trochę”: karnacja średnia, karnacja średnia, mała ilość
🤏🏾	dłoń z gestem „trochę”, dłoń z gestem „trochę”: karnacja średnio ciemna, karnacja średnio ciemna, mała ilość
🤏🏿	dłoń z gestem „trochę”, dłoń z gestem „trochę”: karnacja ciemna, karnacja ciemna, mała ilość
✌️	gest V, gest zwycięstwa, znak V, znak Victorii
✌🏻	gest V, gest V: karnacja jasna, gest zwycięstwa, karnacja jasna, znak V, znak Victorii
✌🏼	gest V, gest V: karnacja średnio jasna, gest zwycięstwa, karnacja średnio jasna, znak V, znak Victorii
✌🏽	gest V, gest V: karnacja średnia, gest zwycięstwa, karnacja średnia, znak V, znak Victorii
✌🏾	gest V, gest V: karnacja średnio ciemna, gest zwycięstwa, karnacja średnio ciemna, znak V, znak Victorii
✌🏿	gest V, gest V: karnacja ciemna, gest zwycięstwa, karnacja ciemna, znak V, znak Victorii
🤞	kciuki, powodzenia, skrzyżowane palce, trzymać
🤞🏻	karnacja jasna, kciuki, powodzenia, skrzyżowane palce, skrzyżowane palce: karnacja jasna, trzymać
🤞🏼	karnacja średnio jasna, kciuki, powodzenia, skrzyżowane palce, skrzyżowane palce: karnacja średnio jasna, trzymać
🤞🏽	karnacja średnia, kciuki, powodzenia, skrzyżowane palce, skrzyżowane palce: karnacja średnia, trzymać
🤞🏾	karnacja średnio ciemna, kciuki, powodzenia, skrzyżowane palce, skrzyżowane palce: karnacja średnio ciemna, trzymać
🤞🏿	karnacja ciemna, kciuki, powodzenia, skrzyżowane palce, skrzyżowane palce: karnacja ciemna, trzymać
🤟	gest Kocham cię, kocham, ręka
🤟🏻	gest Kocham cię, gest Kocham cię: karnacja jasna, karnacja jasna, kocham, ręka
🤟🏼	gest Kocham cię, gest Kocham cię: karnacja średnio jasna, karnacja średnio jasna, kocham, ręka
🤟🏽	gest Kocham cię, gest Kocham cię: karnacja średnia, karnacja średnia, kocham, ręka
🤟🏾	gest Kocham cię, gest Kocham cię: karnacja średnio ciemna, karnacja średnio ciemna, kocham, ręka
🤟🏿	gest Kocham cię, gest Kocham cię: karnacja ciemna, karnacja ciemna, kocham, ręka
🤘	gest rogów, rocker, rogi, znak rockersów
🤘🏻	gest rogów, gest rogów: karnacja jasna, karnacja jasna, rocker, rogi, znak rockersów
🤘🏼	gest rogów, gest rogów: karnacja średnio jasna, karnacja średnio jasna, rocker, rogi, znak rockersów
🤘🏽	gest rogów, gest rogów: karnacja średnia, karnacja średnia, rocker, rogi, znak rockersów
🤘🏾	gest rogów, gest rogów: karnacja średnio ciemna, karnacja średnio ciemna, rocker, rogi, znak rockersów
🤘🏿	gest rogów, gest rogów: karnacja ciemna, karnacja ciemna, rocker, rogi, znak rockersów
🤙	dzwonić, dłoń w geście „Zadzwoń do mnie”, telefonować
🤙🏻	dzwonić, dłoń w geście „Zadzwoń do mnie”, dłoń w geście „Zadzwoń do mnie”: karnacja jasna, karnacja jasna, telefonować
🤙🏼	dzwonić, dłoń w geście „Zadzwoń do mnie”, dłoń w geście „Zadzwoń do mnie”: karnacja średnio jasna, karnacja średnio jasna, telefonować
🤙🏽	dzwonić, dłoń w geście „Zadzwoń do mnie”, dłoń w geście „Zadzwoń do mnie”: karnacja średnia, karnacja średnia, telefonować
🤙🏾	dzwonić, dłoń w geście „Zadzwoń do mnie”, dłoń w geście „Zadzwoń do mnie”: karnacja średnio ciemna, karnacja średnio ciemna, telefonować
🤙🏿	dzwonić, dłoń w geście „Zadzwoń do mnie”, dłoń w geście „Zadzwoń do mnie”: karnacja ciemna, karnacja ciemna, telefonować
👈️	lewa strona, palec, palec w lewo, w lewo, wskazujący
👈🏻	karnacja jasna, lewa strona, palec, palec w lewo, palec w lewo: karnacja jasna, w lewo, wskazujący
👈🏼	karnacja średnio jasna, lewa strona, palec, palec w lewo, palec w lewo: karnacja średnio jasna, w lewo, wskazujący
👈🏽	karnacja średnia, lewa strona, palec, palec w lewo, palec w lewo: karnacja średnia, w lewo, wskazujący
👈🏾	karnacja średnio ciemna, lewa strona, palec, palec w lewo, palec w lewo: karnacja średnio ciemna, w lewo, wskazujący
👈🏿	karnacja ciemna, lewa strona, palec, palec w lewo, palec w lewo: karnacja ciemna, w lewo, wskazujący
👉️	dłoń z palcem wskazującym w prawo, palec, prawa strona, w prawo, wskazujący
👉🏻	dłoń z palcem wskazującym w prawo, dłoń z palcem wskazującym w prawo: karnacja jasna, karnacja jasna, palec, prawa strona, w prawo, wskazujący
👉🏼	dłoń z palcem wskazującym w prawo, dłoń z palcem wskazującym w prawo: karnacja średnio jasna, karnacja średnio jasna, palec, prawa strona, w prawo, wskazujący
👉🏽	dłoń z palcem wskazującym w prawo, dłoń z palcem wskazującym w prawo: karnacja średnia, karnacja średnia, palec, prawa strona, w prawo, wskazujący
👉🏾	dłoń z palcem wskazującym w prawo, dłoń z palcem wskazującym w prawo: karnacja średnio ciemna, karnacja średnio ciemna, palec, prawa strona, w prawo, wskazujący
👉🏿	dłoń z palcem wskazującym w prawo, dłoń z palcem wskazującym w prawo: karnacja ciemna, karnacja ciemna, palec, prawa strona, w prawo, wskazujący
👆️	do góry, dłoń z palcem wskazującym w górę, góra, palec, w górę, wskazujący
👆🏻	do góry, dłoń z palcem wskazującym w górę, dłoń z palcem wskazującym w górę: karnacja jasna, góra, karnacja jasna, palec, w górę, wskazujący
👆🏼	do góry, dłoń z palcem wskazującym w górę, dłoń z palcem wskazującym w górę: karnacja średnio jasna, góra, karnacja średnio jasna, palec, w górę, wskazujący
👆🏽	do góry, dłoń z palcem wskazującym w górę, dłoń z palcem wskazującym w górę: karnacja średnia, góra, karnacja średnia, palec, w górę, wskazujący
👆🏾	do góry, dłoń z palcem wskazującym w górę, dłoń z palcem wskazującym w górę: karnacja średnio ciemna, góra, karnacja średnio ciemna, palec, w górę, wskazujący
👆🏿	do góry, dłoń z palcem wskazującym w górę, dłoń z palcem wskazującym w górę: karnacja ciemna, góra, karnacja ciemna, palec, w górę, wskazujący
🖕	gest, wulgarny gest, środkowy palec
🖕🏻	gest, karnacja jasna, wulgarny gest, środkowy palec, środkowy palec: karnacja jasna
🖕🏼	gest, karnacja średnio jasna, wulgarny gest, środkowy palec, środkowy palec: karnacja średnio jasna
🖕🏽	gest, karnacja średnia, wulgarny gest, środkowy palec, środkowy palec: karnacja średnia
🖕🏾	gest, karnacja średnio ciemna, wulgarny gest, środkowy palec, środkowy palec: karnacja średnio ciemna
🖕🏿	gest, karnacja ciemna, wulgarny gest, środkowy palec, środkowy palec: karnacja ciemna
👇️	dół, dłoń z palcem wskazującym w dół, na dół, palec, w dół, wskazujący
👇🏻	dół, dłoń z palcem wskazującym w dół, dłoń z palcem wskazującym w dół: karnacja jasna, karnacja jasna, na dół, palec, w dół, wskazujący
👇🏼	dół, dłoń z palcem wskazującym w dół, dłoń z palcem wskazującym w dół: karnacja średnio jasna, karnacja średnio jasna, na dół, palec, w dół, wskazujący
👇🏽	dół, dłoń z palcem wskazującym w dół, dłoń z palcem wskazującym w dół: karnacja średnia, karnacja średnia, na dół, palec, w dół, wskazujący
👇🏾	dół, dłoń z palcem wskazującym w dół, dłoń z palcem wskazującym w dół: karnacja średnio ciemna, karnacja średnio ciemna, na dół, palec, w dół, wskazujący
👇🏿	dół, dłoń z palcem wskazującym w dół, dłoń z palcem wskazującym w dół: karnacja ciemna, karnacja ciemna, na dół, palec, w dół, wskazujący
☝️	do góry, góra, palec, palec wskazujący w górę, w górę, wskazujący
☝🏻	do góry, góra, karnacja jasna, palec, palec wskazujący w górę, palec wskazujący w górę: karnacja jasna, w górę, wskazujący
☝🏼	do góry, góra, karnacja średnio jasna, palec, palec wskazujący w górę, palec wskazujący w górę: karnacja średnio jasna, w górę, wskazujący
☝🏽	do góry, góra, karnacja średnia, palec, palec wskazujący w górę, palec wskazujący w górę: karnacja średnia, w górę, wskazujący
☝🏾	do góry, góra, karnacja średnio ciemna, palec, palec wskazujący w górę, palec wskazujący w górę: karnacja średnio ciemna, w górę, wskazujący
☝🏿	do góry, góra, karnacja ciemna, palec, palec wskazujący w górę, palec wskazujący w górę: karnacja ciemna, w górę, wskazujący
👍️	OK, brawo, kciuk w górę, lubię, podoba mi się
👍🏻	OK, brawo, karnacja jasna, kciuk w górę, kciuk w górę: karnacja jasna, lubię, podoba mi się
👍🏼	OK, brawo, karnacja średnio jasna, kciuk w górę, kciuk w górę: karnacja średnio jasna, lubię, podoba mi się
👍🏽	OK, brawo, karnacja średnia, kciuk w górę, kciuk w górę: karnacja średnia, lubię, podoba mi się
👍🏾	OK, brawo, karnacja średnio ciemna, kciuk w górę, kciuk w górę: karnacja średnio ciemna, lubię, podoba mi się
👍🏿	OK, brawo, karnacja ciemna, kciuk w górę, kciuk w górę: karnacja ciemna, lubię, podoba mi się
👎️	brzydkie, kciuk w dół, nie lubię, nie podoba mi się
👎🏻	brzydkie, karnacja jasna, kciuk w dół, kciuk w dół: karnacja jasna, nie lubię, nie podoba mi się
👎🏼	brzydkie, karnacja średnio jasna, kciuk w dół, kciuk w dół: karnacja średnio jasna, nie lubię, nie podoba mi się
👎🏽	brzydkie, karnacja średnia, kciuk w dół, kciuk w dół: karnacja średnia, nie lubię, nie podoba mi się
👎🏾	brzydkie, karnacja średnio ciemna, kciuk w dół, kciuk w dół: karnacja średnio ciemna, nie lubię, nie podoba mi się
👎🏿	brzydkie, karnacja ciemna, kciuk w dół, kciuk w dół: karnacja ciemna, nie lubię, nie podoba mi się
✊	pięść, uniesiona, wzniesiona pięść, zaciśnięta
✊🏻	karnacja jasna, pięść, uniesiona, wzniesiona pięść, wzniesiona pięść: karnacja jasna, zaciśnięta
✊🏼	karnacja średnio jasna, pięść, uniesiona, wzniesiona pięść, wzniesiona pięść: karnacja średnio jasna, zaciśnięta
✊🏽	karnacja średnia, pięść, uniesiona, wzniesiona pięść, wzniesiona pięść: karnacja średnia, zaciśnięta
✊🏾	karnacja średnio ciemna, pięść, uniesiona, wzniesiona pięść, wzniesiona pięść: karnacja średnio ciemna, zaciśnięta
✊🏿	karnacja ciemna, pięść, uniesiona, wzniesiona pięść, wzniesiona pięść: karnacja ciemna, zaciśnięta
👊	cios pięścią, pięść, pięść od przodu, prawy prosty, sierpowy, zaciśnięta pięść
👊🏻	cios pięścią, karnacja jasna, pięść, pięść od przodu, pięść od przodu: karnacja jasna, prawy prosty, sierpowy, zaciśnięta pięść
👊🏼	cios pięścią, karnacja średnio jasna, pięść, pięść od przodu, pięść od przodu: karnacja średnio jasna, prawy prosty, sierpowy, zaciśnięta pięść
👊🏽	cios pięścią, karnacja średnia, pięść, pięść od przodu, pięść od przodu: karnacja średnia, prawy prosty, sierpowy, zaciśnięta pięść
👊🏾	cios pięścią, karnacja średnio ciemna, pięść, pięść od przodu, pięść od przodu: karnacja średnio ciemna, prawy prosty, sierpowy, zaciśnięta pięść
👊🏿	cios pięścią, karnacja ciemna, pięść, pięść od przodu, pięść od przodu: karnacja ciemna, prawy prosty, sierpowy, zaciśnięta pięść
🤛	cios, pięść, pięść skierowana w lewo, uderzenie z prawej
🤛🏻	cios, karnacja jasna, pięść, pięść skierowana w lewo, pięść skierowana w lewo: karnacja jasna, uderzenie z prawej
🤛🏼	cios, karnacja średnio jasna, pięść, pięść skierowana w lewo, pięść skierowana w lewo: karnacja średnio jasna, uderzenie z prawej
🤛🏽	cios, karnacja średnia, pięść, pięść skierowana w lewo, pięść skierowana w lewo: karnacja średnia, uderzenie z prawej
🤛🏾	cios, karnacja średnio ciemna, pięść, pięść skierowana w lewo, pięść skierowana w lewo: karnacja średnio ciemna, uderzenie z prawej
🤛🏿	cios, karnacja ciemna, pięść, pięść skierowana w lewo, pięść skierowana w lewo: karnacja ciemna, uderzenie z prawej
🤜	cios, pięść, pięść skierowana w prawo, uderzenie z lewej
🤜🏻	cios, karnacja jasna, pięść, pięść skierowana w prawo, pięść skierowana w prawo: karnacja jasna, uderzenie z lewej
🤜🏼	cios, karnacja średnio jasna, pięść, pięść skierowana w prawo, pięść skierowana w prawo: karnacja średnio jasna, uderzenie z lewej
🤜🏽	cios, karnacja średnia, pięść, pięść skierowana w prawo, pięść skierowana w prawo: karnacja średnia, uderzenie z lewej
🤜🏾	cios, karnacja średnio ciemna, pięść, pięść skierowana w prawo, pięść skierowana w prawo: karnacja średnio ciemna, uderzenie z lewej
🤜🏿	cios, karnacja ciemna, pięść, pięść skierowana w prawo, pięść skierowana w prawo: karnacja ciemna, uderzenie z lewej
👏	brawa, klaskanie, klaskać, oklaski
👏🏻	brawa, karnacja jasna, klaskanie, klaskanie: karnacja jasna, klaskać, oklaski
👏🏼	brawa, karnacja średnio jasna, klaskanie, klaskanie: karnacja średnio jasna, klaskać, oklaski
👏🏽	brawa, karnacja średnia, klaskanie, klaskanie: karnacja średnia, klaskać, oklaski
👏🏾	brawa, karnacja średnio ciemna, klaskanie, klaskanie: karnacja średnio ciemna, klaskać, oklaski
👏🏿	brawa, karnacja ciemna, klaskanie, klaskanie: karnacja ciemna, klaskać, oklaski
🙌	hura!, super, wzniesione ręce
🙌🏻	hura!, karnacja jasna, super, wzniesione ręce, wzniesione ręce: karnacja jasna
🙌🏼	hura!, karnacja średnio jasna, super, wzniesione ręce, wzniesione ręce: karnacja średnio jasna
🙌🏽	hura!, karnacja średnia, super, wzniesione ręce, wzniesione ręce: karnacja średnia
🙌🏾	hura!, karnacja średnio ciemna, super, wzniesione ręce, wzniesione ręce: karnacja średnio ciemna
🙌🏿	hura!, karnacja ciemna, super, wzniesione ręce, wzniesione ręce: karnacja ciemna
👐	otwarte dłonie, puste ręce, złapać
👐🏻	karnacja jasna, otwarte dłonie, otwarte dłonie: karnacja jasna, puste ręce, złapać
👐🏼	karnacja średnio jasna, otwarte dłonie, otwarte dłonie: karnacja średnio jasna, puste ręce, złapać
👐🏽	karnacja średnia, otwarte dłonie, otwarte dłonie: karnacja średnia, puste ręce, złapać
👐🏾	karnacja średnio ciemna, otwarte dłonie, otwarte dłonie: karnacja średnio ciemna, puste ręce, złapać
👐🏿	karnacja ciemna, otwarte dłonie, otwarte dłonie: karnacja ciemna, puste ręce, złapać
🤲	dłonie do góry razem, modlitwa
🤲🏻	dłonie do góry razem, dłonie do góry razem: karnacja jasna, karnacja jasna, modlitwa
🤲🏼	dłonie do góry razem, dłonie do góry razem: karnacja średnio jasna, karnacja średnio jasna, modlitwa
🤲🏽	dłonie do góry razem, dłonie do góry razem: karnacja średnia, karnacja średnia, modlitwa
🤲🏾	dłonie do góry razem, dłonie do góry razem: karnacja średnio ciemna, karnacja średnio ciemna, modlitwa
