😀	irve, laia naeratusega nägu, naeratus, nägu
🥶	jääpurikad, jäätuv, külmakahjustus, külmunud, külmunud nägu, näost sinine
🥴	alkoholiuimas, joobnud, lainelised huuled, oimetu, uimane nägu, üks silm poolkinni
😵	nägu, oimetu, oimetu nägu
🤯	plahvatav pea, šokeeritud
🤠	kauboi, kauboimütsiga nägu, müts, nägu
🥳	müts, peovile, pidu, pidutsemine, pidutsev nägu
😎	ere, ilm, lahe, naeratus, nägu, prillid, päike, päikeseprillid, päikeseprillidega naerunägu, silm
🤓	friik, nohik, nohiku nägu, nägu
🧐	monokliga nägu, vanamoeline
😕	nägu, segaduses, segaduses nägu
😟	murelik, murelik nägu, nägu
🙁	kulmukortsutus, nägu, veidi kulmu kortsutav nägu
☹️	kulmu kortsutav nägu, kulmukortsutus, nägu
😮	avatud, avatud suuga nägu, kaastunne, lahti, nägu, suu
😯	hämmingus, nägu, vaigistatud, vaigistatud nägu, üllatunud
😲	ehmunud, hämmastunud nägu, hämmastus, löödud, nägu
😳	nägu, punastamine, punastav nägu
🥺	anuv nägu, halastust ootav, kutsikasilmad, paluv
😦	avatud, avatud suuga mossitav nägu, mossis, nägu, suu
😧	ahastus, ahastuses nägu, nägu
😨	hirm, hirmunud nägu, hirmus, kartlik, nägu
😰	avatud, higi, külm, külma higiga kaetud ja avatud suuga nägu, nägu, sinine, suu
😥	kergendus, leevendus, nägu, pettunud, pettunud, kuid kergendust tundev nägu
😢	kurb, nutt, nuttev nägu, nägu, pisar
😭	kurb, nutmine, nutt, nägu, pisar, valjusti nuttev nägu
😱	hirm, hirmul, hirmunud, hirmunult karjuv nägu, karje, munch, nägu
😖	kimbatus, kimbatuses nägu, nägu
😣	kannatamine, nägu, sihikindel nägu
😞	kergendus, leevendus, nägu, pettunud, pettunud nägu
😓	higi, külm, külma higiga kaetud nägu, nägu
😩	nägu, rammestunud, rammestunud nägu, väsinud
😫	nägu, väsinud, väsinud nägu
🥱	haigutamine, haigutav nägu, haigutus, igav, väsinud
😤	aur, nina, ninast auru ajav nägu, nägu
😡	mossitav, mossitav nägu, nägu, punane, tige, viha, vihane
😠	nägu, tige, tige nägu, vihane
🤬	suul olevate sümbolitega nägu, vandumine
😈	fantaasia, muinasjutt, naeratus, nägu, sarved, sarviline naerunägu
👿	deemon, fantaasia, kurat, muinasjutt, nägu, paharet, saatan
💀	kolm, kolp, kondid, luud, muinasjutt, nägu, pealuu, surm
☠️	keha, koletis, kolp, kolp ja sääreluud, kondid, luud, nägu, pealuu, surm
💩	kaka, kakahunnik, koletis, koll, koomiks, nägu, sõnnik
🤡	kloun, klouninägu, nägu
👹	fantaasia, jaapan, koletis, koll, muinasjutt, nägu, olend, sookoll
👺	fantaasia, jaapan, koletis, koll, muinasjutt, mäekoll, nägu, olend
👻	kummitus, muinasjutt, nägu, olend, tont, viirastus
👽️	fantaasia, jaapan, koletis, koll, maaväline, muinasjutt, nägu, olend, tulnukas
👾	fantaasia, koletis, kosmos, maaväline, muinasjutt, nägu, olend, tulnukas, tulnukkoletis, ufo
🤖	koletis, nägu, robot, roboti nägu
😺	avatud suuga naeratav kass, kass, lahti, naeratus, nägu, suu
😸	irve, kass, lõbusate silmadega irvitav kass, naeratus, nägu, silm
😹	kass, nägu, pisar, rõõm, rõõmupisarais kass
😻	armastus, kass, naeratus, nägu, süda, südamekujuliste silmadega naeratav kass
😼	irooniline, kass, naeratus, nägu, viril, virilalt naeratav kass
😽	kass, nägu, silm, suletud silmadega suudlev kass, suudlus
🙀	kass, nägu, ootamatu, üllatunud, üllatunud kass, üllatus
😿	kass, kurb, nutt, nuttev kass, nägu, pisar
😾	kass, mossis, mossitav kass, nägu
🙈	ahv, kaetud silmadega ahv, keelatud, keeld, kuri, nägu, vaatamine
🙉	ahv, kaetud kõrvadega ahv, keelatud, keeld, kuri, kuulamine, nägu
🙊	ahv, kaetud suuga ahv, keelatud, keeld, kuri, nägu, rääkimine
💋	huuled, musi, romantika, suudluse jälg, süda
💌	armastus, armastuskiri, kiri, romantika, süda
💘	nool, noolega süda, romantika, süda
💝	lindiga süda, lint, sõbrapäev, süda
💖	elevil, sädelev süda, sära, süda
💗	kasvav, kasvav süda, närviline, pulss, põnev, süda
💓	löök, pulss, süda, tukslev süda
💞	pöörlev, pöörlevad südamed, süda
💕	armastus, kaks südant, süda
💟	süda, südamekujuline kaunistus
❣️	hüüumärk, kirjavahemärk, märk, süda, südamega hüüumärk
💔	murtud, murtud süda, süda
❤️	punane süda, süda
🧡	oranž, oranž süda
💛	kollane, kollane süda, süda
💚	roheline, roheline süda, süda
💙	sinine, sinine süda, süda
💜	lilla, lilla süda, süda
🤎	pruun, pruun süda, süda
🖤	kuri, must, must süda, süda
🤍	süda, valge, valge süda
💯	100, punkt, sada, sada punkti, täis
💢	koomiks, tige, viha sümbol, vihane
💥	koomiks, piraki
💫	koomiks, peadpööritav, täht
💦	higi, higipiisad, koomiks, piisad
💨	jooksmine, kiirustamine, koomiks
🕳️	auk
💣️	koomiks, pomm
💬	dialoog, jutt, jutumull, koomiks, mull
👁‍🗨	dialoog, jutumull, silm, silm jutumullis, tunnistaja
🗨️	dialoog, jutt, jutumull suunaga vasakule
🗯️	mull, tige, vihamull suunaga paremale, vihane
💭	koomiks, mull, mõte, mõttemull
💤	koomiks, uni, zzz
👋	keha, käsi, lehvitav käsi, lehvitus
👋🏻	hele nahatoon, keha, käsi, lehvitav käsi, lehvitav käsi: hele nahatoon, lehvitus
👋🏼	keha, keskmiselt hele nahatoon, käsi, lehvitav käsi, lehvitav käsi: keskmiselt hele nahatoon, lehvitus
👋🏽	keha, keskmine nahatoon, käsi, lehvitav käsi, lehvitav käsi: keskmine nahatoon, lehvitus
👋🏾	keha, keskmiselt tume nahatoon, käsi, lehvitav käsi, lehvitav käsi: keskmiselt tume nahatoon, lehvitus
👋🏿	keha, käsi, lehvitav käsi, lehvitav käsi: tume nahatoon, lehvitus, tume nahatoon
🤚	käsi, tõstetud, tõstetud käsi
🤚🏻	hele nahatoon, käsi, tõstetud, tõstetud käsi: hele nahatoon
🤚🏼	keskmiselt hele nahatoon, käsi, tõstetud, tõstetud käsi: keskmiselt hele nahatoon
🤚🏽	keskmine nahatoon, käsi, tõstetud, tõstetud käsi: keskmine nahatoon
🤚🏾	keskmiselt tume nahatoon, käsi, tõstetud, tõstetud käsi: keskmiselt tume nahatoon
🤚🏿	käsi, tume nahatoon, tõstetud, tõstetud käsi: tume nahatoon
🖐️	harali, harali sõrmedega käsi, keha, käsi, sõrm
🖐🏻	harali, harali sõrmedega käsi, harali sõrmedega käsi: hele nahatoon, hele nahatoon, keha, käsi, sõrm
🖐🏼	harali, harali sõrmedega käsi, harali sõrmedega käsi: keskmiselt hele nahatoon, keha, keskmiselt hele nahatoon, käsi, sõrm
🖐🏽	harali, harali sõrmedega käsi, harali sõrmedega käsi: keskmine nahatoon, keha, keskmine nahatoon, käsi, sõrm
🖐🏾	harali, harali sõrmedega käsi, harali sõrmedega käsi: keskmiselt tume nahatoon, keha, keskmiselt tume nahatoon, käsi, sõrm
🖐🏿	harali, harali sõrmedega käsi, harali sõrmedega käsi: tume nahatoon, keha, käsi, sõrm, tume nahatoon
✋	keha, käsi, ülestõstetud käsi
✋🏻	hele nahatoon, keha, käsi, ülestõstetud käsi, ülestõstetud käsi: hele nahatoon
✋🏼	keha, keskmiselt hele nahatoon, käsi, ülestõstetud käsi, ülestõstetud käsi: keskmiselt hele nahatoon
✋🏽	keha, keskmine nahatoon, käsi, ülestõstetud käsi, ülestõstetud käsi: keskmine nahatoon
✋🏾	keha, keskmiselt tume nahatoon, käsi, ülestõstetud käsi, ülestõstetud käsi: keskmiselt tume nahatoon
✋🏿	keha, käsi, tume nahatoon, ülestõstetud käsi, ülestõstetud käsi: tume nahatoon
🖖	keha, käsi, spock, sõrm, vulcan, vulcanite tervitus
🖖🏻	hele nahatoon, keha, käsi, spock, sõrm, vulcan, vulcanite tervitus, vulcanite tervitus: hele nahatoon
🖖🏼	keha, keskmiselt hele nahatoon, käsi, spock, sõrm, vulcan, vulcanite tervitus, vulcanite tervitus: keskmiselt hele nahatoon
🖖🏽	keha, keskmine nahatoon, käsi, spock, sõrm, vulcan, vulcanite tervitus, vulcanite tervitus: keskmine nahatoon
🖖🏾	keha, keskmiselt tume nahatoon, käsi, spock, sõrm, vulcan, vulcanite tervitus, vulcanite tervitus: keskmiselt tume nahatoon
🖖🏿	keha, käsi, spock, sõrm, tume nahatoon, vulcan, vulcanite tervitus, vulcanite tervitus: tume nahatoon
👌	OK-käemärk, keha, käsi
👌🏻	OK-käemärk, OK-käemärk: hele nahatoon, hele nahatoon, keha, käsi
👌🏼	OK-käemärk, OK-käemärk: keskmiselt hele nahatoon, keha, keskmiselt hele nahatoon, käsi
👌🏽	OK-käemärk, OK-käemärk: keskmine nahatoon, keha, keskmine nahatoon, käsi
👌🏾	OK-käemärk, OK-käemärk: keskmiselt tume nahatoon, keha, keskmiselt tume nahatoon, käsi
👌🏿	OK-käemärk, OK-käemärk: tume nahatoon, keha, käsi, tume nahatoon
🤏	pöialt ja nimetissõrme lähestikku hoidev käsi, väike kogus
🤏🏻	hele nahatoon, pöialt ja nimetissõrme lähestikku hoidev käsi, pöialt ja nimetissõrme lähestikku hoidev käsi: hele nahatoon, väike kogus
🤏🏼	keskmiselt hele nahatoon, pöialt ja nimetissõrme lähestikku hoidev käsi, pöialt ja nimetissõrme lähestikku hoidev käsi: keskmiselt hele nahatoon, väike kogus
🤏🏽	keskmine nahatoon, pöialt ja nimetissõrme lähestikku hoidev käsi, pöialt ja nimetissõrme lähestikku hoidev käsi: keskmine nahatoon, väike kogus
🤏🏾	keskmiselt tume nahatoon, pöialt ja nimetissõrme lähestikku hoidev käsi, pöialt ja nimetissõrme lähestikku hoidev käsi: keskmiselt tume nahatoon, väike kogus
🤏🏿	pöialt ja nimetissõrme lähestikku hoidev käsi, pöialt ja nimetissõrme lähestikku hoidev käsi: tume nahatoon, tume nahatoon, väike kogus
✌️	keha, käsi, v, võit
✌🏻	hele nahatoon, keha, käsi, v, võit, võit: hele nahatoon
✌🏼	keha, keskmiselt hele nahatoon, käsi, v, võit, võit: keskmiselt hele nahatoon
✌🏽	keha, keskmine nahatoon, käsi, v, võit, võit: keskmine nahatoon
✌🏾	keha, keskmiselt tume nahatoon, käsi, v, võit, võit: keskmiselt tume nahatoon
✌🏿	keha, käsi, tume nahatoon, v, võit, võit: tume nahatoon
🤞	käsi, risti, sõrmed, sõrmed risti, õnn
🤞🏻	hele nahatoon, käsi, risti, sõrmed, sõrmed risti: hele nahatoon, õnn
🤞🏼	keskmiselt hele nahatoon, käsi, risti, sõrmed, sõrmed risti: keskmiselt hele nahatoon, õnn
🤞🏽	keskmine nahatoon, käsi, risti, sõrmed, sõrmed risti: keskmine nahatoon, õnn
🤞🏾	keskmiselt tume nahatoon, käsi, risti, sõrmed, sõrmed risti: keskmiselt tume nahatoon, õnn
🤞🏿	käsi, risti, sõrmed, sõrmed risti: tume nahatoon, tume nahatoon, õnn
🤟	ILY, armastust väljendav žest, käsi
🤟🏻	ILY, armastust väljendav žest, armastust väljendav žest: hele nahatoon, hele nahatoon, käsi
🤟🏼	ILY, armastust väljendav žest, armastust väljendav žest: keskmiselt hele nahatoon, keskmiselt hele nahatoon, käsi
🤟🏽	ILY, armastust väljendav žest, armastust väljendav žest: keskmine nahatoon, keskmine nahatoon, käsi
🤟🏾	ILY, armastust väljendav žest, armastust väljendav žest: keskmiselt tume nahatoon, keskmiselt tume nahatoon, käsi
🤟🏿	ILY, armastust väljendav žest, armastust väljendav žest: tume nahatoon, käsi, tume nahatoon
🤘	keha, käsi, rokk, sarved, sarvede märk, sõrm
🤘🏻	hele nahatoon, keha, käsi, rokk, sarved, sarvede märk, sarvede märk: hele nahatoon, sõrm
🤘🏼	keha, keskmiselt hele nahatoon, käsi, rokk, sarved, sarvede märk, sarvede märk: keskmiselt hele nahatoon, sõrm
🤘🏽	keha, keskmine nahatoon, käsi, rokk, sarved, sarvede märk, sarvede märk: keskmine nahatoon, sõrm
🤘🏾	keha, keskmiselt tume nahatoon, käsi, rokk, sarved, sarvede märk, sarvede märk: keskmiselt tume nahatoon, sõrm
🤘🏿	keha, käsi, rokk, sarved, sarvede märk, sarvede märk: tume nahatoon, sõrm, tume nahatoon
🤙	helista, helista mulle, käsi
🤙🏻	hele nahatoon, helista, helista mulle, helista mulle: hele nahatoon, käsi
🤙🏼	helista, helista mulle, helista mulle: keskmiselt hele nahatoon, keskmiselt hele nahatoon, käsi
🤙🏽	helista, helista mulle, helista mulle: keskmine nahatoon, keskmine nahatoon, käsi
🤙🏾	helista, helista mulle, helista mulle: keskmiselt tume nahatoon, keskmiselt tume nahatoon, käsi
🤙🏿	helista, helista mulle, helista mulle: tume nahatoon, käsi, tume nahatoon
👈️	keha, käsi, nimetissõrm, osutamine, sõrm, vasakule osutav sõrm
👈🏻	hele nahatoon, keha, käsi, nimetissõrm, osutamine, sõrm, vasakule osutav sõrm, vasakule osutav sõrm: hele nahatoon
👈🏼	keha, keskmiselt hele nahatoon, käsi, nimetissõrm, osutamine, sõrm, vasakule osutav sõrm, vasakule osutav sõrm: keskmiselt hele nahatoon
👈🏽	keha, keskmine nahatoon, käsi, nimetissõrm, osutamine, sõrm, vasakule osutav sõrm, vasakule osutav sõrm: keskmine nahatoon
👈🏾	keha, keskmiselt tume nahatoon, käsi, nimetissõrm, osutamine, sõrm, vasakule osutav sõrm, vasakule osutav sõrm: keskmiselt tume nahatoon
👈🏿	keha, käsi, nimetissõrm, osutamine, sõrm, tume nahatoon, vasakule osutav sõrm, vasakule osutav sõrm: tume nahatoon
👉️	keha, käsi, nimetissõrm, osutamine, paremale osutav sõrm, sõrm
👉🏻	hele nahatoon, keha, käsi, nimetissõrm, osutamine, paremale osutav sõrm, paremale osutav sõrm: hele nahatoon, sõrm
👉🏼	keha, keskmiselt hele nahatoon, käsi, nimetissõrm, osutamine, paremale osutav sõrm, paremale osutav sõrm: keskmiselt hele nahatoon, sõrm
👉🏽	keha, keskmine nahatoon, käsi, nimetissõrm, osutamine, paremale osutav sõrm, paremale osutav sõrm: keskmine nahatoon, sõrm
👉🏾	keha, keskmiselt tume nahatoon, käsi, nimetissõrm, osutamine, paremale osutav sõrm, paremale osutav sõrm: keskmiselt tume nahatoon, sõrm
👉🏿	keha, käsi, nimetissõrm, osutamine, paremale osutav sõrm, paremale osutav sõrm: tume nahatoon, sõrm, tume nahatoon
👆️	keha, käsi, nimetissõrm, osutamine, sõrm, üles osutav sõrm tagantvaates
👆🏻	hele nahatoon, keha, käsi, nimetissõrm, osutamine, sõrm, üles osutav sõrm tagantvaates, üles osutav sõrm tagantvaates: hele nahatoon
👆🏼	keha, keskmiselt hele nahatoon, käsi, nimetissõrm, osutamine, sõrm, üles osutav sõrm tagantvaates, üles osutav sõrm tagantvaates: keskmiselt hele nahatoon
👆🏽	keha, keskmine nahatoon, käsi, nimetissõrm, osutamine, sõrm, üles osutav sõrm tagantvaates, üles osutav sõrm tagantvaates: keskmine nahatoon
👆🏾	keha, keskmiselt tume nahatoon, käsi, nimetissõrm, osutamine, sõrm, üles osutav sõrm tagantvaates, üles osutav sõrm tagantvaates: keskmiselt tume nahatoon
👆🏿	keha, käsi, nimetissõrm, osutamine, sõrm, tume nahatoon, üles osutav sõrm tagantvaates, üles osutav sõrm tagantvaates: tume nahatoon
🖕	keha, keskmine, keskmine sõrm, käsi, sõrm
🖕🏻	hele nahatoon, keha, keskmine, keskmine sõrm: hele nahatoon, käsi, sõrm
🖕🏼	keha, keskmine, keskmine sõrm: keskmiselt hele nahatoon, keskmiselt hele nahatoon, käsi, sõrm
🖕🏽	keha, keskmine, keskmine nahatoon, keskmine sõrm: keskmine nahatoon, käsi, sõrm
🖕🏾	keha, keskmine, keskmine sõrm: keskmiselt tume nahatoon, keskmiselt tume nahatoon, käsi, sõrm
🖕🏿	keha, keskmine, keskmine sõrm: tume nahatoon, käsi, sõrm, tume nahatoon
👇️	alla osutav sõrm, keha, käsi, nimetissõrm, osutamine, sõrm
👇🏻	alla osutav sõrm, alla osutav sõrm: hele nahatoon, hele nahatoon, keha, käsi, nimetissõrm, osutamine, sõrm
👇🏼	alla osutav sõrm, alla osutav sõrm: keskmiselt hele nahatoon, keha, keskmiselt hele nahatoon, käsi, nimetissõrm, osutamine, sõrm
👇🏽	alla osutav sõrm, alla osutav sõrm: keskmine nahatoon, keha, keskmine nahatoon, käsi, nimetissõrm, osutamine, sõrm
👇🏾	alla osutav sõrm, alla osutav sõrm: keskmiselt tume nahatoon, keha, keskmiselt tume nahatoon, käsi, nimetissõrm, osutamine, sõrm
👇🏿	alla osutav sõrm, alla osutav sõrm: tume nahatoon, keha, käsi, nimetissõrm, osutamine, sõrm, tume nahatoon
☝️	keha, käsi, nimetissõrm, osutamine, sõrm, üles osutav sõrm
☝🏻	hele nahatoon, keha, käsi, nimetissõrm, osutamine, sõrm, üles osutav sõrm, üles osutav sõrm: hele nahatoon
☝🏼	keha, keskmiselt hele nahatoon, käsi, nimetissõrm, osutamine, sõrm, üles osutav sõrm, üles osutav sõrm: keskmiselt hele nahatoon
☝🏽	keha, keskmine nahatoon, käsi, nimetissõrm, osutamine, sõrm, üles osutav sõrm, üles osutav sõrm: keskmine nahatoon
☝🏾	keha, keskmiselt tume nahatoon, käsi, nimetissõrm, osutamine, sõrm, üles osutav sõrm, üles osutav sõrm: keskmiselt tume nahatoon
☝🏿	keha, käsi, nimetissõrm, osutamine, sõrm, tume nahatoon, üles osutav sõrm, üles osutav sõrm: tume nahatoon
👍️	keha, käsi, meeldib, pöial
👍🏻	hele nahatoon, keha, käsi, meeldib, meeldib: hele nahatoon, pöial
👍🏼	keha, keskmiselt hele nahatoon, käsi, meeldib, meeldib: keskmiselt hele nahatoon, pöial
👍🏽	keha, keskmine nahatoon, käsi, meeldib, meeldib: keskmine nahatoon, pöial
👍🏾	keha, keskmiselt tume nahatoon, käsi, meeldib, meeldib: keskmiselt tume nahatoon, pöial
👍🏿	keha, käsi, meeldib, meeldib: tume nahatoon, pöial, tume nahatoon
👎️	ei meeldi, keha, käsi, pöial
👎🏻	ei meeldi, ei meeldi: hele nahatoon, hele nahatoon, keha, käsi, pöial
👎🏼	ei meeldi, ei meeldi: keskmiselt hele nahatoon, keha, keskmiselt hele nahatoon, käsi, pöial
👎🏽	ei meeldi, ei meeldi: keskmine nahatoon, keha, keskmine nahatoon, käsi, pöial
👎🏾	ei meeldi, ei meeldi: keskmiselt tume nahatoon, keha, keskmiselt tume nahatoon, käsi, pöial
👎🏿	ei meeldi, ei meeldi: tume nahatoon, keha, käsi, pöial, tume nahatoon
✊	keha, käsi, löök, rusikas, ülestõstetud rusikas
✊🏻	hele nahatoon, keha, käsi, löök, rusikas, ülestõstetud rusikas, ülestõstetud rusikas: hele nahatoon
✊🏼	keha, keskmiselt hele nahatoon, käsi, löök, rusikas, ülestõstetud rusikas, ülestõstetud rusikas: keskmiselt hele nahatoon
✊🏽	keha, keskmine nahatoon, käsi, löök, rusikas, ülestõstetud rusikas, ülestõstetud rusikas: keskmine nahatoon
✊🏾	keha, keskmiselt tume nahatoon, käsi, löök, rusikas, ülestõstetud rusikas, ülestõstetud rusikas: keskmiselt tume nahatoon
✊🏿	keha, käsi, löök, rusikas, tume nahatoon, ülestõstetud rusikas, ülestõstetud rusikas: tume nahatoon
👊	keha, käsi, löök, rusikalöök, rusikas
👊🏻	hele nahatoon, keha, käsi, löök, rusikalöök, rusikalöök: hele nahatoon, rusikas
👊🏼	keha, keskmiselt hele nahatoon, käsi, löök, rusikalöök, rusikalöök: keskmiselt hele nahatoon, rusikas
👊🏽	keha, keskmine nahatoon, käsi, löök, rusikalöök, rusikalöök: keskmine nahatoon, rusikas
👊🏾	keha, keskmiselt tume nahatoon, käsi, löök, rusikalöök, rusikalöök: keskmiselt tume nahatoon, rusikas
👊🏿	keha, käsi, löök, rusikalöök, rusikalöök: tume nahatoon, rusikas, tume nahatoon
🤛	rusikas, vasakule, vasakule suunatud rusikas
🤛🏻	hele nahatoon, rusikas, vasakule, vasakule suunatud rusikas, vasakule suunatud rusikas: hele nahatoon
🤛🏼	keskmiselt hele nahatoon, rusikas, vasakule, vasakule suunatud rusikas, vasakule suunatud rusikas: keskmiselt hele nahatoon
🤛🏽	keskmine nahatoon, rusikas, vasakule, vasakule suunatud rusikas, vasakule suunatud rusikas: keskmine nahatoon
🤛🏾	keskmiselt tume nahatoon, rusikas, vasakule, vasakule suunatud rusikas, vasakule suunatud rusikas: keskmiselt tume nahatoon
🤛🏿	rusikas, tume nahatoon, vasakule, vasakule suunatud rusikas, vasakule suunatud rusikas: tume nahatoon
🤜	paremale, paremale suunatud rusikas, rusikas
🤜🏻	hele nahatoon, paremale, paremale suunatud rusikas, paremale suunatud rusikas: hele nahatoon, rusikas
🤜🏼	keskmiselt hele nahatoon, paremale, paremale suunatud rusikas, paremale suunatud rusikas: keskmiselt hele nahatoon, rusikas
🤜🏽	keskmine nahatoon, paremale, paremale suunatud rusikas, paremale suunatud rusikas: keskmine nahatoon, rusikas
🤜🏾	keskmiselt tume nahatoon, paremale, paremale suunatud rusikas, paremale suunatud rusikas: keskmiselt tume nahatoon, rusikas
🤜🏿	paremale, paremale suunatud rusikas, paremale suunatud rusikas: tume nahatoon, rusikas, tume nahatoon
👏	aplaus, keha, käsi, plaksutamine, plaksutavad käed
👏🏻	aplaus, hele nahatoon, keha, käsi, plaksutamine, plaksutavad käed, plaksutavad käed: hele nahatoon
👏🏼	aplaus, keha, keskmiselt hele nahatoon, käsi, plaksutamine, plaksutavad käed, plaksutavad käed: keskmiselt hele nahatoon
👏🏽	aplaus, keha, keskmine nahatoon, käsi, plaksutamine, plaksutavad käed, plaksutavad käed: keskmine nahatoon
👏🏾	aplaus, keha, keskmiselt tume nahatoon, käsi, plaksutamine, plaksutavad käed, plaksutavad käed: keskmiselt tume nahatoon
👏🏿	aplaus, keha, käsi, plaksutamine, plaksutavad käed, plaksutavad käed: tume nahatoon, tume nahatoon
🙌	hurraa, käed, tähistamine, ülestõstetud käed, žest
🙌🏻	hele nahatoon, hurraa, käed, tähistamine, ülestõstetud käed, ülestõstetud käed: hele nahatoon, žest
🙌🏼	hurraa, keskmiselt hele nahatoon, käed, tähistamine, ülestõstetud käed, ülestõstetud käed: keskmiselt hele nahatoon, žest
🙌🏽	hurraa, keskmine nahatoon, käed, tähistamine, ülestõstetud käed, ülestõstetud käed: keskmine nahatoon, žest
🙌🏾	hurraa, keskmiselt tume nahatoon, käed, tähistamine, ülestõstetud käed, ülestõstetud käed: keskmiselt tume nahatoon, žest
🙌🏿	hurraa, käed, tume nahatoon, tähistamine, ülestõstetud käed, ülestõstetud käed: tume nahatoon, žest
👐	avatud, avatud käed, keha, käsi
👐🏻	avatud, avatud käed, avatud käed: hele nahatoon, hele nahatoon, keha, käsi
👐🏼	avatud, avatud käed, avatud käed: keskmiselt hele nahatoon, keha, keskmiselt hele nahatoon, käsi
👐🏽	avatud, avatud käed, avatud käed: keskmine nahatoon, keha, keskmine nahatoon, käsi
👐🏾	avatud, avatud käed, avatud käed: keskmiselt tume nahatoon, keha, keskmiselt tume nahatoon, käsi
👐🏿	avatud, avatud käed, avatud käed: tume nahatoon, keha, käsi, tume nahatoon
🤲	palve, peopesad üleval koos
🤲🏻	hele nahatoon, palve, peopesad üleval koos, peopesad üleval koos: hele nahatoon
🤲🏼	keskmiselt hele nahatoon, palve, peopesad üleval koos, peopesad üleval koos: keskmiselt hele nahatoon
🤲🏽	keskmine nahatoon, palve, peopesad üleval koos, peopesad üleval koos: keskmine nahatoon
🤲🏾	keskmiselt tume nahatoon, palve, peopesad üleval koos, peopesad üleval koos: keskmiselt tume nahatoon
🤲🏿	palve, peopesad üleval koos, peopesad üleval koos: tume nahatoon, tume nahatoon
🤝	kohtumine, käepigistus, käsi, tervitus
🙏	aitäh, käed, palve, palveasendis käed, tänan, žest
🙏🏻	aitäh, hele nahatoon, käed, palve, palveasendis käed, palveasendis käed: hele nahatoon, tänan, žest
🙏🏼	aitäh, keskmiselt hele nahatoon, käed, palve, palveasendis käed, palveasendis käed: keskmiselt hele nahatoon, tänan, žest
🙏🏽	aitäh, keskmine nahatoon, käed, palve, palveasendis käed, palveasendis käed: keskmine nahatoon, tänan, žest
🙏🏾	aitäh, keskmiselt tume nahatoon, käed, palve, palveasendis käed, palveasendis käed: keskmiselt tume nahatoon, tänan, žest
