😀	mặt, mặt cười toét, toe toét
☠️	cái chết, mặt, quái vật, xương chéo, đầu lâu, đầu lâu xương chéo
💩	chất thải, hài hước, khuôn mặt, phân, quái vật, đống phân
🤡	hề, mặt, mặt hề
👹	mặt, mặt quỷ, quái vật, quỷ ăn thịt người, sinh vật, truyện cổ tích, tưởng tượng
👺	mặt, quái vật, sinh vật, truyện cổ tích, tưởng tượng, yêu tinh
👻	ma, mặt, quái vật, sinh vật, truyện cổ tích, tưởng tượng
👽️	giả tưởng, khuôn mặt, ngoài trái đất, người ngoài hành tinh, sinh vật, đĩa bay
👾	khuôn mặt, ngoài trái đất, người ngoài hành tinh, quái vật, quái vật ngoài hành tinh, sinh vật, đĩa bay
🤖	mặt, mặt rô-bốt, quỷ, rô-bốt
😺	con mèo, khuôn mặt, miệng, mặt mèo cười miệng há, mặt mèo cười tươi, mở ra, nụ cười
😸	cười, cười toét, mèo, mắt, mặt, mặt mèo cười toét mắt cười, mặt mèo cười tươi với hai mắt híp lại
😹	mèo, mặt, mặt mèo có nước mắt vui sướng, niềm vui, nước mắt
😻	con mèo, hình trái tim, khuôn mặt, mắt, mặt mèo cười mắt hình trái tim, nụ cười, thân ái
😼	châm biếm, con mèo, khuôn mặt, mặt mèo cười gượng, mỉa mai, nụ cười
😽	con mèo, hôn, khuôn mặt, mắt, mặt mèo hôn mắt nhắm
🙀	mèo, mặt, mặt mèo mệt lử, mệt mỏi, ngạc nhiên, ôi
😿	buồn, khóc, mèo, mặt, mặt mèo đang khóc, nước mắt
😾	hờn dỗi, mèo, mặt, mặt mèo hờn dỗi
🙈	cấm, khỉ, khỉ không nhìn điều xấu, mặt, nhìn, điều xấu
🙉	cấm, khỉ, khỉ không nghe điều xấu, mặt, nghe, điều xấu
🙊	cấm, khỉ, khỉ không nói điều xấu, mặt, nói, điều xấu
💋	dấu nụ hôn, hôn, môi
💌	lá thư, thư, thư tình, trái tim, yêu
💘	mũi tên, thần tình yêu, trái tim với mũi tên
💝	lễ tình yêu, ruy băng, trái tim, trái tim với ruy băng
💖	bị kích thích, lấp lánh, trái tim lấp lánh
💗	bị kích thích, lo lắng, nhịp tim, phát triển, trái tim lớn dần
💓	dao động, nhịp tim, trái tim đang đập, đập
💞	trái tim xoay vòng, đang quay
💕	hai trái tim, yêu
💟	hình trang trí trái tim, trái tim
❣️	chấm câu, cảm thán, dấu, dấu chấm than hình trái tim đậm
💔	bị vỡ, trái tim tan vỡ, vỡ
❤️	trái tim, trái tim màu đỏ
🧡	màu cam, trái tim màu cam
💛	màu vàng, trái tim màu vàng
💚	màu lục, trái tim màu lục
💙	màu lam, trái tim màu lam
💜	trái tim tím, tím
🤎	màu nâu, trái tim, trái tim màu nâu
🖤	tim đen, xấu, đen, điều ác
🤍	màu trắng, trái tim, trái tim màu trắng
💯	100, 100 điểm, một trăm, toàn bộ, điểm
💢	biểu tượng giận giữ, hài hước, tức giận, điên
💥	bùng nổ, hài hước, va chạm
💫	choáng váng, hài hước, ngôi sao
💦	bắn tung tóe, giọt mồ hôi, hài hước, mồ hôi
💨	chạy, chớp nhoáng, hài hước, lao, lao đi
🕳️	lỗ
💣️	bom, hài hước
💬	bong bóng, bong bóng lời nói, bài diễn văn, bóng, hài hước, thoại
👁‍🗨	bong bóng lời nói, mắt, mắt trong bong bóng lời nói, nhân chứng
🗨️	bong bóng lời nói trái, bài diễn văn, thoại
🗯️	bong bóng, bong bóng góc phải, khí cầu, tức giận, điên
💭	bong bóng, bong bóng suy nghĩ, hài hước, khí cầu, nghĩ
💤	buồn ngủ, hài hước, ngủ
👋	tay, vẫy, vẫy tay, đang vẫy
👋🏻	màu da sáng, tay, vẫy, vẫy tay: màu da sáng, đang vẫy
👋🏼	màu da sáng trung bình, tay, vẫy, vẫy tay: màu da sáng trung bình, đang vẫy
👋🏽	màu da trung bình, tay, vẫy, vẫy tay: màu da trung bình, đang vẫy
👋🏾	màu da tối trung bình, tay, vẫy, vẫy tay: màu da tối trung bình, đang vẫy
👋🏿	màu da tối, tay, vẫy, vẫy tay: màu da tối, đang vẫy
🤚	giơ lên, mu bàn tay, mu bàn tay giơ lên
🤚🏻	giơ lên, mu bàn tay, mu bàn tay giơ lên, mu bàn tay giơ lên: màu da sáng, màu da sáng
🤚🏼	giơ lên, mu bàn tay, mu bàn tay giơ lên, mu bàn tay giơ lên: màu da sáng trung bình, màu da sáng trung bình
🤚🏽	giơ lên, mu bàn tay, mu bàn tay giơ lên, mu bàn tay giơ lên: màu da trung bình, màu da trung bình
🤚🏾	giơ lên, mu bàn tay, mu bàn tay giơ lên, mu bàn tay giơ lên: màu da tối trung bình, màu da tối trung bình
🤚🏿	giơ lên, mu bàn tay, mu bàn tay giơ lên, mu bàn tay giơ lên: màu da tối, màu da tối
🖐️	ngón tay, tay, tay xòe ngón giơ lên, xòe
🖐🏻	màu da sáng, ngón tay, tay, tay xòe ngón giơ lên, tay xòe ngón giơ lên: màu da sáng, xòe
🖐🏼	màu da sáng trung bình, ngón tay, tay, tay xòe ngón giơ lên, tay xòe ngón giơ lên: màu da sáng trung bình, xòe
🖐🏽	màu da trung bình, ngón tay, tay, tay xòe ngón giơ lên, tay xòe ngón giơ lên: màu da trung bình, xòe
🖐🏾	màu da tối trung bình, ngón tay, tay, tay xòe ngón giơ lên, tay xòe ngón giơ lên: màu da tối trung bình, xòe
🖐🏿	màu da tối, ngón tay, tay, tay xòe ngón giơ lên, tay xòe ngón giơ lên: màu da tối, xòe
✋	bàn tay giơ lên, tay
✋🏻	bàn tay giơ lên, bàn tay giơ lên: màu da sáng, màu da sáng, tay
✋🏼	bàn tay giơ lên, bàn tay giơ lên: màu da sáng trung bình, màu da sáng trung bình, tay
✋🏽	bàn tay giơ lên, bàn tay giơ lên: màu da trung bình, màu da trung bình, tay
✋🏾	bàn tay giơ lên, bàn tay giơ lên: màu da tối trung bình, màu da tối trung bình, tay
✋🏿	bàn tay giơ lên, bàn tay giơ lên: màu da tối, màu da tối, tay
🖖	ngón tay, spock, tay, tay thần lửa, thần lửa
🖖🏻	màu da sáng, ngón tay, spock, tay, tay thần lửa, tay thần lửa: màu da sáng, thần lửa
🖖🏼	màu da sáng trung bình, ngón tay, spock, tay, tay thần lửa, tay thần lửa: màu da sáng trung bình, thần lửa
🖖🏽	màu da trung bình, ngón tay, spock, tay, tay thần lửa, tay thần lửa: màu da trung bình, thần lửa
🖖🏾	màu da tối trung bình, ngón tay, spock, tay, tay thần lửa, tay thần lửa: màu da tối trung bình, thần lửa
🖖🏿	màu da tối, ngón tay, spock, tay, tay thần lửa, tay thần lửa: màu da tối, thần lửa
👌	bàn tay làm dấu OK, ok, tay
👌🏻	bàn tay làm dấu OK, bàn tay làm dấu OK: màu da sáng, màu da sáng, ok, tay
👌🏼	bàn tay làm dấu OK, bàn tay làm dấu OK: màu da sáng trung bình, màu da sáng trung bình, ok, tay
👌🏽	bàn tay làm dấu OK, bàn tay làm dấu OK: màu da trung bình, màu da trung bình, ok, tay
👌🏾	bàn tay làm dấu OK, bàn tay làm dấu OK: màu da tối trung bình, màu da tối trung bình, ok, tay
👌🏿	bàn tay làm dấu OK, bàn tay làm dấu OK: màu da tối, màu da tối, ok, tay
🤏	số lượng nhỏ, tay chụm
🤏🏻	màu da sáng, số lượng nhỏ, tay chụm, tay chụm: màu da sáng
🤏🏼	màu da sáng trung bình, số lượng nhỏ, tay chụm, tay chụm: màu da sáng trung bình
🤏🏽	màu da trung bình, số lượng nhỏ, tay chụm, tay chụm: màu da trung bình
🤏🏾	màu da tối trung bình, số lượng nhỏ, tay chụm, tay chụm: màu da tối trung bình
🤏🏿	màu da tối, số lượng nhỏ, tay chụm, tay chụm: màu da tối
✌️	chiến thắng, tay, tay chiến thắng, v
✌🏻	chiến thắng, màu da sáng, tay, tay chiến thắng, tay chiến thắng: màu da sáng, v
✌🏼	chiến thắng, màu da sáng trung bình, tay, tay chiến thắng, tay chiến thắng: màu da sáng trung bình, v
✌🏽	chiến thắng, màu da trung bình, tay, tay chiến thắng, tay chiến thắng: màu da trung bình, v
✌🏾	chiến thắng, màu da tối trung bình, tay, tay chiến thắng, tay chiến thắng: màu da tối trung bình, v
✌🏿	chiến thắng, màu da tối, tay, tay chiến thắng, tay chiến thắng: màu da tối, v
🤞	bàn tay, chéo, hai ngón tay bắt chéo, may mắn, ngón tay
🤞🏻	bàn tay, chéo, hai ngón tay bắt chéo, hai ngón tay bắt chéo: màu da sáng, may mắn, màu da sáng, ngón tay
🤞🏼	bàn tay, chéo, hai ngón tay bắt chéo, hai ngón tay bắt chéo: màu da sáng trung bình, may mắn, màu da sáng trung bình, ngón tay
🤞🏽	bàn tay, chéo, hai ngón tay bắt chéo, hai ngón tay bắt chéo: màu da trung bình, may mắn, màu da trung bình, ngón tay
🤞🏾	bàn tay, chéo, hai ngón tay bắt chéo, hai ngón tay bắt chéo: màu da tối trung bình, may mắn, màu da tối trung bình, ngón tay
🤞🏿	bàn tay, chéo, hai ngón tay bắt chéo, hai ngón tay bắt chéo: màu da tối, may mắn, màu da tối, ngón tay
🤟	anh yêu em, cử chỉ yêu nhau, tay
🤟🏻	anh yêu em, cử chỉ yêu nhau, cử chỉ yêu nhau: màu da sáng, màu da sáng, tay
🤟🏼	anh yêu em, cử chỉ yêu nhau, cử chỉ yêu nhau: màu da sáng trung bình, màu da sáng trung bình, tay
🤟🏽	anh yêu em, cử chỉ yêu nhau, cử chỉ yêu nhau: màu da trung bình, màu da trung bình, tay
🤟🏾	anh yêu em, cử chỉ yêu nhau, cử chỉ yêu nhau: màu da tối trung bình, màu da tối trung bình, tay
🤟🏿	anh yêu em, cử chỉ yêu nhau, cử chỉ yêu nhau: màu da tối, màu da tối, tay
🤘	ký hiệu cặp sừng, ngón tay, sừng, tay, tuyệt vời
🤘🏻	ký hiệu cặp sừng, ký hiệu cặp sừng: màu da sáng, màu da sáng, ngón tay, sừng, tay, tuyệt vời
🤘🏼	ký hiệu cặp sừng, ký hiệu cặp sừng: màu da sáng trung bình, màu da sáng trung bình, ngón tay, sừng, tay, tuyệt vời
🤘🏽	ký hiệu cặp sừng, ký hiệu cặp sừng: màu da trung bình, màu da trung bình, ngón tay, sừng, tay, tuyệt vời
🤘🏾	ký hiệu cặp sừng, ký hiệu cặp sừng: màu da tối trung bình, màu da tối trung bình, ngón tay, sừng, tay, tuyệt vời
🤘🏿	ký hiệu cặp sừng, ký hiệu cặp sừng: màu da tối, màu da tối, ngón tay, sừng, tay, tuyệt vời
🤙	bàn tay, bàn tay gọi cho tôi, gọi điện
🤙🏻	bàn tay, bàn tay gọi cho tôi, bàn tay gọi cho tôi: màu da sáng, gọi điện, màu da sáng
🤙🏼	bàn tay, bàn tay gọi cho tôi, bàn tay gọi cho tôi: màu da sáng trung bình, gọi điện, màu da sáng trung bình
🤙🏽	bàn tay, bàn tay gọi cho tôi, bàn tay gọi cho tôi: màu da trung bình, gọi điện, màu da trung bình
🤙🏾	bàn tay, bàn tay gọi cho tôi, bàn tay gọi cho tôi: màu da tối trung bình, gọi điện, màu da tối trung bình
🤙🏿	bàn tay, bàn tay gọi cho tôi, bàn tay gọi cho tôi: màu da tối, gọi điện, màu da tối
👈️	chỉ, mu bàn tay, ngón tay, ngón trỏ, ngón trỏ trái chỉ sang trái, tay
👈🏻	chỉ, mu bàn tay, màu da sáng, ngón tay, ngón trỏ, ngón trỏ trái chỉ sang trái, ngón trỏ trái chỉ sang trái: màu da sáng, tay
👈🏼	chỉ, mu bàn tay, màu da sáng trung bình, ngón tay, ngón trỏ, ngón trỏ trái chỉ sang trái, ngón trỏ trái chỉ sang trái: màu da sáng trung bình, tay
👈🏽	chỉ, mu bàn tay, màu da trung bình, ngón tay, ngón trỏ, ngón trỏ trái chỉ sang trái, ngón trỏ trái chỉ sang trái: màu da trung bình, tay
👈🏾	chỉ, mu bàn tay, màu da tối trung bình, ngón tay, ngón trỏ, ngón trỏ trái chỉ sang trái, ngón trỏ trái chỉ sang trái: màu da tối trung bình, tay
👈🏿	chỉ, mu bàn tay, màu da tối, ngón tay, ngón trỏ, ngón trỏ trái chỉ sang trái, ngón trỏ trái chỉ sang trái: màu da tối, tay
👉️	chỉ, mu bàn tay, ngón tay, ngón trỏ, ngón trỏ trái chỉ sang phải, tay
👉🏻	chỉ, mu bàn tay, màu da sáng, ngón tay, ngón trỏ, ngón trỏ trái chỉ sang phải, ngón trỏ trái chỉ sang phải: màu da sáng, tay
👉🏼	chỉ, mu bàn tay, màu da sáng trung bình, ngón tay, ngón trỏ, ngón trỏ trái chỉ sang phải, ngón trỏ trái chỉ sang phải: màu da sáng trung bình, tay
👉🏽	chỉ, mu bàn tay, màu da trung bình, ngón tay, ngón trỏ, ngón trỏ trái chỉ sang phải, ngón trỏ trái chỉ sang phải: màu da trung bình, tay
👉🏾	chỉ, mu bàn tay, màu da tối trung bình, ngón tay, ngón trỏ, ngón trỏ trái chỉ sang phải, ngón trỏ trái chỉ sang phải: màu da tối trung bình, tay
👉🏿	chỉ, mu bàn tay, màu da tối, ngón tay, ngón trỏ, ngón trỏ trái chỉ sang phải, ngón trỏ trái chỉ sang phải: màu da tối, tay
👆️	chỉ, lên, ngón tay, ngón trỏ trái chỉ lên, tay, tay trái
👆🏻	chỉ, lên, màu da sáng, ngón tay, ngón trỏ trái chỉ lên, ngón trỏ trái chỉ lên: màu da sáng, tay, tay trái
👆🏼	chỉ, lên, màu da sáng trung bình, ngón tay, ngón trỏ trái chỉ lên, ngón trỏ trái chỉ lên: màu da sáng trung bình, tay, tay trái
👆🏽	chỉ, lên, màu da trung bình, ngón tay, ngón trỏ trái chỉ lên, ngón trỏ trái chỉ lên: màu da trung bình, tay, tay trái
👆🏾	chỉ, lên, màu da tối trung bình, ngón tay, ngón trỏ trái chỉ lên, ngón trỏ trái chỉ lên: màu da tối trung bình, tay, tay trái
👆🏿	chỉ, lên, màu da tối, ngón tay, ngón trỏ trái chỉ lên, ngón trỏ trái chỉ lên: màu da tối, tay, tay trái
🖕	ngón giữa, ngón tay, tay
🖕🏻	màu da sáng, ngón giữa, ngón giữa: màu da sáng, ngón tay, tay
🖕🏼	màu da sáng trung bình, ngón giữa, ngón giữa: màu da sáng trung bình, ngón tay, tay
🖕🏽	màu da trung bình, ngón giữa, ngón giữa: màu da trung bình, ngón tay, tay
🖕🏾	màu da tối trung bình, ngón giữa, ngón giữa: màu da tối trung bình, ngón tay, tay
🖕🏿	màu da tối, ngón giữa, ngón giữa: màu da tối, ngón tay, tay
👇️	mu bàn tay, ngón tay, ngón trỏ, ngón trỏ trái chỉ xuống, tay, trỏ
👇🏻	mu bàn tay, màu da sáng, ngón tay, ngón trỏ, ngón trỏ trái chỉ xuống, ngón trỏ trái chỉ xuống: màu da sáng, tay, trỏ
👇🏼	mu bàn tay, màu da sáng trung bình, ngón tay, ngón trỏ, ngón trỏ trái chỉ xuống, ngón trỏ trái chỉ xuống: màu da sáng trung bình, tay, trỏ
👇🏽	mu bàn tay, màu da trung bình, ngón tay, ngón trỏ, ngón trỏ trái chỉ xuống, ngón trỏ trái chỉ xuống: màu da trung bình, tay, trỏ
👇🏾	mu bàn tay, màu da tối trung bình, ngón tay, ngón trỏ, ngón trỏ trái chỉ xuống, ngón trỏ trái chỉ xuống: màu da tối trung bình, tay, trỏ
👇🏿	mu bàn tay, màu da tối, ngón tay, ngón trỏ, ngón trỏ trái chỉ xuống, ngón trỏ trái chỉ xuống: màu da tối, tay, trỏ
☝️	chỉ, lên, ngón tay, ngón trỏ, ngón trỏ chỉ lên trên, tay
☝🏻	chỉ, lên, màu da sáng, ngón tay, ngón trỏ, ngón trỏ chỉ lên trên, ngón trỏ chỉ lên trên: màu da sáng, tay
☝🏼	chỉ, lên, màu da sáng trung bình, ngón tay, ngón trỏ, ngón trỏ chỉ lên trên, ngón trỏ chỉ lên trên: màu da sáng trung bình, tay
☝🏽	chỉ, lên, màu da trung bình, ngón tay, ngón trỏ, ngón trỏ chỉ lên trên, ngón trỏ chỉ lên trên: màu da trung bình, tay
☝🏾	chỉ, lên, màu da tối trung bình, ngón tay, ngón trỏ, ngón trỏ chỉ lên trên, ngón trỏ chỉ lên trên: màu da tối trung bình, tay
☝🏿	chỉ, lên, màu da tối, ngón tay, ngón trỏ, ngón trỏ chỉ lên trên, ngón trỏ chỉ lên trên: màu da tối, tay
👍️	+1, dấu ra hiệu đồng ý, lên, ngón tay cái, tay
👍🏻	+1, dấu ra hiệu đồng ý, dấu ra hiệu đồng ý: màu da sáng, lên, màu da sáng, ngón tay cái, tay
👍🏼	+1, dấu ra hiệu đồng ý, dấu ra hiệu đồng ý: màu da sáng trung bình, lên, màu da sáng trung bình, ngón tay cái, tay
👍🏽	+1, dấu ra hiệu đồng ý, dấu ra hiệu đồng ý: màu da trung bình, lên, màu da trung bình, ngón tay cái, tay
👍🏾	+1, dấu ra hiệu đồng ý, dấu ra hiệu đồng ý: màu da tối trung bình, lên, màu da tối trung bình, ngón tay cái, tay
👍🏿	+1, dấu ra hiệu đồng ý, dấu ra hiệu đồng ý: màu da tối, lên, màu da tối, ngón tay cái, tay
👎️	-1, dấu ra hiệu từ chối, ngón tay cái, tay, xuống
👎🏻	-1, dấu ra hiệu từ chối, dấu ra hiệu từ chối: màu da sáng, màu da sáng, ngón tay cái, tay, xuống
👎🏼	-1, dấu ra hiệu từ chối, dấu ra hiệu từ chối: màu da sáng trung bình, màu da sáng trung bình, ngón tay cái, tay, xuống
👎🏽	-1, dấu ra hiệu từ chối, dấu ra hiệu từ chối: màu da trung bình, màu da trung bình, ngón tay cái, tay, xuống
👎🏾	-1, dấu ra hiệu từ chối, dấu ra hiệu từ chối: màu da tối trung bình, màu da tối trung bình, ngón tay cái, tay, xuống
👎🏿	-1, dấu ra hiệu từ chối, dấu ra hiệu từ chối: màu da tối, màu da tối, ngón tay cái, tay, xuống
✊	cú đấm, nắm tay, nắm đấm giơ lên, siết chặt, tay
✊🏻	cú đấm, màu da sáng, nắm tay, nắm đấm giơ lên, nắm đấm giơ lên: màu da sáng, siết chặt, tay
✊🏼	cú đấm, màu da sáng trung bình, nắm tay, nắm đấm giơ lên, nắm đấm giơ lên: màu da sáng trung bình, siết chặt, tay
✊🏽	cú đấm, màu da trung bình, nắm tay, nắm đấm giơ lên, nắm đấm giơ lên: màu da trung bình, siết chặt, tay
✊🏾	cú đấm, màu da tối trung bình, nắm tay, nắm đấm giơ lên, nắm đấm giơ lên: màu da tối trung bình, siết chặt, tay
✊🏿	cú đấm, màu da tối, nắm tay, nắm đấm giơ lên, nắm đấm giơ lên: màu da tối, siết chặt, tay
👊	cú đấm, nắm tay, nắm đấm, siết chặt, tay
👊🏻	cú đấm, màu da sáng, nắm tay, nắm đấm, nắm đấm: màu da sáng, siết chặt, tay
👊🏼	cú đấm, màu da sáng trung bình, nắm tay, nắm đấm, nắm đấm: màu da sáng trung bình, siết chặt, tay
👊🏽	cú đấm, màu da trung bình, nắm tay, nắm đấm, nắm đấm: màu da trung bình, siết chặt, tay
👊🏾	cú đấm, màu da tối trung bình, nắm tay, nắm đấm, nắm đấm: màu da tối trung bình, siết chặt, tay
👊🏿	cú đấm, màu da tối, nắm tay, nắm đấm, nắm đấm: màu da tối, siết chặt, tay
🤛	hướng trái, nắm đấm, nắm đấm hướng phía trái
🤛🏻	hướng trái, màu da sáng, nắm đấm, nắm đấm hướng phía trái, nắm đấm hướng phía trái: màu da sáng
🤛🏼	hướng trái, màu da sáng trung bình, nắm đấm, nắm đấm hướng phía trái, nắm đấm hướng phía trái: màu da sáng trung bình
🤛🏽	hướng trái, màu da trung bình, nắm đấm, nắm đấm hướng phía trái, nắm đấm hướng phía trái: màu da trung bình
🤛🏾	hướng trái, màu da tối trung bình, nắm đấm, nắm đấm hướng phía trái, nắm đấm hướng phía trái: màu da tối trung bình
🤛🏿	hướng trái, màu da tối, nắm đấm, nắm đấm hướng phía trái, nắm đấm hướng phía trái: màu da tối
🤜	hướng phải, nắm đấm, nắm đấm hướng sang phải
🤜🏻	hướng phải, màu da sáng, nắm đấm, nắm đấm hướng sang phải, nắm đấm hướng sang phải: màu da sáng
🤜🏼	hướng phải, màu da sáng trung bình, nắm đấm, nắm đấm hướng sang phải, nắm đấm hướng sang phải: màu da sáng trung bình
🤜🏽	hướng phải, màu da trung bình, nắm đấm, nắm đấm hướng sang phải, nắm đấm hướng sang phải: màu da trung bình
🤜🏾	hướng phải, màu da tối trung bình, nắm đấm, nắm đấm hướng sang phải, nắm đấm hướng sang phải: màu da tối trung bình
🤜🏿	hướng phải, màu da tối, nắm đấm, nắm đấm hướng sang phải, nắm đấm hướng sang phải: màu da tối
👏	hai bàn tay đang vỗ, tay, vỗ tay
👏🏻	hai bàn tay đang vỗ, màu da sáng, tay, vỗ tay, vỗ tay: màu da sáng
👏🏼	hai bàn tay đang vỗ, màu da sáng trung bình, tay, vỗ tay, vỗ tay: màu da sáng trung bình
👏🏽	hai bàn tay đang vỗ, màu da trung bình, tay, vỗ tay, vỗ tay: màu da trung bình
👏🏾	hai bàn tay đang vỗ, màu da tối trung bình, tay, vỗ tay, vỗ tay: màu da tối trung bình
👏🏿	hai bàn tay đang vỗ, màu da tối, tay, vỗ tay, vỗ tay: màu da tối
🙌	cử chỉ, hai bàn tay giơ lên, hoan hô, lễ kỷ niệm, nâng lên, tay
🙌🏻	cử chỉ, hai bàn tay giơ lên, hai bàn tay giơ lên: màu da sáng, hoan hô, lễ kỷ niệm, màu da sáng, nâng lên, tay
🙌🏼	cử chỉ, hai bàn tay giơ lên, hai bàn tay giơ lên: màu da sáng trung bình, hoan hô, lễ kỷ niệm, màu da sáng trung bình, nâng lên, tay
