😀	лицо, радость, счастье, улыбка, широкая улыбка, широко улыбается
😧	боль, лицо, муки, плохо, страдает, страдание, тоска
😨	боится, жуть, испуг, лицо, рот, страх
😰	боится, открытый рот, пот, сильно беспокоится, страх
😥	лицо, облегчение, обошлось, прошло, разочарование, фух
😢	грусть, лицо, печаль, плачет, слезы
😭	крокодильи слезы, плач, плачет, рев, слезы рекой
😱	в ужасе, испуг, крик, страх, ужас
😖	в растерянности, лицо, растерянность, сбит, сбит с толку, толк, тупик
😣	зажмурился, лицо, настойчивость, проявляет настойчивость, смайлик, упорство
😞	испытывает разочарование, лицо, недоволен, разочарование, фрустрация
😓	болезнь, в холодном поту, нервничает, пот, страх
😩	истощен, лицо, устал, усталость
😫	лицо, отдых, работа, сильная усталость, спать, усталость
🥱	зевает, зевота, сонный, спать, усталость, утомлен
😤	в ожидании успеха, гордость, гордый, пар из носа
😡	злится, злой, красный, лицо, рассерженный, сердитый
😠	злой, лицо, недовольный, сердится, сердитый
🤬	браниться, брань, мат, материться, ругань, ругаться, цензура
😈	лицо, рога, сказка, улыбающийся чертенок, улыбка, фэнтези
👿	демон, злой чертенок, мифология, чертенок, чертик
💀	голова, опасность, смерть, страх, череп
☠️	кости, опасность, смерть, череп, череп и кости
💩	какашка, лицо, смех, фекалии, шутка
🤡	клоун, лицо
👹	лицо, мифология, монстр, страх, существо, чудовище
👺	гоблин, монстр, носатое чудище, сказка, японский гоблин
👻	лицо, привидение, сказки, страх, существо
👽️	инопланетянин, космос, пришелец, существо, фантастика, чужой
👾	космический монстр, космос, лицо, нло, пришелец, фнтастика, чужой
🤖	лицо, монстр, робот, страх
😺	кот, кот с широкой улыбкой, морда, улыбающийся кот, широкая улыбка
😸	кот, кот с закрытыми глазами, кот с широкой улыбкой и закрытыми глазами, морда, смеющийся кот
😹	кот, кот смеется до слез, морда, смеющийся до слез кот, смеющийся кот
😻	влюбленный кот, кот, морда, сердечки, счастье, улыбка
😼	кот, кот с ухмылкой, улыбка, ухмылка, ухмыляющийся кот, хитрость, хитрый
😽	глаза, губы, кот, кот целует, морда, целующий кот
🙀	кот, кот в шоке, морда, удивление
😿	кот, кот плачет, морда, печаль, плач, плачущий кот, слезы
😾	злой, злой кот, кот, морда, недовольный, раздраженный
🙈	глаза, запрещено, зрение, нельзя, ничего не вижу, обезьяна
🙉	запрещено, лапы, нельзя, ничего не слышу, обезьяна, слух, уши
🙊	закрыт, запрещено, лапы, молчание, ничего никому не скажу, обезьяна, рот
💋	движение, поцелуй, романтика, след от поцелуя, чувства
💌	записка, любовное письмо, любовь, письмо, почта, тайна
💘	купидон, лук, любовь, сердце, пронзенное стрелой, стрела
💝	валентин, лента, перевязано, сердце, сердце с лентой
💖	блеск, звездочки, радость, сверкающее сердце, сердце
💗	биение, больше, размер, растущее сердце, ритм, сердце
💓	бьется, красное сердце, пульсирует, пульсирующее сердце, сердце
💞	вращающиеся сердца, вращение, два, круги, сердца
💕	влюбленные, два сердца, любовь, чувства
💟	белое, значок "сердце", значок «сердце», квадрат, красное, куб, розовый, сердце
❣️	восклицание, восклицательный знак в виде сердца, знак, препинания, сердце, сердце в виде восклицательного знака
💔	разбитое, разбитое сердце, разочарование, сердце, части
❤️	алое, алое сердце, красное, сердце, чувства
🧡	оранжевое, оранжевое сердце, сердце
💛	желтое, желтое сердце, сердце
💚	зеленое, зеленое сердце, сердце
💙	сердце, синее, синее сердце
💜	сердце, фиолетовое, фиолетовое сердце
🤎	бурый, коричневое, коричневое сердце, коричневый, сердце
🖤	злоба, сердце, черное, черное сердце
🤍	белое, белое сердце, белый, сердце
💯	100, очки, очков, сто, сто баллов
💢	гнев, злость, значок «гнев», ярость
💥	бум, взрыв, столкновение
💫	головокружение, звезда, звезды, кружащаяся звезда
💦	брызги, брызги воды, вода, капли, капли пота, пот
💨	исчезновение, облако, облачко, пыли, пыль
🕳️	дыра, отверстие, пропасть, черная
💣️	бомба, взрыв, опасность, черная
💬	многоточие, мысли, облако, облако с многоточием, облачко, облачко с многоточием, речь
👁‍🗨	глаз, значок свидетеля, против преследования, свидетель
🗨️	голубое облачко, облачко, пустое облачко, речь, черное облачко
🗯️	вправо, гнев, гневное облачко, негатив, облачко, ярость
💭	мысли, облако, облачко, облачко с мыслями, размышления
💤	сон, храп
👋	взмах, машет рукой, привет, приветствие, рука
👋🏻	взмах, машет рукой, машет рукой: очень светлый тон кожи, очень светлый тон кожи, привет, приветствие, рука
👋🏼	взмах, машет рукой, машет рукой: светлый тон кожи, привет, приветствие, рука, светлый тон кожи
👋🏽	взмах, машет рукой, машет рукой: средний тон кожи, привет, приветствие, рука, средний тон кожи
👋🏾	взмах, машет рукой, машет рукой: темный тон кожи, привет, приветствие, рука, темный тон кожи
👋🏿	взмах, машет рукой, машет рукой: очень темный тон кожи, очень темный тон кожи, привет, приветствие, рука
🤚	ладонь, поднятая, поднятая рука
🤚🏻	ладонь, очень светлый тон кожи, поднятая, поднятая рука, поднятая рука: очень светлый тон кожи
🤚🏼	ладонь, поднятая, поднятая рука, поднятая рука: светлый тон кожи, светлый тон кожи
🤚🏽	ладонь, поднятая, поднятая рука, поднятая рука: средний тон кожи, средний тон кожи
🤚🏾	ладонь, поднятая, поднятая рука, поднятая рука: темный тон кожи, темный тон кожи
🤚🏿	ладонь, очень темный тон кожи, поднятая, поднятая рука, поднятая рука: очень темный тон кожи
🖐️	ладонь, пальцы, раскрытая, раскрытая ладонь, рука
🖐🏻	ладонь, очень светлый тон кожи, пальцы, раскрытая, раскрытая ладонь: очень светлый тон кожи, рука
🖐🏼	ладонь, пальцы, раскрытая, раскрытая ладонь: светлый тон кожи, рука, светлый тон кожи
🖐🏽	ладонь, пальцы, раскрытая, раскрытая ладонь: средний тон кожи, рука, средний тон кожи
🖐🏾	ладонь, пальцы, раскрытая, раскрытая ладонь: темный тон кожи, рука, темный тон кожи
🖐🏿	ладонь, очень темный тон кожи, пальцы, раскрытая, раскрытая ладонь: очень темный тон кожи, рука
✋	вверх, пальцы, поднятая ладонь, рука
✋🏻	вверх, очень светлый тон кожи, пальцы, поднятая ладонь, поднятая ладонь: очень светлый тон кожи, рука
✋🏼	вверх, пальцы, поднятая ладонь, поднятая ладонь: светлый тон кожи, рука, светлый тон кожи
✋🏽	вверх, пальцы, поднятая ладонь, поднятая ладонь: средний тон кожи, рука, средний тон кожи
✋🏾	вверх, пальцы, поднятая ладонь, поднятая ладонь: темный тон кожи, рука, темный тон кожи
✋🏿	вверх, очень темный тон кожи, пальцы, поднятая ладонь, поднятая ладонь: очень темный тон кожи, рука
🖖	вулканский салют, жест, нимой, приветствие, рука, спок
🖖🏻	вулканский салют, вулканский салют: очень светлый тон кожи, жест, нимой, очень светлый тон кожи, приветствие, рука, спок
🖖🏼	вулканский салют, вулканский салют: светлый тон кожи, жест, нимой, приветствие, рука, светлый тон кожи, спок
🖖🏽	вулканский салют, вулканский салют: средний тон кожи, жест, нимой, приветствие, рука, спок, средний тон кожи
🖖🏾	вулканский салют, вулканский салют: темный тон кожи, жест, нимой, приветствие, рука, спок, темный тон кожи
🖖🏿	вулканский салют, вулканский салют: очень темный тон кожи, жест, нимой, очень темный тон кожи, приветствие, рука, спок
👌	жест, жест "все хорошо", жест «все хорошо», ок, окей, рука, хорошо
👌🏻	жест, жест "все хорошо", жест «все хорошо», жест «все хорошо»: очень светлый тон кожи, ок, окей, очень светлый тон кожи, рука, хорошо
👌🏼	жест, жест "все хорошо", жест «все хорошо», жест «все хорошо»: светлый тон кожи, ок, окей, рука, светлый тон кожи, хорошо
👌🏽	жест, жест "все хорошо", жест «все хорошо», жест «все хорошо»: средний тон кожи, ок, окей, рука, средний тон кожи, хорошо
👌🏾	жест, жест "все хорошо", жест «все хорошо», жест «все хорошо»: темный тон кожи, ок, окей, рука, темный тон кожи, хорошо
👌🏿	жест, жест "все хорошо", жест «все хорошо», жест «все хорошо»: очень темный тон кожи, ок, окей, очень темный тон кожи, рука, хорошо
🤏	жест «мало», мало, небольшое количество, немного, чуть-чуть
🤏🏻	жест «мало», жест «мало»: очень светлый тон кожи, мало, небольшое количество, немного, очень светлый тон кожи, чуть-чуть
🤏🏼	жест «мало», жест «мало»: светлый тон кожи, мало, небольшое количество, немного, светлый тон кожи, чуть-чуть
🤏🏽	жест «мало», жест «мало»: средний тон кожи, мало, небольшое количество, немного, средний тон кожи, чуть-чуть
🤏🏾	жест «мало», жест «мало»: темный тон кожи, мало, небольшое количество, немного, темный тон кожи, чуть-чуть
🤏🏿	жест «мало», жест «мало»: очень темный тон кожи, мало, небольшое количество, немного, очень темный тон кожи, чуть-чуть
✌️	виктория, жест V, пальцы, победа, рука, триумф
✌🏻	виктория, жест V, жест V: очень светлый тон кожи, очень светлый тон кожи, пальцы, победа, рука, триумф
✌🏼	виктория, жест V, жест V: светлый тон кожи, пальцы, победа, рука, светлый тон кожи, триумф
✌🏽	виктория, жест V, жест V: средний тон кожи, пальцы, победа, рука, средний тон кожи, триумф
✌🏾	виктория, жест V, жест V: темный тон кожи, пальцы, победа, рука, темный тон кожи, триумф
✌🏿	виктория, жест V, жест V: очень темный тон кожи, очень темный тон кожи, пальцы, победа, рука, триумф
🤞	жест удачи, пальцы, скрестить, скрещенные пальцы, удача
🤞🏻	жест удачи, очень светлый тон кожи, пальцы, скрестить, скрещенные пальцы, скрещенные пальцы: очень светлый тон кожи, удача
🤞🏼	жест удачи, пальцы, светлый тон кожи, скрестить, скрещенные пальцы, скрещенные пальцы: светлый тон кожи, удача
🤞🏽	жест удачи, пальцы, скрестить, скрещенные пальцы, скрещенные пальцы: средний тон кожи, средний тон кожи, удача
🤞🏾	жест удачи, пальцы, скрестить, скрещенные пальцы, скрещенные пальцы: темный тон кожи, темный тон кожи, удача
🤞🏿	жест удачи, очень темный тон кожи, пальцы, скрестить, скрещенные пальцы, скрещенные пальцы: очень темный тон кожи, удача
🤟	ILY, жест, рука, я тебя люблю, я-тебя-люблю, язык глухих, язык знаков
🤟🏻	ILY, жест, очень светлый тон кожи, рука, я тебя люблю, я-тебя-люблю, я-тебя-люблю: очень светлый тон кожи, язык глухих, язык знаков
🤟🏼	ILY, жест, рука, светлый тон кожи, я тебя люблю, я-тебя-люблю, я-тебя-люблю: светлый тон кожи, язык глухих, язык знаков
🤟🏽	ILY, жест, рука, средний тон кожи, я тебя люблю, я-тебя-люблю, я-тебя-люблю: средний тон кожи, язык глухих, язык знаков
🤟🏾	ILY, жест, рука, темный тон кожи, я тебя люблю, я-тебя-люблю, я-тебя-люблю: темный тон кожи, язык глухих, язык знаков
🤟🏿	ILY, жест, очень темный тон кожи, рука, я тебя люблю, я-тебя-люблю, я-тебя-люблю: очень темный тон кожи, язык глухих, язык знаков
🤘	жест, коза, пальцы, рок, рокерский жест, рука, фанат
🤘🏻	жест, коза, очень светлый тон кожи, пальцы, рок, рокерский жест, рокерский жест: очень светлый тон кожи, рука, фанат
🤘🏼	жест, коза, пальцы, рок, рокерский жест, рокерский жест: светлый тон кожи, рука, светлый тон кожи, фанат
🤘🏽	жест, коза, пальцы, рок, рокерский жест, рокерский жест: средний тон кожи, рука, средний тон кожи, фанат
🤘🏾	жест, коза, пальцы, рок, рокерский жест, рокерский жест: темный тон кожи, рука, темный тон кожи, фанат
🤘🏿	жест, коза, очень темный тон кожи, пальцы, рок, рокерский жест, рокерский жест: очень темный тон кожи, рука, фанат
🤙	жест, жест "позвони мне", жест «позвони мне», позвони, позвони мне, рука
🤙🏻	жест, жест "позвони мне", жест «позвони мне», жест «позвони мне»: очень светлый тон кожи, очень светлый тон кожи, позвони, позвони мне, рука
🤙🏼	жест, жест "позвони мне", жест «позвони мне», жест «позвони мне»: светлый тон кожи, позвони, позвони мне, рука, светлый тон кожи
🤙🏽	жест, жест "позвони мне", жест «позвони мне», жест «позвони мне»: средний тон кожи, позвони, позвони мне, рука, средний тон кожи
🤙🏾	жест, жест "позвони мне", жест «позвони мне», жест «позвони мне»: темный тон кожи, позвони, позвони мне, рука, темный тон кожи
🤙🏿	жест, жест "позвони мне", жест «позвони мне», жест «позвони мне»: очень темный тон кожи, очень темный тон кожи, позвони, позвони мне, рука
👈️	влево, налево, палец, указательный, указывающий налево палец
👈🏻	влево, налево, очень светлый тон кожи, палец, указательный, указывающий налево палец, указывающий налево палец: очень светлый тон кожи
👈🏼	влево, налево, палец, светлый тон кожи, указательный, указывающий налево палец, указывающий налево палец: светлый тон кожи
👈🏽	влево, налево, палец, средний тон кожи, указательный, указывающий налево палец, указывающий налево палец: средний тон кожи
👈🏾	влево, налево, палец, темный тон кожи, указательный, указывающий налево палец, указывающий налево палец: темный тон кожи
👈🏿	влево, налево, очень темный тон кожи, палец, указательный, указывающий налево палец, указывающий налево палец: очень темный тон кожи
👉️	вправо, направо, палец, указательный, указывающий направо палец
👉🏻	вправо, направо, очень светлый тон кожи, палец, указательный, указывающий направо палец, указывающий направо палец: очень светлый тон кожи
👉🏼	вправо, направо, палец, светлый тон кожи, указательный, указывающий направо палец, указывающий направо палец: светлый тон кожи
👉🏽	вправо, направо, палец, средний тон кожи, указательный, указывающий направо палец, указывающий направо палец: средний тон кожи
👉🏾	вправо, направо, палец, темный тон кожи, указательный, указывающий направо палец, указывающий направо палец: темный тон кожи
👉🏿	вправо, направо, очень темный тон кожи, палец, указательный, указывающий направо палец, указывающий направо палец: очень темный тон кожи
👆️	вверх, наверх, палец, указательный, указывающий вверх палец
👆🏻	вверх, наверх, очень светлый тон кожи, палец, указательный, указывающий вверх палец, указывающий вверх палец: очень светлый тон кожи
👆🏼	вверх, наверх, палец, светлый тон кожи, указательный, указывающий вверх палец, указывающий вверх палец: светлый тон кожи
👆🏽	вверх, наверх, палец, средний тон кожи, указательный, указывающий вверх палец, указывающий вверх палец: средний тон кожи
👆🏾	вверх, наверх, палец, темный тон кожи, указательный, указывающий вверх палец, указывающий вверх палец: темный тон кожи
👆🏿	вверх, наверх, очень темный тон кожи, палец, указательный, указывающий вверх палец, указывающий вверх палец: очень темный тон кожи
🖕	жест, палец, рука, средний, средний палец
🖕🏻	жест, очень светлый тон кожи, палец, рука, средний, средний палец: очень светлый тон кожи
🖕🏼	жест, палец, рука, светлый тон кожи, средний, средний палец: светлый тон кожи
🖕🏽	жест, палец, рука, средний, средний палец: средний тон кожи, средний тон кожи
🖕🏾	жест, палец, рука, средний, средний палец: темный тон кожи, темный тон кожи
🖕🏿	жест, очень темный тон кожи, палец, рука, средний, средний палец: очень темный тон кожи
👇️	вниз, палец, указательный, указывающий вниз палец
👇🏻	вниз, очень светлый тон кожи, палец, указательный, указывающий вниз палец, указывающий вниз палец: очень светлый тон кожи
👇🏼	вниз, палец, светлый тон кожи, указательный, указывающий вниз палец, указывающий вниз палец: светлый тон кожи
👇🏽	вниз, палец, средний тон кожи, указательный, указывающий вниз палец, указывающий вниз палец: средний тон кожи
👇🏾	вниз, палец, темный тон кожи, указательный, указывающий вниз палец, указывающий вниз палец: темный тон кожи
👇🏿	вниз, очень темный тон кожи, палец, указательный, указывающий вниз палец, указывающий вниз палец: очень темный тон кожи
☝️	вверх, направление, палец, рука, указательный, указательный палец вверх
☝🏻	вверх, направление, очень светлый тон кожи, палец, рука, указательный, указательный палец вверх: очень светлый тон кожи
☝🏼	вверх, направление, палец, рука, светлый тон кожи, указательный, указательный палец вверх: светлый тон кожи
☝🏽	вверх, направление, палец, рука, средний тон кожи, указательный, указательный палец вверх: средний тон кожи
☝🏾	вверх, направление, палец, рука, темный тон кожи, указательный, указательный палец вверх: темный тон кожи
☝🏿	вверх, направление, очень темный тон кожи, палец, рука, указательный, указательный палец вверх: очень темный тон кожи
👍️	большой палец вверх, вверх, нравится, одобрение, палец, рука, хорошо
👍🏻	большой палец вверх, большой палец вверх: очень светлый тон кожи, вверх, нравится, одобрение, очень светлый тон кожи, палец, рука, хорошо
👍🏼	большой палец вверх, большой палец вверх: светлый тон кожи, вверх, нравится, одобрение, палец, рука, светлый тон кожи, хорошо
👍🏽	большой палец вверх, большой палец вверх: средний тон кожи, вверх, нравится, одобрение, палец, рука, средний тон кожи, хорошо
👍🏾	большой палец вверх, большой палец вверх: темный тон кожи, вверх, нравится, одобрение, палец, рука, темный тон кожи, хорошо
👍🏿	большой палец вверх, большой палец вверх: очень темный тон кожи, вверх, нравится, одобрение, очень темный тон кожи, палец, рука, хорошо
👎️	большой палец вниз, вниз, палец, плохо, порицание, рука
👎🏻	большой палец вниз, большой палец вниз: очень светлый тон кожи, вниз, очень светлый тон кожи, палец, плохо, порицание, рука
👎🏼	большой палец вниз, большой палец вниз: светлый тон кожи, вниз, палец, плохо, порицание, рука, светлый тон кожи
👎🏽	большой палец вниз, большой палец вниз: средний тон кожи, вниз, палец, плохо, порицание, рука, средний тон кожи
👎🏾	большой палец вниз, большой палец вниз: темный тон кожи, вниз, палец, плохо, порицание, рука, темный тон кожи
👎🏿	большой палец вниз, большой палец вниз: очень темный тон кожи, вниз, очень темный тон кожи, палец, плохо, порицание, рука
✊	кулак, пальцы, поднятый кулак, рука, удар
✊🏻	кулак, очень светлый тон кожи, пальцы, поднятый кулак, поднятый кулак: очень светлый тон кожи, рука, удар
✊🏼	кулак, пальцы, поднятый кулак, поднятый кулак: светлый тон кожи, рука, светлый тон кожи, удар
✊🏽	кулак, пальцы, поднятый кулак, поднятый кулак: средний тон кожи, рука, средний тон кожи, удар
✊🏾	кулак, пальцы, поднятый кулак, поднятый кулак: темный тон кожи, рука, темный тон кожи, удар
✊🏿	кулак, очень темный тон кожи, пальцы, поднятый кулак, поднятый кулак: очень темный тон кожи, рука, удар
👊	кулак, опасность, рука, удар, удар кулаком
👊🏻	кулак, кулак: очень светлый тон кожи, опасность, очень светлый тон кожи, рука, удар, удар кулаком
👊🏼	кулак, кулак: светлый тон кожи, опасность, рука, светлый тон кожи, удар, удар кулаком
👊🏽	кулак, кулак: средний тон кожи, опасность, рука, средний тон кожи, удар, удар кулаком
👊🏾	кулак, кулак: темный тон кожи, опасность, рука, темный тон кожи, удар, удар кулаком
👊🏿	кулак, кулак: очень темный тон кожи, опасность, очень темный тон кожи, рука, удар, удар кулаком
🤛	влево, кулак, кулак влево
🤛🏻	влево, кулак, кулак влево: очень светлый тон кожи, очень светлый тон кожи
🤛🏼	влево, кулак, кулак влево: светлый тон кожи, светлый тон кожи
🤛🏽	влево, кулак, кулак влево: средний тон кожи, средний тон кожи
🤛🏾	влево, кулак, кулак влево: темный тон кожи, темный тон кожи
🤛🏿	влево, кулак, кулак влево: очень темный тон кожи, очень темный тон кожи
🤜	вправо, кулак, кулак вправо
🤜🏻	вправо, кулак, кулак вправо: очень светлый тон кожи, очень светлый тон кожи
🤜🏼	вправо, кулак, кулак вправо: светлый тон кожи, светлый тон кожи
🤜🏽	вправо, кулак, кулак вправо: средний тон кожи, средний тон кожи
🤜🏾	вправо, кулак, кулак вправо: темный тон кожи, темный тон кожи
🤜🏿	вправо, кулак, кулак вправо: очень темный тон кожи, очень темный тон кожи
👏	аплодисменты, движение, жест, овация, рука, хлопать
👏🏻	аплодисменты, аплодисменты: очень светлый тон кожи, движение, жест, овация, очень светлый тон кожи, рука, хлопать
👏🏼	аплодисменты, аплодисменты: светлый тон кожи, движение, жест, овация, рука, светлый тон кожи, хлопать
👏🏽	аплодисменты, аплодисменты: средний тон кожи, движение, жест, овация, рука, средний тон кожи, хлопать
👏🏾	аплодисменты, аплодисменты: темный тон кожи, движение, жест, овация, рука, темный тон кожи, хлопать
👏🏿	аплодисменты, аплодисменты: очень темный тон кожи, движение, жест, овация, очень темный тон кожи, рука, хлопать
🙌	вверх, жест, класс, отлично, победа, руки, ура
🙌🏻	вверх, жест, класс, отлично, очень светлый тон кожи, победа, руки, ура, ура: очень светлый тон кожи
🙌🏼	вверх, жест, класс, отлично, победа, руки, светлый тон кожи, ура, ура: светлый тон кожи
🙌🏽	вверх, жест, класс, отлично, победа, руки, средний тон кожи, ура, ура: средний тон кожи
🙌🏾	вверх, жест, класс, отлично, победа, руки, темный тон кожи, ура, ура: темный тон кожи
🙌🏿	вверх, жест, класс, отлично, очень темный тон кожи, победа, руки, ура, ура: очень темный тон кожи
👐	врозь, ладони, ладони в стороны, открытые, рука
👐🏻	врозь, ладони, ладони в стороны, ладони в стороны: очень светлый тон кожи, открытые, очень светлый тон кожи, рука
👐🏼	врозь, ладони, ладони в стороны, ладони в стороны: светлый тон кожи, открытые, рука, светлый тон кожи
👐🏽	врозь, ладони, ладони в стороны, ладони в стороны: средний тон кожи, открытые, рука, средний тон кожи
👐🏾	врозь, ладони, ладони в стороны, ладони в стороны: темный тон кожи, открытые, рука, темный тон кожи
👐🏿	врозь, ладони, ладони в стороны, ладони в стороны: очень темный тон кожи, открытые, очень темный тон кожи, рука
🤲	вверх, вместе, ладони, ладони лодочкой, ладони, сложенные лодочкой, молитва, руки
🤲🏻	вверх, вместе, ладони, ладони лодочкой, ладони лодочкой: очень светлый тон кожи, ладони, сложенные лодочкой, молитва, очень светлый тон кожи, руки
🤲🏼	вверх, вместе, ладони, ладони лодочкой, ладони лодочкой: светлый тон кожи, ладони, сложенные лодочкой, молитва, руки, светлый тон кожи
🤲🏽	вверх, вместе, ладони, ладони лодочкой, ладони лодочкой: средний тон кожи, ладони, сложенные лодочкой, молитва, руки, средний тон кожи
